<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
INC,20180713,7.0,8.4,7.0,8.4,200
INC,20180712,6.3,7.7,6.3,7.7,200
INC,20180711,,,,7.0,0
INC,20180710,7.0,7.0,7.0,7.0,100
INC,20180709,,,,7.7,0
INC,20180706,,,,7.7,0
INC,20180705,,,,7.7,0
INC,20180704,,,,7.7,0
INC,20180703,,,,7.7,0
INC,20180702,,,,7.7,0
INC,20180629,,,,7.7,0
INC,20180628,,,,7.7,0
INC,20180627,,,,7.7,0
INC,20180626,7.7,7.7,7.7,7.7,100
INC,20180625,,,,7.1,0
INC,20180622,,,,7.1,0
INC,20180621,,,,7.1,0
INC,20180620,,,,7.1,0
INC,20180619,7.1,7.1,7.1,7.1,100
INC,20180618,6.1,6.6,6.0,6.6,11400
INC,20180615,6.0,6.1,6.0,6.1,11800
INC,20180614,6.0,6.0,5.6,5.6,600
INC,20180613,6.6,6.6,5.8,5.8,200
INC,20180612,6.0,6.1,5.6,6.1,10700
INC,20180611,6.0,6.0,5.6,5.6,400
INC,20180608,5.7,5.7,5.6,5.6,1200
INC,20180607,5.9,5.9,5.2,5.2,200
INC,20180606,5.5,5.5,5.5,5.5,200
INC,20180605,6.0,6.0,6.0,6.0,300
INC,20180604,6.1,6.1,6.1,6.1,300
INC,20180601,5.7,6.2,5.5,6.2,1200
INC,20180531,6.2,6.2,5.7,5.7,6050
INC,20180530,6.3,6.3,5.8,5.8,4100
INC,20180529,6.7,6.7,5.9,5.9,600
INC,20180528,6.3,6.3,6.2,6.2,400
INC,20180525,6.8,6.8,6.8,6.8,100
INC,20180524,6.2,6.3,6.2,6.3,2000
INC,20180523,6.4,6.4,5.8,5.8,700
INC,20180522,6.0,6.6,5.9,5.9,1000
INC,20180521,6.7,6.7,6.2,6.2,200
INC,20180518,6.9,7.0,6.0,6.2,15200
INC,20180517,6.4,6.4,6.0,6.4,3200
INC,20180516,6.4,6.4,5.8,5.9,3500
INC,20180515,6.9,6.9,5.9,5.9,1400
INC,20180514,6.3,7.0,6.3,6.3,2500
INC,20180511,7.9,7.9,6.5,7.0,1900
INC,20180510,7.2,7.2,7.2,7.2,700
INC,20180509,8.0,8.0,8.0,8.0,100
INC,20180508,8.8,8.8,8.8,8.8,100
INC,20180507,9.7,9.7,9.7,9.7,100
INC,20180504,10.7,10.7,10.7,10.7,100
INC,20180503,,,,11.8,0
INC,20180502,,,,11.8,0
INC,20180427,11.8,11.8,11.8,11.8,100
INC,20180426,9.8,10.8,9.8,10.8,300
INC,20180424,10.8,10.8,10.8,10.8,4100
INC,20180423,,,,11.9,0
INC,20180420,,,,11.9,0
INC,20180419,11.9,11.9,11.9,11.9,50
INC,20180418,,,,11.9,0
INC,20180417,,,,11.9,0
INC,20180416,,,,11.9,0
INC,20180413,11.9,11.9,11.9,11.9,100
INC,20180412,,,,13.2,0
INC,20180411,,,,13.2,0
INC,20180410,,,,13.2,0
INC,20180409,,,,13.2,0
INC,20180406,13.2,13.2,13.2,13.2,17
INC,20180405,,,,13.2,0
INC,20180404,,,,13.2,0
INC,20180403,13.2,13.2,13.2,13.2,17
INC,20180402,13.2,13.2,13.2,13.2,50
INC,20180330,,,,13.2,0
INC,20180329,,,,13.2,0
INC,20180328,13.2,13.2,13.2,13.2,5
INC,20180327,,,,13.2,0
INC,20180326,,,,13.2,0
INC,20180323,13.2,13.2,13.2,13.2,1
INC,20180322,,,,13.2,0
INC,20180321,,,,13.2,0
INC,20180320,,,,13.2,0
INC,20180319,,,,13.2,0
INC,20180316,,,,13.2,0
INC,20180315,,,,13.2,0
INC,20180314,13.2,13.2,13.2,13.2,400
INC,20180313,,,,14.6,0
INC,20180312,,,,14.6,0
INC,20180309,,,,14.6,0
INC,20180308,,,,14.6,0
INC,20180307,,,,14.6,0
INC,20180306,14.6,14.6,14.6,14.6,100
INC,20180305,,,,13.3,0
INC,20180302,,,,13.3,0
INC,20180301,,,,13.3,0
INC,20180228,,,,13.3,0
INC,20180227,13.3,13.3,13.3,13.3,110
INC,20180226,,,,12.1,0
INC,20180223,,,,12.1,0
INC,20180222,12.1,12.1,12.1,12.1,100
INC,20180221,,,,12.0,0
INC,20180213,,,,12.0,0
INC,20180212,,,,12.0,0
INC,20180209,,,,12.0,0
INC,20180208,,,,12.0,0
INC,20180207,,,,12.0,0
INC,20180206,,,,12.0,0
INC,20180205,,,,12.0,0
INC,20180202,,,,12.0,0
INC,20180201,,,,12.0,0
INC,20180131,,,,12.0,0
INC,20180130,,,,12.0,0
INC,20180129,,,,12.0,0
INC,20180126,,,,12.0,0
INC,20180125,,,,12.0,0
INC,20180122,,,,12.0,0
INC,20180119,,,,12.0,0
INC,20180118,,,,12.0,0
INC,20180117,,,,12.0,0
INC,20180116,,,,12.0,0
INC,20180115,,,,12.0,0
INC,20180112,,,,12.0,0
INC,20180111,,,,12.0,0
INC,20180110,12.0,12.0,12.0,12.0,100
INC,20180109,,,,12.1,0
INC,20180108,,,,12.1,0
INC,20180105,,,,12.1,0
INC,20180104,12.1,12.1,12.1,12.1,100
INC,20180103,,,,11.0,0
INC,20180102,,,,11.0,0
INC,20171229,,,,11.0,0
INC,20171228,,,,11.0,0
INC,20171227,,,,11.0,0
INC,20171226,,,,11.0,0
INC,20171225,,,,11.0,0
INC,20171222,,,,11.0,0
INC,20171221,,,,11.0,0
INC,20171220,,,,11.0,0
INC,20171219,,,,11.0,0
INC,20171218,,,,11.0,0
INC,20171215,,,,11.0,0
INC,20171214,11.0,11.0,11.0,11.0,100
INC,20171213,,,,10.0,0
INC,20171212,,,,10.0,0
INC,20171211,,,,10.0,0
INC,20171208,,,,10.0,0
INC,20171207,,,,10.0,0
INC,20171206,,,,10.0,0
INC,20171205,,,,10.0,0
INC,20171204,10.0,10.0,10.0,10.0,1000
INC,20171201,,,,9.1,0
INC,20171130,,,,9.1,0
INC,20171129,,,,9.1,0
INC,20171128,,,,9.1,0
INC,20171127,,,,9.1,0
INC,20171124,,,,9.1,0
INC,20171123,,,,9.1,0
INC,20171122,,,,9.1,0
INC,20171121,,,,9.1,0
INC,20171120,,,,9.1,0
INC,20171117,,,,9.1,0
INC,20171116,,,,9.1,0
INC,20171115,,,,9.1,0
INC,20171114,,,,9.1,0
INC,20171113,,,,9.1,0
INC,20171110,,,,9.1,0
INC,20171109,,,,9.1,0
INC,20171108,,,,9.1,0
INC,20171107,9.1,9.1,9.1,9.1,100
INC,20171106,,,,8.3,0
INC,20171103,,,,8.3,0
INC,20171102,,,,8.3,0
INC,20171101,8.8,8.8,8.3,8.3,500
INC,20171031,8.0,8.0,8.0,8.0,100
INC,20171030,7.3,7.3,7.3,7.3,200
INC,20171027,7.4,7.4,7.4,7.4,100
INC,20171026,,,,6.8,0
INC,20171025,,,,6.8,0
INC,20171024,6.8,6.8,6.8,6.8,1200
INC,20171023,7.5,7.5,7.5,7.5,1100
INC,20171020,6.9,6.9,6.9,6.9,100
INC,20171019,6.3,6.3,6.3,6.3,100
INC,20171018,,,,6.9,0
INC,20171017,,,,6.9,0
INC,20171016,7.9,7.9,6.6,6.9,3300
INC,20171013,7.2,7.2,6.2,7.2,700
INC,20171012,7.3,7.3,6.6,6.6,7000
INC,20171011,7.2,7.2,6.7,6.7,200
INC,20171010,6.6,6.6,6.6,6.6,100
INC,20171009,6.0,6.0,6.0,6.0,100
INC,20171006,5.5,5.5,5.5,5.5,100
INC,20171005,5.0,5.0,5.0,5.0,100
INC,20171004,5.5,5.5,5.5,5.5,100
INC,20171003,6.1,6.1,6.1,6.1,200
INC,20171002,,,,6.7,0
INC,20170929,,,,6.7,0
INC,20170928,,,,6.7,0
INC,20170927,8.0,8.0,6.7,6.7,2200
INC,20170926,8.5,8.5,7.3,7.3,1100
INC,20170925,9.2,9.2,7.8,7.8,300
INC,20170922,,,,8.5,0
INC,20170921,,,,8.5,0
INC,20170920,10.1,10.1,8.5,8.5,300
INC,20170919,,,,9.3,0
INC,20170918,9.3,9.3,9.3,9.3,100
INC,20170915,,,,10.3,0
INC,20170914,,,,10.3,0
INC,20170913,10.3,10.3,10.3,10.3,100
INC,20170912,8.2,9.5,8.2,9.5,200
INC,20170911,9.0,9.0,9.0,9.0,2005
INC,20170908,10.0,10.0,10.0,10.0,100
INC,20170907,9.1,9.1,9.1,9.1,5000
INC,20170906,10.1,10.1,10.1,10.1,105
INC,20170905,,,,9.2,0
INC,20170901,9.2,9.2,9.2,9.2,100
INC,20170831,,,,8.4,0
INC,20170830,10.2,10.2,8.4,8.4,1800
INC,20170829,,,,9.3,0
INC,20170828,,,,9.3,0
INC,20170825,9.3,9.3,9.3,9.3,4000
INC,20170824,,,,10.3,0
INC,20170823,,,,10.3,0
INC,20170822,10.3,10.3,10.3,10.3,100
INC,20170821,9.4,9.4,9.4,9.4,50
INC,20170818,,,,9.4,0
INC,20170817,,,,9.4,0
INC,20170816,,,,9.4,0
INC,20170815,,,,9.4,0
INC,20170814,,,,9.4,0
INC,20170811,9.4,9.4,9.4,9.4,10
INC,20170810,,,,9.4,0
INC,20170809,,,,9.4,0
INC,20170808,,,,9.4,0
INC,20170807,10.35,10.35,9.4,9.4,2402
INC,20170804,,,,10.35,0
INC,20170803,11.3,11.3,10.35,10.35,600
INC,20170802,10.35,10.35,10.35,10.35,100
INC,20170801,11.48,11.48,11.48,11.49,100
INC,20170731,12.72,12.72,10.44,10.44,200
INC,20170728,,,,11.58,0
INC,20170727,,,,11.58,0
INC,20170726,,,,11.58,0
INC,20170725,11.58,11.58,11.58,11.58,100
INC,20170724,,,,10.54,0
INC,20170721,12.82,12.82,10.54,10.54,200
INC,20170720,,,,11.68,0
INC,20170719,11.67,11.67,11.67,11.68,100
INC,20170718,,,,10.63,0
INC,20170717,,,,10.63,0
INC,20170714,12.91,12.91,10.63,10.63,250
INC,20170713,,,,11.77,0
INC,20170712,,,,11.77,0
INC,20170711,,,,11.77,0
INC,20170710,11.77,11.77,11.77,11.77,10
INC,20170707,11.77,11.77,11.77,11.77,100
INC,20170706,10.73,10.73,10.73,10.73,100
INC,20170705,9.79,9.79,9.79,9.78,100
INC,20170704,8.93,8.93,8.93,8.93,100
INC,20170703,8.36,8.36,8.36,8.36,100
INC,20170630,,,,7.6,0
INC,20170629,,,,7.6,0
INC,20170628,,,,7.6,0
INC,20170627,7.59,7.59,7.59,7.6,100
INC,20170626,8.36,8.36,6.93,6.93,200
INC,20170623,,,,7.6,0
INC,20170622,,,,7.6,0
INC,20170621,7.59,7.59,7.59,7.6,100
INC,20170620,,,,6.93,0
INC,20170619,8.36,8.36,6.93,6.93,300
INC,20170616,,,,7.6,0
INC,20170615,7.59,7.59,7.59,7.6,100
INC,20170614,,,,6.93,0
INC,20170613,6.93,6.93,6.93,6.93,100
INC,20170612,7.7,7.7,6.37,6.36,200
INC,20170609,,,,7.03,0
INC,20170608,7.03,7.03,7.03,7.03,100
INC,20170607,,,,6.46,0
INC,20170606,6.46,6.46,6.46,6.46,100
INC,20170605,,,,5.89,0
INC,20170602,,,,5.89,0
INC,20170601,,,,5.89,0
INC,20170531,,,,5.89,0
INC,20170530,,,,5.89,0
INC,20170529,,,,5.89,0
INC,20170526,,,,5.89,0
INC,20170525,5.89,5.89,5.89,5.89,100
INC,20170524,,,,5.89,0
INC,20170523,,,,5.89,0
INC,20170522,,,,5.89,0
INC,20170519,5.89,5.89,5.89,5.89,7
INC,20170518,,,,5.89,0
INC,20170517,,,,5.89,0
INC,20170516,,,,5.89,0
INC,20170515,,,,5.89,0
INC,20170512,,,,5.89,0
INC,20170511,,,,5.89,0
INC,20170510,,,,5.89,0
INC,20170509,,,,5.89,0
INC,20170508,,,,5.89,0
INC,20170505,5.88,5.88,5.88,5.89,5000
INC,20170504,,,,5.41,0
INC,20170503,,,,5.41,0
INC,20170428,,,,5.41,0
INC,20170427,,,,5.41,0
INC,20170426,,,,5.41,0
INC,20170425,,,,5.41,0
INC,20170424,,,,5.41,0
INC,20170421,,,,5.41,0
INC,20170420,,,,5.41,0
INC,20170419,,,,5.41,0
INC,20170418,,,,5.41,0
INC,20170417,,,,5.41,0
