<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ITQ,20180713,3.4,3.4,3.3,3.4,58200
ITQ,20180712,3.4,3.5,3.3,3.5,125000
ITQ,20180711,3.6,3.6,3.4,3.6,444300
ITQ,20180710,3.5,3.6,3.4,3.6,602400
ITQ,20180709,3.4,3.6,3.3,3.5,399200
ITQ,20180706,3.5,3.5,3.3,3.5,105600
ITQ,20180705,3.3,3.6,3.3,3.5,1633961
ITQ,20180704,3.4,3.4,3.2,3.3,16700
ITQ,20180703,3.4,3.5,3.3,3.4,47000
ITQ,20180702,3.5,3.6,3.4,3.4,97700
ITQ,20180629,3.5,3.5,3.3,3.5,21400
ITQ,20180628,3.3,3.6,3.3,3.4,123900
ITQ,20180627,3.5,3.5,3.3,3.3,65700
ITQ,20180626,3.4,3.5,3.3,3.5,38700
ITQ,20180625,3.5,3.7,3.3,3.5,715800
ITQ,20180622,3.7,3.7,3.5,3.5,317435
ITQ,20180621,3.6,3.7,3.4,3.7,311715
ITQ,20180620,3.5,3.7,3.5,3.6,697515
ITQ,20180619,3.4,3.6,3.3,3.5,305804
ITQ,20180618,3.5,3.8,3.3,3.3,1239820
ITQ,20180615,3.3,3.5,3.3,3.5,290465
ITQ,20180614,3.2,3.4,3.2,3.4,695820
ITQ,20180613,3.0,3.1,3.0,3.1,462200
ITQ,20180612,2.9,3.0,2.9,2.9,82010
ITQ,20180611,2.8,3.0,2.8,2.9,103200
ITQ,20180608,2.8,2.9,2.8,2.9,1900
ITQ,20180607,2.9,2.9,2.8,2.8,107991
ITQ,20180606,3.0,3.0,2.8,2.8,68800
ITQ,20180605,2.9,3.0,2.8,2.9,52709
ITQ,20180604,2.8,3.0,2.8,2.9,65100
ITQ,20180601,2.9,3.0,2.8,2.9,27300
ITQ,20180531,2.9,2.9,2.8,2.9,27300
ITQ,20180530,2.8,2.9,2.7,2.9,114500
ITQ,20180529,2.6,2.8,2.6,2.7,48900
ITQ,20180528,2.8,2.8,2.6,2.6,187900
ITQ,20180525,2.9,2.9,2.7,2.8,146600
ITQ,20180524,2.9,3.0,2.9,3.0,117600
ITQ,20180523,3.0,3.1,2.9,3.0,34400
ITQ,20180522,2.9,3.1,2.9,3.0,108200
ITQ,20180521,3.3,3.3,3.0,3.0,102800
ITQ,20180518,3.0,3.3,3.0,3.2,801400
ITQ,20180517,3.0,3.0,2.8,3.0,101800
ITQ,20180516,2.9,3.1,2.9,3.1,130131
ITQ,20180515,2.9,3.1,2.9,3.0,79300
ITQ,20180514,3.2,3.2,2.9,2.9,2854400
ITQ,20180511,3.1,3.3,3.0,3.2,379200
ITQ,20180510,2.9,3.0,2.9,3.0,890631
ITQ,20180509,2.9,3.0,2.8,2.8,40300
ITQ,20180508,2.9,3.0,2.8,2.9,350200
ITQ,20180507,2.9,2.9,2.8,2.9,6500
ITQ,20180504,2.7,2.9,2.7,2.8,61900
ITQ,20180503,2.9,2.9,2.8,2.9,79100
ITQ,20180502,2.8,2.9,2.8,2.8,124500
ITQ,20180427,2.6,2.8,2.6,2.8,50600
ITQ,20180426,2.7,2.7,2.5,2.6,44300
ITQ,20180424,2.7,2.8,2.6,2.6,35100
ITQ,20180423,2.7,2.8,2.7,2.7,49600
ITQ,20180420,2.8,2.8,2.7,2.8,81300
