<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
KHS,20180713,,,,12.0,0
KHS,20180712,,,,12.0,0
KHS,20180711,,,,12.0,0
KHS,20180710,,,,12.0,0
KHS,20180709,,,,12.0,0
KHS,20180706,,,,12.0,0
KHS,20180705,,,,12.0,0
KHS,20180704,,,,12.0,0
KHS,20180703,,,,12.0,0
KHS,20180702,12.0,12.0,12.0,12.0,700
KHS,20180629,12.4,12.4,12.4,12.4,100
KHS,20180628,,,,11.7,0
KHS,20180627,11.7,11.7,11.7,11.7,400
KHS,20180626,,,,11.7,0
KHS,20180625,,,,11.7,0
KHS,20180622,,,,11.7,0
KHS,20180621,,,,11.7,0
KHS,20180620,11.8,11.8,11.7,11.7,15000
KHS,20180619,11.9,11.9,11.9,11.9,90
KHS,20180618,,,,11.9,0
KHS,20180615,,,,11.9,0
KHS,20180614,,,,11.9,0
KHS,20180613,11.9,11.9,11.9,11.9,700
KHS,20180612,,,,12.1,0
KHS,20180611,,,,12.1,0
KHS,20180608,,,,12.1,0
KHS,20180607,12.0,12.1,12.0,12.1,2500
KHS,20180606,12.0,12.0,12.0,12.0,1300
KHS,20180605,12.3,12.3,12.3,12.3,500
KHS,20180604,,,,12.2,0
KHS,20180601,12.2,12.2,12.2,12.2,100
KHS,20180531,13.5,13.5,12.1,12.2,6700
KHS,20180530,,,,12.9,0
KHS,20180529,12.9,12.9,12.9,12.9,149
KHS,20180528,12.0,12.0,11.9,11.9,800
KHS,20180525,,,,12.5,0
KHS,20180524,,,,12.5,0
KHS,20180523,12.1,12.5,12.1,12.5,1100
KHS,20180522,12.1,12.5,12.1,12.5,3600
KHS,20180521,12.2,12.6,12.2,12.6,600
KHS,20180518,12.8,12.8,12.8,12.8,100
KHS,20180517,12.3,12.5,12.3,12.5,9100
KHS,20180516,12.4,12.6,12.4,12.4,91400
KHS,20180515,12.4,12.4,12.4,12.4,651
KHS,20180514,12.5,12.5,12.4,12.4,4700
KHS,20180511,12.1,12.1,12.1,12.1,400
KHS,20180510,12.9,12.9,12.9,12.9,3000
KHS,20180509,,,,12.9,0
KHS,20180508,12.5,12.9,11.9,12.9,10200
KHS,20180507,12.5,13.0,12.4,13.0,2100
KHS,20180504,,,,13.0,0
KHS,20180503,12.4,13.0,12.0,13.0,2900
KHS,20180502,,,,12.7,0
KHS,20180427,12.7,12.7,12.1,12.7,600
KHS,20180426,12.3,12.3,12.3,12.3,100
KHS,20180424,12.5,12.5,12.3,12.3,4200
KHS,20180423,,,,12.3,0
KHS,20180420,12.3,12.3,12.3,12.3,200
KHS,20180419,12.7,12.7,12.7,12.7,100
KHS,20180418,12.9,12.9,12.7,12.7,24200
KHS,20180417,12.8,12.8,12.7,12.7,2300
KHS,20180416,12.7,12.7,12.7,12.7,1000
KHS,20180413,12.6,12.9,12.6,12.6,5900
KHS,20180412,12.6,12.6,12.6,12.6,2300
KHS,20180411,12.6,12.8,12.6,12.8,5200
KHS,20180410,,,,12.6,0
KHS,20180409,12.7,12.7,12.6,12.6,2700
KHS,20180406,12.6,12.7,12.6,12.7,15400
KHS,20180405,,,,12.6,0
KHS,20180404,13.0,13.0,12.4,12.6,5700
KHS,20180403,,,,13.0,0
KHS,20180402,13.0,13.0,12.9,13.0,25100
KHS,20180330,13.0,13.0,12.9,13.0,2600
KHS,20180329,13.4,13.4,12.5,13.1,7100
KHS,20180328,12.21,12.3,11.95,12.3,3200
KHS,20180327,12.83,12.83,12.65,12.66,2100
KHS,20180326,11.76,11.85,11.67,11.85,5500
KHS,20180323,12.03,12.03,12.03,12.03,1000
KHS,20180322,,,,11.94,0
KHS,20180321,12.03,12.03,11.94,11.94,2600
KHS,20180320,12.12,12.12,12.03,12.03,2700
KHS,20180319,12.12,12.12,11.94,12.12,7600
KHS,20180316,11.94,12.03,11.85,12.03,2600
KHS,20180315,12.12,12.12,12.03,12.03,5800
KHS,20180314,12.12,12.39,12.12,12.39,200
KHS,20180313,12.75,12.75,12.13,12.12,1900
KHS,20180312,11.59,12.75,11.59,12.75,1500
KHS,20180309,11.77,11.77,11.59,11.59,5200
KHS,20180308,11.94,11.94,11.67,11.68,25000
KHS,20180307,12.12,12.12,12.12,12.12,100
KHS,20180306,12.12,12.12,12.12,12.12,2000
KHS,20180305,11.85,12.03,11.85,12.03,4400
KHS,20180302,11.59,12.12,11.59,12.12,5500
KHS,20180301,13.1,13.1,12.03,12.12,5700
KHS,20180228,11.94,12.3,11.77,12.3,4600
KHS,20180227,,,,12.39,0
KHS,20180226,12.48,12.48,12.39,12.39,1500
KHS,20180223,12.57,12.57,12.48,12.48,11700
KHS,20180222,,,,13.1,0
KHS,20180221,13.1,13.1,13.1,13.1,100
KHS,20180213,12.3,12.3,12.3,12.3,200
KHS,20180212,,,,12.57,0
KHS,20180209,12.13,12.57,11.95,12.57,3100
KHS,20180208,12.12,12.65,12.03,12.66,5200
KHS,20180207,12.21,13.01,12.03,13.01,10813
KHS,20180206,,,,13.37,0
KHS,20180205,13.28,13.37,13.28,13.37,3150
KHS,20180202,12.12,12.3,12.03,12.3,17300
KHS,20180201,12.48,12.48,12.12,12.12,9200
KHS,20180131,12.57,12.75,12.57,12.57,24100
KHS,20180130,13.37,13.37,12.57,12.57,4250
KHS,20180129,13.64,13.64,13.37,13.37,1500
KHS,20180126,13.64,13.73,13.55,13.64,5400
KHS,20180125,14.26,14.26,13.55,13.55,18119
KHS,20180122,13.73,13.82,13.73,13.81,10000
KHS,20180119,13.55,13.82,13.55,13.64,14000
KHS,20180118,13.45,13.54,13.45,13.55,500
KHS,20180117,13.81,13.81,13.72,13.81,9601
KHS,20180116,13.81,13.81,13.54,13.81,34100
KHS,20180115,14.08,14.08,13.72,13.81,4070
KHS,20180112,14.17,14.17,13.73,14.08,31000
KHS,20180111,14.26,14.44,13.99,14.26,7510
KHS,20180110,14.53,14.53,14.35,14.35,13000
KHS,20180109,14.35,14.62,14.26,14.53,29442
KHS,20180108,14.53,14.62,14.35,14.53,48100
KHS,20180105,14.52,14.52,14.43,14.53,13443
KHS,20180104,14.71,14.89,13.73,14.88,34347
KHS,20180103,14.71,15.33,14.71,14.8,34040
KHS,20180102,16.66,16.66,15.5,15.69,22637
KHS,20171229,16.22,16.93,14.97,16.93,138843
KHS,20171228,15.42,16.4,15.42,16.04,121051
KHS,20171227,14.17,14.98,14.17,14.97,124410
