<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
KSK,20180713,,,,0.5,0
KSK,20180712,,,,0.5,0
KSK,20180711,,,,0.5,0
KSK,20180710,,,,0.5,0
KSK,20180709,,,,0.5,0
KSK,20180706,0.5,0.6,0.5,0.5,37800
KSK,20180705,,,,0.5,0
KSK,20180704,,,,0.5,0
KSK,20180703,,,,0.5,0
KSK,20180702,,,,0.5,0
KSK,20180629,0.6,0.6,0.5,0.5,40000
KSK,20180628,,,,0.6,0
KSK,20180627,,,,0.6,0
KSK,20180626,,,,0.6,0
KSK,20180625,,,,0.6,0
KSK,20180622,0.6,0.6,0.5,0.6,492300
KSK,20180621,,,,0.6,0
KSK,20180620,,,,0.6,0
KSK,20180619,,,,0.6,0
KSK,20180618,,,,0.6,0
KSK,20180615,0.5,0.6,0.4,0.6,224600
KSK,20180614,,,,0.5,0
KSK,20180613,,,,0.5,0
KSK,20180612,,,,0.5,0
KSK,20180611,,,,0.5,0
KSK,20180608,0.5,0.6,0.5,0.5,417400
KSK,20180607,,,,0.6,0
KSK,20180606,,,,0.6,0
KSK,20180605,,,,0.6,0
KSK,20180604,,,,0.6,0
KSK,20180601,0.4,0.6,0.4,0.6,572440
KSK,20180531,,,,0.5,0
KSK,20180530,,,,0.5,0
KSK,20180529,,,,0.5,0
KSK,20180528,,,,0.5,0
KSK,20180525,0.5,0.6,0.5,0.5,428500
KSK,20180524,,,,0.6,0
KSK,20180523,,,,0.6,0
KSK,20180522,,,,0.6,0
KSK,20180521,,,,0.6,0
KSK,20180518,0.6,0.7,0.6,0.6,529800
KSK,20180517,,,,0.7,0
KSK,20180516,,,,0.7,0
KSK,20180515,,,,0.7,0
KSK,20180514,,,,0.7,0
KSK,20180511,0.8,0.8,0.7,0.7,92000
KSK,20180510,,,,0.8,0
KSK,20180509,,,,0.8,0
KSK,20180508,,,,0.8,0
KSK,20180507,,,,0.8,0
KSK,20180504,0.8,0.9,0.8,0.8,7700
KSK,20180503,0.8,0.8,0.7,0.8,121900
KSK,20180502,0.8,0.9,0.8,0.8,112500
KSK,20180427,0.9,1.0,0.9,0.9,105200
KSK,20180426,0.9,1.0,0.9,1.0,20400
KSK,20180424,1.0,1.0,0.9,1.0,101900
KSK,20180423,0.9,1.0,0.9,0.9,75900
KSK,20180420,0.9,1.0,0.9,0.9,145600
KSK,20180419,1.0,1.0,0.9,1.0,53700
KSK,20180418,1.0,1.0,0.9,1.0,13700
KSK,20180417,0.9,1.0,0.9,1.0,45900
KSK,20180416,1.0,1.1,1.0,1.0,101700
KSK,20180413,1.0,1.0,0.9,1.0,31700
KSK,20180412,1.0,1.0,1.0,1.0,139800
KSK,20180411,1.0,1.1,1.0,1.0,143100
KSK,20180410,1.0,1.1,1.0,1.1,295000
KSK,20180409,1.0,1.0,1.0,1.0,112910
KSK,20180406,1.0,1.1,1.0,1.0,171100
KSK,20180405,1.0,1.1,1.0,1.0,291400
KSK,20180404,1.0,1.0,1.0,1.0,100300
KSK,20180403,1.0,1.1,1.0,1.0,133900
KSK,20180402,1.1,1.1,1.0,1.1,68400
KSK,20180330,1.0,1.1,1.0,1.1,104200
KSK,20180329,1.1,1.1,1.0,1.0,125100
KSK,20180328,1.0,1.1,1.0,1.1,21800
KSK,20180327,1.1,1.1,1.0,1.0,115300
KSK,20180326,1.0,1.1,0.9,1.0,198126
KSK,20180323,1.0,1.1,1.0,1.0,226900
KSK,20180322,1.0,1.1,1.0,1.0,80804
KSK,20180321,1.1,1.1,1.0,1.0,194350
KSK,20180320,1.1,1.1,1.0,1.1,89110
KSK,20180319,1.1,1.1,1.0,1.1,410500
KSK,20180316,1.1,1.1,1.0,1.1,82900
KSK,20180315,1.1,1.1,1.0,1.1,143400
KSK,20180314,1.1,1.2,1.1,1.1,294800
KSK,20180313,1.1,1.2,1.1,1.1,68590
KSK,20180312,1.2,1.2,1.1,1.1,109610
KSK,20180309,1.2,1.2,1.1,1.1,422400
KSK,20180308,1.2,1.2,1.0,1.2,49000
KSK,20180307,1.1,1.1,1.1,1.1,136300
KSK,20180306,1.1,1.2,1.1,1.1,201700
KSK,20180305,1.2,1.2,1.1,1.1,86000
KSK,20180302,1.1,1.2,1.1,1.2,13100
KSK,20180301,1.1,1.2,1.1,1.1,85630
KSK,20180228,1.1,1.2,1.1,1.1,137314
KSK,20180227,1.1,1.1,1.1,1.1,100320
KSK,20180226,1.1,1.2,1.1,1.2,103600
KSK,20180223,1.2,1.2,1.1,1.2,92500
KSK,20180222,1.1,1.2,1.1,1.1,103110
KSK,20180221,1.2,1.2,1.1,1.2,14500
KSK,20180213,1.1,1.2,1.1,1.2,276800
KSK,20180212,1.1,1.1,1.0,1.1,328200
KSK,20180209,1.1,1.1,1.0,1.1,36100
KSK,20180208,1.2,1.2,1.1,1.1,49100
KSK,20180207,1.1,1.2,1.1,1.2,35600
KSK,20180206,1.1,1.1,1.0,1.1,124630
KSK,20180205,1.2,1.2,1.1,1.1,293712
KSK,20180202,1.2,1.3,1.2,1.2,43100
KSK,20180201,1.2,1.2,1.2,1.2,193300
KSK,20180131,1.3,1.3,1.2,1.2,617700
KSK,20180130,1.2,1.3,1.2,1.3,163102
KSK,20180129,1.2,1.3,1.2,1.3,31810
KSK,20180126,1.3,1.3,1.2,1.3,44100
KSK,20180125,1.3,1.3,1.2,1.3,125200
KSK,20180122,1.2,1.3,1.2,1.3,69800
KSK,20180119,1.3,1.3,1.2,1.2,22900
KSK,20180118,1.3,1.3,1.2,1.3,58900
KSK,20180117,1.3,1.3,1.3,1.3,295380
KSK,20180116,1.3,1.4,1.3,1.3,418600
KSK,20180115,1.4,1.4,1.3,1.4,35600
KSK,20180112,1.3,1.4,1.3,1.4,339500
KSK,20180111,1.4,1.4,1.3,1.4,187000
KSK,20180110,1.3,1.4,1.3,1.4,298100
KSK,20180109,1.4,1.4,1.2,1.3,69900
KSK,20180108,1.3,1.4,1.2,1.3,87200
KSK,20180105,1.3,1.3,1.3,1.3,300300
KSK,20180104,1.3,1.4,1.3,1.4,134810
KSK,20180103,1.3,1.4,1.3,1.3,327900
KSK,20180102,1.3,1.4,1.2,1.4,191100
KSK,20171229,1.4,1.4,1.3,1.3,109800
