<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
KTS,20180713,24.3,24.3,24.3,24.3,200
KTS,20180712,,,,26.9,0
KTS,20180711,24.5,26.9,24.4,26.9,300
KTS,20180710,22.3,27.0,22.3,27.0,500
KTS,20180709,20.6,24.7,20.6,24.7,400
KTS,20180706,22.5,22.5,22.5,22.5,100
KTS,20180705,21.0,22.9,21.0,22.9,200
KTS,20180704,19.3,23.0,19.3,23.0,200
KTS,20180703,21.3,21.3,21.3,21.3,100
KTS,20180702,22.0,23.5,20.7,23.5,1200
KTS,20180629,20.0,22.9,20.0,22.9,200
KTS,20180628,22.1,22.1,22.1,22.1,1500
KTS,20180627,,,,24.5,0
KTS,20180626,,,,24.5,0
KTS,20180625,21.4,24.5,21.3,24.5,600
KTS,20180622,,,,23.6,0
KTS,20180621,,,,23.6,0
KTS,20180620,23.6,23.6,23.6,23.6,100
KTS,20180619,,,,24.1,0
KTS,20180618,24.1,24.1,24.1,24.1,100
KTS,20180615,,,,25.5,0
KTS,20180614,22.7,25.5,22.7,25.5,200
KTS,20180613,20.8,25.1,20.8,25.1,300
KTS,20180612,23.0,23.0,23.0,23.0,30
KTS,20180611,21.7,23.0,21.7,23.0,200
KTS,20180608,24.0,24.0,24.0,24.0,100
KTS,20180607,21.7,24.5,21.7,24.4,1400
KTS,20180606,22.5,24.0,22.5,24.0,600
KTS,20180605,23.0,23.0,22.0,22.5,1400
KTS,20180604,23.0,24.0,23.0,23.0,700
KTS,20180601,20.7,23.0,20.7,23.0,500
KTS,20180531,22.9,22.9,22.9,22.9,100
KTS,20180530,20.8,22.9,20.8,22.9,200
KTS,20180529,20.8,23.0,20.8,23.0,300
KTS,20180528,19.8,23.0,19.8,23.0,400
KTS,20180525,19.5,21.9,19.5,21.9,300
KTS,20180524,,,,21.5,0
KTS,20180523,21.5,21.5,21.5,21.5,200
KTS,20180522,21.5,21.5,21.5,21.5,100
KTS,20180521,20.9,21.0,20.9,21.0,200
KTS,20180518,23.1,23.1,23.1,23.1,300
KTS,20180517,21.0,21.0,21.0,21.0,30
KTS,20180516,21.0,21.0,21.0,21.0,1200
KTS,20180515,21.0,21.0,21.0,21.0,100
KTS,20180514,22.9,22.9,22.9,22.9,1100
KTS,20180511,23.0,25.4,22.7,25.4,2300
KTS,20180510,25.2,25.2,25.2,25.2,200
KTS,20180509,,,,27.9,0
KTS,20180508,24.3,27.9,24.3,27.9,1400
KTS,20180507,22.9,27.3,22.8,26.9,3300
KTS,20180504,21.0,25.3,21.0,25.3,500
KTS,20180503,23.2,23.2,23.2,23.2,100
KTS,20180502,18.2,22.2,18.2,22.2,1200
KTS,20180427,20.2,20.2,20.2,20.2,600
KTS,20180426,22.4,22.4,22.4,22.4,100
KTS,20180424,24.8,24.8,24.8,24.8,100
KTS,20180423,27.5,27.5,27.5,27.5,100
KTS,20180420,26.1,30.5,26.1,30.5,200
KTS,20180419,,,,29.0,0
KTS,20180418,29.3,29.3,27.4,29.0,300
KTS,20180417,27.4,27.4,27.4,27.4,200
KTS,20180416,24.5,26.2,24.5,26.2,900
KTS,20180413,25.4,25.4,24.5,24.5,1800
KTS,20180412,25.1,25.1,24.5,24.6,1100
KTS,20180411,24.5,25.0,22.7,25.0,2020
KTS,20180410,25.0,25.2,24.5,25.2,1300
KTS,20180409,21.7,25.0,21.7,25.0,1700
KTS,20180406,24.0,24.1,24.0,24.1,300
KTS,20180405,22.0,22.5,22.0,22.5,400
KTS,20180404,,,,21.0,0
KTS,20180403,20.0,21.0,20.0,21.0,800
KTS,20180402,20.6,20.6,20.6,20.6,100
KTS,20180330,,,,19.0,0
KTS,20180329,19.3,19.5,19.0,19.0,2000
KTS,20180328,20.0,20.0,20.0,20.0,100
KTS,20180327,20.1,20.1,20.1,20.1,200
KTS,20180326,20.1,20.1,20.1,20.1,100
KTS,20180323,21.1,21.1,21.1,21.1,100
KTS,20180322,23.4,23.4,23.4,23.4,100
KTS,20180321,22.0,24.0,22.0,24.0,400
KTS,20180320,22.1,24.4,22.1,24.4,200
KTS,20180319,22.5,24.5,22.5,24.5,300
KTS,20180316,22.5,22.5,22.5,22.5,1900
KTS,20180315,22.3,22.3,22.3,22.3,100
KTS,20180314,22.2,22.2,22.2,22.2,1000
KTS,20180313,22.1,23.1,21.8,23.1,1220
KTS,20180312,21.5,21.5,21.5,21.5,110
KTS,20180309,23.3,23.3,23.3,23.3,100
KTS,20180308,23.4,24.3,23.4,24.3,800
KTS,20180307,24.5,24.5,24.5,24.5,100
KTS,20180306,23.5,25.9,23.4,23.8,2700
KTS,20180305,22.9,26.0,22.9,26.0,200
KTS,20180302,25.4,25.4,25.4,25.4,700
KTS,20180301,25.6,28.2,25.6,28.2,1200
KTS,20180228,25.7,28.4,25.7,28.4,250
KTS,20180227,24.7,28.5,24.7,28.5,1100
KTS,20180226,26.0,27.4,26.0,27.4,1700
KTS,20180223,25.4,26.9,25.4,26.0,2200
KTS,20180222,,,,24.5,0
KTS,20180221,24.5,24.5,24.5,24.5,100
KTS,20180213,23.0,23.0,22.7,22.7,500
KTS,20180212,,,,22.6,0
KTS,20180209,24.5,24.5,22.3,22.6,1700
KTS,20180208,25.0,25.0,24.5,24.5,1700
KTS,20180207,25.0,25.0,24.5,24.5,350
KTS,20180206,24.3,24.5,21.8,23.5,4500
KTS,20180205,25.3,25.5,24.1,24.1,3800
KTS,20180202,26.9,28.6,24.3,26.6,700
KTS,20180201,,,,26.9,0
KTS,20180131,26.9,26.9,26.9,26.9,100
KTS,20180130,28.3,29.5,28.2,28.3,5400
KTS,20180129,,,,31.2,0
KTS,20180126,31.2,31.2,31.2,31.2,230
KTS,20180125,,,,32.0,0
KTS,20180122,,,,32.0,0
KTS,20180119,31.5,32.0,28.6,32.0,1800
KTS,20180118,31.5,31.5,31.5,31.5,100
KTS,20180117,33.5,33.5,30.0,30.3,600
KTS,20180116,34.0,34.0,31.9,31.9,305
KTS,20180115,,,,31.5,0
KTS,20180112,31.5,31.5,31.5,31.5,100
KTS,20180111,33.0,33.0,32.0,32.0,400
KTS,20180110,35.1,35.2,32.0,35.2,900
KTS,20180109,34.5,34.5,34.5,34.5,300
KTS,20180108,33.1,33.1,33.1,33.1,2500
KTS,20180105,,,,30.1,0
KTS,20180104,,,,30.1,0
KTS,20180103,31.5,31.5,30.1,30.1,3400
KTS,20180102,,,,28.7,0
KTS,20171229,,,,28.7,0
KTS,20171228,28.0,28.7,28.0,28.7,500
KTS,20171227,29.8,29.8,29.8,29.8,100
KTS,20171226,31.4,31.4,31.4,31.4,100
KTS,20171225,41.5,41.5,34.7,34.7,205
KTS,20171222,,,,38.5,0
KTS,20171221,36.4,38.5,36.4,38.5,700
KTS,20171220,34.6,36.4,34.6,36.4,1300
KTS,20171219,33.0,33.1,33.0,33.1,300
KTS,20171218,34.0,34.5,30.1,30.1,500
KTS,20171215,30.0,32.9,30.0,32.9,1700
KTS,20171214,30.0,30.0,30.0,30.0,300
KTS,20171213,30.0,30.0,30.0,30.0,100
KTS,20171212,29.7,29.7,29.7,29.7,100
KTS,20171211,32.0,32.1,32.0,32.1,800
KTS,20171208,,,,32.8,0
KTS,20171207,,,,32.8,0
KTS,20171206,27.4,32.8,27.4,32.8,3100
KTS,20171205,29.8,30.2,29.8,30.2,1500
KTS,20171204,33.0,33.0,33.0,33.0,150
KTS,20171201,,,,34.0,0
KTS,20171130,34.0,34.0,34.0,34.0,530
KTS,20171129,,,,34.0,0
KTS,20171128,34.0,34.0,34.0,34.0,200
KTS,20171127,33.0,33.0,33.0,33.0,300
KTS,20171124,,,,33.0,0
KTS,20171123,33.0,33.0,33.0,33.0,10
KTS,20171122,,,,33.0,0
KTS,20171121,33.0,33.0,33.0,33.0,30
KTS,20171120,,,,33.0,0
KTS,20171117,,,,33.0,0
KTS,20171116,,,,33.0,0
KTS,20171115,33.0,33.0,33.0,33.0,100
KTS,20171114,35.9,35.9,32.9,32.9,700
KTS,20171113,32.8,32.8,32.8,32.8,100
KTS,20171110,29.8,33.6,29.8,33.6,1400
KTS,20171109,32.6,32.6,32.5,32.5,600
KTS,20171108,31.3,32.9,31.3,32.5,2700
KTS,20171107,32.5,32.5,30.6,32.4,2800
KTS,20171106,32.1,32.5,32.1,32.5,3900
KTS,20171103,34.4,34.4,32.2,33.8,4710
KTS,20171102,36.6,36.6,34.4,34.4,790
KTS,20171101,37.4,37.4,34.1,34.9,3310
KTS,20171031,,,,37.4,0
KTS,20171030,38.0,38.0,37.1,37.4,3200
KTS,20171027,,,,37.8,0
KTS,20171026,37.7,37.8,37.7,37.8,1400
KTS,20171025,37.6,37.9,37.6,37.6,1000
KTS,20171024,36.0,40.4,36.0,40.4,1200
KTS,20171023,40.0,40.0,40.0,40.0,1000
KTS,20171020,38.1,41.8,38.1,41.8,1600
KTS,20171019,41.0,41.0,41.0,41.0,300
KTS,20171018,42.5,42.5,42.5,42.5,300
KTS,20171017,41.6,42.5,41.6,42.5,1400
KTS,20171016,41.0,41.0,40.1,40.1,1100
KTS,20171013,,,,39.6,0
KTS,20171012,39.1,41.5,39.1,39.6,2100
KTS,20171011,38.1,41.5,38.1,40.1,3100
KTS,20171010,,,,40.0,0
KTS,20171009,40.0,40.0,40.0,40.0,300
KTS,20171006,37.9,42.0,37.9,38.5,2300
KTS,20171005,37.3,42.1,37.3,42.1,200
KTS,20171004,,,,40.0,0
KTS,20171003,37.3,40.0,37.3,40.0,330
KTS,20171002,,,,40.1,0
KTS,20170929,38.6,40.1,38.6,40.1,300
KTS,20170928,38.2,42.6,38.2,42.5,1700
KTS,20170927,43.0,43.0,38.5,42.0,1200
KTS,20170926,42.0,42.0,42.0,42.0,100
KTS,20170925,,,,41.4,0
KTS,20170922,,,,41.4,0
KTS,20170921,38.5,43.6,38.5,41.4,2700
KTS,20170920,41.5,41.5,41.5,41.5,100
KTS,20170919,43.5,43.5,43.5,43.5,100
KTS,20170918,40.5,44.3,40.5,44.0,600
KTS,20170915,41.0,44.4,41.0,44.4,400
KTS,20170914,,,,43.5,0
KTS,20170913,44.0,44.0,43.0,43.5,3600
KTS,20170912,45.1,46.9,45.1,45.1,2600
KTS,20170911,46.0,46.9,46.0,46.9,500
KTS,20170908,46.0,46.0,45.5,45.5,5100
KTS,20170907,45.5,45.5,45.5,45.5,400
KTS,20170906,42.2,45.4,42.2,45.4,300
KTS,20170905,,,,46.4,0
KTS,20170901,,,,46.4,0
KTS,20170831,,,,46.4,0
KTS,20170830,,,,46.4,0
KTS,20170829,,,,46.4,0
KTS,20170828,46.4,46.4,46.4,46.4,200
KTS,20170825,,,,42.6,0
KTS,20170824,42.6,42.6,42.6,42.6,1000
KTS,20170823,44.0,44.0,44.0,44.0,1000
KTS,20170822,44.0,44.0,44.0,44.0,300
KTS,20170821,41.6,45.0,41.6,45.0,202
KTS,20170818,,,,45.0,0
KTS,20170817,44.0,45.0,44.0,45.0,1300
KTS,20170816,,,,44.0,0
KTS,20170815,44.0,44.0,44.0,44.0,200
KTS,20170814,,,,47.9,0
KTS,20170811,,,,47.9,0
KTS,20170810,45.5,47.9,45.5,47.9,600
KTS,20170809,44.4,45.1,44.4,45.1,710
KTS,20170808,49.0,49.0,49.0,49.0,20
KTS,20170807,,,,49.0,0
KTS,20170804,,,,49.0,0
KTS,20170803,49.0,49.0,49.0,49.0,100
KTS,20170802,47.0,47.0,47.0,47.0,1307
KTS,20170801,,,,47.0,0
KTS,20170731,,,,47.0,0
KTS,20170728,47.0,47.0,47.0,47.0,300
KTS,20170727,48.0,49.0,47.8,49.0,700
KTS,20170726,,,,52.8,0
KTS,20170725,,,,52.8,0
KTS,20170724,52.9,52.9,51.9,52.8,9400
KTS,20170721,49.0,49.5,48.3,48.3,2890
KTS,20170720,,,,53.6,0
KTS,20170719,,,,53.6,0
KTS,20170718,53.6,53.6,53.6,53.6,390
KTS,20170717,53.5,53.5,53.5,53.5,1300
KTS,20170714,50.6,54.0,50.5,53.0,11020
KTS,20170713,49.2,54.0,49.2,52.0,1100
KTS,20170712,50.6,50.6,50.6,50.6,200
KTS,20170711,53.0,53.0,51.5,51.5,4490
KTS,20170710,54.0,54.0,53.5,53.5,4000
KTS,20170707,55.0,55.0,54.0,54.0,4245
KTS,20170706,50.0,55.0,49.0,55.0,12100
KTS,20170705,48.5,50.0,48.0,50.0,8700
KTS,20170704,46.5,48.0,46.5,48.0,1600
KTS,20170703,46.5,46.5,46.5,46.5,10600
KTS,20170630,,,,46.5,0
KTS,20170629,46.5,46.5,46.5,46.5,1200
KTS,20170628,43.0,45.1,43.0,45.1,1100
KTS,20170627,,,,43.2,0
KTS,20170626,45.5,45.5,43.2,43.2,800
KTS,20170623,47.5,47.5,43.7,43.7,400
KTS,20170622,43.6,43.6,43.6,43.6,100
KTS,20170621,,,,48.0,0
KTS,20170620,48.0,48.0,48.0,48.0,100
KTS,20170619,47.5,47.5,47.5,47.5,500
KTS,20170616,48.0,48.0,46.3,47.7,2400
KTS,20170615,47.8,47.9,47.8,47.9,1000
KTS,20170614,,,,47.5,0
KTS,20170613,47.5,47.5,47.5,47.5,900
KTS,20170612,47.0,48.0,47.0,47.0,1930
KTS,20170609,46.3,48.0,46.3,48.0,2210
KTS,20170608,47.5,47.5,47.5,47.5,10
KTS,20170607,47.5,47.5,47.5,47.5,100
KTS,20170606,47.5,47.5,47.5,47.5,40
KTS,20170605,47.5,47.5,47.5,47.5,1000
KTS,20170602,,,,47.5,0
KTS,20170601,48.7,48.7,47.5,47.5,500
KTS,20170531,48.4,48.5,48.4,48.5,1000
KTS,20170530,48.2,48.2,48.2,48.2,700
KTS,20170529,,,,46.5,0
KTS,20170526,45.0,46.5,45.0,46.5,600
KTS,20170525,45.0,45.0,44.5,44.5,700
KTS,20170524,,,,44.1,0
KTS,20170523,44.2,44.2,44.1,44.1,1310
KTS,20170522,,,,45.0,0
KTS,20170519,43.1,45.0,43.0,45.0,800
KTS,20170518,45.2,45.2,44.0,44.5,1710
KTS,20170517,45.0,46.3,45.0,46.3,1400
KTS,20170516,46.2,46.3,46.1,46.3,1100
KTS,20170515,46.1,49.0,46.0,48.9,2200
KTS,20170512,46.0,49.7,46.0,49.0,7200
KTS,20170511,,,,49.1,0
KTS,20170510,49.1,49.1,49.1,49.1,100
KTS,20170509,,,,50.0,0
KTS,20170508,50.9,50.9,49.6,50.0,7330
KTS,20170505,49.2,50.9,49.2,50.9,4300
KTS,20170504,50.0,50.0,49.2,49.2,4400
KTS,20170503,47.1,49.5,47.1,49.5,3930
KTS,20170428,47.1,47.1,47.1,47.1,400
KTS,20170427,49.0,49.0,48.2,48.5,3400
KTS,20170426,51.0,51.0,49.1,49.1,4300
KTS,20170425,55.7,55.7,51.0,51.0,1000
KTS,20170424,49.0,51.0,49.0,50.8,9720
KTS,20170421,52.9,52.9,47.7,49.0,7724
KTS,20170420,49.0,52.9,48.0,52.9,2600
KTS,20170419,55.0,56.9,48.0,49.0,13650
KTS,20170418,51.8,51.8,51.8,51.8,8663
KTS,20170417,46.8,47.1,46.8,47.1,4710
KTS,20170414,40.4,42.9,40.4,42.9,12210
KTS,20170413,38.1,39.0,38.0,39.0,3713
KTS,20170412,38.0,38.0,37.0,38.0,6400
KTS,20170411,,,,38.0,0
KTS,20170410,38.0,38.0,37.9,38.0,7020
KTS,20170407,37.8,46.0,37.8,40.5,523
KTS,20170405,43.1,43.1,36.0,41.9,300
KTS,20170404,36.5,40.6,36.5,40.0,3400
KTS,20170403,40.5,40.5,40.5,40.5,200
KTS,20170331,,,,40.0,0
KTS,20170330,40.0,40.0,40.0,40.0,900
KTS,20170329,,,,39.0,0
KTS,20170328,39.5,39.5,39.0,39.0,500
KTS,20170327,42.2,42.2,40.0,40.0,600
KTS,20170324,41.9,41.9,41.9,41.9,100
KTS,20170323,,,,40.0,0
KTS,20170322,39.6,41.1,39.6,40.0,3200
KTS,20170321,39.5,39.6,39.5,39.6,2100
KTS,20170320,38.6,38.6,38.6,38.6,3600
KTS,20170317,38.5,38.5,38.5,38.5,1900
KTS,20170316,38.5,38.5,38.5,38.5,4800
KTS,20170315,,,,38.6,0
KTS,20170314,38.6,38.6,38.6,38.6,500
KTS,20170313,40.4,40.4,38.6,38.6,200
KTS,20170310,38.6,38.6,38.6,38.6,900
KTS,20170309,42.0,42.0,42.0,42.0,100
KTS,20170308,38.5,38.5,38.5,38.5,700
KTS,20170307,38.3,38.3,38.3,38.3,10
KTS,20170306,38.3,38.3,38.3,38.3,1010
KTS,20170303,39.0,39.0,38.0,38.0,2500
KTS,20170302,38.9,38.9,38.9,38.9,100
KTS,20170301,43.7,43.7,38.9,38.9,1703
KTS,20170228,39.8,39.8,39.8,39.8,20
KTS,20170227,40.4,40.4,39.8,39.8,1600
KTS,20170224,40.5,40.7,40.5,40.5,2020
KTS,20170223,40.3,40.6,40.2,40.5,2900
KTS,20170222,40.5,40.7,40.5,40.5,7000
KTS,20170221,40.8,40.8,40.5,40.6,4500
