<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
KVC,20180713,1.5,1.5,1.4,1.4,226300
KVC,20180712,1.6,1.6,1.4,1.5,41800
KVC,20180711,1.6,1.6,1.5,1.5,181600
KVC,20180710,1.6,1.6,1.5,1.6,121500
KVC,20180709,1.6,1.6,1.5,1.6,146900
KVC,20180706,1.5,1.6,1.5,1.6,347700
KVC,20180705,1.6,1.7,1.5,1.5,290200
KVC,20180704,1.6,1.7,1.5,1.6,275300
KVC,20180703,1.6,1.7,1.6,1.6,271500
KVC,20180702,1.8,1.8,1.7,1.7,301420
KVC,20180629,1.7,1.8,1.7,1.8,210900
KVC,20180628,1.7,1.8,1.6,1.7,175900
KVC,20180627,1.8,1.8,1.7,1.7,1138603
KVC,20180626,1.8,1.8,1.7,1.8,169000
KVC,20180625,1.8,1.8,1.7,1.8,152700
KVC,20180622,1.8,1.8,1.7,1.8,138870
KVC,20180621,1.9,1.9,1.7,1.8,272530
KVC,20180620,1.7,1.8,1.7,1.8,306410
KVC,20180619,1.7,1.8,1.7,1.7,750500
KVC,20180618,1.8,1.9,1.7,1.8,243000
KVC,20180615,1.8,1.9,1.8,1.8,212300
KVC,20180614,1.8,1.9,1.7,1.9,237000
KVC,20180613,1.8,1.9,1.8,1.8,389900
KVC,20180612,1.8,1.9,1.8,1.9,224100
KVC,20180611,1.9,1.9,1.8,1.8,556300
KVC,20180608,1.9,2.0,1.8,1.9,131500
KVC,20180607,1.9,2.0,1.8,1.9,205500
KVC,20180606,2.0,2.0,1.8,2.0,409900
KVC,20180605,2.1,2.1,1.9,2.0,595679
KVC,20180604,2.0,2.0,2.0,2.0,777600
KVC,20180601,1.9,1.9,1.9,1.9,511812
KVC,20180531,1.7,1.8,1.7,1.8,412660
KVC,20180530,1.7,1.8,1.6,1.7,227766
KVC,20180529,1.7,1.8,1.7,1.7,202515
KVC,20180528,1.8,1.9,1.7,1.7,292600
KVC,20180525,1.9,1.9,1.8,1.8,387000
KVC,20180524,1.9,2.0,1.8,1.9,94900
KVC,20180523,2.0,2.0,1.8,1.9,94512
KVC,20180522,2.0,2.0,1.9,1.9,458700
KVC,20180521,2.1,2.1,1.9,2.0,127968
KVC,20180518,2.0,2.1,1.9,2.0,263100
KVC,20180517,2.0,2.1,1.9,2.0,210600
KVC,20180516,2.1,2.1,2.0,2.0,255500
KVC,20180515,2.0,2.1,2.0,2.1,183600
KVC,20180514,2.1,2.1,2.0,2.1,29600
KVC,20180511,2.1,2.1,2.0,2.0,275700
KVC,20180510,2.0,2.2,2.0,2.1,205200
KVC,20180509,2.1,2.2,2.0,2.1,241880
KVC,20180508,2.0,2.2,2.0,2.1,494600
KVC,20180507,2.0,2.1,2.0,2.0,148110
KVC,20180504,2.1,2.1,2.0,2.0,140830
KVC,20180503,2.1,2.2,2.0,2.0,1056900
KVC,20180502,2.3,2.3,2.1,2.2,151700
KVC,20180427,2.2,2.3,2.1,2.2,304600
KVC,20180426,2.4,2.4,2.2,2.2,963000
KVC,20180424,2.4,2.5,2.4,2.4,370200
KVC,20180423,2.6,2.6,2.4,2.5,248500
KVC,20180420,2.5,2.6,2.5,2.5,255500
KVC,20180419,2.6,2.6,2.4,2.5,274800
KVC,20180418,2.5,2.6,2.4,2.6,198200
KVC,20180417,2.5,2.6,2.4,2.5,277200
KVC,20180416,2.5,2.6,2.4,2.5,582410
KVC,20180413,2.6,2.6,2.5,2.5,185940
KVC,20180412,2.6,2.6,2.5,2.6,118500
KVC,20180411,2.7,2.7,2.5,2.5,506300
KVC,20180410,2.7,2.8,2.6,2.7,351900
KVC,20180409,2.7,2.7,2.6,2.7,207600
KVC,20180406,2.6,2.7,2.6,2.7,1799050
KVC,20180405,2.5,2.6,2.4,2.5,176000
KVC,20180404,2.6,2.6,2.4,2.5,471400
KVC,20180403,2.5,2.6,2.5,2.6,155967
KVC,20180402,2.6,2.6,2.5,2.6,198100
KVC,20180330,2.7,2.7,2.5,2.5,947900
KVC,20180329,2.7,2.7,2.5,2.6,116201
KVC,20180328,2.6,2.7,2.6,2.6,447900
KVC,20180327,2.7,2.8,2.6,2.7,141504
KVC,20180326,2.6,2.7,2.6,2.7,539800
KVC,20180323,2.7,2.7,2.5,2.5,1242600
KVC,20180322,2.8,2.8,2.6,2.7,295819
KVC,20180321,2.7,2.8,2.6,2.8,251500
KVC,20180320,2.8,2.8,2.7,2.7,293100
KVC,20180319,2.8,2.9,2.7,2.8,91220
KVC,20180316,2.9,2.9,2.7,2.8,459600
KVC,20180315,2.9,2.9,2.8,2.9,969300
KVC,20180314,2.9,3.0,2.9,2.9,294896
KVC,20180313,2.9,3.0,2.8,2.9,610300
KVC,20180312,2.8,2.9,2.7,2.8,981219
KVC,20180309,2.8,2.9,2.7,2.7,217266
KVC,20180308,2.8,2.8,2.7,2.8,229700
KVC,20180307,2.6,2.9,2.6,2.8,460300
KVC,20180306,2.6,2.7,2.6,2.7,56500
KVC,20180305,2.6,2.8,2.6,2.7,95600
KVC,20180302,2.7,2.8,2.6,2.7,137810
KVC,20180301,2.6,2.8,2.6,2.7,287000
KVC,20180228,2.6,2.7,2.6,2.6,26310
KVC,20180227,2.7,2.7,2.6,2.7,98620
KVC,20180226,2.7,2.8,2.6,2.7,100500
KVC,20180223,2.7,2.8,2.7,2.7,165700
KVC,20180222,2.7,2.8,2.7,2.7,181500
KVC,20180221,2.7,2.8,2.6,2.7,111500
KVC,20180213,2.6,2.7,2.6,2.7,83800
KVC,20180212,2.6,2.7,2.5,2.7,48790
KVC,20180209,2.6,2.6,2.4,2.6,383750
KVC,20180208,2.7,2.7,2.5,2.6,35100
KVC,20180207,2.5,2.7,2.5,2.6,299700
KVC,20180206,2.6,2.7,2.5,2.5,865030
KVC,20180205,2.7,2.8,2.6,2.7,268000
KVC,20180202,2.7,2.8,2.6,2.7,75410
KVC,20180201,2.8,2.8,2.7,2.7,435000
KVC,20180131,2.8,2.9,2.7,2.8,277700
KVC,20180130,2.7,2.9,2.7,2.8,302432
KVC,20180129,2.8,2.9,2.7,2.8,286703
KVC,20180126,2.9,2.9,2.7,2.9,776700
KVC,20180125,3.0,3.0,2.8,2.9,454650
KVC,20180122,2.8,2.9,2.8,2.8,477710
KVC,20180119,2.8,2.8,2.7,2.8,104310
KVC,20180118,2.8,2.8,2.7,2.7,119170
KVC,20180117,2.8,2.9,2.7,2.7,85016
KVC,20180116,2.9,2.9,2.7,2.9,125126
KVC,20180115,2.8,2.9,2.8,2.9,362429
KVC,20180112,2.9,2.9,2.8,2.9,257408
KVC,20180111,2.9,2.9,2.8,2.9,525100
KVC,20180110,2.8,2.9,2.7,2.8,359960
KVC,20180109,2.9,2.9,2.7,2.8,236000
KVC,20180108,2.7,2.9,2.7,2.9,240100
KVC,20180105,2.8,2.9,2.7,2.8,136522
KVC,20180104,2.8,2.9,2.7,2.8,203300
KVC,20180103,2.8,2.8,2.7,2.8,141500
KVC,20180102,2.9,2.9,2.7,2.7,335640
KVC,20171229,2.7,2.9,2.7,2.9,210500
KVC,20171228,2.6,2.8,2.6,2.8,323000
KVC,20171227,2.8,2.8,2.7,2.7,116900
