<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
L14,20180713,30.0,35.2,30.0,35.2,48700
L14,20180712,31.8,32.5,31.0,32.0,33800
L14,20180711,34.0,34.2,31.0,31.5,29160
L14,20180710,35.2,35.5,34.2,34.2,7130
L14,20180709,34.1,36.0,34.1,34.8,66930
L14,20180706,33.0,34.6,33.0,34.5,20510
L14,20180705,36.2,36.3,33.0,33.0,54110
L14,20180704,36.0,36.5,34.5,36.0,28212
L14,20180703,35.0,38.0,35.0,35.6,85200
L14,20180702,36.0,36.0,34.0,35.6,73700
L14,20180629,32.5,35.7,32.5,35.7,83170
L14,20180628,31.5,34.0,28.5,32.5,99300
L14,20180627,36.0,36.0,31.5,31.5,123419
L14,20180626,37.6,37.6,33.8,35.0,116160
L14,20180625,38.0,40.4,37.5,37.5,72700
L14,20180622,40.3,41.0,38.4,38.5,75800
L14,20180621,42.2,42.2,40.3,40.5,42820
L14,20180620,42.0,43.0,40.0,42.2,50930
L14,20180619,44.9,45.5,40.1,42.2,152902
L14,20180618,43.4,47.0,42.0,44.5,148200
L14,20180615,43.4,44.8,42.0,44.5,99030
L14,20180614,45.0,45.0,43.0,43.9,62520
L14,20180613,46.2,47.5,44.0,44.5,146279
L14,20180612,47.5,47.5,45.0,46.5,17800
L14,20180611,46.0,48.0,46.0,47.5,30150
L14,20180608,44.8,46.9,44.8,46.1,16173
L14,20180607,45.0,47.2,44.5,44.9,26300
L14,20180606,42.5,45.0,42.5,44.6,29100
L14,20180605,43.0,43.5,42.0,42.8,13400
L14,20180604,43.5,43.5,42.6,43.4,26400
L14,20180601,43.0,43.8,42.1,43.6,17215
L14,20180531,41.2,43.5,41.0,43.5,15000
L14,20180530,41.8,42.8,41.0,42.4,9700
L14,20180529,35.7,43.5,35.7,40.1,42210
L14,20180528,45.3,45.3,39.6,39.6,18800
L14,20180525,45.4,45.4,44.0,44.0,45000
L14,20180524,45.3,45.3,44.3,45.0,11600
L14,20180523,39.8,44.9,39.8,44.8,17100
L14,20180522,45.0,45.0,43.0,44.2,21100
L14,20180521,44.4,45.0,44.2,44.3,8220
L14,20180518,45.5,46.0,44.1,44.1,17000
L14,20180517,47.0,47.5,46.0,46.0,13000
L14,20180516,46.1,48.5,46.0,47.4,24810
L14,20180515,41.0,47.3,41.0,47.3,107070
L14,20180514,40.2,44.6,40.2,43.0,32000
L14,20180511,44.0,45.7,44.0,44.6,20530
L14,20180510,45.9,45.9,44.2,45.9,19100
L14,20180509,45.0,46.9,45.0,45.9,23100
L14,20180508,47.0,47.0,44.2,45.9,18800
L14,20180507,46.9,46.9,44.0,46.9,27550
L14,20180504,45.5,46.9,44.0,46.0,38200
L14,20180503,47.2,47.2,41.0,45.9,48740
L14,20180502,49.5,50.0,45.0,45.0,62700
L14,20180427,49.0,49.0,47.8,49.0,18933
L14,20180426,48.8,51.0,46.0,48.5,67101
L14,20180424,50.5,50.5,47.0,47.0,123630
L14,20180423,58.0,58.0,52.2,52.2,133750
L14,20180420,58.0,59.9,57.0,58.0,31120
L14,20180419,60.1,60.1,56.0,59.0,105300
L14,20180418,61.3,63.0,60.0,60.0,28548
L14,20180417,62.7,62.7,61.3,61.3,8391
L14,20180416,62.5,63.0,61.1,62.9,56545
L14,20180413,62.6,63.0,61.5,62.9,24514
L14,20180412,61.5,62.5,61.5,62.5,23025
L14,20180411,64.0,65.0,62.1,62.1,39855
L14,20180410,66.9,67.0,64.0,64.9,39340
L14,20180409,65.8,67.0,63.0,66.3,57550
L14,20180406,62.6,66.0,62.6,65.5,115005
L14,20180405,64.0,64.5,62.5,62.9,85655
L14,20180404,64.9,65.2,64.0,64.1,56578
L14,20180403,65.0,65.0,63.5,64.9,80310
L14,20180402,63.8,65.3,61.1,64.5,72980
L14,20180330,60.8,64.5,60.8,63.6,46521
L14,20180329,63.0,64.0,59.5,62.7,62430
L14,20180328,65.0,66.3,59.0,62.0,102500
L14,20180327,63.0,65.0,63.0,64.5,58110
L14,20180326,60.1,63.0,60.0,62.5,70208
L14,20180323,58.0,60.0,57.0,60.0,95510
L14,20180322,57.6,59.4,57.6,59.0,67550
L14,20180321,56.9,58.0,56.7,57.0,24849
L14,20180320,57.0,57.5,56.0,56.7,37701
L14,20180319,57.5,57.9,56.5,57.5,51973
L14,20180316,56.0,58.1,56.0,57.4,74100
L14,20180315,56.5,58.5,55.6,56.0,23392
L14,20180314,53.0,58.2,50.0,55.9,171735
L14,20180313,58.0,58.0,53.0,53.0,85600
L14,20180312,60.8,60.8,57.5,57.5,28208
L14,20180309,61.6,62.0,59.9,60.0,37390
L14,20180308,59.0,61.5,58.8,61.0,75400
L14,20180307,60.5,62.9,58.0,59.8,79449
L14,20180306,56.5,61.0,55.1,60.5,69548
L14,20180305,57.9,58.9,56.5,56.7,73820
L14,20180302,57.7,58.1,49.4,57.9,83750
L14,20180301,54.0,54.8,52.1,54.8,89462
L14,20180228,50.87,50.87,48.37,49.9,97039
L14,20180227,48.03,50.01,48.03,49.56,56590
L14,20180226,44.9,47.74,44.33,47.23,70628
L14,20180223,43.2,43.76,42.06,43.65,38374
L14,20180222,44.33,44.33,42.63,43.48,14370
L14,20180221,44.22,44.9,43.19,44.22,22924
L14,20180213,44.79,44.79,42.06,44.16,6410
L14,20180212,44.34,44.34,41.55,43.14,4750
L14,20180209,40.35,44.56,40.35,41.55,25060
L14,20180208,41.49,45.36,39.79,41.66,17250
L14,20180207,40.64,46.04,40.64,44.05,23510
L14,20180206,43.76,43.76,40.35,42.63,32050
L14,20180205,46.6,47.17,44.44,44.44,23900
L14,20180202,47.51,47.62,46.88,47.17,25764
L14,20180201,48.31,48.31,46.38,47.51,35000
L14,20180131,47.74,48.02,46.89,47.63,39233
L14,20180130,47.17,48.31,46.72,47.74,31830
L14,20180129,49.45,51.1,47.74,48.31,15111
L14,20180126,48.88,49.45,47.74,49.45,24450
L14,20180125,51.09,51.09,48.87,48.88,21860
L14,20180122,52.86,53.99,51.49,52.23,40125
L14,20180119,50.81,51.44,50.58,51.38,26199
L14,20180118,50.69,51.72,49.22,50.81,25750
L14,20180117,48.31,52.57,48.31,50.92,106840
L14,20180116,47.97,49.45,47.97,49.16,31032
L14,20180115,46.6,48.02,46.6,47.97,46300
L14,20180112,45.75,46.6,45.35,46.26,35100
L14,20180111,46.6,46.6,40.92,45.69,20200
L14,20180110,46.32,46.32,44.33,45.41,14690
L14,20180109,44.9,46.55,43.76,45.75,30710
L14,20180108,45.13,45.13,43.76,44.33,10140
L14,20180105,44.05,44.9,43.25,44.33,5112
L14,20180104,44.61,45.18,43.87,43.88,28830
L14,20180103,45.36,45.41,44.33,45.35,9320
L14,20180102,44.89,46.49,44.89,45.47,2030
L14,20171229,44.73,45.36,44.45,44.44,6800
L14,20171228,44.62,46.21,44.33,45.47,24920
L14,20171227,45.98,46.32,44.33,46.04,27905
L14,20171226,46.1,47.12,45.76,46.15,15773
L14,20171225,46.09,47.45,46.09,47.29,14612
L14,20171222,46.66,47.74,46.04,47.17,30100
L14,20171221,45.47,47.06,44.33,47.06,45373
L14,20171220,45.35,45.75,44.61,45.47,19031
L14,20171219,45.47,45.58,44.33,45.58,14540
L14,20171218,44.33,45.47,43.19,45.47,23432
L14,20171215,44.62,45.13,43.77,44.9,20350
L14,20171214,44.38,44.89,44.33,44.79,4400
L14,20171213,44.39,45.75,44.05,44.61,10300
L14,20171212,44.39,45.18,44.05,45.07,18041
L14,20171211,44.61,44.89,44.04,44.9,19510
L14,20171208,44.61,45.92,44.61,44.61,10940
L14,20171207,47.46,47.46,45.18,45.18,18809
L14,20171206,47.68,48.19,45.46,47.06,51400
L14,20171205,46.94,48.02,46.6,47.68,38744
L14,20171204,46.1,48.03,46.1,47.34,25128
L14,20171201,46.66,48.02,44.33,47.12,45173
L14,20171130,47.74,48.02,46.32,47.17,29316
L14,20171129,44.39,46.32,44.33,46.26,28839
L14,20171128,43.14,46.04,43.14,44.9,35789
L14,20171127,42.74,43.19,41.49,43.14,41330
L14,20171124,41.55,43.2,41.55,43.08,20996
L14,20171123,41.26,43.2,41.26,42.23,43648
L14,20171122,41.55,41.95,40.92,41.89,31900
L14,20171121,40.92,42.06,40.92,41.89,16200
L14,20171120,40.24,41.49,40.24,40.92,18091
L14,20171117,40.07,41.21,40.07,40.47,12514
L14,20171116,41.49,41.49,39.84,40.07,31045
L14,20171115,41.49,42.06,40.64,41.72,32724
L14,20171114,42.06,43.08,40.92,42.06,18674
L14,20171113,43.19,44.04,40.98,42.57,28755
L14,20171110,42.23,42.57,41.78,42.51,7370
L14,20171109,42.06,42.23,41.26,42.23,10700
L14,20171108,41.54,42.62,40.92,42.06,11655
L14,20171107,42.63,43.14,41.49,42.51,10320
L14,20171106,43.65,44.33,41.49,43.31,68300
L14,20171103,42.62,43.76,40.69,43.59,43916
L14,20171102,43.99,44.05,42.34,43.19,16150
L14,20171101,44.9,45.13,43.19,44.22,20150
L14,20171031,42.06,45.02,38.65,44.33,44188
L14,20171030,46.6,46.6,41.77,42.06,41588
L14,20171027,45.98,46.38,45.47,46.26,11700
L14,20171026,47.46,48.48,45.47,46.55,31000
L14,20171025,46.03,47.45,46.03,47.06,27676
L14,20171024,45.47,46.89,44.9,46.6,25805
L14,20171023,47.62,47.62,45.46,45.47,30800
L14,20171020,46.04,48.31,46.04,47.68,50210
L14,20171019,47.17,47.97,46.89,46.95,6756
L14,20171018,48.2,48.2,47.18,47.4,27810
L14,20171017,48.31,48.31,47.46,48.2,17100
L14,20171016,49.11,49.28,47.63,48.31,21704
L14,20171013,48.02,48.59,46.6,48.31,43100
L14,20171012,48.71,48.82,47.17,47.57,32809
L14,20171011,49.27,49.67,47.91,48.65,13826
L14,20171010,47.28,48.93,47.28,48.76,52474
L14,20171009,46.55,47.74,46.03,47.17,45730
L14,20171006,45.92,46.32,45.92,45.92,27375
L14,20171005,46.04,46.32,45.58,45.98,15360
L14,20171004,43.76,46.04,43.76,45.98,22986
L14,20171003,46.55,46.61,44.33,44.9,81055
L14,20171002,47.17,47.17,45.46,46.55,26520
L14,20170929,45.41,47.17,45.07,46.26,12508
L14,20170928,44.9,45.18,44.33,45.18,33550
L14,20170927,45.24,45.24,44.33,44.9,9888
L14,20170926,46.03,46.6,44.33,44.5,37950
L14,20170925,46.6,48.25,46.6,46.6,11547
L14,20170922,48.02,51.15,46.6,46.6,43164
L14,20170921,41.77,47.57,41.49,47.57,97681
L14,20170920,43.25,44.33,42.34,43.25,29940
L14,20170919,42.23,44.05,39.79,43.25,49300
L14,20170918,46.04,46.04,42.23,42.23,138720
L14,20170915,47.74,51.15,46.03,46.89,27363
L14,20170914,50.86,51.66,46.55,47.68,48432
L14,20170913,51.15,52.57,50.58,51.66,44289
L14,20170912,52.28,52.57,51.15,52.34,22010
L14,20170911,52.86,53.43,50.3,52.0,20114
L14,20170908,51.72,52.29,48.88,51.95,44222
L14,20170907,51.83,52.85,51.15,51.78,21398
L14,20170906,54.56,54.56,51.15,53.42,26610
L14,20170905,52.12,55.58,51.72,54.56,47657
L14,20170901,46.6,51.26,46.6,51.15,26117
L14,20170831,45.47,47.85,44.27,46.6,114160
L14,20170830,54.73,55.13,49.16,49.16,55534
L14,20170829,54.62,55.7,51.21,54.62,75310
L14,20170828,49.73,54.56,48.88,54.56,101998
L14,20170825,47.01,50.02,47.01,49.62,47420
L14,20170824,45.13,48.26,45.13,46.95,43300
L14,20170823,44.33,45.35,43.76,45.13,27264
L14,20170822,41.09,45.58,41.09,44.33,83400
L14,20170821,40.81,41.61,39.79,41.49,26100
L14,20170818,40.46,42.62,40.46,40.81,138160
L14,20170817,38.65,40.92,38.59,40.69,45869
L14,20170816,36.88,38.65,36.37,38.59,34100
L14,20170815,36.94,37.05,34.95,36.77,88204
L14,20170814,35.24,37.51,34.84,36.94,51453
L14,20170811,35.58,35.75,34.72,35.75,25010
L14,20170810,35.52,35.8,34.67,35.52,19700
L14,20170809,35.29,36.2,34.67,35.35,37400
L14,20170808,35.24,35.52,34.1,35.35,74700
L14,20170807,35.41,37.97,34.1,34.33,78200
L14,20170804,35.35,35.35,34.1,34.67,43200
L14,20170803,35.81,35.81,34.05,34.1,56200
L14,20170802,35.75,36.14,34.67,35.58,9900
L14,20170801,34.73,35.86,34.73,35.69,25100
L14,20170731,36.21,36.26,34.67,35.41,16700
L14,20170728,35.01,36.95,33.82,36.32,73500
L14,20170727,34.21,35.8,33.81,35.81,17200
L14,20170726,34.16,34.5,33.82,33.87,7210
L14,20170725,34.38,34.44,34.1,34.27,13640
L14,20170724,34.61,34.67,33.7,34.1,11800
L14,20170721,34.9,36.89,34.67,34.67,27500
L14,20170720,33.25,35.24,32.68,34.56,11286
L14,20170719,35.12,35.12,32.39,33.19,20900
L14,20170718,35.24,35.92,34.67,34.95,32905
L14,20170717,35.81,36.26,34.21,36.09,16916
L14,20170714,34.67,36.94,34.67,36.09,32300
L14,20170713,34.56,34.73,34.1,34.61,17431
L14,20170712,34.1,35.24,33.76,34.5,37336
L14,20170711,32.4,32.91,32.12,32.28,21300
L14,20170710,32.9,33.42,31.26,32.4,34110
L14,20170707,33.81,34.04,32.39,32.79,51072
L14,20170706,31.26,34.1,31.26,33.87,30110
L14,20170705,31.54,31.83,31.03,31.26,27510
L14,20170704,32.96,33.31,31.83,32.17,46775
L14,20170703,30.12,32.67,30.12,32.68,88840
L14,20170630,27.56,29.72,27.16,29.72,96312
L14,20170629,27.09,27.21,26.34,27.05,32845
L14,20170628,26.53,26.98,25.77,26.98,42200
L14,20170627,26.71,27.58,26.33,26.98,17184
L14,20170626,27.28,27.85,26.75,27.28,23370
L14,20170623,25.77,26.72,25.77,26.71,25830
L14,20170622,25.2,26.15,25.2,25.58,31110
L14,20170621,25.0,25.27,25.0,25.2,13150
L14,20170620,24.63,25.31,24.44,25.23,16031
L14,20170619,24.63,24.63,24.36,24.36,14915
L14,20170616,24.82,24.82,24.25,24.55,12400
L14,20170615,24.67,24.67,24.1,24.63,14300
L14,20170614,24.63,24.82,24.44,24.63,8600
L14,20170613,24.33,25.2,24.33,24.44,23020
L14,20170612,24.7,24.7,24.25,24.29,12200
L14,20170609,25.58,25.58,24.63,24.7,10500
L14,20170608,25.69,25.69,24.66,25.54,17433
L14,20170607,25.62,26.45,24.9,25.61,57208
L14,20170606,25.57,25.57,24.62,25.58,22875
L14,20170605,25.77,25.88,24.67,25.04,19086
L14,20170602,25.31,26.14,24.25,25.01,30600
L14,20170601,25.35,25.35,24.25,24.89,11700
L14,20170531,25.01,25.39,24.25,24.93,10104
L14,20170530,24.82,25.01,24.06,25.01,12939
L14,20170529,25.35,25.84,24.63,24.97,11505
L14,20170526,24.13,26.14,24.06,24.25,25424
L14,20170525,23.31,24.25,22.74,23.83,26200
L14,20170524,22.77,23.45,22.35,23.42,24606
L14,20170523,23.11,23.87,22.92,23.49,17000
L14,20170522,23.11,23.49,21.98,22.73,24020
L14,20170519,23.68,23.68,21.33,23.38,16400
L14,20170518,23.49,23.68,23.11,23.68,9500
L14,20170517,23.49,23.87,23.11,23.68,15200
L14,20170516,23.11,23.49,23.11,23.49,9300
L14,20170515,23.87,23.87,23.11,23.11,18601
L14,20170512,23.68,24.21,23.68,24.17,3206
L14,20170511,24.25,24.25,23.3,23.68,900
L14,20170510,24.25,24.25,23.3,23.87,23900
L14,20170509,24.48,24.48,24.25,24.25,5920
L14,20170508,25.0,25.0,24.24,24.97,13637
L14,20170505,24.67,25.77,24.36,25.04,32900
L14,20170504,26.9,26.9,24.21,24.78,38800
L14,20170503,27.28,27.28,24.63,25.76,20200
L14,20170428,26.33,26.9,25.76,26.9,16300
L14,20170427,26.52,27.35,25.95,26.48,26286
L14,20170426,26.52,27.28,25.76,26.14,10050
L14,20170425,25.58,27.47,25.39,25.76,12540
L14,20170424,25.31,25.31,24.52,25.01,12620
L14,20170421,26.33,26.33,24.62,25.39,20601
L14,20170420,27.13,28.19,25.99,26.14,38624
L14,20170419,26.14,27.28,25.69,27.13,23043
L14,20170418,25.42,26.52,25.38,26.14,16840
L14,20170417,25.68,25.95,25.31,25.95,13656
L14,20170414,24.48,26.45,24.48,25.76,26020
L14,20170413,24.25,25.57,24.25,25.39,14125
L14,20170412,23.79,24.25,23.42,24.21,20570
L14,20170411,23.68,24.17,23.11,23.87,26668
L14,20170410,24.21,24.21,22.92,23.68,12800
L14,20170407,22.16,23.45,22.16,22.77,11800
L14,20170405,22.73,23.45,22.73,23.45,3400
L14,20170404,22.54,23.49,22.05,23.11,14500
L14,20170403,23.11,23.11,22.54,23.07,17100
L14,20170331,22.96,23.11,22.73,22.73,12400
L14,20170330,22.73,25.0,22.69,23.68,21143
L14,20170329,23.49,23.95,22.74,22.73,24100
L14,20170328,23.49,24.44,23.49,24.1,8385
L14,20170327,23.49,25.38,23.49,23.49,12780
L14,20170324,21.64,24.25,21.64,23.49,17927
L14,20170323,23.11,23.11,21.22,22.13,27260
L14,20170322,23.68,23.68,22.92,23.3,21550
L14,20170321,25.01,25.01,23.68,24.55,4355
L14,20170320,25.01,26.11,22.81,24.63,54477
L14,20170317,25.84,26.1,24.62,25.01,21540
L14,20170316,26.15,26.15,25.01,25.76,29200
L14,20170315,24.9,26.34,24.9,26.07,27154
L14,20170314,25.19,26.52,24.24,25.39,68580
L14,20170313,26.52,27.96,24.85,26.48,68795
L14,20170310,24.25,26.14,24.25,26.14,42637
L14,20170309,22.73,24.36,22.73,23.87,44414
L14,20170308,22.2,22.65,21.71,22.62,30485
L14,20170307,21.98,22.28,20.84,22.2,15557
L14,20170306,21.21,22.16,21.21,21.98,16520
L14,20170303,21.07,21.6,20.31,21.1,8225
L14,20170302,21.48,22.69,21.03,21.41,12841
L14,20170301,21.71,21.71,20.84,21.48,5915
L14,20170228,20.65,21.9,20.65,21.71,15520
L14,20170227,19.51,20.46,19.51,20.46,35226
L14,20170224,19.51,19.89,18.94,19.51,2000
L14,20170223,19.7,20.0,19.32,19.51,12820
L14,20170222,20.08,20.08,19.4,20.04,7800
L14,20170221,18.3,20.08,18.03,20.08,35400
L14,20170220,17.89,18.27,17.81,18.26,8701
L14,20170217,17.99,18.07,17.8,18.04,6615
L14,20170216,17.58,18.18,17.58,18.07,24610
L14,20170215,17.5,18.07,17.5,18.07,13424
L14,20170214,18.34,18.45,17.24,18.07,18015
L14,20170213,18.94,19.32,17.62,17.81,21600
L14,20170210,17.73,18.76,17.24,18.49,27205
L14,20170209,17.73,18.41,17.28,17.81,12000
L14,20170208,17.73,17.77,17.05,17.73,1025
L14,20170207,18.0,18.0,17.05,17.24,5100
L14,20170206,18.15,18.91,17.32,17.85,11000
L14,20170203,17.92,17.92,16.86,17.32,2900
L14,20170202,18.34,19.86,16.86,17.62,10600
L14,20170125,17.39,18.38,17.24,18.38,3800
L14,20170124,16.41,17.39,16.41,17.39,500
L14,20170123,19.25,19.25,17.05,17.43,14700
L14,20170120,18.76,18.76,17.13,17.77,9100
L14,20170119,18.19,19.59,17.05,17.24,28800
L14,20170118,18.0,18.0,17.05,17.81,16700
L14,20170117,17.32,18.19,17.32,18.0,700
L14,20170116,18.08,18.11,17.62,17.62,1220
L14,20170113,17.81,17.81,17.81,17.81,400
L14,20170112,17.77,17.81,17.77,17.81,200
L14,20170111,17.43,18.11,17.43,17.47,1250
L14,20170110,17.81,18.49,17.05,17.66,6610
L14,20170109,18.15,18.19,17.09,18.19,1400
L14,20170106,18.07,18.18,17.05,18.19,5500
L14,20170105,18.34,18.34,17.65,18.07,4010
L14,20170104,18.38,18.49,18.08,18.07,4041
L14,20170103,18.37,18.75,18.37,18.38,3540
L14,20161230,18.56,18.9,18.22,18.22,2880
L14,20161229,19.06,19.06,18.19,18.94,2400
L14,20161228,19.18,19.33,18.76,18.91,1520
L14,20161227,19.47,19.85,18.41,19.29,1418
L14,20161226,18.56,20.23,18.56,19.51,7780
L14,20161223,18.57,18.76,18.0,18.41,13500
L14,20161222,18.41,18.94,18.18,18.57,3220
L14,20161221,19.63,19.63,18.57,18.94,7500
L14,20161220,19.81,20.76,18.64,19.1,12345
L14,20161219,18.76,20.47,18.38,19.7,5600
L14,20161216,17.66,18.95,17.66,18.76,1816
L14,20161215,19.25,19.25,17.66,18.76,18110
L14,20161214,17.62,18.57,17.51,18.19,11900
L14,20161213,18.95,18.95,17.81,17.81,9000
L14,20161212,19.55,19.55,18.49,18.91,12850
L14,20161209,19.62,19.89,19.17,19.55,19400
L14,20161208,19.78,20.38,19.32,20.38,2100
L14,20161207,20.73,20.81,19.74,20.42,11200
L14,20161206,20.99,20.99,20.08,20.73,10910
L14,20161205,20.84,21.22,20.12,21.03,21500
L14,20161202,20.73,20.73,20.46,20.65,14308
L14,20161201,19.9,20.96,19.9,20.46,22282
L14,20161130,18.99,19.71,18.99,19.63,27300
L14,20161129,18.94,19.51,17.99,19.29,18525
L14,20161128,18.94,19.32,17.88,17.88,9475
L14,20161125,17.16,19.7,17.16,18.94,9340
L14,20161124,18.57,19.21,18.57,19.02,7950
L14,20161123,17.62,19.09,17.62,19.02,9700
L14,20161122,16.11,17.43,16.11,17.39,27945
L14,20161121,14.82,16.03,14.82,16.03,16709
L14,20161118,13.34,14.78,13.34,14.74,14300
L14,20161117,14.39,14.74,14.32,14.59,4855
L14,20161116,14.82,14.82,14.32,14.66,2400
L14,20161115,13.98,14.73,12.88,14.4,19095
L14,20161114,13.94,14.17,13.3,14.09,43386
L14,20161111,14.4,14.51,13.87,14.21,12645
L14,20161110,14.97,14.97,14.21,14.55,7133
L14,20161109,14.52,14.52,13.91,14.4,13165
L14,20161108,15.16,15.16,15.16,15.16,100
L14,20161107,15.16,15.16,14.78,15.16,3970
L14,20161104,15.23,15.49,15.15,15.5,2120
L14,20161103,15.46,15.54,15.16,15.53,3100
L14,20161102,15.69,15.69,15.69,15.69,143
L14,20161101,15.73,15.73,15.35,15.5,690
L14,20161031,15.42,15.53,15.15,15.16,10410
L14,20161028,15.53,15.53,15.15,15.53,2100
L14,20161027,15.16,15.54,14.97,15.53,4295
L14,20161026,15.54,15.54,15.16,15.16,5381
L14,20161025,15.16,15.54,15.16,15.16,7214
L14,20161024,15.16,15.92,14.71,15.16,9945
L14,20161021,15.53,15.91,15.15,15.16,7080
L14,20161020,16.33,16.55,15.34,16.25,19931
L14,20161019,16.48,16.67,16.29,16.63,1740
L14,20161018,16.33,16.86,15.19,16.82,3210
L14,20161017,16.45,16.9,16.45,16.86,1100
L14,20161014,16.4,17.01,16.4,16.94,4369
L14,20161013,16.67,16.97,16.36,16.97,3600
L14,20161012,17.01,17.01,16.67,16.97,2215
L14,20161011,16.86,17.16,16.67,17.16,13015
L14,20161010,16.93,17.16,16.74,17.16,1635
L14,20161007,17.39,17.39,17.05,17.16,825
L14,20161006,16.9,17.16,16.86,17.01,8546
L14,20161005,17.05,17.28,16.9,17.05,7240
L14,20161004,17.12,17.43,16.86,17.39,1225
L14,20161003,17.2,17.24,16.56,17.2,6279
L14,20160930,17.16,17.24,16.75,16.75,5321
L14,20160929,17.28,17.43,16.67,17.2,16700
L14,20160928,18.15,18.15,16.98,17.43,17506
L14,20160927,17.43,17.51,17.05,17.43,18475
L14,20160926,17.43,17.43,16.98,17.43,9131
L14,20160923,16.86,17.39,16.86,17.32,8190
L14,20160922,16.93,17.46,16.67,16.82,11850
L14,20160921,17.43,17.54,16.86,17.54,25495
L14,20160920,17.73,17.73,16.86,17.54,24062
L14,20160919,18.15,18.15,17.36,17.54,18680
L14,20160916,18.6,18.6,17.77,17.81,13700
L14,20160915,17.62,18.19,17.24,18.15,34100
L14,20160914,17.73,17.73,17.28,17.62,4700
L14,20160913,17.81,17.81,17.43,17.43,4801
L14,20160912,17.81,18.95,17.43,17.43,7800
L14,20160909,17.81,17.81,17.05,17.81,24900
L14,20160908,17.43,18.57,16.98,17.81,33400
L14,20160907,17.08,17.43,16.86,17.43,17400
L14,20160906,17.43,17.43,16.67,17.35,14100
L14,20160905,18.41,19.85,17.12,17.2,8700
L14,20160901,17.24,19.09,16.67,18.45,16100
L14,20160831,17.05,17.39,16.67,17.39,4600
L14,20160830,16.94,17.81,16.49,17.39,23900
L14,20160829,17.43,17.43,16.67,16.94,3400
L14,20160826,16.67,17.05,16.67,17.01,15600
L14,20160825,18.15,18.15,16.29,17.01,7800
L14,20160824,18.49,18.49,16.48,17.05,8700
L14,20160823,17.32,18.57,16.29,17.05,12900
L14,20160822,17.32,17.32,16.3,17.05,4000
L14,20160819,18.57,18.57,17.32,17.32,5310
L14,20160818,17.81,18.57,17.13,17.77,14900
L14,20160817,18.49,19.33,18.19,18.19,4700
L14,20160816,18.57,18.57,16.86,17.81,1700
L14,20160815,18.76,18.76,16.48,17.43,8110
L14,20160812,17.43,18.49,16.97,18.19,5400
L14,20160811,17.05,18.57,17.05,18.49,3400
L14,20160810,18.0,18.34,18.0,18.34,2500
L14,20160809,18.91,18.91,17.28,17.62,7200
L14,20160808,16.11,18.04,16.11,17.81,22300
L14,20160805,18.22,20.0,16.4,16.41,23401
L14,20160804,19.82,19.82,18.23,18.22,5100
L14,20160803,20.04,20.04,18.18,19.82,9400
L14,20160802,19.63,20.27,19.32,20.04,4300
L14,20160801,20.84,20.84,19.89,20.46,5305
L14,20160729,21.37,21.41,19.71,21.41,3400
L14,20160728,21.6,21.98,20.2,20.2,3560
L14,20160727,20.8,21.22,20.8,21.22,2405
L14,20160726,20.08,20.8,18.56,20.8,9400
L14,20160725,19.7,20.08,19.51,20.08,2100
L14,20160722,19.32,20.42,19.32,20.04,3400
L14,20160721,20.08,20.08,19.4,19.7,9000
L14,20160720,20.65,20.65,19.7,20.65,10302
L14,20160719,21.6,21.6,20.27,20.65,17448
L14,20160718,21.71,22.36,21.6,21.6,2900
L14,20160715,21.41,22.17,21.41,21.94,9900
L14,20160714,22.16,22.54,21.97,22.28,13900
L14,20160713,19.34,20.91,19.0,20.72,11730
L14,20160712,19.6,19.6,18.95,19.34,9100
L14,20160711,19.86,20.9,19.57,19.73,8921
L14,20160708,21.95,21.95,20.33,21.66,1130
L14,20160707,22.21,22.47,21.95,21.95,6875
L14,20160706,19.85,20.45,18.81,20.46,104600
L14,20160705,20.88,20.91,18.61,18.6,18100
L14,20160704,21.38,21.38,19.6,20.62,4250
L14,20160701,20.64,21.95,19.99,21.3,8000
L14,20160630,22.18,22.21,20.64,22.21,10000
L14,20160629,21.95,22.73,20.38,22.18,13400
L14,20160628,21.42,22.47,21.42,22.47,423
L14,20160627,23.23,23.23,21.74,22.47,3900
L14,20160624,22.97,23.52,21.45,22.73,18300
L14,20160623,22.55,22.55,21.95,22.47,3700
L14,20160622,23.6,23.6,22.73,23.49,1200
L14,20160621,22.18,23.49,21.94,23.36,6800
L14,20160620,23.12,24.3,21.95,23.25,10900
L14,20160617,22.47,22.68,21.69,22.68,1300
L14,20160616,21.42,22.7,20.9,22.47,10400
L14,20160615,20.38,20.64,20.25,20.64,5955
L14,20160614,20.02,20.9,19.99,20.38,19900
L14,20160613,20.38,20.38,19.99,19.99,6000
L14,20160610,19.73,19.99,19.73,19.99,14600
