<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LAS,20180713,11.4,11.6,11.3,11.6,3700
LAS,20180712,11.4,11.6,11.4,11.6,560700
LAS,20180711,11.3,11.4,11.3,11.4,64770
LAS,20180710,11.4,11.4,11.3,11.4,83540
LAS,20180709,11.4,11.4,11.4,11.4,122200
LAS,20180706,11.1,11.7,11.1,11.7,2670
LAS,20180705,11.4,11.5,11.0,11.0,30300
LAS,20180704,11.5,11.5,11.4,11.5,23408
LAS,20180703,11.6,11.6,11.4,11.5,61200
LAS,20180702,11.6,11.7,11.4,11.7,8640
LAS,20180629,11.5,11.6,11.4,11.6,20500
LAS,20180628,11.7,11.7,11.4,11.5,58430
LAS,20180627,11.5,11.6,11.5,11.6,20000
LAS,20180626,11.8,11.8,11.5,11.5,19200
LAS,20180625,11.8,11.9,11.6,11.7,24000
LAS,20180622,11.2,11.7,11.2,11.7,15300
LAS,20180621,11.2,11.3,11.2,11.2,7200
LAS,20180620,11.5,11.5,11.0,11.2,149878
LAS,20180619,11.5,11.7,11.0,11.4,119900
LAS,20180618,11.8,12.1,11.7,11.8,20300
LAS,20180615,11.7,11.8,11.7,11.8,12755
LAS,20180614,11.9,12.2,11.7,11.9,28210
LAS,20180613,12.1,12.2,12.0,12.2,11200
LAS,20180612,12.2,12.3,12.0,12.3,114610
LAS,20180611,12.3,12.6,12.1,12.4,54600
LAS,20180608,12.4,12.4,11.9,11.9,43200
LAS,20180607,12.0,12.9,12.0,12.4,148421
LAS,20180606,11.7,11.8,11.7,11.8,5130
LAS,20180605,11.7,11.9,11.6,11.9,7500
LAS,20180604,12.2,12.2,11.2,11.8,67300
LAS,20180601,11.5,11.5,11.5,11.5,5030
LAS,20180531,11.6,12.3,11.6,12.3,10300
LAS,20180530,11.9,11.9,11.4,11.5,94700
LAS,20180529,11.5,11.5,11.4,11.5,52750
LAS,20180528,11.7,11.7,11.3,11.5,26479
LAS,20180525,11.9,11.9,11.8,11.8,104010
LAS,20180524,12.3,12.3,11.9,12.0,2000
LAS,20180523,11.99,11.99,11.9,11.9,72910
LAS,20180522,12.0,12.0,11.9,11.99,93300
LAS,20180521,12.18,12.18,12.09,12.09,13910
LAS,20180518,12.09,12.09,12.09,12.09,92000
LAS,20180517,12.18,12.18,12.09,12.09,57700
LAS,20180516,12.19,12.19,12.09,12.09,22000
LAS,20180515,12.18,12.27,12.18,12.28,3100
LAS,20180514,12.09,12.27,12.09,12.18,17110
LAS,20180511,12.47,12.47,12.09,12.18,61097
LAS,20180510,12.18,12.46,12.18,12.47,23800
LAS,20180509,12.09,12.18,11.99,12.18,14584
LAS,20180508,11.99,12.18,11.99,12.18,5000
LAS,20180507,11.99,12.18,11.99,12.18,4450
LAS,20180504,12.08,12.18,11.9,12.18,17800
LAS,20180503,12.18,12.18,11.99,11.99,45900
LAS,20180502,12.09,12.18,11.9,12.18,47909
LAS,20180427,12.09,12.18,12.09,12.18,128500
LAS,20180426,12.28,12.28,12.18,12.18,114063
LAS,20180424,12.09,12.09,12.09,12.09,66992
LAS,20180423,12.47,12.47,12.09,12.09,42500
LAS,20180420,12.28,12.47,12.28,12.47,6045
LAS,20180419,12.28,12.28,12.19,12.28,42700
LAS,20180418,12.56,12.56,12.38,12.47,12420
LAS,20180417,12.37,12.46,12.28,12.47,9900
LAS,20180416,12.28,12.38,12.28,12.37,22816
LAS,20180413,12.46,12.46,12.28,12.47,65000
LAS,20180412,12.38,12.56,12.28,12.37,59300
LAS,20180411,12.47,12.57,12.47,12.47,53800
LAS,20180410,12.66,12.66,12.57,12.66,67700
LAS,20180409,12.66,12.75,12.57,12.66,18400
LAS,20180406,12.66,12.75,12.66,12.66,31300
LAS,20180405,12.56,12.65,12.47,12.66,29800
LAS,20180404,12.75,12.75,12.56,12.56,57700
LAS,20180403,12.75,12.75,12.66,12.75,25840
LAS,20180402,12.75,12.84,12.75,12.75,58610
LAS,20180330,12.56,13.03,12.56,13.03,10200
LAS,20180329,12.66,12.75,12.56,12.75,44910
LAS,20180328,12.75,12.75,12.56,12.75,60080
LAS,20180327,12.84,13.03,12.75,12.84,28805
LAS,20180326,12.65,12.84,12.65,12.84,107200
LAS,20180323,12.75,12.85,12.66,12.84,33216
LAS,20180322,12.85,12.94,12.75,12.94,70250
LAS,20180321,12.94,13.03,12.84,12.94,57650
LAS,20180320,13.03,13.13,12.84,13.03,63820
LAS,20180319,13.22,13.22,12.94,13.22,43026
LAS,20180316,13.32,13.32,12.94,13.22,45501
LAS,20180315,13.22,13.31,13.13,13.32,123125
LAS,20180314,12.94,13.31,12.94,13.22,44100
LAS,20180313,13.41,13.41,12.94,13.22,26995
LAS,20180312,13.13,13.7,12.94,13.32,200141
LAS,20180309,13.22,13.22,12.85,13.13,132400
LAS,20180308,13.22,13.22,12.75,12.94,100885
LAS,20180307,13.69,13.69,12.94,12.94,102494
LAS,20180306,12.85,13.41,12.66,13.22,273587
LAS,20180305,12.94,13.03,12.85,12.94,121516
LAS,20180302,12.65,13.03,12.65,12.94,69374
LAS,20180301,12.75,12.84,12.56,12.56,178250
LAS,20180228,12.84,12.94,12.75,12.75,35968
LAS,20180227,13.41,13.41,12.94,13.03,84300
LAS,20180226,12.94,13.13,12.94,13.13,200900
LAS,20180223,12.75,12.94,12.75,12.94,57410
LAS,20180222,12.56,12.85,12.56,12.75,141260
LAS,20180221,12.56,12.56,12.28,12.47,48800
LAS,20180213,12.38,12.56,12.38,12.56,43800
LAS,20180212,12.37,12.56,12.28,12.47,27720
LAS,20180209,12.28,12.38,12.09,12.37,59700
LAS,20180208,12.65,12.75,12.37,12.47,165751
LAS,20180207,12.46,12.93,12.27,12.56,60300
LAS,20180206,12.47,12.47,11.81,11.99,226820
LAS,20180205,12.94,12.94,12.27,12.75,132310
LAS,20180202,12.84,13.03,12.84,13.03,52100
LAS,20180201,13.03,13.03,12.84,12.84,175100
LAS,20180131,12.94,14.17,12.94,13.03,36180
LAS,20180130,13.13,13.22,12.94,13.13,208910
LAS,20180129,13.41,13.41,13.22,13.22,167470
LAS,20180126,13.04,13.32,13.04,13.13,281518
LAS,20180125,13.22,13.22,13.03,13.13,153419
LAS,20180122,13.51,13.51,12.94,13.22,457200
LAS,20180119,13.79,14.07,13.5,13.6,164350
LAS,20180118,13.7,13.88,13.41,13.88,200320
LAS,20180117,14.26,14.26,13.79,13.79,210490
LAS,20180116,13.88,14.35,13.88,14.26,425040
LAS,20180115,13.79,14.07,13.79,13.88,232690
LAS,20180112,13.79,14.17,13.51,13.6,252751
LAS,20180111,13.32,13.7,13.32,13.6,346649
LAS,20180110,13.13,13.7,13.13,13.32,317470
LAS,20180109,13.13,13.32,13.04,13.13,134410
LAS,20180108,13.04,13.32,13.04,13.13,121510
LAS,20180105,13.32,13.32,13.13,13.13,147150
LAS,20180104,13.23,13.41,13.23,13.32,111029
LAS,20180103,13.22,13.32,13.13,13.32,107340
LAS,20180102,13.41,13.41,13.13,13.13,46000
LAS,20171229,13.23,13.6,13.04,13.6,101110
LAS,20171228,13.03,13.31,13.03,13.32,56199
LAS,20171227,12.84,13.6,12.84,13.03,215820
LAS,20171226,13.6,13.6,13.32,13.6,117920
LAS,20171225,13.69,13.69,13.41,13.6,85110
LAS,20171222,13.98,14.92,13.7,13.69,269681
LAS,20171221,13.42,14.27,13.23,13.98,248405
LAS,20171220,13.6,13.6,13.32,13.51,168810
LAS,20171219,12.84,13.69,12.84,13.6,383229
LAS,20171218,12.66,12.84,12.66,12.75,201751
LAS,20171215,12.56,12.75,12.56,12.75,51445
LAS,20171214,12.47,12.56,12.47,12.56,37529
LAS,20171213,12.65,12.65,12.47,12.47,10600
LAS,20171212,12.56,12.65,12.28,12.56,118400
LAS,20171211,12.56,12.75,12.56,12.56,60456
LAS,20171208,12.66,12.75,12.57,12.75,73900
LAS,20171207,12.75,12.75,12.56,12.66,92100
LAS,20171206,12.75,12.75,12.66,12.75,90400
LAS,20171205,12.75,13.03,12.75,12.75,113200
LAS,20171204,12.66,12.94,12.66,12.75,122200
LAS,20171201,12.66,12.75,12.56,12.75,88200
LAS,20171130,12.84,12.84,12.65,12.75,84800
LAS,20171129,12.66,12.85,12.66,12.84,135833
LAS,20171128,13.03,13.03,12.65,12.66,34310
LAS,20171127,12.56,12.84,12.56,12.84,124300
LAS,20171124,12.57,12.75,12.47,12.56,73300
LAS,20171123,12.66,12.75,12.56,12.66,89400
LAS,20171122,12.75,12.84,12.65,12.75,55059
LAS,20171121,12.75,12.84,12.75,12.84,144235
LAS,20171120,12.66,12.84,12.66,12.75,81400
LAS,20171117,12.85,12.94,12.66,12.75,63900
LAS,20171116,12.65,12.94,12.65,12.94,84821
LAS,20171115,12.65,12.65,12.46,12.56,126225
LAS,20171114,12.85,12.94,12.66,12.84,54740
LAS,20171113,12.85,12.94,12.85,12.94,30420
LAS,20171110,13.22,13.31,12.84,12.94,52583
LAS,20171109,12.75,12.93,12.66,12.84,53480
LAS,20171108,12.66,12.75,12.66,12.75,45005
LAS,20171107,12.66,12.75,12.57,12.66,166270
LAS,20171106,12.66,12.75,12.57,12.66,92658
LAS,20171103,12.3,12.57,12.21,12.57,115900
LAS,20171102,12.3,12.3,12.12,12.3,75715
LAS,20171101,12.48,12.57,12.21,12.3,127844
LAS,20171031,12.57,12.57,12.21,12.48,284010
LAS,20171030,12.75,12.93,12.48,12.57,216450
LAS,20171027,13.12,13.12,12.76,12.84,59010
LAS,20171026,13.12,13.21,12.85,13.12,58210
LAS,20171025,13.3,13.3,12.85,13.12,289125
LAS,20171024,13.57,13.57,13.12,13.3,297775
LAS,20171023,13.66,13.84,13.48,13.57,210010
LAS,20171020,13.84,13.84,13.57,13.66,174550
LAS,20171019,13.75,13.93,13.66,13.93,109400
LAS,20171018,13.84,14.02,13.75,13.75,226940
LAS,20171017,13.84,13.93,13.66,13.93,176016
LAS,20171016,13.75,13.84,13.66,13.75,164670
LAS,20171013,13.84,13.93,13.75,13.84,100720
LAS,20171012,13.93,13.93,13.84,13.84,226900
LAS,20171011,14.02,14.11,13.93,13.93,165400
LAS,20171010,14.11,14.11,13.93,13.93,132305
LAS,20171009,14.29,14.29,14.02,14.2,125590
LAS,20171006,13.84,14.38,13.84,14.29,344313
LAS,20171005,13.84,13.93,13.75,13.75,182130
LAS,20171004,13.84,13.93,13.75,13.84,143020
LAS,20171003,13.93,14.02,13.75,13.84,257755
LAS,20171002,14.02,14.11,13.93,13.93,98938
LAS,20170929,14.11,14.2,14.02,14.11,120410
LAS,20170928,14.29,14.29,13.93,14.11,176200
LAS,20170927,14.02,14.29,13.93,14.11,149500
LAS,20170926,14.11,14.2,14.02,14.11,110420
LAS,20170925,14.38,14.38,14.2,14.2,63840
LAS,20170922,14.11,14.56,13.93,14.29,623461
LAS,20170921,14.11,14.2,13.93,14.02,222575
LAS,20170920,14.38,14.38,14.11,14.11,219302
LAS,20170919,12.84,14.38,12.84,14.38,461361
LAS,20170918,14.29,14.38,14.11,14.2,194300
LAS,20170915,14.02,14.56,14.02,14.29,732574
LAS,20170914,13.84,14.29,13.84,14.11,366200
LAS,20170913,14.02,14.11,13.75,13.84,362310
LAS,20170912,14.2,14.29,13.93,14.02,266000
LAS,20170911,14.38,14.47,13.93,14.02,595105
LAS,20170908,14.74,14.83,14.38,14.38,390799
LAS,20170907,14.65,15.1,14.65,14.65,384524
LAS,20170906,14.75,14.93,14.66,14.65,549061
LAS,20170905,14.74,15.19,14.47,14.93,356634
LAS,20170901,15.02,15.11,14.66,14.74,585960
LAS,20170831,14.65,15.38,14.56,15.2,984011
LAS,20170830,14.2,14.74,14.2,14.29,474878
LAS,20170829,13.75,14.75,13.66,14.11,917961
LAS,20170828,13.84,14.02,13.66,13.75,349600
LAS,20170825,14.02,14.11,13.66,14.02,364560
LAS,20170824,14.29,14.47,14.02,14.11,222060
LAS,20170823,13.84,14.38,13.57,14.29,644723
LAS,20170822,14.11,14.38,13.57,13.93,621660
LAS,20170821,15.1,15.1,14.11,14.11,800690
LAS,20170818,13.66,14.75,13.66,14.74,1373661
LAS,20170817,13.75,14.02,13.39,13.48,624340
LAS,20170816,12.3,13.48,12.3,13.48,1419353
LAS,20170815,12.3,12.39,12.21,12.3,269200
LAS,20170814,11.94,12.39,11.94,12.39,609263
LAS,20170811,11.85,11.94,11.76,11.94,201100
LAS,20170810,11.76,12.03,11.76,11.85,233300
LAS,20170809,12.03,12.03,11.76,11.85,178632
LAS,20170808,12.21,12.21,12.03,12.03,114628
LAS,20170807,12.48,12.66,12.12,12.21,762535
LAS,20170804,11.76,11.94,11.76,11.85,106850
LAS,20170803,11.85,11.85,11.67,11.85,113210
LAS,20170802,11.58,11.85,11.58,11.85,633700
LAS,20170801,11.67,11.94,11.58,11.67,383200
LAS,20170731,11.85,11.85,11.67,11.76,371700
LAS,20170728,11.94,11.94,11.85,11.85,166600
LAS,20170727,12.12,12.21,11.94,12.03,317800
LAS,20170726,12.57,12.57,11.94,12.12,1162050
LAS,20170725,11.85,12.03,11.67,11.85,218300
LAS,20170724,11.94,11.94,11.76,11.76,241100
LAS,20170721,12.03,12.3,11.85,11.85,318610
LAS,20170720,11.94,12.12,11.85,12.03,103358
LAS,20170719,12.12,12.12,12.03,12.03,91530
LAS,20170718,11.94,12.12,11.85,12.03,137030
LAS,20170717,12.12,12.3,11.94,12.03,184610
LAS,20170714,12.12,12.12,12.03,12.12,148330
LAS,20170713,12.39,12.48,12.03,12.12,436310
LAS,20170712,12.12,12.57,12.12,12.39,131240
LAS,20170711,12.03,12.39,11.94,12.12,126035
LAS,20170710,12.3,12.3,11.76,12.12,235010
LAS,20170707,12.3,12.48,12.12,12.21,169400
LAS,20170706,12.12,12.48,12.12,12.48,204901
LAS,20170705,12.12,12.3,12.03,12.21,209275
LAS,20170704,12.48,12.48,12.03,12.21,157545
LAS,20170703,12.75,12.75,12.39,12.48,78940
LAS,20170630,12.12,12.66,12.12,12.57,338146
LAS,20170629,12.03,12.12,11.94,12.12,73977
LAS,20170628,12.21,12.3,11.94,12.03,72741
LAS,20170627,11.85,12.3,11.85,12.12,209936
LAS,20170626,11.94,11.94,11.76,11.85,102750
LAS,20170623,11.58,12.03,11.58,11.85,121943
LAS,20170622,11.76,11.76,11.67,11.67,167040
LAS,20170621,11.67,11.67,11.58,11.67,48920
LAS,20170620,11.76,11.94,11.67,11.67,84103
LAS,20170619,11.76,11.76,11.58,11.76,61330
LAS,20170616,11.67,11.85,11.67,11.76,29330
LAS,20170615,11.76,11.76,11.58,11.67,64712
LAS,20170614,12.03,12.03,11.76,11.76,27250
LAS,20170613,11.58,11.94,11.49,11.94,142330
LAS,20170612,11.67,11.76,11.58,11.76,61770
LAS,20170609,11.85,11.94,11.67,11.76,40200
LAS,20170608,11.85,11.85,11.76,11.85,36800
LAS,20170607,11.76,11.85,11.67,11.85,33725
LAS,20170606,11.85,12.21,11.67,11.76,186000
LAS,20170605,11.94,12.12,11.85,11.85,40000
LAS,20170602,11.85,11.94,11.85,11.94,12958
LAS,20170601,12.12,12.12,11.85,12.03,49050
LAS,20170531,11.68,11.94,11.68,11.85,71505
LAS,20170530,11.94,11.94,11.68,11.68,120804
LAS,20170529,11.76,11.93,11.67,11.94,74629
LAS,20170526,11.76,11.85,11.68,11.76,61750
LAS,20170525,11.85,11.85,11.68,11.85,120830
LAS,20170524,11.68,11.85,11.59,11.85,192903
LAS,20170523,12.02,12.02,11.59,11.68,91710
LAS,20170522,11.85,12.02,11.68,11.76,286390
LAS,20170519,12.46,12.46,11.85,11.85,104050
LAS,20170518,12.37,12.54,11.93,12.11,181760
LAS,20170517,12.55,13.07,12.37,12.63,372916
LAS,20170516,12.81,12.98,12.2,12.2,178258
LAS,20170515,12.81,12.98,12.64,12.72,226362
LAS,20170512,12.2,12.89,12.2,12.81,371350
LAS,20170511,12.55,12.55,12.2,12.37,155800
LAS,20170510,11.76,12.54,11.76,12.46,650800
LAS,20170509,11.85,11.94,11.76,11.76,60390
LAS,20170508,11.5,11.94,11.5,11.85,153089
LAS,20170505,11.68,11.68,11.51,11.5,61190
LAS,20170504,11.5,11.94,11.5,11.68,114177
LAS,20170503,11.5,11.59,11.41,11.5,112910
LAS,20170428,11.41,11.5,11.24,11.5,24100
LAS,20170427,11.68,11.77,11.42,11.5,51447
LAS,20170426,11.33,11.76,11.33,11.68,99300
LAS,20170425,11.15,11.59,11.15,11.24,55100
LAS,20170424,11.33,11.59,11.16,11.24,106835
LAS,20170421,11.94,11.94,11.42,11.68,73510
LAS,20170420,12.63,12.63,11.85,11.94,110030
LAS,20170419,10.8,11.85,10.8,11.85,347030
LAS,20170418,10.8,10.89,10.63,10.8,205942
LAS,20170417,10.98,11.06,10.89,10.89,62130
LAS,20170414,11.07,11.24,10.98,11.15,32400
LAS,20170413,11.24,11.41,11.15,11.24,19619
LAS,20170412,11.33,11.33,11.07,11.24,17761
LAS,20170411,11.15,11.32,10.98,11.33,36701
LAS,20170410,11.15,11.41,11.06,11.15,32100
LAS,20170407,11.07,11.24,11.07,11.15,21613
LAS,20170405,11.24,11.32,11.15,11.24,49200
LAS,20170404,11.41,11.5,11.15,11.41,95421
LAS,20170403,11.5,11.58,11.41,11.41,33500
LAS,20170331,11.33,11.42,11.33,11.41,30320
LAS,20170330,11.42,11.68,11.33,11.33,52588
LAS,20170329,11.76,11.76,11.32,11.68,78500
LAS,20170328,11.5,11.85,11.33,11.76,57950
LAS,20170327,11.77,11.77,11.51,11.5,36746
LAS,20170324,11.68,11.77,11.59,11.68,26850
LAS,20170323,11.85,12.02,11.68,11.68,38550
LAS,20170322,11.85,11.85,11.77,11.85,29635
LAS,20170321,11.94,11.94,11.76,11.94,39645
LAS,20170320,11.67,12.11,11.67,12.11,43055
LAS,20170317,11.67,11.76,11.59,11.76,29256
LAS,20170316,11.68,11.77,11.59,11.76,33075
LAS,20170315,11.59,11.68,11.42,11.68,27450
LAS,20170314,11.77,11.77,11.42,11.68,115400
LAS,20170313,11.67,11.67,11.59,11.68,19348
LAS,20170310,11.67,11.76,11.5,11.76,76005
LAS,20170309,11.77,11.77,11.68,11.76,40300
LAS,20170308,11.68,11.77,11.59,11.68,105718
LAS,20170307,12.02,12.02,11.67,11.68,342375
LAS,20170306,12.11,12.29,12.11,12.11,93225
LAS,20170303,12.11,12.37,12.11,12.2,52105
LAS,20170302,12.55,12.55,12.11,12.37,47763
LAS,20170301,12.2,12.98,12.2,12.46,247325
LAS,20170228,12.54,12.54,12.2,12.2,27700
LAS,20170227,12.11,12.46,12.11,12.37,98626
LAS,20170224,12.02,12.2,11.94,11.94,48507
LAS,20170223,12.11,12.2,12.02,12.11,54080
LAS,20170222,12.11,12.29,12.03,12.11,36625
LAS,20170221,12.2,12.29,12.11,12.2,67140
LAS,20170220,12.2,12.37,12.02,12.2,94001
LAS,20170217,12.37,12.37,12.11,12.37,80840
LAS,20170216,12.55,12.72,12.29,12.37,75296
LAS,20170215,12.37,12.72,12.37,12.55,94376
LAS,20170214,12.89,12.89,12.46,12.63,110860
LAS,20170213,12.98,13.16,12.98,12.98,52610
LAS,20170210,13.07,13.24,13.07,13.07,59182
LAS,20170209,12.55,13.51,12.46,13.07,259236
LAS,20170208,12.46,12.54,12.37,12.55,81830
LAS,20170207,12.55,12.64,12.38,12.37,23952
LAS,20170206,12.98,12.98,12.2,12.55,88100
LAS,20170203,12.2,12.89,12.02,12.72,144069
LAS,20170202,12.55,12.55,11.94,12.11,52238
LAS,20170125,12.29,12.29,11.94,12.2,101850
LAS,20170124,12.2,12.37,12.03,12.29,53934
LAS,20170123,12.72,12.72,11.77,12.2,116539
LAS,20170120,12.11,12.99,11.94,12.55,67160
LAS,20170119,12.2,12.28,11.85,11.94,77010
LAS,20170118,12.46,12.72,12.11,12.37,269034
LAS,20170117,13.68,14.11,12.54,12.55,359427
LAS,20170116,14.55,14.55,13.33,13.85,186394
LAS,20170113,12.37,13.24,12.28,13.24,476933
LAS,20170112,11.24,12.12,11.24,12.11,312083
LAS,20170111,11.07,11.07,11.07,11.07,8905
LAS,20170110,11.24,11.24,11.07,11.07,5420
LAS,20170109,11.16,11.16,11.07,11.07,9950
LAS,20170106,11.15,11.24,11.06,11.07,13125
LAS,20170105,10.19,11.15,10.19,11.15,15315
LAS,20170104,11.33,11.33,11.24,11.24,3403
LAS,20170103,11.77,11.77,11.33,11.33,25800
LAS,20161230,11.07,11.77,11.07,11.33,55850
LAS,20161229,11.16,11.16,11.07,11.07,19100
LAS,20161228,11.07,11.07,10.9,11.07,10375
LAS,20161227,10.89,11.06,10.89,11.07,25102
LAS,20161226,10.89,10.89,10.89,10.89,11020
LAS,20161223,10.8,10.8,10.71,10.72,22400
LAS,20161222,10.89,10.89,10.8,10.8,11700
LAS,20161221,10.89,10.98,10.89,10.89,8835
LAS,20161220,10.89,10.89,10.72,10.89,14690
LAS,20161219,10.89,10.98,10.72,10.89,14140
LAS,20161216,10.72,10.89,10.72,10.89,21705
LAS,20161215,11.15,11.24,10.63,10.72,13325
LAS,20161214,10.63,10.8,10.54,10.54,7405
LAS,20161213,10.63,10.72,10.54,10.63,17230
LAS,20161212,10.63,10.72,10.54,10.63,15520
LAS,20161209,10.63,10.63,10.37,10.63,3340510
LAS,20161208,10.54,10.8,10.54,10.63,23355
LAS,20161207,10.54,10.63,10.54,10.63,25234
LAS,20161206,10.37,10.54,10.2,10.54,51360
LAS,20161205,10.37,10.37,10.11,10.37,56195
LAS,20161202,10.63,10.63,10.37,10.37,12624
LAS,20161201,10.8,10.89,10.54,10.63,12800
LAS,20161130,10.63,10.8,10.54,10.63,5615
LAS,20161129,10.8,10.8,10.54,10.54,2955
LAS,20161128,10.89,11.06,10.8,10.8,17988
LAS,20161125,10.98,10.98,10.81,10.8,19525
LAS,20161124,11.15,11.24,10.98,10.98,10412
LAS,20161123,10.97,11.05,10.89,10.89,33223
LAS,20161122,11.06,11.06,10.97,10.97,15482
LAS,20161121,11.22,11.22,10.97,11.14,31716
LAS,20161118,11.14,11.14,11.06,11.14,5471
LAS,20161117,11.14,11.39,11.06,11.14,132283
LAS,20161116,11.06,11.23,10.89,11.14,13193
LAS,20161115,11.23,11.31,11.14,11.31,26385
LAS,20161114,10.81,11.48,10.81,11.31,132666
LAS,20161111,10.89,10.97,10.81,10.89,53900
LAS,20161110,10.89,10.97,10.81,10.89,47525
LAS,20161109,10.97,10.97,10.72,10.89,42627
LAS,20161108,10.81,10.98,10.81,10.97,29841
LAS,20161107,10.81,10.81,10.73,10.81,22940
LAS,20161104,10.97,10.97,10.8,10.81,5128
LAS,20161103,10.81,10.98,10.81,10.97,14000
LAS,20161102,10.97,11.06,10.72,10.81,34510
LAS,20161101,10.81,10.89,10.81,10.89,15285
LAS,20161031,11.06,11.06,10.81,10.89,85700
LAS,20161028,11.23,11.23,10.98,11.06,27040
LAS,20161027,11.06,11.31,10.89,11.23,25870
LAS,20161026,11.05,11.05,11.05,11.06,25720
LAS,20161025,11.31,11.31,10.98,10.97,29203
LAS,20161024,11.4,11.4,10.89,11.23,77250
LAS,20161021,11.4,11.56,11.31,11.48,55152
LAS,20161020,11.57,11.57,11.4,11.48,47410
LAS,20161019,11.57,11.65,11.57,11.65,67056
LAS,20161018,11.56,11.73,11.56,11.65,65875
LAS,20161017,10.89,11.9,10.81,11.73,148670
LAS,20161014,10.89,10.97,10.72,10.89,50090
LAS,20161013,11.23,11.23,10.64,10.97,55325
LAS,20161012,10.73,10.81,10.56,10.81,23729
LAS,20161011,10.64,10.72,10.47,10.56,128784
LAS,20161010,11.06,11.06,10.64,10.64,105860
LAS,20161007,11.23,11.23,11.06,11.06,61167
LAS,20161006,11.31,11.39,11.31,11.31,85168
LAS,20161005,11.05,11.39,11.05,11.31,62860
LAS,20161004,11.65,11.65,11.23,11.39,253986
LAS,20161003,11.73,11.73,11.65,11.73,21100
LAS,20160930,11.73,11.73,11.65,11.73,16500
LAS,20160929,11.81,11.9,11.73,11.73,28300
LAS,20160928,11.9,11.9,11.73,11.73,38107
LAS,20160927,11.81,11.81,11.73,11.73,29850
LAS,20160926,11.64,11.89,11.64,11.81,8370
LAS,20160923,11.57,11.9,11.57,11.81,23800
LAS,20160922,11.65,11.82,11.48,11.65,71810
LAS,20160921,11.98,12.15,11.48,11.65,138280
LAS,20160920,12.23,12.23,11.65,11.9,43400
LAS,20160919,12.4,12.4,12.15,12.15,24900
LAS,20160916,12.4,12.4,12.23,12.23,11200
LAS,20160915,12.57,12.65,12.32,12.4,10100
LAS,20160914,12.73,12.82,12.48,12.57,22520
LAS,20160913,12.32,12.65,12.32,12.65,24950
