<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LCS,20180713,,,,3.2,0
LCS,20180712,,,,3.2,0
LCS,20180711,,,,3.2,0
LCS,20180710,,,,3.2,0
LCS,20180709,,,,3.2,0
LCS,20180706,3.2,3.2,3.2,3.2,100
LCS,20180705,3.0,3.0,2.7,3.0,300
LCS,20180704,2.8,2.8,2.8,2.8,20000
LCS,20180703,,,,3.1,0
LCS,20180702,,,,3.1,0
LCS,20180629,,,,3.1,0
LCS,20180628,,,,3.1,0
LCS,20180627,3.1,3.1,3.1,3.1,2900
LCS,20180626,3.4,3.4,3.4,3.4,100
LCS,20180625,,,,3.7,0
LCS,20180622,3.7,3.7,3.7,3.7,100
LCS,20180621,3.4,3.4,3.4,3.4,100
LCS,20180620,3.1,3.1,3.1,3.1,400
LCS,20180619,3.4,3.4,3.4,3.4,100
LCS,20180618,,,,3.7,0
LCS,20180615,,,,3.7,0
LCS,20180614,,,,3.7,0
LCS,20180613,,,,3.7,0
LCS,20180612,,,,3.7,0
LCS,20180611,,,,3.7,0
LCS,20180608,3.6,3.7,3.6,3.7,700
LCS,20180607,3.4,3.4,3.4,3.4,300
LCS,20180606,3.7,3.7,3.7,3.7,4200
LCS,20180605,,,,4.1,0
LCS,20180604,,,,4.1,0
LCS,20180601,4.1,4.1,4.1,4.1,200
LCS,20180531,,,,4.5,0
LCS,20180530,,,,4.5,0
LCS,20180529,4.5,4.5,4.5,4.5,100
LCS,20180528,,,,4.9,0
LCS,20180525,,,,4.9,0
LCS,20180524,,,,4.9,0
LCS,20180523,,,,4.9,0
LCS,20180522,,,,4.9,0
LCS,20180521,4.9,4.9,4.9,4.9,100
LCS,20180518,,,,5.4,0
LCS,20180517,,,,5.4,0
LCS,20180516,,,,5.4,0
LCS,20180515,5.4,5.4,5.4,5.4,100
LCS,20180514,4.8,5.0,4.8,5.0,200
LCS,20180511,4.9,4.9,4.9,4.9,100
LCS,20180510,4.8,4.8,4.8,4.8,100
