<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LEC,20180713,18.7,18.8,18.7,18.8,440
LEC,20180712,18.9,18.85,18.6,18.85,480
LEC,20180711,18.55,18.9,18.55,18.9,500
LEC,20180710,18.5,18.5,18.45,18.45,560
LEC,20180709,18.6,18.6,18.5,18.6,560
LEC,20180706,18.4,18.9,18.3,18.7,1350
LEC,20180705,18.4,18.5,18.4,18.5,1040
LEC,20180704,18.1,18.1,18.1,18.1,280
LEC,20180703,18.1,18.1,18.1,18.1,160
LEC,20180702,18.6,18.6,18.4,18.4,1150
LEC,20180629,18.5,19.0,18.45,19.0,1090
LEC,20180628,18.75,18.8,17.5,18.5,2220
LEC,20180627,18.75,18.75,18.75,18.75,170
LEC,20180626,18.75,18.75,18.75,18.75,140
LEC,20180625,18.75,18.75,18.75,18.75,280
LEC,20180622,18.75,18.75,18.7,18.7,800
LEC,20180621,18.7,19.85,18.65,18.7,320
LEC,20180620,19.75,19.8,18.65,18.65,21370
LEC,20180619,18.0,19.75,18.0,18.6,41100
LEC,20180618,18.0,19.75,17.8,18.6,82030
LEC,20180615,18.5,18.5,18.5,18.5,200
LEC,20180614,19.0,19.0,18.5,18.5,1330
LEC,20180613,18.0,19.0,18.0,19.0,1430
LEC,20180612,19.0,19.0,19.0,19.0,500
LEC,20180611,17.4,19.0,16.75,19.0,1470
LEC,20180608,18.0,18.0,18.0,18.0,1000
LEC,20180607,18.0,18.0,18.0,18.0,400
LEC,20180606,17.7,17.7,17.6,17.6,2190
LEC,20180605,17.7,18.0,17.6,18.0,230
LEC,20180604,18.2,18.2,18.15,18.15,1250
LEC,20180601,17.55,18.2,17.55,18.2,70
LEC,20180531,17.25,18.1,17.1,18.1,530
LEC,20180530,17.5,17.5,17.1,17.1,1260
LEC,20180529,17.55,17.55,17.5,17.5,210
LEC,20180528,17.7,17.75,17.6,17.7,5720
LEC,20180525,17.9,17.9,17.75,17.75,410
LEC,20180524,19.0,19.0,17.85,17.9,1270
LEC,20180523,17.9,17.9,17.85,17.9,310
LEC,20180522,18.0,18.0,18.0,18.0,40
LEC,20180521,17.9,18.8,17.9,18.8,290
LEC,20180518,17.9,19.0,17.9,19.0,1130
LEC,20180517,19.0,19.1,19.0,19.1,240
LEC,20180516,17.9,18.0,17.85,18.0,1010
LEC,20180515,18.2,18.5,18.2,18.5,230
LEC,20180514,18.0,18.0,18.0,18.0,2000
LEC,20180511,18.0,18.0,18.0,18.0,1000
LEC,20180510,18.0,18.1,17.8,18.0,800
LEC,20180509,18.2,18.2,18.1,18.2,680
LEC,20180508,18.3,18.3,18.0,18.2,1140
LEC,20180507,18.3,18.3,18.2,18.2,680
LEC,20180504,18.4,18.4,18.2,18.2,310
LEC,20180503,18.5,18.5,18.4,18.4,230
LEC,20180502,18.6,18.6,18.3,18.5,1280
LEC,20180427,18.45,19.25,18.45,19.25,620
LEC,20180426,18.8,18.9,18.65,18.65,1570
LEC,20180424,18.55,19.0,18.0,18.9,920
LEC,20180423,18.5,19.0,18.45,19.0,400
LEC,20180420,18.5,19.0,18.0,19.0,1260
LEC,20180419,18.5,18.5,18.5,18.5,380
LEC,20180418,18.55,18.55,18.45,18.5,920
LEC,20180417,18.65,18.65,18.6,18.65,500
LEC,20180416,18.5,18.95,18.5,18.95,210
LEC,20180413,18.6,18.6,18.45,18.5,390
LEC,20180412,19.2,19.2,18.5,18.5,650
LEC,20180411,19.3,19.3,18.6,19.2,500
LEC,20180410,18.7,18.8,18.6,18.65,1140
LEC,20180409,18.7,19.3,18.65,18.65,700
LEC,20180406,18.7,19.35,18.6,18.6,1310
LEC,20180405,18.6,19.0,18.6,19.0,340
LEC,20180404,19.0,19.2,19.0,19.2,340
LEC,20180403,18.6,18.6,18.5,18.6,520
LEC,20180402,18.55,18.55,18.55,18.55,1350
LEC,20180330,18.55,19.4,18.55,19.4,3030
LEC,20180329,18.6,18.6,18.55,18.6,770
LEC,20180328,18.8,18.8,18.7,18.7,1050
LEC,20180327,18.8,18.9,18.7,18.9,800
