<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LGL,20180713,7.9,7.95,7.8,7.87,49540
LGL,20180712,7.8,7.98,7.7,7.8,138220
LGL,20180711,8.09,8.09,7.88,7.9,93130
LGL,20180710,8.14,8.2,7.8,8.09,103630
LGL,20180709,8.99,8.99,8.2,8.3,50840
LGL,20180706,8.79,8.79,8.5,8.65,100200
LGL,20180705,7.96,8.3,7.9,8.25,115180
LGL,20180704,7.53,8.0,7.52,7.76,17370
LGL,20180703,8.0,8.0,7.55,7.55,55450
LGL,20180702,7.98,7.98,7.67,7.7,64190
LGL,20180629,7.98,7.98,7.67,7.8,14180
LGL,20180628,8.08,8.08,7.7,7.9,39950
LGL,20180627,7.95,8.15,7.9,8.08,16060
LGL,20180626,7.53,8.2,7.53,7.95,31300
LGL,20180625,7.5,7.9,7.5,7.8,38370
LGL,20180622,7.75,7.9,7.32,7.8,29260
LGL,20180621,7.9,7.9,7.71,7.85,35360
LGL,20180620,7.52,8.19,7.52,7.83,27580
LGL,20180619,8.12,8.2,7.72,7.72,157120
LGL,20180618,8.59,8.59,8.2,8.3,116700
LGL,20180615,8.25,8.3,8.0,8.15,37220
LGL,20180614,8.09,8.3,7.9,8.0,170770
LGL,20180613,7.26,7.76,7.26,7.76,88520
LGL,20180612,7.1,7.28,7.1,7.26,88660
LGL,20180611,7.25,7.29,6.8,7.25,80150
LGL,20180608,7.6,7.6,7.18,7.25,141380
LGL,20180607,7.17,7.17,7.17,7.17,66920
LGL,20180606,6.3,6.71,6.3,6.71,135400
LGL,20180605,6.25,6.5,6.25,6.28,46000
LGL,20180604,6.29,6.3,6.25,6.25,23700
LGL,20180601,6.28,6.35,5.92,6.3,60610
LGL,20180531,6.5,6.5,6.09,6.28,57380
LGL,20180530,6.48,6.48,5.9,6.1,17230
LGL,20180529,6.51,6.51,6.06,6.06,426440
LGL,20180528,7.1,7.1,6.51,6.51,57220
LGL,20180525,7.4,7.4,6.93,7.0,33770
LGL,20180524,7.74,7.74,6.93,6.93,16100
LGL,20180523,7.31,7.48,7.0,7.45,50770
LGL,20180522,7.4,7.6,7.21,7.49,23470
LGL,20180521,7.8,7.8,7.4,7.5,8980
LGL,20180518,7.85,7.85,7.5,7.5,18520
LGL,20180517,8.0,8.0,7.7,7.75,32570
LGL,20180516,7.42,7.78,7.42,7.5,25020
LGL,20180515,7.66,7.66,7.26,7.27,12970
LGL,20180514,7.49,7.52,7.41,7.48,43030
LGL,20180511,7.58,7.58,7.24,7.47,3050
LGL,20180510,7.5,7.5,7.12,7.12,12050
LGL,20180509,7.17,7.63,7.17,7.25,20310
LGL,20180508,7.25,7.27,7.18,7.25,22850
LGL,20180507,7.33,7.33,7.16,7.25,19840
LGL,20180504,7.17,7.54,7.09,7.33,26840
LGL,20180503,6.95,7.46,6.95,7.08,7940
LGL,20180502,7.09,7.09,6.93,7.08,6900
LGL,20180427,7.0,7.08,6.83,7.08,65310
LGL,20180426,7.49,7.49,7.08,7.25,31710
LGL,20180424,7.08,7.49,7.08,7.49,32110
LGL,20180423,7.75,7.75,7.42,7.5,21060
LGL,20180420,7.63,7.66,7.5,7.66,8370
LGL,20180419,7.66,7.66,7.5,7.66,27580
LGL,20180418,7.74,7.74,7.51,7.73,14710
LGL,20180417,7.75,7.75,7.51,7.51,78850
LGL,20180416,7.75,7.78,7.66,7.78,90570
LGL,20180413,7.75,7.83,7.73,7.78,21110
LGL,20180412,7.76,7.92,7.75,7.83,32710
LGL,20180411,8.33,8.33,7.91,7.92,29470
LGL,20180410,8.34,8.59,8.01,8.33,21640
LGL,20180409,8.84,8.84,8.25,8.42,72340
LGL,20180406,7.77,8.42,7.75,8.42,69170
LGL,20180405,7.75,7.91,7.74,7.9,48500
LGL,20180404,7.76,7.88,7.71,7.88,43040
LGL,20180403,7.83,8.0,7.76,7.76,31040
LGL,20180402,8.0,8.32,7.77,8.0,21900
LGL,20180330,8.0,8.0,7.75,8.0,11730
LGL,20180329,7.88,7.96,7.75,7.96,24380
LGL,20180328,7.96,7.96,7.75,7.88,33650
LGL,20180327,7.92,8.0,7.75,7.88,14890
LGL,20180326,7.72,7.92,7.67,7.92,38580
LGL,20180323,7.75,7.75,7.67,7.71,31610
LGL,20180322,8.0,8.0,7.76,7.76,23750
LGL,20180321,7.97,8.01,7.75,7.92,70980
LGL,20180320,7.75,8.07,7.75,7.97,31080
LGL,20180319,8.05,8.05,7.75,7.75,11860
LGL,20180316,7.91,8.08,7.66,7.83,39400
LGL,20180315,7.92,8.17,7.55,8.08,69070
LGL,20180314,8.21,8.42,7.75,7.75,95800
LGL,20180313,8.33,8.46,8.25,8.28,14530
LGL,20180312,8.79,8.79,8.17,8.5,25520
LGL,20180309,8.54,8.66,8.33,8.46,41270
LGL,20180308,8.58,8.67,8.5,8.54,17920
LGL,20180307,8.33,8.75,8.33,8.75,45410
LGL,20180306,8.92,8.92,8.38,8.75,18710
LGL,20180305,9.08,9.08,8.91,8.92,11180
LGL,20180302,8.79,8.83,8.75,8.83,14180
LGL,20180301,8.92,9.09,8.79,8.79,207960
LGL,20180228,8.92,9.42,8.75,9.42,36030
LGL,20180227,9.58,9.58,9.0,9.0,66620
LGL,20180226,9.83,9.83,9.46,9.58,80320
LGL,20180223,9.67,9.75,9.58,9.75,71340
LGL,20180222,9.79,9.79,9.58,9.75,10420
LGL,20180221,9.54,9.84,9.5,9.79,47000
LGL,20180213,9.58,9.75,9.5,9.67,55370
LGL,20180212,9.83,9.83,9.25,9.58,10620
LGL,20180209,9.17,9.5,9.08,9.5,71710
LGL,20180208,9.25,9.55,9.25,9.5,58340
LGL,20180207,9.17,9.5,9.17,9.42,161900
LGL,20180206,9.16,9.41,9.16,9.17,171710
LGL,20180205,9.96,10.42,9.83,9.83,100760
LGL,20180202,11.29,11.29,10.54,10.54,228700
LGL,20180201,11.25,11.66,10.83,11.29,150230
LGL,20180131,11.0,12.0,10.91,11.58,417510
LGL,20180130,10.87,11.41,10.83,11.33,147670
LGL,20180129,11.42,11.42,10.84,11.33,195220
LGL,20180126,10.75,11.38,10.42,11.38,281620
LGL,20180125,10.33,10.67,9.92,10.67,573290
LGL,20180122,9.63,10.38,9.63,10.0,454820
LGL,20180119,9.5,9.71,9.46,9.71,21370
LGL,20180118,9.42,9.75,9.42,9.75,27610
LGL,20180117,9.92,9.92,9.42,9.42,135350
LGL,20180116,9.5,9.92,9.5,9.92,287010
LGL,20180115,9.21,9.42,9.21,9.42,4150
LGL,20180112,9.34,9.42,9.25,9.42,37280
LGL,20180111,9.59,9.59,9.38,9.42,68450
LGL,20180110,9.71,9.71,9.42,9.67,89250
LGL,20180109,9.25,9.67,9.25,9.67,130240
LGL,20180108,9.33,9.5,9.17,9.42,112210
LGL,20180105,9.46,9.46,9.17,9.29,54390
LGL,20180104,9.33,9.67,9.29,9.29,46490
LGL,20180103,9.51,9.51,9.3,9.5,146820
LGL,20180102,9.41,9.54,9.37,9.38,47510
LGL,20171229,9.5,9.59,9.46,9.58,20000
LGL,20171228,9.5,9.66,9.5,9.67,28590
LGL,20171227,9.46,9.58,9.46,9.58,24930
LGL,20171226,9.5,9.54,9.5,9.5,46440
LGL,20171225,9.59,9.63,9.54,9.54,27320
LGL,20171222,9.71,9.71,9.5,9.67,37600
LGL,20171221,9.54,9.66,9.46,9.67,103730
LGL,20171220,9.58,9.75,9.46,9.54,73670
LGL,20171219,9.91,9.91,9.71,9.79,70920
LGL,20171218,9.84,9.96,9.67,9.83,69890
LGL,20171215,9.75,9.92,9.75,9.88,110950
LGL,20171214,9.71,9.92,9.71,9.75,108270
LGL,20171213,9.66,9.75,9.41,9.71,99990
LGL,20171212,9.42,9.84,9.33,9.83,105220
LGL,20171211,9.58,9.62,9.46,9.46,112440
LGL,20171208,9.5,9.75,9.42,9.75,122640
LGL,20171207,9.58,9.67,9.46,9.67,103000
LGL,20171206,9.63,9.75,9.46,9.5,69100
LGL,20171205,10.0,10.0,9.67,9.67,167440
LGL,20171204,10.0,10.08,9.83,10.0,125500
LGL,20171201,10.08,10.5,10.0,10.0,146100
LGL,20171130,9.46,10.09,9.46,10.08,486620
LGL,20171129,9.54,9.54,9.38,9.46,122450
LGL,20171128,9.58,9.58,9.46,9.46,87880
LGL,20171127,9.46,9.67,9.46,9.54,137580
LGL,20171124,9.5,9.5,9.42,9.46,77310
LGL,20171123,9.5,9.54,9.33,9.5,75410
LGL,20171122,9.58,9.58,9.46,9.5,67880
LGL,20171121,9.54,9.58,9.42,9.58,69700
LGL,20171120,9.58,9.58,9.46,9.5,78750
LGL,20171117,9.58,9.83,9.54,9.54,182130
LGL,20171116,9.58,9.58,9.41,9.5,58240
LGL,20171115,9.42,9.59,9.29,9.58,79180
LGL,20171114,9.38,9.42,9.34,9.42,40520
