<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LM8,20180713,26.0,26.25,24.2,24.2,41280
LM8,20180712,24.1,25.75,24.55,24.55,110
LM8,20180711,25.95,26.2,24.1,24.1,45180
LM8,20180710,26.0,26.3,25.8,25.8,19220
LM8,20180709,25.1,26.5,25.1,26.2,23580
LM8,20180706,26.55,26.55,24.05,25.1,42370
LM8,20180705,24.9,25.1,24.9,25.1,3500
LM8,20180704,24.25,26.05,23.5,23.5,28840
LM8,20180703,24.1,25.75,24.1,24.35,8200
LM8,20180702,24.5,26.4,24.1,24.1,17980
LM8,20180629,25.0,26.3,24.7,24.75,24800
LM8,20180628,25.1,26.8,24.15,24.6,23270
LM8,20180627,24.3,26.5,23.7,25.1,28540
LM8,20180626,24.8,25.75,24.8,24.9,23180
LM8,20180625,24.0,26.0,24.0,24.1,10790
LM8,20180622,24.7,26.6,24.35,24.35,22060
LM8,20180621,24.95,25.0,24.95,25.0,23240
LM8,20180620,25.0,25.0,24.8,25.0,16340
LM8,20180619,23.45,25.85,23.45,24.85,43680
LM8,20180618,24.1,25.0,24.1,24.2,21720
LM8,20180615,24.5,25.4,23.5,24.1,44320
LM8,20180614,24.95,24.95,24.75,24.75,4940
LM8,20180613,23.7,25.0,23.7,24.5,25270
LM8,20180612,24.95,26.5,24.5,24.5,41160
LM8,20180611,25.25,25.25,24.5,25.0,5670
LM8,20180608,25.0,25.7,24.5,24.5,17970
LM8,20180607,25.0,25.0,24.4,24.4,10600
LM8,20180606,24.2,25.85,24.2,25.0,29920
LM8,20180605,24.1,25.75,24.05,24.2,25370
LM8,20180604,24.0,24.1,24.0,24.1,17810
LM8,20180601,23.8,25.0,23.75,24.95,4340
LM8,20180531,24.85,25.0,24.0,25.0,24520
LM8,20180530,23.6,23.8,23.6,23.6,5120
LM8,20180529,23.15,25.65,23.0,23.8,9170
LM8,20180528,25.0,25.0,24.0,24.0,52240
LM8,20180525,24.0,25.65,24.0,24.8,36100
LM8,20180524,24.2,25.75,23.7,24.05,8000
LM8,20180523,25.3,25.4,24.0,24.1,12290
LM8,20180522,24.0,25.4,23.65,23.75,14410
LM8,20180521,26.0,26.0,23.75,23.75,11190
LM8,20180518,,,,24.5,0
LM8,20180517,25.85,26.0,24.15,24.5,9940
LM8,20180516,25.35,25.4,23.8,25.4,45360
LM8,20180515,23.5,25.4,23.5,25.4,7740
LM8,20180514,23.5,25.45,22.35,23.75,12000
LM8,20180511,24.0,25.1,23.65,23.8,28050
LM8,20180510,24.5,25.1,23.7,23.7,31690
LM8,20180509,24.0,24.0,23.5,23.5,900
LM8,20180508,23.9,24.0,23.9,24.0,19800
