<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LO5,20180713,3.0,3.0,3.0,3.0,1000
LO5,20180712,3.3,3.3,3.3,3.3,100
LO5,20180711,,,,3.6,0
LO5,20180710,3.6,3.6,3.6,3.6,100
LO5,20180709,,,,3.9,0
LO5,20180706,,,,3.9,0
LO5,20180705,,,,3.9,0
LO5,20180704,3.9,3.9,3.9,3.9,10000
LO5,20180703,4.3,4.3,4.3,4.3,200
LO5,20180702,,,,4.7,0
LO5,20180629,,,,4.7,0
LO5,20180628,,,,4.7,0
LO5,20180627,,,,4.7,0
LO5,20180626,,,,4.7,0
LO5,20180625,,,,4.7,0
LO5,20180622,,,,4.7,0
LO5,20180621,,,,4.7,0
LO5,20180620,,,,4.7,0
LO5,20180619,,,,4.7,0
LO5,20180618,,,,4.7,0
LO5,20180615,,,,4.7,0
LO5,20180614,,,,4.7,0
LO5,20180613,,,,4.7,0
LO5,20180612,,,,4.7,0
LO5,20180611,,,,4.7,0
LO5,20180608,,,,4.7,0
LO5,20180607,,,,4.7,0
LO5,20180606,,,,4.7,0
LO5,20180605,,,,4.7,0
LO5,20180604,,,,4.7,0
LO5,20180601,,,,4.7,0
LO5,20180531,,,,4.7,0
LO5,20180530,,,,4.7,0
LO5,20180529,,,,4.7,0
LO5,20180528,,,,4.7,0
LO5,20180525,,,,4.7,0
LO5,20180524,,,,4.7,0
LO5,20180523,,,,4.7,0
LO5,20180522,4.5,4.7,4.5,4.7,5100
LO5,20180521,4.5,4.7,4.5,4.7,5100
LO5,20180518,,,,4.7,0
LO5,20180517,4.5,4.7,4.5,4.7,5100
LO5,20180516,,,,4.7,0
LO5,20180515,,,,4.7,0
LO5,20180514,4.7,4.7,4.7,4.7,100
LO5,20180511,4.4,4.4,4.4,4.4,2100
LO5,20180510,,,,4.6,0
LO5,20180509,,,,4.6,0
LO5,20180508,4.5,4.6,4.5,4.6,1300
LO5,20180507,4.6,4.6,4.6,4.6,5000
LO5,20180504,,,,4.7,0
LO5,20180503,,,,4.7,0
LO5,20180502,,,,4.7,0
LO5,20180427,,,,4.7,0
LO5,20180426,,,,4.7,0
LO5,20180424,,,,4.7,0
LO5,20180423,,,,4.7,0
LO5,20180420,,,,4.7,0
LO5,20180419,4.7,4.7,4.7,4.7,5
LO5,20180418,,,,4.7,0
LO5,20180417,,,,4.7,0
LO5,20180416,,,,4.7,0
LO5,20180413,,,,4.7,0
LO5,20180412,,,,4.7,0
LO5,20180411,4.7,4.7,4.7,4.7,300
LO5,20180410,,,,4.3,0
LO5,20180409,,,,4.3,0
LO5,20180406,,,,4.3,0
LO5,20180405,,,,4.3,0
LO5,20180404,4.6,4.6,4.3,4.3,7100
LO5,20180403,4.7,4.7,4.7,4.7,1000
LO5,20180402,4.7,4.7,4.7,4.7,5000
LO5,20180330,4.7,4.7,4.7,4.7,7400
LO5,20180329,,,,4.7,0
LO5,20180328,,,,4.7,0
LO5,20180327,,,,4.7,0
LO5,20180326,,,,4.7,0
LO5,20180323,,,,4.7,0
LO5,20180322,4.7,4.7,4.7,4.7,4400
LO5,20180321,4.4,4.6,4.4,4.6,900
LO5,20180320,,,,4.7,0
LO5,20180319,,,,4.7,0
LO5,20180316,,,,4.7,0
LO5,20180315,,,,4.7,0
