<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LUT,20180713,1.9,2.0,1.9,2.0,1400
LUT,20180712,1.9,1.9,1.9,1.9,1200
LUT,20180711,1.8,1.8,1.8,1.8,6000
LUT,20180710,2.0,2.0,1.9,1.9,5200
LUT,20180709,1.9,1.9,1.9,1.9,5000
LUT,20180706,1.9,2.0,1.9,2.0,400
LUT,20180705,1.9,2.0,1.9,2.0,5100
LUT,20180704,1.9,2.0,1.9,2.0,3200
LUT,20180703,1.9,2.0,1.9,2.0,10100
LUT,20180702,1.9,1.9,1.9,1.9,5500
LUT,20180629,,,,2.0,0
LUT,20180628,1.9,2.0,1.9,2.0,14600
LUT,20180627,2.1,2.1,1.9,2.1,11200
LUT,20180626,1.9,2.0,1.9,2.0,5900
LUT,20180625,1.9,2.0,1.9,2.0,12200
LUT,20180622,1.8,2.0,1.8,2.0,702
LUT,20180621,1.9,1.9,1.9,1.9,2200
LUT,20180620,2.0,2.0,1.8,1.9,3800
LUT,20180619,2.0,2.0,1.9,1.9,5900
LUT,20180618,2.1,2.1,2.1,2.1,200
LUT,20180615,2.0,2.0,2.0,2.0,11202
LUT,20180614,1.9,1.9,1.8,1.9,6800
LUT,20180613,1.7,1.8,1.7,1.8,6900
LUT,20180612,1.8,1.9,1.7,1.7,10900
LUT,20180611,1.7,1.8,1.7,1.8,2100
LUT,20180608,1.6,1.8,1.6,1.8,1700
LUT,20180607,1.8,1.8,1.7,1.7,1900
LUT,20180606,1.7,1.7,1.7,1.7,100
LUT,20180605,1.7,1.7,1.7,1.7,5200
LUT,20180604,1.7,1.7,1.7,1.7,6900
LUT,20180601,1.6,1.7,1.6,1.7,8325
LUT,20180531,,,,1.7,0
LUT,20180530,1.6,1.7,1.6,1.7,1200
LUT,20180529,1.6,1.7,1.6,1.6,5500
LUT,20180528,1.6,1.7,1.6,1.7,3200
LUT,20180525,1.7,1.7,1.7,1.7,6200
LUT,20180524,1.8,1.8,1.6,1.8,7800
LUT,20180523,1.7,1.7,1.7,1.7,12300
LUT,20180522,1.8,1.8,1.8,1.8,200
LUT,20180521,1.8,1.8,1.8,1.8,2710
LUT,20180518,,,,1.9,0
LUT,20180517,1.9,1.9,1.9,1.9,200
LUT,20180516,1.8,1.8,1.8,1.8,12800
LUT,20180515,1.8,1.9,1.8,1.9,3000
LUT,20180514,1.9,1.9,1.9,1.9,20000
LUT,20180511,1.9,1.9,1.9,1.9,106
LUT,20180510,1.8,1.8,1.8,1.8,6100
LUT,20180509,1.9,2.0,1.8,1.8,16110
LUT,20180508,1.8,2.0,1.8,2.0,6000
LUT,20180507,1.9,2.0,1.9,2.0,1700
LUT,20180504,1.9,1.9,1.9,1.9,1000
LUT,20180503,1.8,1.9,1.8,1.9,4400
LUT,20180502,1.7,1.9,1.7,1.9,15100
LUT,20180427,1.8,2.2,1.8,1.8,18300
LUT,20180426,2.0,2.0,2.0,2.0,1000
LUT,20180424,2.1,2.1,2.1,2.1,12000
LUT,20180423,2.1,2.2,2.1,2.1,4900
LUT,20180420,,,,2.3,0
LUT,20180419,2.3,2.3,2.2,2.3,8300
LUT,20180418,2.3,2.3,2.3,2.3,100
LUT,20180417,,,,2.3,0
LUT,20180416,2.3,2.3,2.3,2.3,600
LUT,20180413,2.2,2.3,2.2,2.2,8900
LUT,20180412,2.2,2.4,2.2,2.4,4000
LUT,20180411,2.4,2.4,2.4,2.4,225
LUT,20180410,2.2,2.3,2.2,2.3,5000
LUT,20180409,,,,2.3,0
LUT,20180406,2.3,2.3,2.3,2.3,7500
