<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MAS,20180713,38.8,38.8,38.0,38.0,5400
MAS,20180712,38.0,38.7,38.0,38.6,1400
MAS,20180711,38.0,38.0,38.0,38.0,200
MAS,20180710,39.5,39.5,39.5,39.5,400
MAS,20180709,40.0,40.0,39.5,39.5,8790
MAS,20180706,40.0,40.0,37.4,40.0,5672
MAS,20180705,42.0,42.0,39.0,41.5,15289
MAS,20180704,43.0,43.0,42.0,42.0,1008
MAS,20180703,43.1,43.1,43.0,43.0,300
MAS,20180702,43.2,43.2,43.0,43.0,1100
MAS,20180629,43.2,43.2,43.0,43.2,4309
MAS,20180628,43.5,43.9,43.0,43.4,3262
MAS,20180627,44.1,44.1,44.0,44.0,3610
MAS,20180626,44.0,44.0,43.3,44.0,1600
MAS,20180625,44.5,44.5,44.0,44.0,1610
MAS,20180622,45.0,45.0,44.0,44.5,2200
MAS,20180621,46.0,46.0,45.0,45.0,1629
MAS,20180620,44.2,46.0,44.2,45.5,6010
MAS,20180619,47.0,47.0,46.0,46.1,2608
MAS,20180618,47.0,47.0,47.0,47.0,1677
MAS,20180615,48.0,48.0,46.3,47.0,4930
MAS,20180614,48.5,48.5,48.0,48.0,570
MAS,20180613,48.0,48.9,48.0,48.5,459
MAS,20180612,47.1,47.2,47.1,47.2,415
MAS,20180611,48.0,48.0,47.9,48.0,2717
MAS,20180608,48.5,49.0,48.0,48.0,3216
MAS,20180607,53.0,53.0,48.3,48.3,5916
MAS,20180606,50.0,50.0,48.6,48.7,7850
MAS,20180605,55.0,55.0,53.0,53.0,4300
MAS,20180604,50.0,54.7,50.0,54.7,7700
MAS,20180601,49.9,49.9,49.7,49.8,1672
MAS,20180531,42.1,46.3,42.1,46.3,12930
MAS,20180530,44.0,44.0,42.0,42.1,4796
MAS,20180529,48.5,48.5,44.0,45.0,8500
MAS,20180528,49.8,49.8,48.8,48.8,2464
MAS,20180525,49.1,49.8,49.1,49.8,2196
MAS,20180524,51.0,51.5,49.1,49.1,10221
MAS,20180523,52.0,52.0,51.5,51.5,723
MAS,20180522,52.8,52.8,50.0,52.0,2518
MAS,20180521,52.6,52.6,52.6,52.6,1541
MAS,20180518,53.4,53.4,52.6,52.6,5855
MAS,20180517,53.0,53.3,52.9,53.3,3690
MAS,20180516,54.0,54.0,52.7,52.9,2288
MAS,20180515,53.0,54.0,52.7,54.0,8150
MAS,20180514,57.0,57.0,52.1,52.1,5703
MAS,20180511,59.6,60.0,56.5,56.5,9947
MAS,20180510,54.54,56.14,54.45,55.85,17473
MAS,20180509,54.35,54.44,54.26,54.45,16443
MAS,20180508,54.54,54.54,54.26,54.35,26803
MAS,20180507,54.35,54.82,53.6,54.35,41010
MAS,20180504,54.73,55.29,53.42,54.35,64922
MAS,20180503,56.23,56.23,54.73,54.73,52238
MAS,20180502,60.91,60.91,60.72,60.73,6100
MAS,20180427,65.88,67.48,64.66,67.47,1300
MAS,20180426,70.28,70.28,65.69,69.35,6112
MAS,20180424,69.35,70.29,67.48,67.47,5800
MAS,20180423,70.28,70.75,69.34,69.35,10000
MAS,20180420,69.34,70.28,69.34,70.28,3200
MAS,20180419,68.69,69.35,68.69,69.25,7900
MAS,20180418,68.41,70.28,68.41,68.69,2900
MAS,20180417,74.03,74.03,68.41,68.41,1200
MAS,20180416,74.88,74.88,70.28,74.59,1710
MAS,20180413,74.88,74.97,74.88,74.97,3001
MAS,20180412,73.1,74.04,73.1,73.85,14010
MAS,20180411,73.84,74.97,65.97,73.1,41373
MAS,20180410,73.84,73.84,71.22,73.28,9400
MAS,20180409,74.03,74.03,73.56,73.75,10981
MAS,20180406,72.72,73.0,71.22,73.0,9429
MAS,20180405,72.06,72.44,71.22,71.22,9810
MAS,20180404,72.16,72.16,71.5,71.5,9000
MAS,20180403,72.16,72.16,72.07,72.16,16910
MAS,20180402,72.16,72.16,72.16,72.16,7560
MAS,20180330,72.16,72.16,71.22,72.16,7000
MAS,20180329,74.88,74.97,71.22,72.16,1220
MAS,20180328,74.87,74.87,72.16,72.16,1924
MAS,20180327,72.54,72.54,72.54,72.53,565
MAS,20180326,72.63,72.63,72.63,72.63,200
MAS,20180323,73.66,73.66,73.1,73.47,10420
MAS,20180322,73.09,73.65,73.09,73.66,13006
MAS,20180321,73.75,73.84,73.56,73.56,1900
