<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MBG,20180713,2.7,2.8,2.7,2.8,1296900
MBG,20180712,2.6,2.6,2.6,2.6,54200
MBG,20180711,2.6,2.6,2.5,2.6,3400
MBG,20180710,2.6,2.6,2.6,2.6,2000
MBG,20180709,2.5,2.6,2.5,2.6,13500
MBG,20180706,2.6,2.7,2.6,2.7,8100
MBG,20180705,2.6,2.7,2.6,2.6,49400
MBG,20180704,,,,2.7,0
MBG,20180703,2.6,2.7,2.5,2.7,73800
MBG,20180702,2.6,2.6,2.6,2.6,9000
MBG,20180629,2.8,2.8,2.6,2.7,41700
MBG,20180628,2.6,2.7,2.6,2.7,8700
MBG,20180627,2.5,2.7,2.5,2.7,63900
MBG,20180626,2.7,2.8,2.7,2.7,156300
MBG,20180625,2.8,2.9,2.8,2.9,60700
MBG,20180622,2.9,2.9,2.8,2.9,80000
MBG,20180621,2.9,2.9,2.8,2.9,299000
MBG,20180620,2.5,2.7,2.5,2.7,338200
MBG,20180619,2.5,2.5,2.5,2.5,21000
MBG,20180618,2.5,2.5,2.5,2.5,500
MBG,20180615,,,,2.5,0
MBG,20180614,2.3,2.6,2.3,2.5,5300
MBG,20180613,2.5,2.5,2.5,2.5,1100
MBG,20180612,2.4,2.5,2.4,2.5,5600
MBG,20180611,2.5,2.5,2.5,2.5,14100
MBG,20180608,2.4,2.5,2.4,2.5,16500
MBG,20180607,2.6,2.6,2.5,2.6,37600
MBG,20180606,2.6,2.6,2.6,2.6,5213
MBG,20180605,2.4,2.5,2.3,2.5,58200
MBG,20180604,2.3,2.3,2.2,2.3,22200
MBG,20180601,2.3,2.4,2.3,2.3,11400
MBG,20180531,2.2,2.4,2.2,2.3,4000
MBG,20180530,2.1,2.3,2.1,2.3,12900
MBG,20180529,,,,2.2,0
MBG,20180528,2.2,2.3,2.2,2.2,6520
MBG,20180525,,,,2.4,0
MBG,20180524,2.3,2.4,2.3,2.4,300
MBG,20180523,2.2,2.3,2.2,2.3,200
MBG,20180522,2.3,2.3,2.2,2.2,13300
MBG,20180521,2.1,2.4,2.1,2.3,37303
MBG,20180518,,,,2.2,0
MBG,20180517,2.1,2.2,2.1,2.2,2600
MBG,20180516,2.1,2.1,2.1,2.1,400
MBG,20180515,2.2,2.2,2.0,2.1,39120
MBG,20180514,2.1,2.2,2.1,2.2,200
MBG,20180511,2.1,2.2,2.1,2.2,1100
MBG,20180510,2.1,2.2,2.1,2.2,6600
MBG,20180509,2.1,2.2,2.1,2.1,10000
MBG,20180508,2.1,2.1,2.1,2.1,800
MBG,20180507,2.1,2.1,2.0,2.0,8500
MBG,20180504,2.0,2.1,2.0,2.1,9100
MBG,20180503,2.1,2.1,2.0,2.1,15100
MBG,20180502,2.1,2.2,2.1,2.2,1700
MBG,20180427,2.1,2.2,2.0,2.2,9500
MBG,20180426,2.2,2.2,2.2,2.2,1203
MBG,20180424,2.2,2.3,2.2,2.2,10200
MBG,20180423,2.4,2.4,2.2,2.2,300
MBG,20180420,,,,2.3,0
MBG,20180419,2.4,2.4,2.3,2.3,4423
MBG,20180418,2.4,2.4,2.4,2.4,100
MBG,20180417,2.4,2.4,2.4,2.4,107
MBG,20180416,2.3,2.4,2.3,2.3,1100
MBG,20180413,2.3,2.4,2.2,2.4,2400
MBG,20180412,2.4,2.4,2.4,2.4,100
MBG,20180411,2.4,2.4,2.3,2.4,17500
MBG,20180410,2.5,2.5,2.4,2.4,16440
MBG,20180409,2.5,2.5,2.5,2.5,150
MBG,20180406,2.5,2.6,2.5,2.5,10600
MBG,20180405,2.5,2.5,2.4,2.4,12600
MBG,20180404,2.5,2.5,2.4,2.5,22100
MBG,20180403,2.5,2.5,2.5,2.5,50600
MBG,20180402,2.5,2.5,2.5,2.5,27200
MBG,20180330,2.5,2.5,2.5,2.5,12200
MBG,20180329,2.6,2.6,2.5,2.5,200
MBG,20180328,2.5,2.6,2.5,2.5,34200
MBG,20180327,2.6,2.6,2.6,2.6,2400
MBG,20180326,2.6,2.7,2.5,2.7,8700
MBG,20180323,2.6,2.6,2.6,2.6,200
MBG,20180322,2.6,2.6,2.6,2.6,110
MBG,20180321,2.6,2.6,2.6,2.6,100
MBG,20180320,2.6,2.6,2.6,2.6,3300
MBG,20180319,2.6,2.6,2.6,2.6,12400
MBG,20180316,2.7,2.7,2.7,2.7,100
MBG,20180315,2.7,2.8,2.7,2.7,5400
MBG,20180314,2.7,2.8,2.7,2.7,14500
MBG,20180313,2.6,2.6,2.6,2.6,15000
MBG,20180312,2.7,2.7,2.6,2.7,25000
MBG,20180309,2.6,2.6,2.6,2.6,5500
MBG,20180308,2.7,2.7,2.6,2.6,18900
MBG,20180307,2.7,2.7,2.7,2.7,10300
MBG,20180306,2.6,2.6,2.6,2.6,18100
MBG,20180305,2.6,2.6,2.6,2.6,20800
MBG,20180302,2.6,2.7,2.6,2.7,1100
MBG,20180301,2.6,2.6,2.6,2.6,55500
MBG,20180228,2.5,2.6,2.5,2.5,52200
MBG,20180227,2.6,2.6,2.6,2.6,20000
MBG,20180226,2.6,2.7,2.6,2.7,500
MBG,20180223,2.6,2.6,2.6,2.6,36700
MBG,20180222,2.6,2.6,2.6,2.6,281700
MBG,20180221,2.7,2.7,2.6,2.6,108800
MBG,20180213,2.6,2.7,2.6,2.7,1400
MBG,20180212,2.6,2.6,2.6,2.6,5700
MBG,20180209,2.6,2.6,2.5,2.5,50500
MBG,20180208,2.6,2.7,2.6,2.7,200
MBG,20180207,2.6,2.7,2.6,2.7,24600
MBG,20180206,2.6,2.7,2.5,2.5,82320
