<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MCG,20180713,2.9,2.9,2.81,2.9,290
MCG,20180712,2.8,2.85,2.85,2.85,300
MCG,20180711,3.15,3.15,2.8,2.8,10020
MCG,20180710,3.39,3.39,2.95,2.96,35490
MCG,20180709,3.19,3.19,2.8,3.17,160
MCG,20180706,2.99,2.99,2.98,2.99,5570
MCG,20180705,2.95,2.95,2.69,2.8,27540
MCG,20180704,2.75,2.98,2.75,2.76,73960
MCG,20180703,3.05,3.05,2.79,2.79,110
MCG,20180702,2.61,2.99,2.61,2.99,1120
MCG,20180629,,,,2.8,0
MCG,20180628,2.8,3.18,2.8,2.8,11230
MCG,20180627,2.98,3.29,2.98,2.98,3440
MCG,20180626,3.4,3.4,3.2,3.2,11020
MCG,20180625,,,,3.38,0
MCG,20180622,3.4,3.4,2.98,3.38,4960
MCG,20180621,3.2,3.5,3.2,3.2,1400
MCG,20180620,2.94,3.37,2.94,3.37,1230
MCG,20180619,3.16,3.16,3.16,3.16,20
MCG,20180618,3.1,3.39,3.1,3.39,210
MCG,20180615,,,,3.33,0
MCG,20180614,3.2,3.4,3.2,3.33,120
MCG,20180613,3.4,3.4,3.39,3.39,70
MCG,20180612,2.9,3.19,2.9,3.19,10110
MCG,20180611,3.0,3.1,3.0,3.1,90
MCG,20180608,3.0,3.18,2.8,3.18,890
MCG,20180607,3.0,3.0,2.98,2.98,950
MCG,20180606,3.31,3.31,3.1,3.2,30
MCG,20180605,3.1,3.1,2.9,3.1,870
MCG,20180604,2.91,2.91,2.9,2.9,210
MCG,20180601,2.72,2.98,2.72,2.72,160
MCG,20180531,3.2,3.2,2.79,2.79,800
MCG,20180530,2.9,3.0,2.9,3.0,10440
MCG,20180529,2.66,3.06,2.66,3.0,2220
MCG,20180528,2.88,2.88,2.86,2.86,14390
MCG,20180525,3.13,3.25,3.06,3.07,2470
MCG,20180524,,,,3.29,0
MCG,20180523,3.15,3.29,3.11,3.29,20410
MCG,20180522,3.36,3.37,3.34,3.34,5980
MCG,20180521,3.59,3.59,3.59,3.59,10
MCG,20180518,3.33,3.5,3.26,3.5,30540
MCG,20180517,3.5,3.5,3.34,3.5,10380
MCG,20180516,3.59,3.59,3.59,3.59,260
MCG,20180515,3.66,3.66,3.66,3.66,150
MCG,20180514,3.7,3.7,3.44,3.46,6730
MCG,20180511,3.58,3.74,3.5,3.69,58530
MCG,20180510,3.5,3.5,3.5,3.5,580
MCG,20180509,3.16,3.6,3.16,3.6,36530
MCG,20180508,3.27,3.55,3.27,3.39,2370
MCG,20180507,3.68,3.68,3.44,3.5,24720
MCG,20180504,3.46,3.68,3.46,3.68,72950
MCG,20180503,3.55,3.69,3.5,3.68,41880
MCG,20180502,3.66,3.7,3.55,3.7,46220
MCG,20180427,3.65,3.72,3.5,3.72,162680
MCG,20180426,3.46,3.72,3.46,3.72,135450
MCG,20180424,3.77,3.77,3.72,3.72,177410
MCG,20180423,3.53,3.53,3.5,3.53,266850
MCG,20180420,3.3,3.3,3.3,3.3,91210
MCG,20180419,3.08,3.09,3.08,3.09,127220
MCG,20180418,2.98,3.07,2.89,2.89,58920
MCG,20180417,2.89,3.0,2.89,2.89,23040
MCG,20180416,2.79,2.9,2.7,2.89,19700
MCG,20180413,2.9,2.9,2.9,2.9,4120
MCG,20180412,2.91,2.95,2.85,2.9,29580
MCG,20180411,2.9,3.0,2.9,2.9,18700
MCG,20180410,2.9,3.0,2.88,2.9,121930
MCG,20180409,2.8,2.9,2.8,2.9,6430
MCG,20180406,2.85,2.9,2.8,2.8,39000
MCG,20180405,2.88,2.88,2.79,2.85,45660
MCG,20180404,2.9,3.0,2.88,2.88,4550
MCG,20180403,3.15,3.15,2.83,2.98,4080
MCG,20180402,2.96,2.97,2.8,2.97,3010
MCG,20180330,3.28,3.29,2.97,2.97,6380
MCG,20180329,3.08,3.39,3.05,3.18,83390
MCG,20180328,3.06,3.27,2.85,3.27,5190
MCG,20180327,3.29,3.29,3.06,3.06,15330
MCG,20180326,3.3,3.3,3.25,3.29,10240
MCG,20180323,3.39,3.39,3.38,3.38,190
MCG,20180322,3.2,3.42,3.19,3.19,84990
MCG,20180321,3.5,3.5,3.26,3.43,114230
MCG,20180320,3.21,3.5,3.21,3.5,150
MCG,20180319,3.6,3.65,3.34,3.4,47030
MCG,20180316,3.6,3.6,3.43,3.57,39440
MCG,20180315,3.57,3.57,3.4,3.57,52970
MCG,20180314,3.5,3.59,3.4,3.57,47060
MCG,20180313,3.4,3.63,3.4,3.6,22580
MCG,20180312,3.55,3.55,3.41,3.41,13690
MCG,20180309,3.61,3.61,3.61,3.61,10
MCG,20180308,,,,3.61,0
MCG,20180307,3.65,3.65,3.46,3.61,42930
MCG,20180306,3.28,3.64,3.28,3.61,31450
MCG,20180305,3.44,3.65,3.44,3.48,29580
MCG,20180302,3.61,3.7,3.61,3.62,17100
MCG,20180301,3.96,3.96,3.61,3.88,2250
MCG,20180228,3.88,3.88,3.5,3.75,730
MCG,20180227,3.67,3.7,3.42,3.66,242390
MCG,20180226,3.7,3.7,3.51,3.67,29410
MCG,20180223,3.94,3.94,3.68,3.69,18620
MCG,20180222,3.97,3.97,3.77,3.95,1140
MCG,20180221,4.09,4.09,3.81,3.99,140
MCG,20180213,4.22,4.22,4.09,4.09,13930
MCG,20180212,3.7,3.95,3.7,3.95,80420
MCG,20180209,3.79,3.79,3.45,3.7,2580
MCG,20180208,3.79,3.79,3.6,3.68,11410
MCG,20180207,3.5,3.68,3.46,3.68,4650
MCG,20180206,3.6,3.95,3.45,3.7,173410
MCG,20180205,3.93,3.93,3.6,3.7,79050
MCG,20180202,3.65,3.74,3.6,3.7,9540
MCG,20180201,3.8,3.8,3.5,3.5,72460
MCG,20180131,3.99,3.99,3.62,3.62,1010
MCG,20180130,3.8,3.8,3.79,3.8,45810
MCG,20180129,3.6,3.7,3.6,3.67,24660
MCG,20180126,3.85,3.85,3.65,3.65,102710
MCG,20180125,3.9,3.9,3.75,3.9,243920
MCG,20180122,4.0,4.0,3.8,3.81,7900
MCG,20180119,3.9,3.9,3.84,3.84,24880
MCG,20180118,3.99,3.99,3.59,3.84,15480
MCG,20180117,3.8,3.94,3.8,3.85,37970
MCG,20180116,3.85,3.95,3.85,3.9,92260
MCG,20180115,4.0,4.0,3.8,3.98,19910
MCG,20180112,4.0,4.01,3.91,3.91,102130
MCG,20180111,4.0,4.02,3.9,4.0,76610
MCG,20180110,4.03,4.03,3.9,4.0,53990
MCG,20180109,3.91,4.03,3.91,4.03,49700
MCG,20180108,4.1,4.1,3.87,4.04,33310
MCG,20180105,3.99,3.99,3.95,3.99,93480
