<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MCO,20180713,1.3,1.4,1.3,1.3,300
MCO,20180712,1.5,1.5,1.4,1.4,1600
MCO,20180711,1.4,1.4,1.4,1.4,1800
MCO,20180710,,,,1.4,0
MCO,20180709,1.4,1.4,1.4,1.4,200
MCO,20180706,,,,1.4,0
MCO,20180705,1.4,1.4,1.4,1.4,800
MCO,20180704,1.4,1.4,1.4,1.4,100
MCO,20180703,1.5,1.5,1.3,1.3,900
MCO,20180702,1.4,1.4,1.4,1.4,100
MCO,20180629,1.4,1.5,1.4,1.5,200
MCO,20180628,1.4,1.5,1.4,1.5,4000
MCO,20180627,1.5,1.5,1.5,1.5,100
MCO,20180626,1.6,1.6,1.6,1.6,100
MCO,20180625,1.5,1.5,1.5,1.5,5600
MCO,20180622,,,,1.6,0
MCO,20180621,,,,1.6,0
MCO,20180620,1.6,1.6,1.6,1.6,100
MCO,20180619,1.5,1.5,1.5,1.5,2200
MCO,20180618,1.6,1.6,1.6,1.6,5000
MCO,20180615,1.5,1.5,1.5,1.5,6000
MCO,20180614,1.5,1.6,1.5,1.6,300
MCO,20180613,1.4,1.6,1.4,1.6,6800
MCO,20180612,1.5,1.5,1.5,1.5,8900
MCO,20180611,1.5,1.6,1.5,1.6,4200
MCO,20180608,1.6,1.6,1.5,1.6,13100
MCO,20180607,1.5,1.5,1.5,1.5,2200
MCO,20180606,1.5,1.5,1.5,1.5,11100
MCO,20180605,1.5,1.5,1.5,1.5,7200
MCO,20180604,1.6,1.6,1.5,1.6,22400
MCO,20180601,1.6,1.7,1.6,1.6,5000
MCO,20180531,1.5,1.6,1.5,1.6,10500
MCO,20180530,1.5,1.5,1.5,1.5,27700
MCO,20180529,1.4,1.4,1.4,1.4,23700
MCO,20180528,1.3,1.4,1.3,1.3,34500
MCO,20180525,1.4,1.4,1.3,1.3,22400
MCO,20180524,1.3,1.4,1.3,1.4,7100
MCO,20180523,1.3,1.3,1.3,1.3,1700
MCO,20180522,1.3,1.4,1.2,1.4,28400
MCO,20180521,1.4,1.4,1.3,1.3,15300
MCO,20180518,1.4,1.4,1.4,1.4,8800
MCO,20180517,1.3,1.5,1.3,1.5,8500
MCO,20180516,1.4,1.4,1.4,1.4,3300
MCO,20180515,1.4,1.5,1.4,1.5,400
MCO,20180514,1.4,1.5,1.4,1.5,17400
MCO,20180511,1.6,1.6,1.5,1.5,2400
MCO,20180510,1.6,1.6,1.6,1.6,100
MCO,20180509,1.5,1.6,1.5,1.6,600
MCO,20180508,1.5,1.5,1.5,1.5,600
MCO,20180507,1.5,1.6,1.5,1.6,6700
MCO,20180504,1.5,1.6,1.4,1.6,7700
MCO,20180503,1.5,1.6,1.5,1.5,900
MCO,20180502,1.5,1.5,1.4,1.5,3400
MCO,20180427,1.5,1.5,1.5,1.5,100
MCO,20180426,1.6,1.6,1.6,1.6,100
MCO,20180424,1.5,1.6,1.5,1.6,10200
MCO,20180423,1.6,1.7,1.6,1.6,10100
MCO,20180420,1.6,1.7,1.6,1.7,4900
MCO,20180419,1.6,1.7,1.6,1.7,15200
MCO,20180418,1.7,1.8,1.7,1.7,1200
MCO,20180417,1.7,1.8,1.7,1.8,1000
MCO,20180416,,,,1.8,0
MCO,20180413,1.7,1.8,1.6,1.8,1500
MCO,20180412,1.7,1.7,1.7,1.7,500
MCO,20180411,,,,1.8,0
MCO,20180410,1.7,1.8,1.7,1.8,700
MCO,20180409,1.7,1.8,1.7,1.8,7000
MCO,20180406,1.7,1.8,1.7,1.8,4800
MCO,20180405,1.9,1.9,1.7,1.8,1600
MCO,20180404,1.7,1.8,1.7,1.8,10200
MCO,20180403,1.8,1.9,1.8,1.8,2000
MCO,20180402,1.8,1.9,1.8,1.9,400
MCO,20180330,1.8,1.8,1.8,1.8,700
MCO,20180329,1.7,1.9,1.7,1.9,11622
MCO,20180328,1.8,1.8,1.8,1.8,3900
MCO,20180327,1.7,1.9,1.7,1.9,12100
MCO,20180326,1.8,1.8,1.8,1.8,9900
