<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MEL,20180713,,,,8.1,0
MEL,20180712,,,,8.1,0
MEL,20180711,,,,8.1,0
MEL,20180710,,,,8.1,0
MEL,20180709,,,,8.1,0
MEL,20180706,8.1,8.1,8.1,8.1,100
MEL,20180705,8.1,8.1,8.1,8.1,300
MEL,20180704,,,,8.8,0
MEL,20180703,,,,8.8,0
MEL,20180702,,,,8.8,0
MEL,20180629,,,,8.8,0
MEL,20180628,,,,8.8,0
MEL,20180627,,,,8.8,0
MEL,20180626,,,,8.8,0
MEL,20180625,,,,8.8,0
MEL,20180622,,,,8.8,0
MEL,20180621,,,,8.8,0
MEL,20180620,,,,8.8,0
MEL,20180619,,,,8.8,0
MEL,20180618,,,,8.8,0
MEL,20180615,,,,8.8,0
MEL,20180614,8.3,8.8,8.3,8.8,600
MEL,20180613,,,,8.7,0
MEL,20180612,,,,8.7,0
MEL,20180611,,,,8.7,0
MEL,20180608,,,,8.7,0
MEL,20180607,,,,8.7,0
MEL,20180606,,,,8.7,0
MEL,20180605,,,,8.7,0
MEL,20180604,,,,8.7,0
MEL,20180601,,,,8.7,0
MEL,20180531,,,,8.7,0
MEL,20180530,,,,8.7,0
MEL,20180529,,,,8.7,0
MEL,20180528,,,,8.7,0
MEL,20180525,,,,8.7,0
MEL,20180524,,,,8.7,0
MEL,20180523,,,,8.7,0
MEL,20180522,8.7,8.7,8.7,8.7,100
MEL,20180521,8.7,8.7,8.7,8.7,2000
MEL,20180518,,,,8.7,0
MEL,20180517,8.7,8.7,8.7,8.7,500
MEL,20180516,,,,8.7,0
MEL,20180515,,,,8.7,0
MEL,20180514,,,,8.7,0
MEL,20180511,,,,8.7,0
MEL,20180510,,,,8.7,0
MEL,20180509,,,,8.7,0
MEL,20180508,,,,8.7,0
MEL,20180507,,,,8.7,0
MEL,20180504,,,,8.7,0
MEL,20180503,,,,8.7,0
MEL,20180502,,,,8.7,0
MEL,20180427,,,,8.7,0
MEL,20180426,,,,8.7,0
MEL,20180424,,,,8.7,0
MEL,20180423,8.5,8.7,8.5,8.7,1100
MEL,20180420,,,,8.5,0
MEL,20180419,,,,8.5,0
MEL,20180418,,,,8.5,0
MEL,20180417,,,,8.5,0
MEL,20180416,,,,8.5,0
MEL,20180413,,,,8.5,0
MEL,20180412,,,,8.5,0
MEL,20180411,,,,8.5,0
MEL,20180410,,,,8.5,0
MEL,20180409,8.5,8.5,8.5,8.5,2000
MEL,20180406,,,,8.6,0
MEL,20180405,,,,8.6,0
MEL,20180404,,,,8.6,0
MEL,20180403,,,,8.6,0
MEL,20180402,8.6,8.6,8.6,8.6,100
MEL,20180330,,,,8.6,0
MEL,20180329,,,,8.6,0
MEL,20180328,,,,8.6,0
MEL,20180327,,,,8.6,0
MEL,20180326,,,,8.6,0
MEL,20180323,,,,8.6,0
MEL,20180322,8.7,8.7,8.6,8.6,6000
MEL,20180321,8.8,8.8,8.8,8.8,2000
MEL,20180320,8.9,8.9,8.8,8.8,6000
MEL,20180319,8.9,8.9,8.8,8.8,5000
MEL,20180316,8.7,8.9,8.7,8.9,1100
MEL,20180315,8.9,8.9,8.9,8.9,2000
MEL,20180314,,,,8.9,0
MEL,20180313,,,,8.9,0
MEL,20180312,8.9,8.9,8.9,8.9,2000
MEL,20180309,,,,8.9,0
MEL,20180308,,,,8.9,0
MEL,20180307,,,,8.9,0
MEL,20180306,,,,8.9,0
MEL,20180305,,,,8.9,0
MEL,20180302,,,,8.9,0
MEL,20180301,,,,8.9,0
MEL,20180228,,,,8.9,0
MEL,20180227,,,,8.9,0
MEL,20180226,,,,8.9,0
MEL,20180223,,,,8.9,0
MEL,20180222,,,,8.9,0
MEL,20180221,9.0,9.0,8.9,8.9,1700
MEL,20180213,,,,8.9,0
MEL,20180212,,,,8.9,0
MEL,20180209,,,,8.9,0
MEL,20180208,,,,8.9,0
MEL,20180207,,,,8.9,0
MEL,20180206,,,,8.9,0
MEL,20180205,,,,8.9,0
MEL,20180202,,,,8.9,0
MEL,20180201,,,,8.9,0
MEL,20180131,8.9,8.9,8.9,8.9,3700
MEL,20180130,8.9,8.9,8.9,8.9,24000
MEL,20180129,,,,8.9,0
MEL,20180126,8.9,8.9,8.9,8.9,100
MEL,20180125,9.0,9.0,8.9,8.9,3300
MEL,20180122,9.8,9.8,9.8,9.8,100
MEL,20180119,,,,9.7,0
MEL,20180118,9.1,9.7,9.1,9.7,2100
MEL,20180117,,,,9.8,0
MEL,20180116,,,,9.8,0
MEL,20180115,9.8,9.8,9.8,9.8,100
MEL,20180112,9.7,9.7,9.7,9.7,100
MEL,20180111,,,,9.6,0
MEL,20180110,9.6,9.6,9.6,9.6,100
MEL,20180109,9.5,9.5,9.5,9.5,100
MEL,20180108,8.9,9.4,8.9,9.4,1700
MEL,20180105,,,,9.7,0
MEL,20180104,,,,9.7,0
MEL,20180103,,,,9.7,0
MEL,20180102,,,,9.7,0
MEL,20171229,9.7,9.7,9.7,9.7,400
MEL,20171228,9.5,9.5,9.5,9.5,100
MEL,20171227,,,,9.4,0
MEL,20171226,,,,9.4,0
MEL,20171225,9.4,9.4,9.4,9.4,100
MEL,20171222,9.2,9.2,9.2,9.2,100
MEL,20171221,9.0,9.0,9.0,9.0,40700
MEL,20171220,9.2,9.2,9.2,9.2,200
MEL,20171219,9.0,9.0,9.0,9.0,500
MEL,20171218,9.0,9.0,9.0,9.0,200
MEL,20171215,,,,9.0,0
MEL,20171214,,,,9.0,0
MEL,20171213,9.0,9.0,9.0,9.0,700
MEL,20171212,9.0,9.0,9.0,9.0,1500
MEL,20171211,9.0,9.0,9.0,9.0,2000
MEL,20171208,,,,9.3,0
MEL,20171207,9.3,9.3,9.3,9.3,100
MEL,20171206,9.0,9.2,9.0,9.2,5100
MEL,20171205,,,,9.1,0
MEL,20171204,,,,9.1,0
MEL,20171201,9.1,9.1,9.1,9.1,2000
MEL,20171130,9.1,9.1,9.1,9.1,3700
MEL,20171129,9.1,9.2,9.1,9.2,2100
MEL,20171128,9.1,9.1,9.1,9.1,100
MEL,20171127,9.0,9.1,9.0,9.1,9000
MEL,20171124,9.1,9.1,9.1,9.1,2400
MEL,20171123,8.8,9.2,8.7,9.2,26600
MEL,20171122,8.9,9.1,8.8,8.8,18200
MEL,20171121,9.2,9.2,9.1,9.2,6100
MEL,20171120,9.2,9.2,8.9,8.9,12700
MEL,20171117,9.0,9.0,9.0,9.0,4000
MEL,20171116,9.0,9.2,9.0,9.1,14000
MEL,20171115,9.0,9.0,9.0,9.0,10000
MEL,20171114,9.2,9.2,8.9,9.0,14900
MEL,20171113,9.0,9.0,9.0,9.0,11000
MEL,20171110,9.2,9.2,9.0,9.0,5000
MEL,20171109,8.7,9.2,8.6,9.2,9300
MEL,20171108,9.3,9.3,9.0,9.0,12300
MEL,20171107,9.2,9.3,9.2,9.3,4800
MEL,20171106,9.2,9.2,9.0,9.0,14500
MEL,20171103,9.0,9.1,9.0,9.1,6000
MEL,20171102,9.4,9.4,9.0,9.0,17100
MEL,20171101,8.9,9.4,8.9,9.4,10500
MEL,20171031,8.5,9.5,8.5,9.4,13400
