<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MHL,20180713,,,,5.0,0
MHL,20180712,5.0,5.0,5.0,5.0,1000
MHL,20180711,5.4,5.4,5.4,5.4,100
MHL,20180710,,,,5.0,0
MHL,20180709,,,,5.0,0
MHL,20180706,,,,5.0,0
MHL,20180705,5.0,5.0,5.0,5.0,200
MHL,20180704,,,,4.6,0
MHL,20180703,4.5,5.5,4.5,4.6,3900
MHL,20180702,5.0,5.0,5.0,5.0,900
MHL,20180629,5.5,5.5,5.5,5.5,800
MHL,20180628,5.2,6.0,5.2,6.0,1500
MHL,20180627,,,,5.6,0
MHL,20180626,,,,5.6,0
MHL,20180625,5.0,5.6,5.0,5.6,2100
MHL,20180622,,,,5.4,0
MHL,20180621,5.4,5.4,5.4,5.4,1000
MHL,20180620,,,,5.9,0
MHL,20180619,5.9,5.9,5.9,5.9,100
MHL,20180618,,,,5.4,0
MHL,20180615,5.4,5.4,5.4,5.4,18
MHL,20180614,,,,5.4,0
MHL,20180613,,,,5.4,0
MHL,20180612,,,,5.4,0
MHL,20180611,,,,5.4,0
MHL,20180608,5.4,5.4,5.4,5.4,1000
MHL,20180607,,,,5.9,0
MHL,20180606,,,,5.9,0
MHL,20180605,,,,5.9,0
MHL,20180604,,,,5.9,0
MHL,20180601,,,,5.9,0
MHL,20180531,,,,5.9,0
MHL,20180530,,,,5.9,0
MHL,20180529,,,,5.9,0
MHL,20180528,,,,5.9,0
MHL,20180525,,,,5.9,0
MHL,20180524,5.9,5.9,5.9,5.9,100
MHL,20180523,,,,5.4,0
MHL,20180522,,,,5.4,0
MHL,20180521,,,,5.4,0
MHL,20180518,,,,5.4,0
MHL,20180517,,,,5.4,0
MHL,20180516,,,,5.4,0
MHL,20180515,,,,5.4,0
MHL,20180514,,,,5.4,0
MHL,20180511,5.4,5.4,5.4,5.4,100
MHL,20180510,6.0,6.0,6.0,6.0,100
MHL,20180509,5.8,5.8,5.8,5.8,100
MHL,20180508,5.2,5.4,5.1,5.4,3800
MHL,20180507,5.6,5.6,5.6,5.6,500
MHL,20180504,6.2,6.2,6.2,6.2,1000
MHL,20180503,,,,6.8,0
MHL,20180502,6.8,6.8,6.8,6.8,100
MHL,20180427,,,,6.2,0
MHL,20180426,5.3,6.2,5.3,6.2,2100
MHL,20180424,,,,5.7,0
MHL,20180423,5.7,5.7,5.7,5.7,5000
MHL,20180420,6.3,6.3,6.3,6.3,100
MHL,20180419,,,,6.9,0
MHL,20180418,,,,6.9,0
MHL,20180417,,,,6.9,0
MHL,20180416,6.9,6.9,6.9,6.9,100
MHL,20180413,,,,7.6,0
MHL,20180412,,,,7.6,0
MHL,20180411,,,,7.6,0
MHL,20180410,,,,7.6,0
MHL,20180409,7.6,7.6,7.6,7.6,2000
MHL,20180406,7.6,7.6,7.6,7.6,17000
MHL,20180405,7.3,7.3,7.3,7.3,10300
MHL,20180404,6.3,6.8,6.3,6.8,6000
MHL,20180403,,,,6.5,0
