<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MIM,20180713,,,,10.5,0
MIM,20180712,,,,10.5,0
MIM,20180711,,,,10.5,0
MIM,20180710,,,,10.5,0
MIM,20180709,,,,10.5,0
MIM,20180706,,,,10.5,0
MIM,20180705,,,,10.5,0
MIM,20180704,,,,10.5,0
MIM,20180703,,,,10.5,0
MIM,20180702,,,,10.5,0
MIM,20180629,,,,10.5,0
MIM,20180628,,,,10.5,0
MIM,20180627,,,,10.5,0
MIM,20180626,,,,10.5,0
MIM,20180625,,,,10.5,0
MIM,20180622,,,,10.5,0
MIM,20180621,,,,10.5,0
MIM,20180620,,,,10.5,0
MIM,20180619,10.5,10.5,10.5,10.5,200
MIM,20180618,,,,10.5,0
MIM,20180615,,,,10.5,0
MIM,20180614,,,,10.5,0
MIM,20180613,,,,10.5,0
MIM,20180612,,,,10.5,0
MIM,20180611,,,,10.5,0
MIM,20180608,10.5,10.5,10.5,10.5,900
MIM,20180607,11.5,11.5,10.5,10.59,1400
MIM,20180606,10.5,10.5,10.5,10.5,1010
MIM,20180605,,,,9.59,0
MIM,20180604,9.59,9.59,9.59,9.59,25
MIM,20180601,10.5,10.5,9.59,9.59,1115
MIM,20180531,,,,10.5,0
MIM,20180530,,,,10.5,0
MIM,20180529,10.5,10.5,10.5,10.5,200
MIM,20180528,10.96,10.96,10.96,10.96,37
MIM,20180525,,,,10.96,0
MIM,20180524,,,,10.96,0
MIM,20180523,,,,10.96,0
MIM,20180522,10.96,10.96,10.96,10.96,10
MIM,20180521,10.96,10.96,10.96,10.96,100
MIM,20180518,,,,11.69,0
MIM,20180517,,,,11.69,0
MIM,20180516,11.69,11.69,11.69,11.69,87
MIM,20180515,,,,11.69,0
MIM,20180514,,,,11.69,0
MIM,20180511,11.69,11.69,11.69,11.69,10
MIM,20180510,,,,11.69,0
MIM,20180509,,,,11.69,0
MIM,20180508,11.69,11.69,11.69,11.69,10
MIM,20180507,,,,11.69,0
MIM,20180504,11.69,11.69,11.69,11.69,20
MIM,20180503,,,,11.69,0
MIM,20180502,,,,11.69,0
MIM,20180427,,,,11.69,0
MIM,20180426,,,,11.69,0
MIM,20180424,,,,11.69,0
MIM,20180423,,,,11.69,0
MIM,20180420,,,,11.69,0
MIM,20180419,,,,11.69,0
MIM,20180418,,,,11.69,0
MIM,20180417,,,,11.69,0
MIM,20180416,,,,11.69,0
MIM,20180413,,,,11.69,0
MIM,20180412,11.69,11.69,11.69,11.69,1000
MIM,20180411,11.14,11.14,11.14,11.14,1800
MIM,20180410,12.33,12.33,12.33,12.33,1000
MIM,20180409,12.42,12.42,12.33,12.33,1700
MIM,20180406,,,,12.24,0
MIM,20180405,,,,12.24,0
MIM,20180404,,,,12.24,0
MIM,20180403,,,,12.24,0
MIM,20180402,,,,12.24,0
MIM,20180330,,,,12.24,0
MIM,20180329,,,,12.24,0
MIM,20180328,,,,12.24,0
MIM,20180327,12.23,12.23,12.23,12.24,100
MIM,20180326,,,,13.51,0
MIM,20180323,,,,13.51,0
MIM,20180322,13.51,13.51,13.51,13.51,900
MIM,20180321,,,,13.51,0
MIM,20180320,,,,13.51,0
MIM,20180319,,,,13.51,0
MIM,20180316,,,,13.51,0
MIM,20180315,,,,13.51,0
MIM,20180314,,,,13.51,0
MIM,20180313,,,,13.51,0
MIM,20180312,,,,13.51,0
MIM,20180309,,,,13.51,0
MIM,20180308,,,,13.51,0
MIM,20180307,,,,13.51,0
MIM,20180306,,,,13.51,0
MIM,20180305,,,,13.51,0
MIM,20180302,,,,13.51,0
MIM,20180301,,,,13.51,0
MIM,20180228,,,,13.51,0
MIM,20180227,,,,13.51,0
MIM,20180226,,,,13.51,0
MIM,20180223,,,,13.51,0
MIM,20180222,,,,13.51,0
MIM,20180221,,,,13.51,0
MIM,20180213,13.52,13.52,13.52,13.51,100
MIM,20180212,,,,12.33,0
MIM,20180209,,,,12.33,0
MIM,20180208,12.33,12.33,12.33,12.33,100
MIM,20180207,,,,13.7,0
MIM,20180206,,,,13.7,0
MIM,20180205,,,,13.7,0
MIM,20180202,,,,13.7,0
MIM,20180201,,,,13.7,0
MIM,20180131,,,,13.7,0
MIM,20180130,,,,13.7,0
MIM,20180129,12.33,13.7,12.33,13.7,200
MIM,20180126,,,,13.7,0
MIM,20180125,,,,13.7,0
MIM,20180122,13.7,13.7,13.24,13.7,213190
