<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MWG,20180713,104.4,105.9,103.1,105.0,325760
MWG,20180712,102.0,105.0,100.2,102.0,286890
MWG,20180711,102.0,104.0,100.0,101.0,488530
MWG,20180710,104.6,106.5,104.0,104.9,301970
MWG,20180709,107.0,108.5,104.0,105.0,328540
MWG,20180706,102.0,108.0,100.3,106.5,567910
MWG,20180705,104.5,105.0,100.0,101.7,558520
MWG,20180704,101.8,104.5,99.6,104.5,779570
MWG,20180703,107.1,108.5,100.1,100.1,1075280
MWG,20180702,113.0,113.0,107.0,107.0,1026590
MWG,20180629,115.0,116.5,114.0,114.0,491140
MWG,20180628,116.6,117.9,114.1,114.7,638030
MWG,20180627,120.0,122.2,118.0,118.0,817170
MWG,20180626,119.3,120.8,117.8,120.0,441230
MWG,20180625,120.0,122.9,120.0,120.9,705100
MWG,20180622,114.0,116.9,112.3,116.9,476580
MWG,20180621,116.7,117.5,114.0,114.0,516060
MWG,20180620,115.1,116.9,114.0,115.8,411110
MWG,20180619,115.5,117.4,109.8,115.0,1911210
MWG,20180618,123.9,125.5,118.0,118.0,1070590
MWG,20180615,123.0,124.7,121.2,123.8,481440
MWG,20180614,122.0,126.0,122.0,123.0,790730
MWG,20180613,121.0,122.8,120.1,122.6,697380
MWG,20180612,120.3,121.5,116.6,120.1,1008440
MWG,20180611,119.5,124.0,118.8,122.7,863640
MWG,20180608,116.0,121.9,115.5,121.0,1050630
MWG,20180607,118.4,118.8,116.1,116.4,586210
MWG,20180606,111.0,118.5,110.9,118.5,1622250
MWG,20180605,109.0,111.2,108.5,110.9,550980
MWG,20180604,109.0,111.5,108.0,109.0,528750
MWG,20180601,106.0,109.0,104.6,109.0,607160
MWG,20180531,103.0,106.2,102.3,106.2,340200
MWG,20180530,105.0,106.0,102.3,103.0,440950
MWG,20180529,102.3,107.0,101.0,105.0,551780
MWG,20180528,108.0,109.0,102.3,102.3,1155930
MWG,20180525,113.6,114.0,110.0,110.0,611380
MWG,20180524,113.9,114.8,112.2,113.7,681070
MWG,20180523,109.0,113.0,107.7,113.0,872610
MWG,20180522,110.1,110.4,106.7,109.0,423890
MWG,20180521,109.0,112.0,108.0,110.3,1188460
