<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NAF,20180713,12.9,13.0,12.8,12.9,58660
NAF,20180712,12.9,13.0,12.75,12.9,62000
NAF,20180711,12.9,13.0,12.7,12.75,63920
NAF,20180710,12.9,13.2,12.8,12.8,58820
NAF,20180709,12.9,13.1,12.8,12.9,54290
NAF,20180706,12.7,12.9,12.65,12.85,72370
NAF,20180705,12.8,12.8,12.6,12.65,58700
NAF,20180704,12.7,12.9,12.7,12.7,60680
NAF,20180703,12.7,12.9,12.55,12.65,50240
NAF,20180702,12.7,12.8,12.4,12.7,55770
NAF,20180629,12.5,12.7,12.4,12.7,50100
NAF,20180628,12.5,12.7,12.4,12.5,55260
NAF,20180627,12.7,13.0,12.2,12.6,58550
NAF,20180626,13.1,13.1,12.6,12.8,58980
NAF,20180625,12.8,13.2,12.8,13.1,55350
NAF,20180622,12.7,12.9,12.6,12.9,61470
NAF,20180621,12.9,13.0,12.6,12.7,53690
NAF,20180620,12.3,12.4,12.1,12.35,45580
NAF,20180619,12.5,12.6,12.3,12.3,44510
NAF,20180618,12.8,12.9,12.5,12.6,59700
NAF,20180615,13.1,13.1,12.25,12.8,53990
NAF,20180614,13.2,13.4,13.1,13.15,54630
NAF,20180613,13.3,13.4,13.0,13.2,55980
NAF,20180612,13.5,13.5,13.0,13.1,53410
NAF,20180611,13.3,13.8,13.3,13.4,62480
NAF,20180608,13.2,13.5,13.2,13.3,48720
NAF,20180607,13.2,13.6,13.2,13.3,52170
NAF,20180606,13.2,13.5,13.0,13.3,45800
NAF,20180605,13.6,13.7,13.15,13.2,66450
NAF,20180604,13.5,13.7,13.5,13.6,38040
NAF,20180601,13.3,13.7,13.3,13.5,57380
NAF,20180531,13.4,13.5,13.2,13.2,48220
NAF,20180530,13.3,13.6,13.3,13.4,73000
NAF,20180529,13.05,13.3,12.9,13.3,46890
NAF,20180528,13.1,13.2,13.05,13.05,49090
NAF,20180525,13.4,13.4,13.2,13.3,46490
NAF,20180524,13.5,13.5,13.25,13.3,45760
NAF,20180523,13.7,13.9,13.35,13.35,54450
NAF,20180522,13.6,13.6,13.1,13.4,45580
NAF,20180521,13.9,13.9,13.5,13.6,44500
NAF,20180518,13.8,13.8,13.4,13.8,53280
NAF,20180517,13.9,14.0,13.7,13.7,50600
NAF,20180516,14.0,14.1,13.65,13.9,51970
NAF,20180515,14.0,14.3,14.0,14.1,59960
NAF,20180514,13.8,14.0,13.8,14.0,49690
NAF,20180511,13.7,14.1,13.5,13.8,64400
NAF,20180510,14.0,14.1,13.0,13.7,48230
NAF,20180509,13.9,14.2,13.9,13.9,53940
NAF,20180508,14.0,14.3,13.8,14.0,54760
NAF,20180507,13.8,14.0,13.7,14.0,54000
NAF,20180504,13.8,14.1,13.6,13.8,54490
NAF,20180503,13.9,13.9,13.6,13.8,56990
NAF,20180502,13.9,14.0,13.8,13.8,53070
NAF,20180427,13.9,14.0,13.8,13.95,43510
NAF,20180426,14.0,14.05,13.9,13.95,53780
NAF,20180424,14.0,14.1,13.6,14.1,55380
NAF,20180423,14.5,14.7,14.0,14.0,57420
NAF,20180420,14.5,14.7,14.5,14.5,59020
NAF,20180419,14.4,14.5,14.25,14.4,57980
NAF,20180418,14.29,14.48,14.29,14.29,47740
NAF,20180417,14.39,14.48,14.19,14.29,50970
NAF,20180416,14.38,14.48,14.19,14.29,53710
NAF,20180413,14.48,14.67,14.38,14.38,51300
NAF,20180412,14.29,14.67,14.29,14.48,64920
NAF,20180411,14.38,14.48,14.28,14.29,49790
