<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NBC,20180713,6.0,6.1,6.0,6.0,10400
NBC,20180712,5.9,6.0,5.9,6.0,25100
NBC,20180711,6.0,6.0,6.0,6.0,3100
NBC,20180710,6.0,6.1,6.0,6.1,7800
NBC,20180709,6.1,6.1,6.1,6.1,200
NBC,20180706,6.0,6.1,6.0,6.1,6090
NBC,20180705,6.1,6.1,5.9,6.0,13400
NBC,20180704,6.0,6.2,6.0,6.2,6900
NBC,20180703,6.2,6.2,5.7,6.2,72659
NBC,20180702,6.0,6.4,6.0,6.3,49900
NBC,20180629,6.2,6.2,6.2,6.2,1400
NBC,20180628,6.2,6.4,6.1,6.2,19100
NBC,20180627,6.1,6.2,6.1,6.2,6200
NBC,20180626,6.0,6.1,6.0,6.0,4600
NBC,20180625,6.0,6.1,6.0,6.1,2950
NBC,20180622,6.0,6.1,6.0,6.1,9503
NBC,20180621,6.0,6.0,6.0,6.0,400
NBC,20180620,6.0,6.1,6.0,6.0,2400
NBC,20180619,6.0,6.0,5.9,6.0,25300
NBC,20180618,6.0,6.2,6.0,6.2,2200
NBC,20180615,6.1,6.1,6.0,6.1,5000
NBC,20180614,6.0,6.2,6.0,6.2,37000
NBC,20180613,6.0,6.0,6.0,6.0,2600
NBC,20180612,6.0,6.1,5.9,6.1,30500
NBC,20180611,6.1,6.1,6.1,6.1,2600
NBC,20180608,6.1,6.1,6.0,6.1,36080
NBC,20180607,6.1,6.1,6.0,6.1,135600
NBC,20180606,6.1,6.1,6.0,6.1,22350
NBC,20180605,6.1,6.2,6.0,6.2,49000
NBC,20180604,6.2,6.2,6.1,6.1,16985
NBC,20180601,6.2,6.3,6.0,6.3,51000
NBC,20180531,6.0,6.4,5.9,6.4,56600
NBC,20180530,6.0,6.1,5.9,6.0,36400
NBC,20180529,5.9,6.1,5.9,6.0,6100
NBC,20180528,6.1,6.2,6.0,6.1,16510
NBC,20180525,6.2,6.6,6.2,6.3,32600
NBC,20180524,6.19,6.28,6.1,6.1,153500
NBC,20180523,6.1,6.27,6.1,6.19,174033
NBC,20180522,6.19,6.28,5.93,6.1,66231
NBC,20180521,6.36,6.36,6.18,6.19,92421
NBC,20180518,6.27,6.27,6.18,6.27,92134
NBC,20180517,6.44,6.44,6.27,6.27,301500
NBC,20180516,6.45,6.53,6.27,6.44,133600
NBC,20180515,6.44,6.44,6.27,6.36,27800
NBC,20180514,6.27,6.62,6.27,6.53,21800
NBC,20180511,6.27,6.36,6.27,6.36,13100
NBC,20180510,6.36,6.36,6.27,6.36,58600
NBC,20180509,6.27,6.36,6.27,6.36,19000
NBC,20180508,6.36,6.36,6.19,6.36,6321
NBC,20180507,6.27,6.44,6.18,6.36,20400
NBC,20180504,6.27,6.44,6.27,6.44,6800
NBC,20180503,6.27,6.36,6.27,6.27,14810
NBC,20180502,6.36,6.53,6.27,6.36,84300
NBC,20180427,6.36,6.45,6.27,6.36,20200
NBC,20180426,6.44,6.7,6.35,6.36,85200
NBC,20180424,6.35,6.44,6.35,6.44,8800
NBC,20180423,6.44,6.44,6.35,6.44,10500
NBC,20180420,6.36,6.45,6.36,6.44,47600
NBC,20180419,6.36,6.36,6.27,6.36,34700
NBC,20180418,6.35,6.53,6.35,6.36,41229
NBC,20180417,6.44,6.44,6.35,6.44,103274
NBC,20180416,6.44,6.7,6.44,6.44,102500
NBC,20180413,6.44,6.7,6.44,6.44,130200
NBC,20180412,6.35,6.44,6.35,6.44,22000
NBC,20180411,6.44,6.53,6.27,6.44,114110
NBC,20180410,6.36,6.45,6.19,6.44,62810
NBC,20180409,6.19,6.45,6.19,6.36,323054
NBC,20180406,5.92,6.18,5.92,6.19,162700
NBC,20180405,6.01,6.01,6.01,6.01,8700
NBC,20180404,6.01,6.01,5.84,6.01,23300
NBC,20180403,6.01,6.1,6.01,6.1,19200
NBC,20180402,6.01,6.01,6.01,6.01,13500
NBC,20180330,5.92,6.01,5.92,6.01,56800
NBC,20180329,6.01,6.01,5.84,6.01,38300
NBC,20180328,6.1,6.1,5.92,6.01,15121
NBC,20180327,6.02,6.02,5.93,6.01,42300
NBC,20180326,6.02,6.19,6.02,6.19,26600
NBC,20180323,6.01,6.19,6.01,6.19,14700
NBC,20180322,6.19,6.28,6.1,6.1,54700
NBC,20180321,6.18,6.27,6.18,6.19,18900
NBC,20180320,6.18,6.27,6.1,6.27,59100
NBC,20180319,6.28,6.28,6.19,6.27,83600
NBC,20180316,6.36,6.36,6.19,6.19,86829
NBC,20180315,6.36,6.36,6.27,6.36,12400
NBC,20180314,6.35,6.35,6.27,6.36,33000
NBC,20180313,6.44,6.44,6.36,6.44,2200
NBC,20180312,6.18,6.53,6.18,6.53,238600
NBC,20180309,6.27,6.27,6.18,6.27,28300
NBC,20180308,6.36,6.36,6.27,6.27,18800
NBC,20180307,6.36,6.36,6.27,6.36,12800
NBC,20180306,6.27,6.45,6.19,6.36,116800
NBC,20180305,6.61,6.61,6.27,6.36,314621
NBC,20180302,6.78,6.87,6.61,6.7,47115
NBC,20180301,7.56,7.73,6.87,6.87,5026614
NBC,20180228,7.05,7.56,6.96,7.56,217520
NBC,20180227,6.87,6.96,6.78,6.96,26200
NBC,20180226,6.87,6.87,6.78,6.87,23800
NBC,20180223,6.79,6.88,6.53,6.87,24300
NBC,20180222,6.79,6.79,6.79,6.79,499
NBC,20180221,6.44,6.87,6.44,6.79,18210
NBC,20180213,6.71,6.71,6.62,6.7,7600
NBC,20180212,6.62,6.62,6.36,6.62,19400
NBC,20180209,6.45,6.62,6.19,6.62,42326
NBC,20180208,6.7,6.7,6.53,6.62,32700
NBC,20180207,6.78,7.04,6.44,6.7,19050
NBC,20180206,6.44,6.7,6.36,6.44,55438
NBC,20180205,6.79,6.79,6.53,6.7,18454
NBC,20180202,6.7,6.78,6.7,6.79,14673
NBC,20180201,6.78,6.87,6.61,6.87,30500
NBC,20180131,6.87,6.87,6.61,6.87,24900
NBC,20180130,6.78,6.87,6.7,6.87,15200
NBC,20180129,6.88,6.96,6.7,6.87,18600
NBC,20180126,6.87,7.05,6.79,6.79,81005
NBC,20180125,6.96,7.3,6.87,6.96,179200
