<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NDX,20180713,13.4,13.4,13.2,13.4,11600
NDX,20180712,13.3,13.4,13.3,13.3,9400
NDX,20180711,13.6,13.7,13.4,13.5,10800
NDX,20180710,13.7,13.9,13.3,13.9,9900
NDX,20180709,13.6,13.9,13.3,13.9,10020
NDX,20180706,13.3,13.6,13.2,13.6,10700
NDX,20180705,13.7,13.7,13.0,13.7,12700
NDX,20180704,14.3,14.3,13.5,13.9,14500
NDX,20180703,14.3,14.3,13.5,14.3,14700
NDX,20180702,14.3,14.5,13.2,14.5,19700
NDX,20180629,14.5,14.6,14.0,14.6,9000
NDX,20180628,14.5,14.7,14.3,14.7,7100
NDX,20180627,14.9,14.9,14.1,14.9,7600
NDX,20180626,15.1,15.1,13.9,13.9,15000
NDX,20180625,15.3,15.3,14.5,15.2,9600
NDX,20180622,15.4,15.4,14.5,15.1,11100
NDX,20180621,15.5,15.5,14.8,15.5,12300
NDX,20180620,14.6,16.2,14.6,16.2,11200
NDX,20180619,14.3,15.0,14.3,15.0,20300
NDX,20180618,14.5,14.5,14.3,14.5,15800
NDX,20180615,14.61,14.61,13.13,13.65,13300
NDX,20180614,14.69,14.69,14.17,14.52,11100
NDX,20180613,14.79,14.79,14.79,14.78,10000
NDX,20180612,14.35,15.57,14.35,15.57,11817
NDX,20180611,14.52,14.52,14.09,14.35,16100
NDX,20180608,14.52,14.52,14.52,14.52,14000
NDX,20180607,14.78,15.04,14.44,14.43,17600
NDX,20180606,14.96,14.96,14.87,14.87,11100
NDX,20180605,14.78,14.95,14.78,14.96,15000
NDX,20180604,14.78,14.78,14.78,14.78,9060
NDX,20180601,14.78,15.04,14.78,14.78,17310
NDX,20180531,14.78,15.13,14.78,15.13,10800
NDX,20180530,14.78,15.13,14.78,15.13,15100
NDX,20180529,14.96,14.96,14.7,14.78,14060
NDX,20180528,14.52,15.22,14.52,15.22,17000
NDX,20180525,15.82,15.82,14.52,15.74,10200
NDX,20180524,14.43,14.43,14.43,14.43,10000
NDX,20180523,14.52,14.52,14.43,14.43,12000
NDX,20180522,14.61,14.61,14.52,14.52,13000
NDX,20180521,14.87,14.87,14.61,14.87,16600
NDX,20180518,15.04,15.04,14.87,14.87,11100
NDX,20180517,15.57,15.57,15.05,15.04,25100
NDX,20180516,15.74,15.74,15.48,15.48,28000
NDX,20180515,16.0,16.0,15.83,15.83,21000
NDX,20180514,16.08,16.17,15.82,16.09,28100
NDX,20180511,16.09,16.18,15.83,16.17,50200
NDX,20180510,16.09,16.09,16.09,16.09,50100
NDX,20180509,16.09,16.52,16.09,16.52,50110
NDX,20180508,16.08,16.52,16.08,16.52,50200
NDX,20180507,15.92,16.18,15.92,16.17,50400
NDX,20180504,16.27,16.27,16.09,16.09,50200
NDX,20180503,16.87,16.96,16.69,16.7,50110
NDX,20180502,14.44,16.26,13.48,16.26,48900
NDX,20180427,15.92,15.92,14.61,14.87,13500
NDX,20180426,14.95,14.95,14.69,14.7,6100
NDX,20180424,15.05,15.05,14.53,14.78,13100
NDX,20180423,15.39,15.39,13.83,13.83,17200
NDX,20180420,15.22,15.3,15.13,15.13,10900
NDX,20180419,15.22,15.57,15.14,15.13,29000
NDX,20180418,15.56,15.56,15.13,15.57,8500
NDX,20180417,15.48,15.48,14.7,15.39,75000
NDX,20180416,15.48,15.48,14.61,15.48,27300
NDX,20180413,16.35,16.35,13.74,15.57,21900
NDX,20180412,15.39,15.57,14.79,15.13,26100
NDX,20180411,15.48,15.48,14.44,14.96,27500
NDX,20180410,15.3,15.65,14.78,15.22,32424
NDX,20180409,15.4,15.48,14.09,15.13,32300
NDX,20180406,17.22,17.22,14.87,15.57,35520
NDX,20180405,17.3,18.52,15.22,16.52,100100
NDX,20180404,16.09,17.31,16.09,16.87,88446
NDX,20180403,14.52,15.74,14.44,15.74,52144
NDX,20180402,14.0,14.35,13.22,14.35,22200
NDX,20180330,13.83,14.26,13.05,14.0,24320
NDX,20180329,13.05,13.83,12.96,13.83,17004
NDX,20180328,13.05,13.22,12.87,13.22,28400
NDX,20180327,12.69,13.04,12.69,12.96,26900
NDX,20180326,12.7,12.79,12.7,12.78,6000
NDX,20180323,12.61,12.96,12.61,12.96,34500
NDX,20180322,12.61,13.13,12.61,13.13,27100
NDX,20180321,12.44,13.48,12.44,13.48,25500
NDX,20180320,12.61,12.95,12.61,12.96,27330
NDX,20180319,13.39,13.83,12.18,12.78,29900
NDX,20180316,12.18,13.48,12.0,12.96,34370
NDX,20180315,12.0,12.6,11.91,12.61,42513
NDX,20180314,11.91,12.95,11.82,12.17,23000
NDX,20180313,11.74,12.52,11.56,12.52,23800
NDX,20180312,10.78,12.52,10.78,12.26,24400
NDX,20180309,11.82,12.0,11.74,11.91,23600
NDX,20180308,11.82,12.17,11.65,12.17,21200
NDX,20180307,11.83,12.17,11.74,12.17,21200
NDX,20180306,12.52,12.52,11.48,12.26,20211
NDX,20180305,12.09,12.35,11.22,12.35,20200
NDX,20180302,12.0,12.44,12.0,12.09,16500
NDX,20180301,11.91,12.08,11.91,12.09,13800
NDX,20180228,12.0,12.0,11.82,11.91,18400
NDX,20180227,12.0,12.17,11.74,12.17,21311
NDX,20180226,11.83,12.26,11.74,12.26,19200
NDX,20180223,12.17,12.35,11.82,12.35,19403
NDX,20180222,12.09,12.78,11.74,12.78,23400
NDX,20180221,12.34,12.95,11.56,12.87,20600
NDX,20180213,11.74,12.17,11.56,12.17,22300
NDX,20180212,11.56,12.17,11.39,12.17,19000
