<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NHA,20180713,9.2,9.2,8.5,8.6,40300
NHA,20180712,9.1,9.1,8.5,8.5,6544
NHA,20180711,8.7,9.0,8.7,9.0,10564
NHA,20180710,9.1,9.1,9.0,9.0,46900
NHA,20180709,8.9,8.9,8.8,8.9,16700
NHA,20180706,8.8,9.0,8.8,9.0,3400
NHA,20180705,8.7,8.8,8.5,8.8,1600
NHA,20180704,8.0,8.5,8.0,8.5,1300
NHA,20180703,8.6,9.0,8.3,8.4,12500
NHA,20180702,8.7,9.1,8.6,9.1,2548
NHA,20180629,9.2,9.2,9.2,9.2,1600
NHA,20180628,8.8,9.2,8.8,9.2,10500
NHA,20180627,8.8,9.3,8.8,9.3,49200
NHA,20180626,8.8,9.3,8.7,9.3,3000
NHA,20180625,8.7,9.4,8.7,9.4,1800
NHA,20180622,9.4,9.4,8.8,9.4,6500
NHA,20180621,9.2,9.6,9.2,9.4,10600
NHA,20180620,9.2,9.2,8.5,9.0,6600
NHA,20180619,9.4,9.4,9.3,9.3,200
NHA,20180618,9.4,9.4,9.4,9.4,2500
NHA,20180615,9.0,9.1,8.6,9.1,20400
NHA,20180614,9.0,9.1,8.5,8.6,53800
NHA,20180613,8.8,9.1,8.8,9.1,4300
NHA,20180612,,,,8.9,0
NHA,20180611,8.6,9.1,8.5,8.9,22512
NHA,20180608,8.4,8.4,8.3,8.4,6005
NHA,20180607,9.0,9.0,8.4,8.4,3700
NHA,20180606,9.0,9.0,8.7,8.9,1100
NHA,20180605,9.2,9.2,9.2,9.2,100
NHA,20180604,8.9,8.9,8.5,8.5,900
NHA,20180601,8.9,8.9,8.9,8.9,308
NHA,20180531,8.6,9.0,8.1,9.0,29400
NHA,20180530,9.0,9.1,8.5,8.5,51900
NHA,20180529,8.2,9.2,8.2,9.2,33900
NHA,20180528,9.0,9.0,8.3,9.0,35200
NHA,20180525,9.1,9.7,9.0,9.0,8600
NHA,20180524,10.2,10.2,9.7,9.7,420
NHA,20180523,9.8,10.5,9.0,9.7,50000
NHA,20180522,9.8,9.8,9.2,9.7,2900
NHA,20180521,9.9,9.9,9.8,9.8,605
NHA,20180518,9.1,9.9,9.1,9.9,30000
NHA,20180517,9.7,9.7,9.7,9.7,300
NHA,20180516,9.9,10.2,9.0,9.4,21000
NHA,20180515,10.5,10.5,9.8,10.0,5900
NHA,20180514,10.0,10.0,9.8,9.8,6200
NHA,20180511,10.4,10.9,10.3,10.6,54100
NHA,20180510,9.5,10.2,9.5,10.2,3700
NHA,20180509,9.06,9.4,9.06,9.4,8320
NHA,20180508,9.22,9.48,8.88,8.97,13500
NHA,20180507,9.4,9.48,9.22,9.48,44700
NHA,20180504,9.48,9.48,9.05,9.31,19200
NHA,20180503,8.96,9.39,8.88,9.05,17900
NHA,20180502,10.26,10.26,8.79,9.48,35600
NHA,20180427,9.14,9.57,8.97,9.57,22600
NHA,20180426,9.22,10.0,9.05,9.66,6100
NHA,20180424,9.92,9.92,9.31,9.74,2400
NHA,20180423,9.57,9.65,9.39,9.66,4500
NHA,20180420,9.75,10.09,9.75,9.91,30000
NHA,20180419,9.75,10.09,9.75,10.09,15700
NHA,20180418,10.09,10.18,10.0,10.09,8200
NHA,20180417,10.09,10.09,10.09,10.09,100
NHA,20180416,9.92,10.0,9.92,10.0,400
NHA,20180413,10.17,10.17,9.57,10.09,3180
NHA,20180412,9.57,9.91,9.48,9.57,6200
NHA,20180411,9.91,10.26,9.22,10.17,12400
NHA,20180410,10.0,10.35,9.92,10.17,2500
NHA,20180409,10.26,10.26,10.0,10.09,2780
NHA,20180406,10.0,10.26,9.92,10.26,2220
NHA,20180405,10.25,10.25,9.91,10.26,3100
NHA,20180404,10.0,10.35,9.92,10.34,3100
NHA,20180403,10.17,10.25,10.0,10.26,2300
NHA,20180402,10.25,10.34,10.17,10.34,1900
NHA,20180330,10.34,10.34,10.17,10.34,26800
NHA,20180329,10.34,10.34,10.0,10.17,23400
NHA,20180328,10.34,10.34,10.08,10.17,15200
NHA,20180327,10.43,10.43,10.17,10.34,21600
NHA,20180326,10.26,10.43,9.92,9.91,2800
NHA,20180323,10.26,10.26,10.26,10.26,100
NHA,20180322,10.09,10.52,10.09,10.52,300
NHA,20180321,10.68,10.68,10.25,10.43,12300
NHA,20180320,10.95,10.95,10.17,10.34,51700
NHA,20180319,10.86,10.86,10.17,10.26,36800
NHA,20180316,10.35,10.35,9.92,10.26,25800
NHA,20180315,10.08,10.08,9.39,9.66,10300
NHA,20180314,9.14,10.26,9.06,9.22,31400
NHA,20180313,9.14,9.4,9.14,9.4,4970
NHA,20180312,8.88,9.14,8.88,9.14,300
NHA,20180309,9.22,9.22,8.88,8.97,88100
NHA,20180308,9.39,9.39,9.31,9.31,30000
NHA,20180307,9.48,9.91,9.48,9.48,49000
NHA,20180306,9.05,9.05,9.05,9.05,12100
NHA,20180305,9.14,9.39,9.05,9.05,13300
NHA,20180302,9.14,9.49,9.14,9.48,16100
NHA,20180301,9.39,9.39,9.31,9.4,9070
NHA,20180228,9.48,9.48,9.48,9.48,100
NHA,20180227,9.31,9.48,9.05,9.05,10600
NHA,20180226,9.66,9.66,9.14,9.48,1410
NHA,20180223,9.22,9.48,9.05,9.4,22300
NHA,20180222,9.31,9.31,9.31,9.31,2500
NHA,20180221,9.4,9.66,9.4,9.66,1000
NHA,20180213,9.65,9.65,9.65,9.66,100
NHA,20180212,9.39,9.74,9.31,9.74,3700
NHA,20180209,8.7,9.22,8.27,9.22,5100
NHA,20180208,9.4,9.4,8.79,8.79,9000
NHA,20180207,8.88,8.88,8.88,8.88,3500
NHA,20180206,8.62,9.48,8.53,9.48,49100
NHA,20180205,9.57,9.57,9.31,9.48,7900
NHA,20180202,9.74,9.74,9.31,9.66,15900
NHA,20180201,9.48,9.74,9.4,9.74,6200
NHA,20180131,9.57,9.74,9.48,9.74,5600
NHA,20180130,9.66,9.74,9.48,9.74,6600
NHA,20180129,10.0,10.0,9.57,9.57,4410
NHA,20180126,9.91,10.0,9.83,10.0,5002
NHA,20180125,9.66,10.09,9.66,10.0,22700
NHA,20180122,9.48,10.26,9.48,10.17,14800
NHA,20180119,10.34,10.34,9.48,9.74,13600
NHA,20180118,10.43,10.43,10.34,10.34,1000
NHA,20180117,10.51,10.51,10.17,10.43,3300
NHA,20180116,10.43,10.86,10.17,10.17,22300
NHA,20180115,10.25,10.34,10.08,10.34,20818
NHA,20180112,,,,9.91,0
NHA,20180111,9.91,9.91,9.82,9.91,5302
NHA,20180110,10.09,10.09,9.75,9.91,4900
NHA,20180109,9.91,10.08,9.74,10.09,8900
NHA,20180108,9.75,9.92,9.49,9.91,19300
NHA,20180105,9.74,10.09,9.66,9.66,14300
NHA,20180104,9.74,9.91,9.74,9.83,3100
NHA,20180103,9.91,10.17,9.74,10.17,6508
NHA,20180102,10.17,10.17,10.17,10.17,101
NHA,20171229,9.65,10.08,9.65,9.91,2270
NHA,20171228,9.74,9.91,9.74,9.74,83210
NHA,20171227,10.09,10.17,9.91,9.91,10300
NHA,20171226,10.0,10.0,10.0,10.0,100
NHA,20171225,9.66,9.83,9.66,9.83,74800
NHA,20171222,9.74,9.74,9.65,9.66,7600
NHA,20171221,9.66,9.92,9.66,9.74,19600
NHA,20171220,9.83,9.83,9.83,9.83,4000
NHA,20171219,9.91,9.91,9.83,9.83,6401
NHA,20171218,10.34,10.34,9.82,10.0,4500
NHA,20171215,9.48,9.91,9.48,9.91,18000
NHA,20171214,9.57,9.74,9.48,9.74,7200
NHA,20171213,9.91,9.91,9.48,9.48,600
NHA,20171212,9.49,9.49,8.97,9.48,32300
NHA,20171211,9.83,9.83,9.83,9.83,1010
NHA,20171208,9.83,9.83,9.83,9.83,8000
NHA,20171207,10.0,10.09,9.74,10.09,4623
NHA,20171206,10.09,10.09,9.83,10.0,2500
NHA,20171205,10.26,10.26,9.83,10.09,36820
NHA,20171204,11.12,11.12,10.08,10.09,42530
NHA,20171201,10.09,10.18,10.09,10.17,6400
NHA,20171130,10.0,10.09,9.92,10.09,44600
NHA,20171129,10.17,10.26,10.0,10.26,4000
NHA,20171128,10.25,10.25,10.17,10.26,5400
NHA,20171127,10.0,10.34,10.0,10.34,48800
NHA,20171124,10.0,10.0,9.83,10.0,16745
NHA,20171123,9.91,10.0,9.91,10.0,7800
NHA,20171122,10.0,10.0,10.0,10.0,1000
NHA,20171121,10.51,10.51,9.91,10.0,5600
NHA,20171120,10.34,10.34,10.17,10.17,716
NHA,20171117,11.21,11.56,10.35,10.86,9422
NHA,20171116,10.34,11.03,10.34,10.78,52582
NHA,20171115,10.26,10.26,10.0,10.17,13100
NHA,20171114,9.65,10.34,9.65,10.26,17900
NHA,20171113,9.75,10.44,9.75,10.34,15810
NHA,20171110,9.48,9.65,9.48,9.66,11200
NHA,20171109,9.57,10.6,9.57,9.91,16560
NHA,20171108,9.92,10.26,9.92,10.26,5120
NHA,20171107,10.51,10.51,10.08,10.09,28455
NHA,20171106,10.78,10.78,10.09,10.6,5310
NHA,20171103,9.57,10.78,9.57,10.78,7460
NHA,20171102,10.25,10.25,9.48,9.83,27900
NHA,20171101,9.31,10.68,9.31,10.34,21400
NHA,20171031,10.34,10.34,10.08,10.34,25500
NHA,20171030,9.92,10.78,9.92,10.34,6510
NHA,20171027,9.92,10.78,9.92,10.78,30810
NHA,20171026,10.78,10.78,10.0,10.26,57050
NHA,20171025,10.95,11.12,10.78,10.78,23100
NHA,20171024,11.21,11.21,11.04,11.12,10300
NHA,20171023,11.04,11.3,11.04,11.21,18500
NHA,20171020,11.47,11.73,11.21,11.64,36300
NHA,20171019,11.64,11.64,11.64,11.64,600
NHA,20171018,11.55,11.9,11.38,11.9,3900
NHA,20171017,11.89,11.98,11.81,11.81,24100
NHA,20171016,11.81,11.98,11.72,11.98,23300
NHA,20171013,11.9,11.9,11.73,11.72,18700
NHA,20171012,12.42,12.42,11.73,12.07,69800
NHA,20171011,11.98,12.33,11.9,12.16,55220
NHA,20171010,11.72,11.89,11.72,11.81,28346
NHA,20171009,12.59,12.59,11.55,11.72,42500
NHA,20171006,11.63,11.72,11.63,11.64,13100
NHA,20171005,11.64,11.73,11.55,11.72,3300
