<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NKG,20180713,13.4,13.75,13.35,13.75,51870
NKG,20180712,13.25,13.4,13.1,13.25,113860
NKG,20180711,13.7,13.9,13.1,13.15,177760
NKG,20180710,14.05,14.05,13.7,13.7,42390
NKG,20180709,14.0,14.15,13.8,13.9,138200
NKG,20180706,13.85,13.95,13.4,13.8,87150
NKG,20180705,14.0,14.45,13.4,13.4,86430
NKG,20180704,14.9,14.9,14.2,14.4,69140
NKG,20180703,14.75,15.15,14.3,14.3,84730
NKG,20180702,15.8,15.8,14.65,15.05,174650
NKG,20180629,16.05,16.3,15.6,15.6,182090
NKG,20180628,16.25,16.45,15.9,16.0,219290
NKG,20180627,16.5,16.95,16.3,16.3,68740
NKG,20180626,16.5,16.8,16.45,16.6,47030
NKG,20180625,17.4,17.4,16.5,16.8,104900
NKG,20180622,16.65,17.0,16.6,17.0,62310
NKG,20180621,17.5,17.5,16.65,16.95,66670
NKG,20180620,15.9,17.0,15.85,17.0,154730
NKG,20180619,16.3,16.4,15.85,15.9,407460
NKG,20180618,17.5,17.95,16.7,16.7,314810
NKG,20180615,17.8,17.8,17.45,17.5,139540
NKG,20180614,17.6,18.1,17.45,17.9,327190
NKG,20180613,18.0,18.15,17.5,18.0,188470
NKG,20180612,18.3,18.4,16.8,18.2,378200
NKG,20180611,18.75,18.75,18.0,18.0,920110
NKG,20180608,17.42,17.6,16.85,17.54,845790
NKG,20180607,17.86,17.97,17.5,17.71,373960
NKG,20180606,17.5,18.07,17.36,17.79,870140
NKG,20180605,17.0,17.0,16.85,17.0,1220600
NKG,20180604,15.29,15.9,15.15,15.89,390340
NKG,20180601,14.68,15.0,14.64,14.86,245920
NKG,20180531,14.21,14.71,14.21,14.57,167800
NKG,20180530,14.22,14.22,13.93,14.21,129820
NKG,20180529,14.0,14.29,13.57,14.11,181210
NKG,20180528,14.64,14.64,13.5,13.5,516760
NKG,20180525,15.21,15.21,14.5,14.5,188520
NKG,20180524,15.43,15.43,15.14,15.25,100100
NKG,20180523,15.21,15.36,15.14,15.25,207130
NKG,20180522,15.28,16.0,15.0,15.25,536200
NKG,20180521,15.64,15.64,15.14,15.14,239510
NKG,20180518,16.08,16.08,15.22,15.21,158560
NKG,20180517,15.71,16.42,15.71,15.79,250890
NKG,20180516,15.29,15.86,15.25,15.71,216520
NKG,20180515,15.5,15.54,15.32,15.43,325540
NKG,20180514,15.71,15.89,15.28,15.5,341440
NKG,20180511,15.71,16.0,15.36,15.71,282260
NKG,20180510,16.35,16.35,15.71,16.0,397540
NKG,20180509,15.21,16.25,14.71,16.21,916200
NKG,20180508,14.57,15.29,14.43,15.21,344810
NKG,20180507,14.43,14.43,14.29,14.43,309320
NKG,20180504,14.71,14.71,14.14,14.43,248350
NKG,20180503,15.29,15.29,14.25,14.71,311480
NKG,20180502,16.43,16.43,15.29,15.29,256070
NKG,20180427,15.5,16.43,15.14,16.43,472070
NKG,20180426,16.21,16.42,15.5,15.5,309970
NKG,20180424,16.5,16.54,16.0,16.21,440540
NKG,20180423,17.5,17.75,16.5,16.5,179340
NKG,20180420,16.53,17.78,16.53,17.54,413550
NKG,20180419,17.29,17.43,16.57,16.71,568230
NKG,20180418,18.29,18.29,17.5,17.5,275980
NKG,20180417,17.86,18.29,17.86,18.29,343570
NKG,20180416,18.86,18.93,17.72,18.0,947480
NKG,20180413,19.64,19.85,18.93,19.04,214160
NKG,20180412,19.43,19.96,18.86,19.39,192410
NKG,20180411,20.07,20.07,19.5,19.5,318890
NKG,20180410,20.57,20.57,19.93,19.96,521200
NKG,20180409,21.07,21.36,20.29,20.36,728070
NKG,20180406,20.86,22.14,20.86,21.5,256090
NKG,20180405,21.75,21.93,21.21,21.25,365740
NKG,20180404,22.86,22.86,22.0,22.0,424130
NKG,20180403,23.32,23.32,22.64,22.93,410230
NKG,20180402,23.21,23.43,22.75,23.32,943510
NKG,20180330,21.43,22.64,21.22,22.64,696030
NKG,20180329,20.64,21.32,20.46,21.18,338090
NKG,20180328,20.39,20.64,20.0,20.64,383380
NKG,20180327,20.79,21.29,20.64,20.64,253030
NKG,20180326,21.5,21.5,20.86,20.93,187150
NKG,20180323,21.32,21.5,21.11,21.5,362130
NKG,20180322,22.35,22.39,21.93,22.07,100870
NKG,20180321,22.43,22.43,21.93,22.14,139980
NKG,20180320,22.04,22.72,22.0,22.14,322320
NKG,20180319,22.32,22.64,22.0,22.04,454400
NKG,20180316,22.57,22.79,22.36,22.43,298960
NKG,20180315,23.14,23.18,22.78,22.86,180080
NKG,20180314,22.47,23.22,22.47,23.14,490680
NKG,20180313,22.86,22.86,22.22,22.43,446200
NKG,20180312,23.43,23.58,22.86,22.86,263850
NKG,20180309,23.57,23.93,23.28,23.29,295400
NKG,20180308,23.18,23.79,23.18,23.57,356760
NKG,20180307,22.92,23.35,22.92,23.18,374860
NKG,20180306,23.92,23.92,22.71,23.21,891900
NKG,20180305,24.14,24.5,23.21,23.21,914740
NKG,20180302,24.28,24.57,24.07,24.57,499220
NKG,20180301,23.82,24.93,23.82,24.71,796310
NKG,20180228,24.07,24.28,23.93,24.0,979650
NKG,20180227,24.86,24.86,23.93,24.07,545720
NKG,20180226,25.36,25.5,24.65,24.79,700810
NKG,20180223,25.29,25.5,24.93,25.29,338800
NKG,20180222,25.5,25.57,25.18,25.29,161770
NKG,20180221,26.36,26.36,25.5,25.64,269550
NKG,20180213,25.64,25.71,25.36,25.57,316590
NKG,20180212,25.0,25.71,25.0,25.57,113990
NKG,20180209,23.29,25.0,23.29,25.0,201470
NKG,20180208,25.93,25.93,24.93,25.0,262210
NKG,20180207,26.08,26.29,25.72,25.93,263650
NKG,20180206,24.71,26.43,24.71,24.79,841400
NKG,20180205,28.07,28.36,26.57,26.57,329680
NKG,20180202,28.29,28.4,27.15,28.36,295310
NKG,20180201,29.5,29.57,28.36,28.36,282580
NKG,20180131,28.36,29.57,28.36,29.57,834710
NKG,20180130,28.5,28.57,28.0,28.36,719460
NKG,20180129,28.57,28.93,28.25,28.5,436800
NKG,20180126,28.71,29.21,28.21,28.86,1102290
NKG,20180125,30.57,30.57,29.07,29.21,1110050
NKG,20180122,30.65,31.22,30.0,30.57,1146670
NKG,20180119,29.29,30.86,29.15,30.36,1027610
NKG,20180118,28.93,29.65,28.22,29.29,709080
NKG,20180117,30.71,30.92,29.28,29.29,335990
NKG,20180116,30.86,31.29,30.43,30.71,273290
NKG,20180115,30.36,30.5,30.08,30.5,429180
NKG,20180112,30.72,31.36,30.54,30.54,930910
NKG,20180111,31.43,31.64,30.85,30.86,585860
NKG,20180110,31.39,32.28,31.07,31.64,1458900
NKG,20180109,31.18,31.46,30.64,31.39,1127150
NKG,20180108,30.36,31.07,30.0,30.89,907850
NKG,20180105,29.29,30.57,28.86,30.57,1459870
NKG,20180104,29.57,29.64,29.39,29.43,689820
NKG,20180103,29.58,29.65,28.79,29.57,1296300
NKG,20180102,27.71,29.28,27.53,29.29,1653510
NKG,20171229,27.71,27.78,27.43,27.71,830550
