<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NTP,20180713,42.0,43.0,42.0,43.0,9200
NTP,20180712,42.5,42.5,42.0,42.5,6120
NTP,20180711,42.0,42.1,41.5,42.0,30104
NTP,20180710,43.0,43.0,42.0,43.0,7500
NTP,20180709,41.2,43.0,41.2,42.4,9200
NTP,20180706,41.0,42.2,41.0,41.0,13600
NTP,20180705,41.5,42.0,41.0,41.0,16700
NTP,20180704,42.0,42.7,42.0,42.0,5200
NTP,20180703,44.7,45.0,40.4,40.4,20329
NTP,20180702,45.0,46.0,44.7,44.7,15100
NTP,20180629,47.5,47.5,45.9,46.0,7500
NTP,20180628,47.0,47.0,46.0,46.0,20039
NTP,20180627,48.0,48.0,46.0,47.5,21500
NTP,20180626,48.0,48.0,48.0,48.0,300
NTP,20180625,46.0,48.5,46.0,46.8,6300
NTP,20180622,48.9,50.8,48.9,49.4,6500
NTP,20180621,47.0,48.0,46.2,46.2,6010
NTP,20180620,49.0,49.0,45.6,47.9,2340
NTP,20180619,47.0,47.5,43.6,47.5,20610
NTP,20180618,49.0,49.0,48.4,48.4,4812
NTP,20180615,48.8,48.9,48.5,48.5,8549
NTP,20180614,51.0,54.8,48.6,49.9,26610
NTP,20180613,50.2,50.2,49.9,49.9,25020
NTP,20180612,51.0,51.0,50.0,50.5,28112
NTP,20180611,48.5,52.0,46.8,51.0,7900
NTP,20180608,52.9,52.9,51.0,51.0,5350
NTP,20180607,46.8,51.0,46.8,51.0,17910
NTP,20180606,51.0,51.2,51.0,51.2,8030
NTP,20180605,51.5,51.5,50.5,51.0,3440
NTP,20180604,52.8,52.9,52.8,52.9,2250
NTP,20180601,53.0,53.0,51.0,53.0,4190
NTP,20180531,51.0,53.0,51.0,53.0,10300
NTP,20180530,53.0,53.0,53.0,53.0,100
NTP,20180529,51.5,51.5,51.4,51.4,723
NTP,20180528,49.66,50.44,48.5,48.6,27660
NTP,20180525,50.44,50.44,49.47,50.34,4764
NTP,20180524,51.41,51.41,50.54,50.54,4300
NTP,20180523,50.93,50.93,49.47,50.44,1600
NTP,20180522,51.89,52.38,49.47,51.22,10420
NTP,20180521,51.6,51.99,51.6,51.7,3529
NTP,20180518,54.33,54.33,51.71,52.38,4512
NTP,20180517,52.19,52.19,51.9,51.9,872
NTP,20180516,54.8,54.8,52.38,52.38,4009
NTP,20180515,52.87,52.87,52.38,52.38,1301
