<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PAC,20180713,38.3,38.8,38.3,38.8,3080
PAC,20180712,38.5,38.5,37.3,38.5,2290
PAC,20180711,38.0,38.5,37.6,38.5,4390
PAC,20180710,38.8,39.0,38.05,38.5,8060
PAC,20180709,39.0,39.0,38.0,38.8,128900
PAC,20180706,38.5,39.0,38.5,38.5,15150
PAC,20180705,40.4,40.4,38.1,38.5,84800
PAC,20180704,39.3,39.9,39.3,39.9,1450
PAC,20180703,39.85,39.85,39.2,39.3,8410
PAC,20180702,41.8,41.8,39.9,41.1,8300
PAC,20180629,42.0,42.0,40.0,41.7,12010
PAC,20180628,40.0,40.95,39.7,39.85,26860
PAC,20180627,40.5,42.0,39.65,41.0,28340
PAC,20180626,39.5,40.5,39.5,40.5,3940
PAC,20180625,41.0,41.0,39.0,40.0,122920
PAC,20180622,39.95,39.95,39.35,39.95,8720
PAC,20180621,39.95,39.95,39.07,39.95,8290
PAC,20180620,38.79,39.95,38.6,39.95,9000
PAC,20180619,40.28,40.28,38.61,39.07,14930
PAC,20180618,39.91,40.28,39.86,40.28,26050
PAC,20180615,39.62,39.85,39.34,39.86,10180
PAC,20180614,40.18,40.18,39.62,39.62,16090
PAC,20180613,40.93,40.98,40.09,40.97,6110
PAC,20180612,41.58,41.58,40.18,40.93,8030
PAC,20180611,39.06,41.39,39.06,41.39,33110
PAC,20180608,40.0,40.0,39.07,39.53,16310
PAC,20180607,40.0,40.84,39.81,40.37,1570
PAC,20180606,40.46,40.74,39.62,40.65,6940
PAC,20180605,38.09,39.53,37.58,39.53,17530
PAC,20180604,37.58,37.58,36.83,37.58,3500
PAC,20180601,37.2,37.39,36.46,37.39,10650
PAC,20180531,36.46,38.13,36.46,37.67,3400
PAC,20180530,37.02,37.11,36.55,37.11,4230
PAC,20180529,36.74,37.11,36.74,37.02,3960
PAC,20180528,37.26,37.26,33.86,37.11,38280
PAC,20180525,38.0,38.04,36.28,36.28,5590
PAC,20180524,37.3,37.67,37.3,37.3,8020
PAC,20180523,37.12,37.3,36.28,37.3,37650
PAC,20180522,37.21,37.21,36.28,36.28,6950
PAC,20180521,38.0,38.14,37.07,38.14,850
PAC,20180518,38.0,38.0,38.0,38.0,570
PAC,20180517,36.88,37.68,36.84,37.67,2590
PAC,20180516,38.51,38.51,37.21,37.21,4980
PAC,20180515,38.51,38.51,38.14,38.51,1450
PAC,20180514,37.21,38.51,36.74,38.51,2810
PAC,20180511,37.21,37.21,36.79,37.21,3780
PAC,20180510,39.07,39.07,37.21,37.21,16760
PAC,20180509,38.13,39.07,38.13,39.07,30900
PAC,20180508,37.67,38.6,37.67,38.6,14130
PAC,20180507,38.42,38.42,36.74,38.32,42780
PAC,20180504,38.88,38.88,36.55,38.0,730
PAC,20180503,37.16,37.16,35.72,36.74,24170
PAC,20180502,38.98,38.98,37.02,37.16,23150
PAC,20180427,38.14,38.23,38.05,38.14,12070
PAC,20180426,38.14,38.98,38.14,38.14,11130
PAC,20180424,37.49,41.86,37.49,38.14,31610
PAC,20180423,41.85,41.85,39.99,40.0,25390
PAC,20180420,40.92,41.3,40.83,41.11,11270
PAC,20180419,38.42,40.84,38.42,40.83,3780
PAC,20180418,40.0,40.93,40.0,40.93,7540
PAC,20180417,40.92,41.02,39.99,40.93,16980
PAC,20180416,41.39,42.32,40.92,41.39,15360
PAC,20180413,41.01,42.69,40.92,41.39,22820
PAC,20180412,41.39,41.39,41.11,41.34,12100
PAC,20180411,42.33,42.33,38.98,38.97,20290
PAC,20180410,43.67,43.71,41.02,41.86,27700
PAC,20180409,42.41,42.41,41.76,41.76,28000
PAC,20180406,41.86,43.16,41.86,42.32,13170
PAC,20180405,43.07,43.53,42.14,42.14,17110
PAC,20180404,42.79,43.44,42.79,43.16,3110
PAC,20180403,43.53,43.53,42.78,42.79,31970
PAC,20180402,43.63,43.63,42.65,43.25,9070
PAC,20180330,42.84,43.63,42.79,42.79,6780
PAC,20180329,44.14,44.18,43.35,43.72,16680
PAC,20180328,44.18,44.55,43.25,44.09,39060
PAC,20180327,43.72,44.19,43.67,44.18,7990
PAC,20180326,44.19,44.23,42.93,43.72,4470
PAC,20180323,44.65,44.65,42.51,43.72,102780
PAC,20180322,41.95,42.74,41.95,42.74,4780
PAC,20180321,41.95,43.16,41.95,42.88,22270
PAC,20180320,41.21,42.98,41.21,42.88,22030
PAC,20180319,43.26,43.26,41.86,43.07,37190
PAC,20180316,43.25,44.09,42.05,42.79,12580
PAC,20180315,41.58,44.0,41.58,43.72,30990
PAC,20180314,43.72,45.02,43.72,43.72,22400
PAC,20180313,42.14,43.72,41.67,43.72,71160
PAC,20180312,42.78,43.25,41.2,42.14,23280
PAC,20180309,40.0,41.11,38.88,41.11,77000
PAC,20180308,38.33,38.61,38.14,38.6,17400
PAC,20180307,36.37,38.41,36.37,38.14,44070
PAC,20180306,37.11,37.11,36.36,36.74,43710
PAC,20180305,37.21,37.21,36.37,36.83,38210
PAC,20180302,37.21,37.21,36.47,37.21,19890
PAC,20180301,38.14,38.79,36.28,37.21,63150
PAC,20180228,38.14,38.51,37.2,37.21,7610
PAC,20180227,38.42,38.42,37.21,37.67,25920
PAC,20180226,38.6,38.69,37.67,38.42,22860
PAC,20180223,39.53,39.9,38.13,38.6,45620
PAC,20180222,39.53,40.0,39.53,39.53,17330
PAC,20180221,38.51,39.54,38.51,39.53,10390
