<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PCN,20180713,,,,3.4,0
PCN,20180712,3.4,3.4,3.4,3.4,100
PCN,20180711,,,,3.1,0
PCN,20180710,,,,3.1,0
PCN,20180709,,,,3.1,0
PCN,20180706,,,,3.1,0
PCN,20180705,,,,3.1,0
PCN,20180704,,,,3.1,0
PCN,20180703,,,,3.1,0
PCN,20180702,,,,3.1,0
PCN,20180629,,,,3.1,0
PCN,20180628,,,,3.1,0
PCN,20180627,,,,3.1,0
PCN,20180626,,,,3.1,0
PCN,20180625,,,,3.1,0
PCN,20180622,3.1,3.1,3.1,3.1,100
PCN,20180621,,,,2.9,0
PCN,20180620,,,,2.9,0
PCN,20180619,,,,2.9,0
PCN,20180618,2.9,2.9,2.9,2.9,500
PCN,20180615,,,,2.8,0
PCN,20180614,2.8,2.8,2.8,2.8,900
PCN,20180613,,,,2.9,0
PCN,20180612,2.9,2.9,2.9,2.9,500
PCN,20180611,,,,3.2,0
PCN,20180608,,,,3.2,0
PCN,20180607,3.2,3.2,3.2,3.2,100
PCN,20180606,2.7,3.0,2.7,3.0,3000
PCN,20180605,3.0,3.0,3.0,3.0,100
PCN,20180604,,,,2.8,0
PCN,20180601,2.8,2.8,2.8,2.8,100
PCN,20180531,2.9,3.1,2.9,3.1,9300
PCN,20180530,,,,2.9,0
PCN,20180529,2.9,2.9,2.9,2.9,3000
PCN,20180528,2.9,2.9,2.9,2.9,1500
PCN,20180525,2.7,2.9,2.7,2.9,1000
PCN,20180524,2.9,2.9,2.9,2.9,400
PCN,20180523,,,,3.2,0
PCN,20180522,3.2,3.2,3.2,3.2,3000
PCN,20180521,,,,3.2,0
PCN,20180518,3.2,3.2,3.2,3.2,1500
PCN,20180517,,,,3.5,0
PCN,20180516,,,,3.5,0
PCN,20180515,3.6,3.6,3.5,3.5,3100
PCN,20180514,,,,3.3,0
PCN,20180511,3.3,3.3,3.3,3.3,400
PCN,20180510,3.0,3.0,3.0,3.0,3900
PCN,20180509,2.8,2.8,2.8,2.8,2100
PCN,20180508,2.6,2.6,2.4,2.6,3100
PCN,20180507,,,,2.4,0
PCN,20180504,,,,2.4,0
PCN,20180503,2.4,2.4,2.4,2.4,100
PCN,20180502,,,,2.6,0
PCN,20180427,,,,2.6,0
PCN,20180426,3.0,3.0,2.6,2.6,400
PCN,20180424,,,,2.8,0
PCN,20180423,2.8,2.8,2.6,2.8,300
PCN,20180420,3.0,3.1,2.7,2.7,4700
PCN,20180419,2.9,2.9,2.9,2.9,1000
PCN,20180418,,,,3.2,0
PCN,20180417,3.2,3.2,3.2,3.2,300
PCN,20180416,,,,3.0,0
PCN,20180413,,,,3.0,0
PCN,20180412,,,,3.0,0
PCN,20180411,,,,3.0,0
PCN,20180410,3.0,3.0,3.0,3.0,200
PCN,20180409,,,,3.3,0
PCN,20180406,,,,3.3,0
PCN,20180405,,,,3.3,0
PCN,20180404,,,,3.3,0
PCN,20180403,,,,3.3,0
PCN,20180402,,,,3.3,0
PCN,20180330,,,,3.3,0
PCN,20180329,,,,3.3,0
PCN,20180328,,,,3.3,0
PCN,20180327,,,,3.3,0
PCN,20180326,,,,3.3,0
PCN,20180323,2.9,3.3,2.9,3.3,600
PCN,20180322,,,,3.2,0
PCN,20180321,,,,3.2,0
PCN,20180320,,,,3.2,0
PCN,20180319,3.0,3.2,3.0,3.2,9400
PCN,20180316,3.1,3.1,3.1,3.1,500
PCN,20180315,,,,3.3,0
PCN,20180314,,,,3.3,0
PCN,20180313,,,,3.3,0
PCN,20180312,,,,3.3,0
PCN,20180309,,,,3.3,0
PCN,20180308,3.3,3.3,3.3,3.3,100
PCN,20180307,,,,3.0,0
PCN,20180306,,,,3.0,0
PCN,20180305,3.0,3.0,3.0,3.0,500
PCN,20180302,3.2,3.2,3.2,3.2,100
PCN,20180301,,,,3.0,0
PCN,20180228,,,,3.0,0
PCN,20180227,,,,3.0,0
PCN,20180226,,,,3.0,0
PCN,20180223,,,,3.0,0
PCN,20180222,,,,3.0,0
PCN,20180221,,,,3.0,0
PCN,20180213,3.0,3.0,3.0,3.0,100
PCN,20180212,3.3,3.3,3.3,3.3,1100
PCN,20180209,3.3,3.3,3.3,3.3,3000
PCN,20180208,3.6,3.6,3.6,3.6,100
PCN,20180207,3.3,3.3,3.3,3.3,100
PCN,20180206,,,,3.0,0
PCN,20180205,,,,3.0,0
PCN,20180202,,,,3.0,0
PCN,20180201,,,,3.0,0
PCN,20180131,3.0,3.0,3.0,3.0,200
PCN,20180130,2.6,3.0,2.6,3.0,200
PCN,20180129,2.8,2.8,2.8,2.8,200
PCN,20180126,,,,2.8,0
PCN,20180125,2.8,2.8,2.8,2.8,1000
PCN,20180122,,,,2.6,0
PCN,20180119,,,,2.6,0
PCN,20180118,2.8,2.8,2.6,2.6,1100
PCN,20180117,,,,2.8,0
PCN,20180116,2.8,2.8,2.8,2.8,1000
PCN,20180115,2.8,2.8,2.8,2.8,300
PCN,20180112,3.1,3.1,3.1,3.1,100
PCN,20180111,3.4,3.4,3.4,3.4,100
PCN,20180110,,,,3.7,0
PCN,20180109,,,,3.7,0
PCN,20180108,,,,3.7,0
PCN,20180105,,,,3.7,0
PCN,20180104,,,,3.7,0
PCN,20180103,,,,3.7,0
PCN,20180102,3.7,3.7,3.7,3.7,100
PCN,20171229,3.3,3.6,3.3,3.6,6300
PCN,20171228,3.3,3.3,3.3,3.3,500
PCN,20171227,2.8,3.0,2.8,3.0,3600
PCN,20171226,,,,2.8,0
PCN,20171225,,,,2.8,0
PCN,20171222,2.8,2.9,2.8,2.8,2700
PCN,20171221,2.3,2.7,2.3,2.7,3300
PCN,20171220,,,,2.5,0
PCN,20171219,,,,2.5,0
PCN,20171218,2.5,2.5,2.5,2.5,1000
PCN,20171215,,,,2.3,0
PCN,20171214,,,,2.3,0
PCN,20171213,,,,2.3,0
PCN,20171212,,,,2.3,0
PCN,20171211,2.5,2.5,2.3,2.3,3300
PCN,20171208,,,,2.3,0
PCN,20171207,,,,2.3,0
PCN,20171206,,,,2.3,0
PCN,20171205,,,,2.3,0
PCN,20171204,,,,2.3,0
PCN,20171201,2.3,2.3,2.3,2.3,100
PCN,20171130,,,,2.4,0
PCN,20171129,,,,2.4,0
PCN,20171128,2.4,2.4,2.4,2.4,1300
PCN,20171127,,,,2.5,0
PCN,20171124,,,,2.5,0
PCN,20171123,2.5,2.5,2.5,2.5,100
PCN,20171122,,,,2.3,0
PCN,20171121,2.3,2.3,2.3,2.3,2000
PCN,20171120,,,,2.5,0
PCN,20171117,,,,2.5,0
PCN,20171116,,,,2.5,0
PCN,20171115,,,,2.5,0
PCN,20171114,,,,2.5,0
PCN,20171113,,,,2.5,0
PCN,20171110,2.5,2.5,2.5,2.5,100
PCN,20171109,,,,2.3,0
PCN,20171108,,,,2.3,0
PCN,20171107,,,,2.3,0
PCN,20171106,,,,2.3,0
PCN,20171103,,,,2.3,0
PCN,20171102,2.4,2.4,2.3,2.3,2500
PCN,20171101,,,,2.4,0
PCN,20171031,2.4,2.5,2.3,2.4,3500
PCN,20171030,2.7,2.7,2.5,2.5,2000
PCN,20171027,2.7,2.7,2.5,2.5,5000
PCN,20171026,2.7,2.7,2.5,2.5,3000
PCN,20171025,,,,2.7,0
PCN,20171024,,,,2.7,0
PCN,20171023,2.7,2.7,2.7,2.7,100
PCN,20171020,,,,2.9,0
PCN,20171019,,,,2.9,0
PCN,20171018,,,,2.9,0
PCN,20171017,,,,2.9,0
PCN,20171016,,,,2.9,0
PCN,20171013,2.9,2.9,2.9,2.9,900
PCN,20171012,,,,2.8,0
PCN,20171011,,,,2.8,0
PCN,20171010,,,,2.8,0
PCN,20171009,,,,2.8,0
PCN,20171006,,,,2.8,0
PCN,20171005,,,,2.8,0
PCN,20171004,,,,2.8,0
PCN,20171003,,,,2.8,0
PCN,20171002,,,,2.8,0
PCN,20170929,,,,2.8,0
PCN,20170928,,,,2.8,0
PCN,20170927,2.8,2.8,2.8,2.8,100
PCN,20170926,,,,2.8,0
PCN,20170925,,,,2.8,0
PCN,20170922,2.9,2.9,2.8,2.8,1900
PCN,20170921,2.9,2.9,2.9,2.9,1000
PCN,20170920,,,,2.9,0
PCN,20170919,,,,2.9,0
PCN,20170918,2.9,2.9,2.9,2.9,1000
PCN,20170915,3.1,3.1,3.1,3.1,100
PCN,20170914,2.9,2.9,2.9,2.9,1000
PCN,20170913,2.9,2.9,2.9,2.9,1000
PCN,20170912,,,,2.9,0
PCN,20170911,,,,2.9,0
