<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PDB,20180713,9.5,9.5,8.8,8.8,300
PDB,20180712,,,,9.5,0
PDB,20180711,9.6,9.6,9.5,9.5,1600
PDB,20180710,,,,9.6,0
PDB,20180709,9.6,9.6,9.6,9.6,500
PDB,20180706,9.5,9.5,9.5,9.5,1000
PDB,20180705,9.0,9.9,9.0,9.9,6300
PDB,20180704,9.3,9.3,9.3,9.3,5000
PDB,20180703,9.4,9.4,9.2,9.2,4200
PDB,20180702,9.5,9.5,9.3,9.3,5100
PDB,20180629,9.9,9.9,9.9,9.9,300
PDB,20180628,9.9,9.9,9.5,9.5,5100
PDB,20180627,9.5,9.5,9.5,9.5,2419
PDB,20180626,10.1,10.1,9.5,9.8,9100
PDB,20180625,,,,10.0,0
PDB,20180622,9.5,10.0,9.5,10.0,700
PDB,20180621,9.5,9.6,9.5,9.5,7400
PDB,20180620,9.4,9.8,9.4,9.8,6300
PDB,20180619,9.6,9.6,9.4,9.4,5500
PDB,20180618,9.7,9.9,9.6,9.9,6100
PDB,20180615,9.7,9.7,9.6,9.6,1000
PDB,20180614,9.7,9.7,9.7,9.7,230
PDB,20180613,10.1,10.1,10.1,10.1,109
PDB,20180612,10.0,10.2,9.5,9.6,4000
PDB,20180611,10.0,10.1,10.0,10.1,2200
PDB,20180608,9.8,10.1,9.8,10.1,3500
PDB,20180607,10.1,10.1,9.7,9.8,5600
PDB,20180606,10.0,10.1,10.0,10.1,1800
PDB,20180605,9.5,10.0,9.5,10.0,2500
PDB,20180604,9.7,9.7,9.7,9.7,150
PDB,20180601,8.9,8.9,8.9,8.9,101
PDB,20180531,9.7,9.7,9.7,9.7,1628
PDB,20180530,9.5,9.7,9.2,9.7,7760
PDB,20180529,9.3,9.5,9.3,9.3,1400
PDB,20180528,9.8,9.8,9.0,9.2,12830
PDB,20180525,8.92,9.1,8.92,9.1,7600
PDB,20180524,9.1,9.1,9.1,9.1,300
PDB,20180523,9.01,9.01,8.92,9.01,12710
PDB,20180522,9.01,9.01,9.01,9.01,1600
PDB,20180521,8.92,9.19,8.92,9.19,6700
PDB,20180518,9.19,9.19,9.01,9.01,5100
PDB,20180517,9.46,9.46,9.1,9.28,11820
PDB,20180516,9.1,9.64,9.1,9.46,6068
PDB,20180515,9.01,9.1,8.92,9.1,12607
PDB,20180514,9.01,9.01,8.92,9.01,13700
PDB,20180511,8.65,9.01,8.65,9.01,434
PDB,20180510,,,,9.01,0
PDB,20180509,9.01,9.01,9.01,9.01,3307
PDB,20180508,9.1,9.1,9.1,9.1,500
PDB,20180507,9.01,9.01,9.01,9.01,50
PDB,20180504,,,,9.01,0
PDB,20180503,9.01,9.01,9.01,9.01,600
PDB,20180502,9.01,9.01,8.65,8.92,6360
PDB,20180427,8.83,9.28,8.83,9.28,3900
PDB,20180426,8.83,8.83,8.56,8.56,2100
PDB,20180424,,,,9.1,0
PDB,20180423,9.1,9.1,9.01,9.1,6674
PDB,20180420,9.19,9.19,9.19,9.19,200
PDB,20180419,9.01,9.01,9.01,9.01,21400
PDB,20180418,9.1,9.1,9.01,9.01,5100
PDB,20180417,9.1,9.1,9.1,9.1,300
PDB,20180416,9.1,9.1,9.01,9.01,2200
PDB,20180413,9.1,9.1,9.1,9.1,3000
PDB,20180412,9.19,9.19,9.01,9.1,600
PDB,20180411,8.92,8.92,8.92,8.92,1000
PDB,20180410,9.19,9.19,8.74,8.74,2100
PDB,20180409,,,,9.28,0
PDB,20180406,9.28,9.28,9.28,9.28,100
PDB,20180405,9.28,9.28,9.01,9.01,744
PDB,20180404,9.28,9.28,9.01,9.01,2486
PDB,20180403,9.28,9.37,9.01,9.28,5100
PDB,20180402,,,,9.28,0
PDB,20180330,,,,9.28,0
PDB,20180329,9.28,9.28,9.28,9.28,10
PDB,20180328,9.28,9.28,9.28,9.28,20
PDB,20180327,,,,9.28,0
PDB,20180326,9.28,9.28,9.28,9.28,10
PDB,20180323,9.01,9.28,8.74,9.28,2136
PDB,20180322,9.28,9.28,9.28,9.28,1050
PDB,20180321,9.01,9.01,9.01,9.01,40
PDB,20180320,8.92,9.01,8.83,9.01,6500
PDB,20180319,9.01,9.01,9.01,9.01,2200
PDB,20180316,9.1,9.1,8.56,9.01,16740
PDB,20180315,9.19,9.19,9.1,9.19,2600
PDB,20180314,9.46,9.46,9.46,9.46,714
PDB,20180313,,,,9.01,0
PDB,20180312,9.01,9.01,9.01,9.01,3450
PDB,20180309,9.01,9.01,9.01,9.01,500
PDB,20180308,9.46,9.46,9.01,9.46,2080
PDB,20180307,9.19,9.19,9.19,9.19,3300
PDB,20180306,9.19,9.28,8.92,9.28,5600
PDB,20180305,,,,9.37,0
PDB,20180302,9.01,9.37,9.01,9.37,3400
PDB,20180301,,,,9.28,0
PDB,20180228,9.37,9.37,9.28,9.28,2500
PDB,20180227,9.37,9.37,9.28,9.28,3670
PDB,20180226,,,,9.37,0
PDB,20180223,9.19,9.37,9.19,9.37,1200
PDB,20180222,9.1,9.1,9.1,9.1,4800
PDB,20180221,9.1,9.1,9.1,9.1,2000
PDB,20180213,8.92,9.1,8.56,9.1,3800
PDB,20180212,9.46,9.46,9.46,9.46,1000
PDB,20180209,9.1,9.1,9.1,9.1,3000
PDB,20180208,9.19,9.19,9.01,9.1,16300
PDB,20180207,9.28,9.64,9.1,9.1,9800
PDB,20180206,9.55,9.55,9.19,9.19,5983
PDB,20180205,9.82,9.82,9.64,9.64,5100
PDB,20180202,9.64,9.64,9.64,9.64,1000
PDB,20180201,9.91,10.9,9.91,10.18,4873
PDB,20180131,9.91,10.18,9.91,9.91,2600
PDB,20180130,10.18,10.18,10.18,10.18,1000
PDB,20180129,9.91,9.91,9.91,9.91,300
