<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PDC,20180713,,,,6.3,0
PDC,20180712,,,,6.3,0
PDC,20180711,6.3,6.3,6.3,6.3,100
PDC,20180710,,,,7.0,0
PDC,20180709,,,,7.0,0
PDC,20180706,,,,7.0,0
PDC,20180705,,,,7.0,0
PDC,20180704,7.0,7.0,7.0,7.0,200
PDC,20180703,,,,7.4,0
PDC,20180702,7.4,7.4,7.4,7.4,300
PDC,20180629,,,,7.5,0
PDC,20180628,,,,7.5,0
PDC,20180627,,,,7.5,0
PDC,20180626,,,,7.5,0
PDC,20180625,,,,7.5,0
PDC,20180622,,,,7.5,0
PDC,20180621,,,,7.5,0
PDC,20180620,,,,7.5,0
PDC,20180619,,,,7.5,0
PDC,20180618,,,,7.5,0
PDC,20180615,,,,7.5,0
PDC,20180614,,,,7.5,0
PDC,20180613,,,,7.5,0
PDC,20180612,,,,7.5,0
PDC,20180611,,,,7.5,0
PDC,20180608,,,,7.5,0
PDC,20180607,,,,7.5,0
PDC,20180606,,,,7.5,0
PDC,20180605,,,,7.5,0
PDC,20180604,,,,7.5,0
PDC,20180601,,,,7.5,0
PDC,20180531,,,,7.5,0
PDC,20180530,,,,7.5,0
PDC,20180529,,,,7.5,0
PDC,20180528,,,,7.5,0
PDC,20180525,,,,7.5,0
PDC,20180524,7.4,7.6,7.4,7.5,126200
PDC,20180523,7.5,7.5,7.1,7.3,36000
PDC,20180522,7.4,7.4,7.4,7.4,400
PDC,20180521,7.4,7.5,7.4,7.5,50400
PDC,20180518,7.2,7.6,6.6,7.3,1676900
PDC,20180517,,,,7.3,0
PDC,20180516,7.3,7.3,7.3,7.3,110
PDC,20180515,6.8,7.0,6.8,7.0,15600
PDC,20180514,6.6,6.8,6.6,6.8,2900
PDC,20180511,6.2,6.2,6.2,6.2,2500
PDC,20180510,5.7,5.7,5.7,5.7,2000
PDC,20180509,5.2,5.2,5.2,5.2,402
PDC,20180508,4.8,4.8,4.8,4.8,1000
PDC,20180507,4.4,4.4,4.4,4.4,1000
PDC,20180504,,,,4.0,0
PDC,20180503,,,,4.0,0
PDC,20180502,,,,4.0,0
PDC,20180427,,,,4.0,0
PDC,20180426,,,,4.0,0
PDC,20180424,,,,4.0,0
PDC,20180423,,,,4.0,0
PDC,20180420,,,,4.0,0
PDC,20180419,4.0,4.0,4.0,4.0,700
PDC,20180418,,,,4.0,0
PDC,20180417,4.0,4.0,4.0,4.0,200
PDC,20180416,4.0,4.0,4.0,4.0,500
PDC,20180413,,,,4.0,0
PDC,20180412,,,,4.0,0
PDC,20180411,4.0,4.0,4.0,4.0,1000
PDC,20180410,4.8,4.8,4.3,4.3,200
PDC,20180409,4.4,4.4,4.4,4.4,10
PDC,20180406,,,,4.4,0
PDC,20180405,4.4,4.4,4.4,4.4,100
PDC,20180404,4.0,4.0,4.0,4.0,1048
PDC,20180403,4.2,4.2,4.2,4.2,2400
PDC,20180402,4.6,4.6,4.6,4.6,100
PDC,20180330,4.9,4.9,4.6,4.6,200
PDC,20180329,5.0,5.0,4.2,4.5,1300
PDC,20180328,4.1,4.6,4.1,4.6,320
PDC,20180327,,,,4.5,0
PDC,20180326,,,,4.5,0
PDC,20180323,,,,4.5,0
PDC,20180322,4.5,4.5,4.5,4.5,3300
PDC,20180321,4.5,4.5,4.5,4.5,1300
PDC,20180320,4.1,4.5,4.1,4.5,200
PDC,20180319,4.5,4.5,4.5,4.5,500
PDC,20180316,,,,4.8,0
PDC,20180315,4.8,4.8,4.8,4.8,1000
PDC,20180314,,,,5.0,0
PDC,20180313,,,,5.0,0
PDC,20180312,,,,5.0,0
PDC,20180309,5.1,5.1,5.0,5.0,300
PDC,20180308,4.7,4.7,4.7,4.7,100
PDC,20180307,,,,4.5,0
PDC,20180306,4.5,4.5,4.5,4.5,100
PDC,20180305,,,,4.1,0
PDC,20180302,4.9,4.9,4.1,4.1,200
PDC,20180301,,,,4.5,0
PDC,20180228,,,,4.5,0
PDC,20180227,,,,4.5,0
PDC,20180226,,,,4.5,0
PDC,20180223,5.0,5.0,4.5,4.5,1100
PDC,20180222,4.8,4.8,4.2,4.6,4500
