<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PEN,20180713,6.1,6.1,6.1,6.1,200
PEN,20180712,,,,6.6,0
PEN,20180711,,,,6.6,0
PEN,20180710,,,,6.6,0
PEN,20180709,,,,6.6,0
PEN,20180706,,,,6.6,0
PEN,20180705,,,,6.6,0
PEN,20180704,,,,6.6,0
PEN,20180703,,,,6.6,0
PEN,20180702,,,,6.6,0
PEN,20180629,,,,6.6,0
PEN,20180628,,,,6.6,0
PEN,20180627,,,,6.6,0
PEN,20180626,6.6,6.6,6.6,6.6,200
PEN,20180625,,,,7.2,0
PEN,20180622,,,,7.2,0
PEN,20180621,,,,7.2,0
PEN,20180620,,,,7.2,0
PEN,20180619,,,,7.2,0
PEN,20180618,,,,7.2,0
PEN,20180615,,,,7.2,0
PEN,20180614,,,,7.2,0
PEN,20180613,,,,7.2,0
PEN,20180612,,,,7.2,0
PEN,20180611,7.2,7.2,7.2,7.2,200
PEN,20180608,,,,8.0,0
PEN,20180607,,,,8.0,0
PEN,20180606,,,,8.0,0
PEN,20180605,,,,8.0,0
PEN,20180604,8.0,8.0,8.0,8.0,100
PEN,20180601,,,,8.0,0
PEN,20180531,8.0,8.0,8.0,8.0,500
PEN,20180530,,,,7.8,0
PEN,20180529,7.8,7.8,7.8,7.8,200
PEN,20180528,,,,8.6,0
PEN,20180525,8.6,8.6,8.6,8.6,100
PEN,20180524,,,,9.5,0
PEN,20180523,,,,9.5,0
PEN,20180522,,,,9.5,0
PEN,20180521,9.0,9.5,9.0,9.5,1500
PEN,20180518,,,,10.0,0
PEN,20180517,,,,10.0,0
PEN,20180516,,,,10.0,0
PEN,20180515,,,,10.0,0
PEN,20180514,,,,10.0,0
PEN,20180511,,,,10.0,0
PEN,20180510,,,,10.0,0
PEN,20180509,10.0,10.0,10.0,10.0,100
PEN,20180508,,,,9.9,0
PEN,20180507,9.9,9.9,9.9,9.9,500
PEN,20180504,9.0,9.0,9.0,9.0,100
PEN,20180503,,,,8.4,0
PEN,20180502,8.4,8.4,8.4,8.4,100
PEN,20180427,7.7,7.7,7.7,7.7,100
PEN,20180426,7.0,7.0,7.0,7.0,100
PEN,20180424,,,,7.7,0
PEN,20180423,,,,7.7,0
PEN,20180420,,,,7.7,0
PEN,20180419,,,,7.7,0
PEN,20180418,,,,7.7,0
PEN,20180417,,,,7.7,0
PEN,20180416,,,,7.7,0
PEN,20180413,7.7,7.7,7.7,7.7,300
PEN,20180412,,,,8.5,0
PEN,20180411,8.5,8.5,8.5,8.5,600
PEN,20180410,,,,8.1,0
PEN,20180409,,,,8.1,0
PEN,20180406,8.1,8.1,8.1,8.1,100
PEN,20180405,,,,9.0,0
PEN,20180404,,,,9.0,0
PEN,20180403,9.0,9.0,9.0,9.0,100
PEN,20180402,,,,10.0,0
PEN,20180330,10.0,10.0,10.0,10.0,100
PEN,20180329,,,,9.2,0
PEN,20180328,,,,9.2,0
PEN,20180327,,,,9.2,0
PEN,20180326,9.2,9.2,9.2,9.2,4
PEN,20180323,,,,9.2,0
PEN,20180322,,,,9.2,0
PEN,20180321,9.2,9.2,9.2,9.2,100
PEN,20180320,9.0,9.0,9.0,9.0,100
PEN,20180319,8.5,8.5,8.5,8.5,1004
PEN,20180316,,,,8.1,0
PEN,20180315,,,,8.1,0
PEN,20180314,,,,8.1,0
PEN,20180313,8.1,8.1,8.1,8.1,200
PEN,20180312,,,,8.8,0
PEN,20180309,,,,8.8,0
PEN,20180308,8.8,8.8,8.8,8.8,400
PEN,20180307,9.0,9.0,9.0,9.0,400
PEN,20180306,9.0,9.0,9.0,9.0,400
PEN,20180305,,,,9.9,0
PEN,20180302,,,,9.9,0
PEN,20180301,,,,9.9,0
PEN,20180228,,,,9.9,0
PEN,20180227,,,,9.9,0
PEN,20180226,,,,9.9,0
PEN,20180223,,,,9.9,0
PEN,20180222,9.9,9.9,9.9,9.9,100
PEN,20180221,9.1,9.1,9.1,9.1,100
PEN,20180213,,,,8.3,0
PEN,20180212,9.9,9.9,8.3,8.3,300
PEN,20180209,8.4,9.1,8.4,9.1,200
PEN,20180208,9.2,9.2,9.2,9.2,100
PEN,20180207,,,,10.0,0
PEN,20180206,,,,10.0,0
PEN,20180205,,,,10.0,0
PEN,20180202,,,,10.0,0
PEN,20180201,10.0,10.0,10.0,10.0,1200
PEN,20180131,10.0,10.0,10.0,10.0,100
PEN,20180130,11.7,11.7,10.6,10.6,1300
PEN,20180129,,,,11.7,0
PEN,20180126,12.0,12.0,11.7,11.7,2600
PEN,20180125,13.2,13.2,13.0,13.0,900
PEN,20180122,,,,10.0,0
PEN,20180119,,,,10.0,0
PEN,20180118,9.5,10.0,9.5,10.0,400
PEN,20180117,9.5,9.5,9.5,9.5,100
PEN,20180116,,,,9.0,0
PEN,20180115,,,,9.0,0
PEN,20180112,,,,9.0,0
PEN,20180111,9.0,9.0,9.0,9.0,100
