<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PGS,20180713,32.0,32.0,32.0,32.0,600
PGS,20180712,34.3,34.3,32.4,32.4,1130
PGS,20180711,31.0,32.0,30.0,31.4,50050
PGS,20180710,30.9,31.8,30.9,31.4,1067
PGS,20180709,28.9,31.8,28.9,31.1,160330
PGS,20180706,30.0,30.8,29.0,29.0,422640
PGS,20180705,30.0,30.5,29.0,29.0,34510
PGS,20180704,28.3,28.3,28.3,28.3,100
PGS,20180703,31.2,31.2,31.2,31.2,100
PGS,20180702,31.4,31.4,31.4,31.4,500
PGS,20180629,29.1,31.6,29.0,31.6,5749
PGS,20180628,31.8,31.8,31.8,31.8,67
PGS,20180627,,,,31.8,0
PGS,20180626,31.8,31.8,31.8,31.8,100
PGS,20180625,32.0,32.0,32.0,32.0,500
PGS,20180622,30.4,33.5,30.0,32.0,188600
PGS,20180621,31.0,31.7,30.7,30.7,2010
PGS,20180620,34.1,34.1,34.1,34.1,163
PGS,20180619,31.3,32.4,29.6,31.0,15630
PGS,20180618,30.4,32.5,30.4,32.5,691
PGS,20180615,32.6,32.6,32.6,32.6,120
PGS,20180614,29.61,33.11,29.61,29.8,7940
PGS,20180613,30.19,30.19,30.19,30.19,14
PGS,20180612,30.19,30.19,30.19,30.19,100
PGS,20180611,30.78,33.8,30.2,30.19,940
PGS,20180608,30.78,30.78,30.78,30.78,150
PGS,20180607,30.19,32.14,30.19,32.14,2110
PGS,20180606,30.19,30.19,30.19,30.19,24310
PGS,20180605,31.06,31.06,29.99,30.68,37900
PGS,20180604,31.36,31.36,31.17,31.16,610
PGS,20180601,31.36,31.36,29.81,31.36,21278
PGS,20180531,31.45,32.13,29.31,30.0,2210
PGS,20180530,31.55,31.55,31.55,31.55,300
PGS,20180529,30.67,31.65,30.67,31.65,1110
PGS,20180528,29.6,30.58,28.24,30.48,10140
PGS,20180525,28.82,30.09,28.82,30.09,4100
PGS,20180524,30.09,30.09,30.09,30.09,10
PGS,20180523,29.22,30.1,29.22,30.09,9290
PGS,20180522,29.22,30.1,29.22,29.22,8347
PGS,20180521,30.68,30.68,30.68,30.68,120
PGS,20180518,30.58,30.68,29.41,30.19,1704
PGS,20180517,30.68,30.68,30.68,30.68,100
PGS,20180516,29.61,29.61,29.61,29.61,65
PGS,20180515,29.32,30.19,29.32,29.61,7560
PGS,20180514,30.67,30.67,30.67,30.68,100
PGS,20180511,29.22,30.48,29.22,30.48,13135
PGS,20180510,29.8,30.19,29.8,30.19,500
PGS,20180509,30.19,30.19,30.19,30.19,20000
PGS,20180508,29.71,30.97,29.71,30.97,954
PGS,20180507,30.87,30.87,29.22,29.22,3389
PGS,20180504,30.19,31.16,30.19,30.19,111362
PGS,20180503,28.24,30.19,28.24,30.19,161341
PGS,20180502,29.22,29.51,29.22,29.51,191573
PGS,20180427,29.22,29.22,29.22,29.22,29200
PGS,20180426,31.16,31.65,29.22,29.22,3240
PGS,20180424,30.19,30.19,30.19,30.19,121930
PGS,20180423,30.19,30.19,30.19,30.19,19215
PGS,20180420,30.19,30.19,30.19,30.19,3540
PGS,20180419,30.19,30.19,30.0,30.19,56810
PGS,20180418,29.61,30.19,29.61,30.19,42381
PGS,20180417,29.61,29.61,29.61,29.61,225
PGS,20180416,31.16,31.16,29.6,29.61,217
PGS,20180413,30.19,30.19,29.41,29.41,4400
PGS,20180412,30.58,30.58,30.58,30.58,21
PGS,20180411,29.9,30.68,29.9,30.58,14360
PGS,20180410,30.58,30.58,29.8,29.8,330
PGS,20180409,29.7,30.68,29.7,30.68,16305
PGS,20180406,30.29,30.29,30.19,30.19,4501
PGS,20180405,32.14,32.14,30.19,30.19,621
PGS,20180404,28.44,31.66,28.44,30.97,46558
PGS,20180403,30.78,30.78,30.78,30.78,20
PGS,20180402,30.67,30.77,30.67,30.78,304
PGS,20180330,31.17,31.17,31.17,31.16,1521
PGS,20180329,32.14,32.14,32.14,32.14,130
PGS,20180328,29.22,32.24,28.93,30.19,149600
PGS,20180327,31.17,32.33,31.17,32.14,264400
PGS,20180326,31.17,33.12,31.17,32.14,4708
PGS,20180323,32.44,32.63,31.66,32.63,16700
PGS,20180322,32.63,32.63,29.51,32.63,16269
PGS,20180321,32.33,32.62,32.33,32.63,14322
PGS,20180320,32.14,32.63,32.14,32.33,15910
PGS,20180319,32.14,32.53,31.95,32.14,17600
PGS,20180316,31.46,32.14,30.68,32.14,26539
PGS,20180315,30.19,31.45,30.19,31.46,2364
PGS,20180314,31.17,31.17,31.17,31.16,30610
PGS,20180313,31.65,31.65,30.19,30.68,11339
PGS,20180312,31.16,31.65,30.67,31.65,15640
PGS,20180309,31.17,31.17,31.17,31.16,2868
PGS,20180308,30.68,30.68,30.68,30.68,2200
PGS,20180307,30.19,30.19,30.19,30.19,110500
PGS,20180306,30.19,32.14,30.19,30.19,25300
PGS,20180305,31.17,33.12,29.51,33.11,6936
PGS,20180302,32.14,32.63,32.14,32.63,9403
PGS,20180301,31.46,33.12,31.36,32.14,17410
PGS,20180228,31.16,33.11,31.16,31.46,3129
PGS,20180227,31.65,31.65,31.65,31.65,815
PGS,20180226,32.14,32.14,30.19,30.68,52996
PGS,20180223,33.11,33.69,32.92,33.11,3869
PGS,20180222,33.11,33.11,33.11,33.11,328
PGS,20180221,31.65,32.92,31.65,32.92,36503
PGS,20180213,32.14,32.14,30.19,31.65,1513
PGS,20180212,31.35,31.35,29.21,29.22,31628
PGS,20180209,31.17,33.7,31.17,31.16,1202579
PGS,20180208,31.17,33.99,31.17,33.6,47610
PGS,20180207,34.08,35.06,33.31,33.31,84697
PGS,20180206,32.62,34.57,31.16,33.89,210625
PGS,20180205,33.11,34.57,32.14,34.57,47758
PGS,20180202,35.06,35.06,33.11,33.11,13810
PGS,20180201,36.03,36.03,35.06,35.74,15919
PGS,20180131,34.57,36.03,34.48,36.03,223022
PGS,20180130,31.75,34.67,31.06,34.67,246130
PGS,20180129,31.16,33.5,30.68,33.11,30677
PGS,20180126,33.6,33.89,33.11,33.89,40837
PGS,20180125,32.63,34.09,32.63,33.79,108326
PGS,20180122,27.27,29.61,27.27,29.61,183608
PGS,20180119,26.97,27.75,26.97,26.98,21319
PGS,20180118,25.32,27.17,25.32,27.07,3138
PGS,20180117,27.76,27.76,26.79,26.78,107580
PGS,20180116,27.46,27.76,27.37,27.76,23467
PGS,20180115,25.81,27.27,25.81,27.27,11100
PGS,20180112,26.78,27.75,26.78,27.27,80531
PGS,20180111,26.78,27.07,26.68,26.78,354801
PGS,20180110,26.3,26.78,26.3,26.78,26683
PGS,20180109,26.29,27.27,25.51,27.27,55231
PGS,20180108,24.45,26.79,23.86,26.78,109150
PGS,20180105,23.96,24.35,23.96,24.35,663
PGS,20180104,24.35,24.73,23.96,24.74,27260
PGS,20180103,24.35,24.54,24.35,24.54,15347
PGS,20180102,24.35,24.45,24.35,24.35,58250
PGS,20171229,24.35,24.54,24.35,24.35,18025
PGS,20171228,24.74,24.74,24.35,24.54,4480
PGS,20171227,23.95,24.73,23.95,24.74,1930
PGS,20171226,24.45,24.84,23.38,24.83,16830
PGS,20171225,23.57,24.35,23.57,24.35,3900
PGS,20171222,23.38,23.57,23.38,23.57,11100
PGS,20171221,27.75,27.75,25.51,25.52,1394
PGS,20171220,24.44,26.87,24.44,25.32,21939
PGS,20171219,23.37,24.54,23.37,24.44,47889
PGS,20171218,22.5,23.67,22.5,23.37,26780
PGS,20171215,22.4,22.69,22.4,22.4,38102
PGS,20171214,22.3,22.69,22.3,22.4,5600
PGS,20171213,22.69,22.69,22.69,22.69,1060
PGS,20171212,23.08,23.37,22.4,22.69,76900
PGS,20171211,22.4,22.4,22.4,22.4,5000
PGS,20171208,22.79,23.08,22.79,23.08,5400
PGS,20171207,21.91,22.78,21.91,22.79,17238
PGS,20171206,22.79,22.88,22.4,22.59,6300
PGS,20171205,22.6,22.98,21.43,22.98,26320
PGS,20171204,22.69,22.78,22.69,22.79,10600
PGS,20171201,22.5,22.6,22.4,22.59,217670
PGS,20171130,22.4,22.5,22.4,22.5,10450
PGS,20171129,22.4,22.49,22.4,22.5,22610
PGS,20171128,22.4,22.5,22.3,22.3,57307
PGS,20171127,22.5,22.5,22.4,22.4,150000
PGS,20171124,22.4,22.5,22.4,22.5,8160
PGS,20171123,22.4,22.4,22.4,22.4,15
PGS,20171122,22.4,22.5,22.4,22.4,32847
PGS,20171121,22.4,22.4,22.4,22.4,114500
PGS,20171120,22.5,22.5,22.21,22.4,27600
PGS,20171117,23.28,23.28,21.92,22.4,21726
PGS,20171116,22.5,22.6,21.14,22.11,8413
PGS,20171115,22.4,22.5,22.4,22.5,73010
PGS,20171114,22.4,22.5,22.4,22.4,12400
PGS,20171113,21.91,22.4,21.91,22.4,36631
PGS,20171110,21.62,22.49,21.62,21.91,3900
PGS,20171109,21.82,22.31,21.82,22.3,1410
PGS,20171108,21.42,22.01,21.42,21.43,18933
PGS,20171107,21.72,21.91,21.72,21.91,10200
PGS,20171106,22.3,22.3,21.23,21.72,22210
PGS,20171103,21.33,21.43,20.46,21.33,10210
PGS,20171102,23.18,23.18,21.42,21.43,11010
PGS,20171101,21.33,21.53,20.46,21.52,10634
PGS,20171031,19.38,20.94,19.38,19.58,21918
PGS,20171030,22.3,22.3,19.09,19.09,3300
PGS,20171027,22.31,22.31,20.26,20.84,1320
PGS,20171026,22.59,22.59,20.45,20.65,15300
PGS,20171025,22.59,22.59,22.59,22.59,10
PGS,20171024,22.69,22.69,21.62,22.59,28799
PGS,20171023,22.39,22.58,22.02,22.2,4100
PGS,20171020,22.49,22.86,22.39,22.39,78347
PGS,20171019,22.76,22.76,22.11,22.58,15910
PGS,20171018,22.86,22.86,22.21,22.2,10867
PGS,20171017,22.86,22.95,22.39,22.86,39355
PGS,20171016,21.83,22.67,21.83,22.39,38359
PGS,20171013,22.3,22.48,21.55,22.02,9686
PGS,20171012,22.48,22.67,22.48,22.67,1330
PGS,20171011,22.95,22.95,21.74,22.67,21630
PGS,20171010,22.39,22.95,22.3,22.95,191966
PGS,20171009,22.11,22.39,21.46,22.39,220010
PGS,20171006,21.55,22.01,21.55,22.02,51815
PGS,20171005,21.36,21.92,21.36,21.92,102500
PGS,20171004,21.37,22.3,21.37,21.92,1753
PGS,20171003,20.99,21.74,20.53,21.46,13141
PGS,20171002,21.18,21.55,21.09,21.46,16709
PGS,20170929,21.36,21.83,21.08,21.74,30000
PGS,20170928,20.53,22.02,20.53,21.83,134000
PGS,20170927,20.71,21.46,20.53,20.9,37941
