<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PGT,20180713,4.0,4.0,4.0,4.0,12500
PGT,20180712,,,,4.0,0
PGT,20180711,4.0,4.0,4.0,4.0,14200
PGT,20180710,,,,4.0,0
PGT,20180709,4.0,4.0,4.0,4.0,100
PGT,20180706,4.4,4.4,4.4,4.4,110
PGT,20180705,4.0,4.0,3.4,4.0,126800
PGT,20180704,3.7,3.7,3.7,3.7,100
PGT,20180703,3.3,3.5,3.3,3.5,93000
PGT,20180702,,,,3.2,0
PGT,20180629,3.2,3.2,3.2,3.2,50
PGT,20180628,3.1,3.2,3.1,3.2,1100
PGT,20180627,2.8,3.0,2.8,3.0,1400
PGT,20180626,2.8,2.8,2.8,2.8,100
PGT,20180625,2.6,2.6,2.6,2.6,1500
PGT,20180622,2.4,2.7,2.4,2.7,1087
PGT,20180621,,,,2.5,0
PGT,20180620,,,,2.5,0
PGT,20180619,2.5,2.5,2.5,2.5,100
PGT,20180618,,,,2.7,0
PGT,20180615,,,,2.7,0
PGT,20180614,2.9,2.9,2.7,2.7,560
PGT,20180613,2.9,2.9,2.9,2.9,100
PGT,20180612,,,,2.7,0
PGT,20180611,3.1,3.1,2.7,2.7,327
PGT,20180608,2.7,2.9,2.7,2.9,1700
PGT,20180607,2.7,2.7,2.7,2.7,129
PGT,20180606,2.7,2.7,2.7,2.7,303
PGT,20180605,2.8,2.8,2.7,2.7,910
PGT,20180604,2.9,2.9,2.9,2.9,100
PGT,20180601,2.9,2.9,2.9,2.9,100
PGT,20180531,2.7,2.7,2.7,2.7,100
PGT,20180530,,,,2.5,0
PGT,20180529,2.4,2.5,2.4,2.5,600
PGT,20180528,2.5,2.5,2.3,2.3,1840
PGT,20180525,2.4,2.4,2.3,2.3,1400
PGT,20180524,,,,2.5,0
PGT,20180523,2.5,2.5,2.5,2.5,800
PGT,20180522,3.0,3.0,2.7,2.7,400
PGT,20180521,2.8,2.8,2.8,2.8,400
PGT,20180518,,,,2.8,0
PGT,20180517,2.8,2.8,2.8,2.8,100
PGT,20180516,,,,2.8,0
PGT,20180515,,,,2.8,0
PGT,20180514,,,,2.8,0
PGT,20180511,,,,2.8,0
PGT,20180510,,,,2.8,0
PGT,20180509,,,,2.8,0
PGT,20180508,,,,2.8,0
PGT,20180507,,,,2.8,0
PGT,20180504,2.8,2.8,2.8,2.8,500
PGT,20180503,2.9,2.9,2.9,2.9,20
PGT,20180502,,,,2.9,0
PGT,20180427,2.8,2.9,2.7,2.9,5900
PGT,20180426,,,,2.9,0
PGT,20180424,,,,2.9,0
PGT,20180423,,,,2.9,0
PGT,20180420,,,,2.9,0
PGT,20180419,,,,2.9,0
PGT,20180418,2.9,2.9,2.9,2.9,100
PGT,20180417,2.9,2.9,2.9,2.9,1000
PGT,20180416,2.9,2.9,2.9,2.9,328
PGT,20180413,3.0,3.0,3.0,3.0,14400
PGT,20180412,3.5,3.5,3.3,3.3,4115
PGT,20180411,,,,3.6,0
PGT,20180410,,,,3.6,0
PGT,20180409,,,,3.6,0
PGT,20180406,,,,3.6,0
PGT,20180405,,,,3.6,0
PGT,20180404,,,,3.6,0
PGT,20180403,,,,3.6,0
PGT,20180402,,,,3.6,0
PGT,20180330,,,,3.6,0
PGT,20180329,,,,3.6,0
PGT,20180328,3.6,3.6,3.6,3.6,410
PGT,20180327,,,,3.6,0
PGT,20180326,3.6,3.6,3.6,3.6,2000
PGT,20180323,3.5,3.5,3.5,3.5,5
PGT,20180322,3.5,3.5,3.5,3.5,40
PGT,20180321,,,,3.5,0
PGT,20180320,,,,3.5,0
PGT,20180319,3.5,3.5,3.5,3.5,12
PGT,20180316,,,,3.5,0
PGT,20180315,3.7,3.7,3.5,3.5,450
PGT,20180314,3.8,3.8,3.8,3.8,100
PGT,20180313,,,,3.7,0
PGT,20180312,3.8,3.8,3.7,3.7,1200
PGT,20180309,,,,3.8,0
PGT,20180308,,,,3.8,0
PGT,20180307,,,,3.8,0
PGT,20180306,,,,3.8,0
PGT,20180305,,,,3.8,0
PGT,20180302,3.8,3.8,3.8,3.8,100
PGT,20180301,3.8,3.8,3.5,3.5,800
PGT,20180228,3.7,3.8,3.7,3.8,400
PGT,20180227,,,,4.0,0
PGT,20180226,,,,4.0,0
PGT,20180223,3.5,4.0,3.5,4.0,500
PGT,20180222,3.8,3.8,3.5,3.8,2105
PGT,20180221,3.7,3.7,3.5,3.5,500
PGT,20180213,,,,3.8,0
PGT,20180212,3.5,3.8,3.5,3.8,200
PGT,20180209,3.8,3.8,3.5,3.5,200
PGT,20180208,,,,3.8,0
PGT,20180207,3.8,3.8,3.8,3.8,100
PGT,20180206,3.7,3.7,3.5,3.5,1100
