<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PMG,20180713,19.65,19.95,19.65,19.75,150750
PMG,20180712,19.65,19.75,19.4,19.65,146110
PMG,20180711,20.25,20.25,19.5,19.5,93920
PMG,20180710,20.05,20.2,20.0,20.05,115620
PMG,20180709,20.05,20.4,20.05,20.05,166260
PMG,20180706,20.5,20.5,20.05,20.05,118560
PMG,20180705,21.3,21.3,20.5,20.5,108430
PMG,20180704,21.25,21.35,21.1,21.3,162640
PMG,20180703,22.65,22.65,21.25,21.25,160800
PMG,20180702,23.6,23.6,22.65,22.65,119160
PMG,20180629,23.75,23.9,23.6,23.6,140770
PMG,20180628,24.6,24.6,23.9,23.9,184810
PMG,20180627,24.75,24.85,24.65,24.7,170600
PMG,20180626,25.0,25.0,24.65,24.8,172090
PMG,20180625,25.05,25.25,25.05,25.15,229760
PMG,20180622,24.75,25.05,24.75,25.0,171440
PMG,20180621,24.9,25.05,24.75,24.75,167240
PMG,20180620,24.4,25.0,24.4,25.0,229270
PMG,20180619,25.5,25.5,24.3,24.3,265610
PMG,20180618,27.2,27.25,26.05,26.05,264560
PMG,20180615,27.25,27.35,27.1,27.2,189500
PMG,20180614,25.55,27.25,25.5,27.2,366470
PMG,20180613,25.2,25.55,25.1,25.5,231240
PMG,20180612,25.4,25.45,25.15,25.15,187430
PMG,20180611,25.35,25.55,25.3,25.4,245220
PMG,20180608,25.3,25.4,25.25,25.35,168850
PMG,20180607,25.3,25.3,25.1,25.3,212840
PMG,20180606,25.15,25.3,25.05,25.3,198620
PMG,20180605,25.15,25.25,25.1,25.15,221540
PMG,20180604,24.95,25.15,24.8,25.15,196410
PMG,20180601,24.7,24.9,24.65,24.9,149520
PMG,20180531,24.35,24.8,24.35,24.75,263920
PMG,20180530,24.65,24.7,24.4,24.4,73080
PMG,20180529,24.65,24.75,24.25,24.65,201990
PMG,20180528,25.15,25.4,24.5,24.6,114410
PMG,20180525,25.5,25.9,25.4,25.4,216830
PMG,20180524,25.3,25.5,25.15,25.5,199770
PMG,20180523,25.05,25.3,24.9,25.3,113570
PMG,20180522,25.55,25.6,25.0,25.0,100450
PMG,20180521,25.6,25.75,25.55,25.55,83210
PMG,20180518,25.45,25.55,25.3,25.55,92480
PMG,20180517,25.15,25.55,25.15,25.45,117160
PMG,20180516,25.85,25.9,25.15,25.15,153830
PMG,20180515,25.8,26.0,25.7,25.85,148230
PMG,20180514,25.4,25.75,25.35,25.75,50190
PMG,20180511,25.4,25.5,25.1,25.45,105660
PMG,20180510,24.95,25.45,24.95,25.45,71050
PMG,20180509,24.65,24.9,24.65,24.9,117720
PMG,20180508,24.75,24.85,24.55,24.65,106790
PMG,20180507,24.1,24.75,24.1,24.75,137570
PMG,20180504,23.75,24.1,23.7,24.1,117680
PMG,20180503,23.4,23.7,23.3,23.7,71500
PMG,20180502,23.25,23.4,23.15,23.35,74180
PMG,20180427,22.75,23.2,22.4,23.2,157200
PMG,20180426,24.05,24.05,22.85,22.85,103260
PMG,20180424,24.45,24.45,24.1,24.1,45490
PMG,20180423,25.15,25.15,24.5,24.5,153710
PMG,20180420,24.95,25.1,24.55,25.1,81610
PMG,20180419,25.9,25.9,25.0,25.0,223510
PMG,20180418,26.35,26.35,25.7,26.0,178960
PMG,20180417,26.4,26.45,26.05,26.35,114930
PMG,20180416,25.85,26.4,25.85,26.4,100720
PMG,20180413,25.5,26.0,25.5,25.9,218050
PMG,20180412,24.85,25.45,24.45,25.45,217610
PMG,20180411,26.0,26.1,25.0,25.0,270010
PMG,20180410,27.25,27.25,26.0,26.3,438110
PMG,20180409,28.2,28.3,27.3,27.4,299700
PMG,20180406,27.35,28.3,27.35,28.1,278070
PMG,20180405,26.45,27.4,26.45,27.35,480980
PMG,20180404,25.7,26.45,25.6,26.45,194850
PMG,20180403,25.25,25.6,25.2,25.6,300040
PMG,20180402,25.05,25.25,25.05,25.25,224190
PMG,20180330,24.6,25.0,24.55,25.0,144800
PMG,20180329,24.4,24.8,24.4,24.6,149290
PMG,20180328,24.35,24.55,24.35,24.45,192280
PMG,20180327,24.2,24.35,24.2,24.35,131590
PMG,20180326,23.65,24.2,23.65,24.2,214990
PMG,20180323,23.6,23.7,23.25,23.7,165930
PMG,20180322,23.65,23.75,23.55,23.65,175860
PMG,20180321,23.5,23.6,23.45,23.6,189290
PMG,20180320,23.4,23.5,23.2,23.5,180510
PMG,20180319,23.25,23.45,23.25,23.4,162550
PMG,20180316,22.75,23.4,22.75,23.3,180140
PMG,20180315,22.55,22.65,22.45,22.65,161460
PMG,20180314,22.3,22.7,22.3,22.65,170190
PMG,20180313,22.3,22.35,22.15,22.35,154270
PMG,20180312,22.2,22.3,22.2,22.3,184830
PMG,20180309,21.9,22.2,21.85,22.2,193630
PMG,20180308,21.7,21.9,21.65,21.9,175070
PMG,20180307,21.55,21.7,21.5,21.7,199540
PMG,20180306,21.4,21.65,21.4,21.65,203320
PMG,20180305,21.15,21.35,21.15,21.35,172830
PMG,20180302,21.15,21.2,21.1,21.15,105890
PMG,20180301,21.1,21.15,21.1,21.15,53560
PMG,20180228,21.0,21.1,20.95,21.1,83490
PMG,20180227,21.2,21.2,20.95,21.0,70750
PMG,20180226,21.15,21.2,21.1,21.2,47520
PMG,20180223,21.0,21.3,21.0,21.2,68710
PMG,20180222,21.05,21.1,21.0,21.0,41630
PMG,20180221,20.8,21.1,20.8,21.1,39660
PMG,20180213,20.55,20.8,20.55,20.8,28340
PMG,20180212,20.6,20.6,20.05,20.6,24270
PMG,20180209,20.5,20.5,20.0,20.05,73810
PMG,20180208,21.15,21.15,21.0,21.0,63460
PMG,20180207,21.0,21.15,21.0,21.15,79040
PMG,20180206,21.0,21.0,20.6,20.9,83520
PMG,20180205,22.0,22.5,22.0,22.15,28620
PMG,20180202,23.4,23.4,22.2,22.2,73850
PMG,20180201,22.4,23.35,22.3,23.35,123440
PMG,20180131,21.9,21.9,21.85,21.85,136540
PMG,20180130,20.5,20.5,20.5,20.5,86250
PMG,20180129,19.2,19.2,19.2,19.2,13450
PMG,20180126,17.95,17.95,17.95,17.95,20000
PMG,20180125,16.8,16.8,16.8,16.8,19990
