<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PPE,20180713,10.1,10.1,10.1,10.1,100
PPE,20180712,,,,10.1,0
PPE,20180711,,,,10.1,0
PPE,20180710,,,,10.1,0
PPE,20180709,,,,10.1,0
PPE,20180706,10.1,10.1,10.1,10.1,100
PPE,20180705,,,,10.1,0
PPE,20180704,,,,10.1,0
PPE,20180703,,,,10.1,0
PPE,20180702,,,,10.1,0
PPE,20180629,10.1,10.1,10.1,10.1,100
PPE,20180628,,,,10.1,0
PPE,20180627,,,,10.1,0
PPE,20180626,,,,10.1,0
PPE,20180625,,,,10.1,0
PPE,20180622,10.0,10.1,10.0,10.1,200
PPE,20180621,,,,10.0,0
PPE,20180620,,,,10.0,0
PPE,20180619,,,,10.0,0
PPE,20180618,,,,10.0,0
PPE,20180615,10.0,10.0,10.0,10.0,100
PPE,20180614,,,,10.0,0
PPE,20180613,,,,10.0,0
PPE,20180612,,,,10.0,0
PPE,20180611,,,,10.0,0
PPE,20180608,10.0,10.0,10.0,10.0,100
PPE,20180607,,,,10.0,0
PPE,20180606,,,,10.0,0
PPE,20180605,,,,10.0,0
PPE,20180604,,,,10.0,0
PPE,20180601,10.0,10.0,10.0,10.0,100
PPE,20180531,,,,9.9,0
PPE,20180530,,,,9.9,0
PPE,20180529,,,,9.9,0
PPE,20180528,9.9,9.9,9.9,9.9,100
PPE,20180525,,,,10.0,0
PPE,20180524,,,,10.0,0
PPE,20180523,10.0,10.0,10.0,10.0,100
PPE,20180522,10.1,10.1,10.1,10.1,100
PPE,20180521,10.1,10.1,10.1,10.1,100
PPE,20180518,10.1,10.1,10.1,10.1,100
PPE,20180517,10.1,10.1,10.1,10.1,100
PPE,20180516,10.0,10.0,10.0,10.0,1100
PPE,20180515,10.0,10.0,10.0,10.0,100
PPE,20180514,10.0,10.0,10.0,10.0,100
PPE,20180511,10.0,10.0,10.0,10.0,100
PPE,20180510,9.0,10.0,9.0,10.0,300
PPE,20180509,9.8,9.8,9.8,9.8,100
PPE,20180508,,,,9.9,0
PPE,20180507,9.9,9.9,9.9,9.9,100
PPE,20180504,,,,10.0,0
PPE,20180503,,,,10.0,0
PPE,20180502,10.3,10.3,10.0,10.0,200
PPE,20180427,10.3,10.3,10.3,10.3,100
PPE,20180426,10.5,10.5,10.5,10.5,100
PPE,20180424,10.2,10.2,10.2,10.2,100
PPE,20180423,11.3,11.3,10.2,10.2,400
PPE,20180420,11.3,11.3,11.3,11.3,100
PPE,20180419,11.3,11.3,11.3,11.3,100
PPE,20180418,11.4,11.4,11.3,11.3,400
PPE,20180417,11.3,11.4,11.3,11.4,200
PPE,20180416,11.8,11.8,10.6,11.2,2800
PPE,20180413,11.7,11.7,11.7,11.7,100
PPE,20180412,,,,13.0,0
PPE,20180411,,,,13.0,0
PPE,20180410,,,,13.0,0
PPE,20180409,,,,13.0,0
PPE,20180406,13.1,13.1,12.5,13.0,1700
PPE,20180405,,,,13.0,0
PPE,20180404,13.0,13.0,12.1,13.0,2900
PPE,20180403,13.2,13.2,13.1,13.1,200
PPE,20180402,13.2,13.2,13.1,13.1,200
PPE,20180330,13.2,13.2,13.2,13.2,100
PPE,20180329,13.1,13.1,13.0,13.1,700
PPE,20180328,13.1,13.1,13.1,13.1,100
PPE,20180327,13.0,13.0,13.0,13.0,100
PPE,20180326,13.0,13.0,13.0,13.0,100
PPE,20180323,13.0,13.0,13.0,13.0,500
PPE,20180322,13.1,13.1,13.1,13.1,100
PPE,20180321,13.1,13.1,13.0,13.0,200
PPE,20180320,13.0,13.1,13.0,13.1,200
PPE,20180319,13.4,13.5,13.4,13.4,300
PPE,20180316,13.6,13.6,12.9,13.6,800
PPE,20180315,13.6,13.6,13.5,13.5,600
PPE,20180314,13.6,13.6,13.5,13.6,300
PPE,20180313,13.5,13.6,13.5,13.6,1200
PPE,20180312,13.6,13.6,13.0,13.6,800
PPE,20180309,13.6,13.6,13.5,13.5,700
PPE,20180308,13.6,13.7,13.6,13.7,200
PPE,20180307,13.7,13.7,13.6,13.6,600
PPE,20180306,13.8,13.8,13.7,13.8,700
PPE,20180305,13.7,13.8,12.9,13.8,2100
PPE,20180302,13.5,13.7,13.5,13.7,200
PPE,20180301,13.5,13.5,13.5,13.5,300
