<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PRC,20180713,,,,14.4,0
PRC,20180712,,,,14.4,0
PRC,20180711,,,,14.4,0
PRC,20180710,14.4,14.4,14.4,14.4,1100
PRC,20180709,,,,15.9,0
PRC,20180706,,,,15.9,0
PRC,20180705,15.9,15.9,15.9,15.9,100
PRC,20180704,,,,17.6,0
PRC,20180703,,,,17.6,0
PRC,20180702,,,,17.6,0
PRC,20180629,,,,17.6,0
PRC,20180628,,,,17.6,0
PRC,20180627,,,,17.6,0
PRC,20180626,,,,17.6,0
PRC,20180625,,,,17.6,0
PRC,20180622,,,,17.6,0
PRC,20180621,,,,17.6,0
PRC,20180620,,,,17.6,0
PRC,20180619,,,,17.6,0
PRC,20180618,,,,17.6,0
PRC,20180615,,,,17.6,0
PRC,20180614,,,,17.6,0
PRC,20180613,,,,17.6,0
PRC,20180612,,,,17.6,0
PRC,20180611,,,,17.6,0
PRC,20180608,,,,17.6,0
PRC,20180607,,,,17.6,0
PRC,20180606,,,,17.6,0
PRC,20180605,,,,17.6,0
PRC,20180604,,,,17.6,0
PRC,20180601,,,,17.6,0
PRC,20180531,,,,17.6,0
PRC,20180530,,,,17.6,0
PRC,20180529,17.6,17.6,17.6,17.6,800
PRC,20180528,,,,17.6,0
PRC,20180525,17.4,17.6,17.4,17.6,30900
PRC,20180524,16.0,16.0,16.0,16.0,100
PRC,20180523,15.9,15.9,15.9,15.9,100
PRC,20180522,,,,15.6,0
PRC,20180521,15.6,15.6,15.6,15.6,100
PRC,20180518,,,,14.2,0
PRC,20180517,14.2,14.2,14.2,14.2,100
PRC,20180516,14.5,14.5,14.0,14.0,200
PRC,20180515,,,,15.0,0
PRC,20180514,15.0,15.0,15.0,15.0,200
PRC,20180511,,,,16.0,0
PRC,20180510,,,,16.0,0
PRC,20180509,,,,16.0,0
PRC,20180508,,,,16.0,0
PRC,20180507,,,,16.0,0
PRC,20180504,,,,16.0,0
PRC,20180503,,,,16.0,0
PRC,20180502,,,,16.0,0
PRC,20180427,,,,16.0,0
PRC,20180426,,,,16.0,0
PRC,20180424,,,,16.0,0
PRC,20180423,,,,16.0,0
PRC,20180420,,,,16.0,0
PRC,20180419,16.0,16.0,16.0,16.0,100
PRC,20180418,,,,16.0,0
PRC,20180417,,,,16.0,0
PRC,20180416,,,,16.0,0
PRC,20180413,,,,16.0,0
