<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PSI,20180713,3.5,3.6,3.5,3.6,200
PSI,20180712,3.4,3.5,3.4,3.5,1100
PSI,20180711,3.4,3.4,3.4,3.4,100
PSI,20180710,3.3,3.3,3.3,3.3,100
PSI,20180709,,,,3.5,0
PSI,20180706,3.5,3.5,3.5,3.5,200
PSI,20180705,,,,3.5,0
PSI,20180704,,,,3.5,0
PSI,20180703,,,,3.5,0
PSI,20180702,3.6,3.6,3.4,3.5,900
PSI,20180629,,,,3.7,0
PSI,20180628,3.3,3.7,3.3,3.7,12695
PSI,20180627,3.2,3.6,3.2,3.6,600
PSI,20180626,3.4,3.7,3.3,3.4,1925
PSI,20180625,3.6,3.6,3.6,3.6,115
PSI,20180622,3.6,3.6,3.6,3.6,2010
PSI,20180621,3.4,3.4,3.4,3.4,1700
PSI,20180620,3.5,3.5,3.4,3.5,625
PSI,20180619,3.6,3.8,3.6,3.6,800
PSI,20180618,3.8,3.8,3.8,3.8,500
PSI,20180615,3.9,4.1,3.9,4.1,400
PSI,20180614,4.3,4.3,4.3,4.3,100
PSI,20180613,,,,4.3,0
PSI,20180612,4.3,4.3,4.3,4.3,99
PSI,20180611,4.3,4.3,4.3,4.3,110
PSI,20180608,4.1,4.1,4.1,4.1,169
PSI,20180607,3.9,3.9,3.9,3.9,2126
PSI,20180606,3.7,4.2,3.7,3.8,10370
PSI,20180605,3.9,3.9,3.9,3.9,100
PSI,20180604,,,,3.9,0
PSI,20180601,3.9,3.9,3.9,3.9,75
PSI,20180531,,,,3.9,0
PSI,20180530,,,,3.9,0
PSI,20180529,3.9,3.9,3.9,3.9,500
PSI,20180528,,,,3.7,0
PSI,20180525,3.7,3.7,3.7,3.7,400
PSI,20180524,3.5,3.9,3.4,3.4,1200
PSI,20180523,3.5,3.9,3.5,3.7,2300
PSI,20180522,,,,3.8,0
PSI,20180521,,,,3.8,0
PSI,20180518,3.8,3.8,3.8,3.8,100
PSI,20180517,,,,4.0,0
PSI,20180516,,,,4.0,0
PSI,20180515,,,,4.0,0
PSI,20180514,4.0,4.0,4.0,4.0,800
PSI,20180511,,,,4.0,0
PSI,20180510,,,,4.0,0
PSI,20180509,3.7,4.0,3.6,4.0,2110
PSI,20180508,,,,3.8,0
PSI,20180507,3.8,3.8,3.8,3.8,100
PSI,20180504,,,,4.0,0
PSI,20180503,,,,4.0,0
PSI,20180502,4.2,4.2,4.0,4.0,15416
PSI,20180427,4.1,4.1,4.1,4.1,3200
PSI,20180426,,,,4.2,0
PSI,20180424,4.2,4.2,4.2,4.2,10
PSI,20180423,,,,4.2,0
PSI,20180420,,,,4.2,0
PSI,20180419,4.2,4.2,4.2,4.2,99
PSI,20180418,,,,4.2,0
PSI,20180417,3.7,4.2,3.6,4.2,790
PSI,20180416,4.0,4.0,4.0,4.0,100
PSI,20180413,4.0,4.0,4.0,4.0,200
PSI,20180412,,,,4.0,0
PSI,20180411,4.0,4.0,4.0,4.0,25
PSI,20180410,,,,4.0,0
PSI,20180409,3.9,4.0,3.9,4.0,890
PSI,20180406,4.1,4.2,3.7,4.2,2310
PSI,20180405,4.0,4.0,4.0,4.0,100
PSI,20180404,4.0,4.0,4.0,4.0,775
PSI,20180403,,,,4.1,0
PSI,20180402,4.0,4.1,4.0,4.1,9800
PSI,20180330,4.1,4.1,4.1,4.1,500
PSI,20180329,4.0,4.0,4.0,4.0,690
PSI,20180328,4.0,4.1,4.0,4.1,405
PSI,20180327,4.0,4.0,3.9,3.9,690
PSI,20180326,4.1,4.1,4.1,4.1,10
PSI,20180323,4.0,4.1,3.7,4.1,7800
PSI,20180322,4.2,4.2,4.1,4.1,1490
PSI,20180321,4.5,4.5,4.5,4.5,20
PSI,20180320,4.5,4.5,4.5,4.5,100
PSI,20180319,4.2,4.2,4.2,4.2,100
PSI,20180316,4.4,4.4,4.4,4.4,70
PSI,20180315,4.4,4.4,4.4,4.4,30
PSI,20180314,4.7,4.7,4.4,4.4,320
PSI,20180313,4.7,4.7,4.7,4.7,110
PSI,20180312,4.0,4.7,4.0,4.7,15490
PSI,20180309,4.3,4.3,4.3,4.3,55
PSI,20180308,,,,4.3,0
PSI,20180307,4.2,4.3,4.1,4.3,3500
