<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PTI,20180713,,,,24.2,0
PTI,20180712,,,,24.2,0
PTI,20180711,,,,24.2,0
PTI,20180710,,,,24.2,0
PTI,20180709,,,,24.2,0
PTI,20180706,,,,24.2,0
PTI,20180705,,,,24.2,0
PTI,20180704,,,,24.2,0
PTI,20180703,,,,24.2,0
PTI,20180702,,,,24.2,0
PTI,20180629,21.9,24.2,21.9,24.2,28200
PTI,20180628,21.7,22.0,21.7,22.0,13568
PTI,20180627,19.9,21.7,19.9,21.7,17500
PTI,20180626,19.5,20.0,19.5,20.0,8000
PTI,20180625,,,,19.8,0
PTI,20180622,,,,19.8,0
PTI,20180621,19.8,19.8,19.8,19.8,202
PTI,20180620,18.3,19.8,18.3,19.8,330
PTI,20180619,,,,19.9,0
PTI,20180618,19.9,19.9,19.9,19.9,10
PTI,20180615,20.0,20.0,19.9,19.9,400
PTI,20180614,19.1,20.0,19.1,19.5,2719
PTI,20180613,19.6,19.6,19.6,19.6,2500
PTI,20180612,19.6,19.6,19.6,19.6,2709
PTI,20180611,19.13,19.13,19.13,19.13,370
PTI,20180608,18.85,19.6,18.66,19.13,2840
PTI,20180607,18.84,19.13,18.37,19.13,28300
PTI,20180606,18.37,18.75,18.37,18.75,600
PTI,20180605,19.89,19.89,19.89,19.88,100
PTI,20180604,19.51,19.51,19.51,19.51,48
PTI,20180601,18.85,19.51,18.85,19.51,6330
PTI,20180531,17.9,19.12,17.9,19.13,5300
PTI,20180530,17.91,17.91,17.91,17.9,100
PTI,20180529,18.85,18.85,18.85,18.85,290
PTI,20180528,18.85,19.7,18.85,18.85,1800
PTI,20180525,,,,19.79,0
PTI,20180524,19.79,19.79,19.79,19.79,5000
PTI,20180523,19.31,20.26,19.31,20.26,6858
PTI,20180522,19.13,19.7,19.13,19.69,1387
PTI,20180521,18.56,18.94,18.56,18.85,1311
PTI,20180518,18.94,18.94,18.56,18.56,220
PTI,20180517,18.66,18.66,18.56,18.56,1000
PTI,20180516,19.89,20.08,19.89,20.07,1670
PTI,20180515,20.16,20.16,20.16,20.17,120
PTI,20180514,19.13,19.69,19.13,19.69,220
PTI,20180511,20.26,20.26,18.75,18.75,200
PTI,20180510,19.79,19.79,19.79,19.79,300
PTI,20180509,19.51,19.51,18.0,18.0,220
PTI,20180508,,,,19.13,0
PTI,20180507,,,,19.13,0
PTI,20180504,19.13,19.13,19.13,19.13,90
PTI,20180503,19.13,19.13,19.13,19.13,120
PTI,20180502,20.73,20.73,20.36,20.35,1421
PTI,20180427,,,,22.24,0
PTI,20180426,20.45,22.24,20.45,22.24,6700
PTI,20180424,22.05,22.05,20.54,20.54,1000
PTI,20180423,21.11,21.21,20.55,20.54,3406
PTI,20180420,20.17,20.17,20.17,20.17,1000
PTI,20180419,19.6,19.6,19.6,19.6,1365
PTI,20180418,19.79,19.79,18.94,19.79,4449
PTI,20180417,,,,19.88,0
PTI,20180416,19.88,19.88,19.88,19.88,10
PTI,20180413,19.88,19.88,19.88,19.88,120
PTI,20180412,21.67,21.67,21.67,21.67,1200
PTI,20180411,,,,21.86,0
PTI,20180410,21.86,21.86,21.86,21.86,4800
PTI,20180409,21.2,21.86,21.2,21.86,8060
PTI,20180406,21.67,22.24,21.67,22.24,5420
PTI,20180405,,,,22.24,0
PTI,20180404,,,,22.24,0
PTI,20180403,,,,22.24,0
PTI,20180402,22.24,22.33,22.24,22.24,7056
PTI,20180330,21.67,22.33,21.67,22.33,5086
PTI,20180329,,,,20.73,0
PTI,20180328,20.17,20.73,20.17,20.73,2086
PTI,20180327,21.58,21.58,21.58,21.58,90
PTI,20180326,20.92,21.58,20.92,21.58,2690
PTI,20180323,,,,20.73,0
PTI,20180322,,,,20.73,0
PTI,20180321,,,,20.73,0
PTI,20180320,,,,20.73,0
PTI,20180319,22.61,22.61,20.45,20.73,1895
PTI,20180316,22.52,22.52,22.52,22.52,5000
PTI,20180315,20.73,20.73,20.73,20.73,100
PTI,20180314,,,,21.67,0
PTI,20180313,,,,21.67,0
PTI,20180312,19.79,21.67,19.79,21.67,3100
PTI,20180309,21.2,21.2,21.2,21.2,84
PTI,20180308,20.63,21.2,20.63,21.2,12100
PTI,20180307,19.89,19.89,19.89,19.88,181
