<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PTS,20180713,5.4,5.4,5.3,5.3,6400
PTS,20180712,5.1,5.8,5.1,5.8,200
PTS,20180711,5.6,5.6,5.4,5.4,1200
PTS,20180710,6.0,6.0,6.0,6.0,220
PTS,20180709,5.9,6.0,5.9,6.0,4500
PTS,20180706,6.2,6.2,6.2,6.2,100
PTS,20180705,6.0,6.0,6.0,6.0,100
PTS,20180704,5.9,5.9,5.9,5.9,180
PTS,20180703,6.0,6.0,5.5,5.5,5800
PTS,20180702,6.0,6.0,6.0,6.0,200
PTS,20180629,5.5,5.5,5.5,5.5,500
PTS,20180628,5.6,5.8,5.3,5.3,1000
PTS,20180627,5.82,5.82,5.3,5.3,200
PTS,20180626,4.86,5.57,4.86,5.56,6700
PTS,20180625,5.83,5.83,5.39,5.39,200
PTS,20180622,,,,5.83,0
PTS,20180621,5.82,5.82,5.82,5.83,100
PTS,20180620,,,,5.56,0
PTS,20180619,5.48,5.57,5.3,5.56,7800
PTS,20180618,,,,5.39,0
PTS,20180615,,,,5.39,0
PTS,20180614,,,,5.39,0
PTS,20180613,,,,5.39,0
PTS,20180612,,,,5.39,0
PTS,20180611,,,,5.39,0
PTS,20180608,,,,5.39,0
PTS,20180607,,,,5.39,0
PTS,20180606,5.38,5.38,5.38,5.39,300
PTS,20180605,5.03,5.03,5.03,5.03,20
PTS,20180604,,,,5.03,0
PTS,20180601,4.95,5.04,4.95,5.03,400
PTS,20180531,,,,5.3,0
PTS,20180530,,,,5.3,0
PTS,20180529,5.3,5.3,5.3,5.3,500
PTS,20180528,,,,5.39,0
PTS,20180525,,,,5.39,0
PTS,20180524,,,,5.39,0
PTS,20180523,,,,5.39,0
PTS,20180522,,,,5.39,0
PTS,20180521,,,,5.39,0
PTS,20180518,,,,5.39,0
PTS,20180517,5.39,5.39,5.39,5.39,200
PTS,20180516,,,,5.39,0
PTS,20180515,5.39,5.39,5.39,5.39,1500
PTS,20180514,,,,5.39,0
PTS,20180511,,,,5.39,0
PTS,20180510,,,,5.39,0
PTS,20180509,,,,5.39,0
PTS,20180508,5.39,5.39,5.39,5.39,2000
PTS,20180507,5.3,5.3,5.3,5.3,500
PTS,20180504,5.3,5.3,5.3,5.3,500
PTS,20180503,5.38,5.38,5.38,5.39,5800
PTS,20180502,,,,5.12,0
PTS,20180427,5.12,5.12,5.12,5.12,20
PTS,20180426,,,,5.12,0
PTS,20180424,,,,5.12,0
PTS,20180423,5.12,5.12,5.12,5.12,1400
PTS,20180420,,,,5.3,0
PTS,20180419,,,,5.3,0
PTS,20180418,5.3,5.3,5.3,5.3,10000
PTS,20180417,5.12,5.12,5.12,5.12,5400
PTS,20180416,5.21,5.21,5.21,5.21,1000
PTS,20180413,5.21,5.21,5.21,5.21,2000
PTS,20180412,5.21,5.3,5.21,5.3,1700
PTS,20180411,5.21,5.3,5.21,5.3,21000
PTS,20180410,5.48,5.74,5.21,5.21,400
PTS,20180409,5.39,5.39,5.39,5.39,2000
PTS,20180406,,,,5.3,0
PTS,20180405,5.3,5.3,5.3,5.3,5000
PTS,20180404,5.21,5.3,5.21,5.3,7500
PTS,20180403,,,,5.21,0
PTS,20180402,,,,5.21,0
PTS,20180330,,,,5.21,0
PTS,20180329,5.21,5.3,5.21,5.21,10500
PTS,20180328,,,,5.21,0
PTS,20180327,5.21,5.21,5.21,5.21,400
PTS,20180326,5.12,5.21,5.12,5.21,6200
PTS,20180323,5.21,5.21,5.21,5.21,7700
PTS,20180322,5.12,5.21,5.12,5.21,330
PTS,20180321,,,,5.21,0
PTS,20180320,5.21,5.21,5.21,5.21,90
PTS,20180319,5.3,5.3,5.21,5.21,8700
PTS,20180316,5.3,5.3,5.3,5.3,500
PTS,20180315,5.3,5.3,5.3,5.3,2290
PTS,20180314,5.3,5.3,5.3,5.3,300
PTS,20180313,5.29,5.29,5.29,5.3,1800
PTS,20180312,5.04,5.04,5.04,5.03,500
PTS,20180309,5.48,5.48,5.48,5.48,1400
PTS,20180308,5.48,5.48,5.48,5.48,100
PTS,20180307,5.3,5.39,5.3,5.39,4600
PTS,20180306,5.3,5.3,5.3,5.3,50
PTS,20180305,,,,5.3,0
PTS,20180302,,,,5.3,0
PTS,20180301,5.3,5.3,5.3,5.3,2100
PTS,20180228,5.3,5.3,5.3,5.3,2700
PTS,20180227,,,,5.3,0
PTS,20180226,,,,5.3,0
PTS,20180223,,,,5.3,0
PTS,20180222,5.3,5.3,5.3,5.3,13500
PTS,20180221,5.3,5.3,5.3,5.3,14200
PTS,20180213,5.3,5.3,5.3,5.3,4020
PTS,20180212,,,,5.3,0
PTS,20180209,,,,5.3,0
PTS,20180208,5.3,5.3,5.3,5.3,100
PTS,20180207,,,,4.86,0
PTS,20180206,,,,4.86,0
PTS,20180205,4.86,4.86,4.86,4.86,2300
PTS,20180202,,,,5.3,0
PTS,20180201,,,,5.3,0
PTS,20180131,,,,5.3,0
PTS,20180130,5.3,5.3,5.3,5.3,2200
PTS,20180129,,,,5.3,0
PTS,20180126,5.3,5.3,5.3,5.3,10000
PTS,20180125,5.3,5.3,5.3,5.3,2400
PTS,20180122,5.3,5.3,5.3,5.3,1000
PTS,20180119,,,,5.3,0
PTS,20180118,5.3,5.3,5.3,5.3,2900
PTS,20180117,,,,5.3,0
PTS,20180116,,,,5.3,0
