<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PV2,20180713,2.9,2.9,2.8,2.8,10100
PV2,20180712,3.0,3.0,2.9,2.9,1300
PV2,20180711,2.9,3.0,2.8,2.9,63120
PV2,20180710,3.0,3.0,2.9,2.9,6800
PV2,20180709,3.0,3.0,3.0,3.0,800
PV2,20180706,3.1,3.1,2.9,2.9,220200
PV2,20180705,3.0,3.1,3.0,3.0,65200
PV2,20180704,3.1,3.1,3.0,3.0,5600
PV2,20180703,3.1,3.1,2.9,3.1,2600
PV2,20180702,3.1,3.1,2.9,3.1,3000
PV2,20180629,3.0,3.1,2.8,3.1,11900
PV2,20180628,3.1,3.1,2.9,3.1,9300
PV2,20180627,2.9,3.1,2.9,3.1,12800
PV2,20180626,3.1,3.1,2.8,3.0,11700
PV2,20180625,3.1,3.1,2.9,3.1,9100
PV2,20180622,3.1,3.1,2.9,3.1,6400
PV2,20180621,3.1,3.1,2.9,3.1,35000
PV2,20180620,3.1,3.1,3.0,3.1,3900
PV2,20180619,3.0,3.1,3.0,3.0,50500
PV2,20180618,3.0,3.1,2.9,2.9,75200
PV2,20180615,3.3,3.3,2.9,2.9,42200
PV2,20180614,3.0,3.2,3.0,3.0,10300
PV2,20180613,3.0,3.2,2.9,3.2,49100
PV2,20180612,3.0,3.3,3.0,3.0,24700
PV2,20180611,3.2,3.2,3.2,3.2,7300
PV2,20180608,3.1,3.1,3.0,3.1,22300
PV2,20180607,3.3,3.3,2.9,2.9,110800
PV2,20180606,3.3,3.4,3.0,3.0,42600
PV2,20180605,3.2,3.3,3.0,3.2,66100
PV2,20180604,3.0,3.1,3.0,3.1,100200
PV2,20180601,3.1,3.2,2.9,2.9,16000
PV2,20180531,3.0,3.2,2.9,3.1,41500
PV2,20180530,3.0,3.2,2.9,3.0,12900
PV2,20180529,2.8,3.0,2.8,3.0,57500
PV2,20180528,3.0,3.0,2.8,2.8,103300
PV2,20180525,2.8,2.8,2.8,2.8,3200
PV2,20180524,2.7,2.9,2.6,2.6,1450
PV2,20180523,3.0,3.0,2.7,2.7,55200
PV2,20180522,2.9,3.1,2.9,2.9,23500
PV2,20180521,3.1,3.1,2.9,2.9,700
PV2,20180518,3.1,3.1,2.9,2.9,16300
PV2,20180517,3.0,3.1,2.9,3.1,8500
PV2,20180516,2.9,3.1,2.9,2.9,3200
PV2,20180515,3.0,3.1,2.9,2.9,8600
PV2,20180514,3.3,3.3,2.9,2.9,17100
PV2,20180511,3.0,3.0,2.9,3.0,22200
PV2,20180510,3.4,3.4,2.8,2.8,60700
PV2,20180509,2.9,3.1,2.9,3.1,91200
PV2,20180508,3.0,3.2,2.9,2.9,41900
PV2,20180507,3.1,3.1,3.0,3.0,15400
PV2,20180504,3.0,3.1,3.0,3.1,4600
PV2,20180503,2.9,3.3,2.9,3.0,8800
PV2,20180502,3.2,3.2,3.0,3.0,15600
PV2,20180427,3.4,3.4,3.0,3.0,15200
PV2,20180426,3.0,3.1,2.9,3.1,16900
PV2,20180424,2.9,3.0,2.9,2.9,61500
PV2,20180423,3.3,3.3,2.9,2.9,120800
PV2,20180420,3.0,3.1,2.9,3.1,5700
PV2,20180419,3.0,3.0,2.9,3.0,64600
PV2,20180418,2.9,3.0,2.9,3.0,3400
PV2,20180417,3.0,3.0,3.0,3.0,1600
PV2,20180416,3.0,3.0,2.9,3.0,22200
PV2,20180413,2.9,2.9,2.9,2.9,1100
PV2,20180412,3.0,3.0,2.9,3.0,116800
PV2,20180411,2.9,3.0,2.9,2.9,24900
PV2,20180410,3.0,3.0,2.9,2.9,21500
PV2,20180409,3.0,3.0,2.9,2.9,25000
PV2,20180406,2.9,3.0,2.9,3.0,181300
PV2,20180405,2.9,3.0,2.9,2.9,33300
PV2,20180404,3.0,3.0,2.9,2.9,30200
PV2,20180403,2.9,3.0,2.9,2.9,92100
PV2,20180402,3.0,3.0,2.9,2.9,9300
PV2,20180330,2.9,3.0,2.9,2.9,34200
PV2,20180329,2.9,3.0,2.9,2.9,15200
PV2,20180328,3.0,3.0,2.9,2.9,15700
PV2,20180327,2.9,3.0,2.9,3.0,6500
PV2,20180326,3.0,3.0,2.9,2.9,6700
PV2,20180323,2.9,3.0,2.9,3.0,4100
PV2,20180322,3.0,3.0,2.9,2.9,16900
PV2,20180321,2.9,3.0,2.9,2.9,87600
PV2,20180320,2.9,3.0,2.9,3.0,23600
PV2,20180319,3.1,3.1,2.9,2.9,1800
PV2,20180316,3.0,3.0,2.9,3.0,127400
PV2,20180315,3.0,3.0,2.9,2.9,17200
PV2,20180314,3.0,3.0,2.9,3.0,87400
PV2,20180313,3.0,3.0,2.9,2.9,67200
PV2,20180312,2.9,3.0,2.9,3.0,22100
PV2,20180309,2.9,3.0,2.8,2.9,165900
PV2,20180308,2.9,3.0,2.8,2.8,178100
PV2,20180307,2.9,2.9,2.8,2.8,2100
PV2,20180306,2.8,2.9,2.8,2.8,27700
PV2,20180305,2.9,2.9,2.8,2.8,54000
PV2,20180302,2.7,2.9,2.7,2.9,42000
PV2,20180301,2.8,2.9,2.8,2.8,24500
PV2,20180228,2.8,2.8,2.8,2.8,22600
PV2,20180227,2.8,2.8,2.8,2.8,8000
PV2,20180226,2.8,2.9,2.8,2.9,41500
PV2,20180223,2.7,2.8,2.7,2.8,15200
PV2,20180222,2.7,2.7,2.7,2.7,60100
PV2,20180221,2.7,2.7,2.6,2.7,69600
PV2,20180213,2.6,2.7,2.6,2.7,16100
PV2,20180212,2.6,2.6,2.6,2.6,5100
PV2,20180209,2.6,2.7,2.6,2.7,82800
PV2,20180208,2.6,2.7,2.6,2.6,128400
PV2,20180207,2.7,2.7,2.6,2.6,19600
PV2,20180206,2.6,2.6,2.5,2.6,285700
PV2,20180205,2.6,2.7,2.6,2.6,239000
PV2,20180202,2.6,2.7,2.6,2.7,34800
PV2,20180201,2.6,2.7,2.6,2.6,56200
PV2,20180131,2.7,2.7,2.6,2.6,14100
PV2,20180130,2.7,2.7,2.6,2.7,19040
PV2,20180129,2.6,2.7,2.6,2.7,6100
PV2,20180126,2.6,2.7,2.6,2.7,10200
PV2,20180125,2.7,2.7,2.7,2.7,100
PV2,20180122,2.7,2.9,2.7,2.8,27240
PV2,20180119,2.7,2.7,2.6,2.7,800
PV2,20180118,2.5,2.7,2.5,2.7,71700
PV2,20180117,2.7,2.7,2.6,2.6,133800
PV2,20180116,2.6,2.7,2.6,2.7,7400
PV2,20180115,2.6,2.7,2.6,2.7,55700
PV2,20180112,2.6,2.7,2.6,2.7,8700
PV2,20180111,2.6,2.8,2.6,2.6,38100
PV2,20180110,2.7,2.7,2.6,2.6,33400
PV2,20180109,2.6,2.7,2.6,2.7,85400
PV2,20180108,2.6,2.7,2.6,2.7,1100
PV2,20180105,2.5,2.7,2.5,2.7,5600
PV2,20180104,2.7,2.7,2.6,2.7,66200
PV2,20180103,2.7,2.7,2.5,2.6,10100
PV2,20180102,2.6,2.6,2.6,2.6,55700
PV2,20171229,2.6,2.7,2.6,2.6,2600
PV2,20171228,2.6,2.6,2.6,2.6,29900
PV2,20171227,2.5,2.6,2.5,2.6,59900
PV2,20171226,2.6,2.6,2.5,2.5,31910
PV2,20171225,2.6,2.6,2.5,2.6,27700
PV2,20171222,2.6,2.6,2.5,2.6,38200
PV2,20171221,2.6,2.6,2.5,2.6,51900
PV2,20171220,2.6,2.6,2.5,2.6,42500
PV2,20171219,2.6,2.6,2.5,2.5,65000
PV2,20171218,2.5,2.6,2.5,2.5,5200
