<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PVG,20180713,7.0,7.0,6.9,7.0,20500
PVG,20180712,,,,7.0,0
PVG,20180711,6.9,7.0,6.9,7.0,8000
PVG,20180710,6.9,7.0,6.9,6.9,15200
PVG,20180709,6.9,7.0,6.9,6.9,30310
PVG,20180706,7.0,7.0,6.9,6.9,6130
PVG,20180705,6.9,7.0,6.9,7.0,41200
PVG,20180704,7.0,7.1,6.9,7.0,29300
PVG,20180703,7.0,7.0,6.9,6.9,25300
PVG,20180702,7.0,7.0,7.0,7.0,10100
PVG,20180629,7.0,7.0,6.9,7.0,3600
PVG,20180628,6.9,7.1,6.9,6.9,26000
PVG,20180627,7.3,7.3,7.2,7.2,600
PVG,20180626,7.1,7.2,6.9,7.2,47300
PVG,20180625,6.9,7.3,6.9,7.2,25410
PVG,20180622,7.0,7.0,6.8,6.8,47800
PVG,20180621,7.0,7.0,6.8,6.8,28000
PVG,20180620,6.9,7.0,6.9,7.0,31700
PVG,20180619,7.2,7.2,6.8,7.0,66200
PVG,20180618,7.3,7.3,7.3,7.3,100
PVG,20180615,7.3,7.5,7.3,7.5,3600
PVG,20180614,7.3,7.3,7.3,7.3,400
PVG,20180613,7.6,7.6,7.3,7.5,37500
PVG,20180612,7.6,7.6,7.3,7.6,80000
PVG,20180611,7.2,7.6,7.2,7.6,56200
PVG,20180608,7.4,7.4,7.4,7.4,12130
PVG,20180607,7.5,7.5,7.3,7.5,5500
PVG,20180606,7.6,7.6,7.4,7.5,26000
PVG,20180605,7.5,7.5,7.4,7.5,2010
PVG,20180604,7.3,7.5,7.3,7.5,5700
PVG,20180601,7.1,7.5,7.1,7.3,37210
PVG,20180531,7.3,7.8,7.1,7.1,23710
PVG,20180530,7.9,7.9,7.2,7.3,9300
PVG,20180529,7.9,7.9,7.5,7.5,7500
PVG,20180528,8.0,8.0,7.6,7.6,40600
PVG,20180525,8.4,8.4,8.4,8.4,1500
PVG,20180524,8.7,8.7,8.1,8.4,31600
PVG,20180523,8.8,8.8,8.5,8.5,200
PVG,20180522,8.5,8.6,8.0,8.0,110300
PVG,20180521,8.8,8.8,8.8,8.8,100
PVG,20180518,8.8,8.8,8.8,8.8,4200
PVG,20180517,8.9,8.9,8.8,8.9,19300
PVG,20180516,8.9,8.9,8.9,8.9,100
PVG,20180515,8.5,8.9,8.5,8.9,2100
PVG,20180514,8.6,9.0,8.6,9.0,1200
PVG,20180511,8.6,8.7,8.6,8.7,1100
PVG,20180510,8.5,8.8,8.4,8.8,5700
PVG,20180509,8.8,8.8,8.5,8.8,13100
PVG,20180508,8.6,8.8,8.6,8.8,8600
PVG,20180507,8.8,8.9,8.6,8.8,55000
PVG,20180504,9.0,9.0,8.6,8.6,13610
PVG,20180503,8.8,9.0,8.8,9.0,3900
PVG,20180502,8.8,9.3,8.8,9.3,4400
PVG,20180427,9.0,9.6,8.9,9.6,11700
PVG,20180426,9.4,9.4,9.2,9.2,22600
PVG,20180424,9.7,9.7,9.7,9.7,5
PVG,20180423,9.1,9.7,9.1,9.7,7605
PVG,20180420,9.0,9.7,8.9,9.7,36410
PVG,20180419,9.5,9.7,9.4,9.7,6600
PVG,20180418,9.5,9.7,9.5,9.7,10600
PVG,20180417,9.8,9.8,9.6,9.7,6100
PVG,20180416,10.0,10.0,9.8,9.8,10500
PVG,20180413,9.7,9.7,9.6,9.6,23700
PVG,20180412,9.6,10.0,9.6,9.8,50500
PVG,20180411,10.3,10.3,9.8,10.0,80400
PVG,20180410,10.1,10.4,10.1,10.4,12100
PVG,20180409,10.2,10.4,10.1,10.2,76900
PVG,20180406,10.3,10.5,10.2,10.2,233340
PVG,20180405,10.2,10.2,10.1,10.2,25200
PVG,20180404,10.1,10.4,10.1,10.3,35040
