<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PVI,20180713,29.2,29.2,28.9,29.0,21300
PVI,20180712,28.0,29.2,28.0,29.0,319440
PVI,20180711,28.8,28.9,28.2,28.8,723000
PVI,20180710,28.5,28.9,28.5,28.8,300800
PVI,20180709,28.6,29.0,28.5,28.5,197390
PVI,20180706,28.0,28.8,28.0,28.5,178455
PVI,20180705,28.2,28.5,27.0,28.0,879362
PVI,20180704,27.5,28.3,26.5,28.0,214091
PVI,20180703,26.1,29.9,26.1,28.1,150700
PVI,20180702,28.9,29.0,28.8,29.0,489600
PVI,20180629,28.8,29.1,28.8,29.0,394472
PVI,20180628,29.6,29.6,28.9,29.0,403630
PVI,20180627,29.7,30.0,29.3,29.7,26500
PVI,20180626,29.5,30.0,29.5,29.7,54600
PVI,20180625,30.1,30.1,29.6,30.0,61000
PVI,20180622,30.2,30.2,29.5,30.0,70800
PVI,20180621,30.3,30.3,29.5,29.6,60260
PVI,20180620,29.6,30.8,29.0,30.3,94960
PVI,20180619,30.5,30.5,28.6,30.0,401337
PVI,20180618,30.7,31.1,30.1,30.1,86270
PVI,20180615,31.0,31.2,30.6,31.1,75561
PVI,20180614,33.0,33.0,30.7,31.1,122860
PVI,20180613,31.44,32.69,31.44,32.5,238368
PVI,20180612,32.31,32.41,30.78,31.44,140950
PVI,20180611,32.79,32.79,32.21,32.31,143887
PVI,20180608,32.89,32.89,32.21,32.79,114980
PVI,20180607,32.59,33.26,32.3,32.79,515259
PVI,20180606,31.73,32.79,31.64,32.4,204429
PVI,20180605,31.73,32.21,31.15,31.83,172351
PVI,20180604,30.68,31.83,30.49,31.25,549472
PVI,20180601,30.77,31.15,30.29,30.49,63662
PVI,20180531,29.71,31.06,29.71,30.77,111450
PVI,20180530,27.61,31.45,27.61,30.29,221757
PVI,20180529,30.48,30.68,30.39,30.68,287180
PVI,20180528,29.72,30.68,29.05,30.58,1390618
PVI,20180525,30.2,30.58,29.72,29.72,297124
PVI,20180524,30.68,30.87,29.72,30.2,123970
PVI,20180523,29.72,30.77,29.72,30.68,446869
PVI,20180522,30.3,31.16,29.24,29.72,557466
PVI,20180521,31.63,31.63,30.77,30.97,416842
PVI,20180518,31.74,32.02,30.97,31.44,278542
PVI,20180517,32.98,32.98,32.02,32.12,356618
PVI,20180516,33.17,33.55,32.5,32.5,615130
PVI,20180515,32.88,33.93,32.59,33.55,196299
PVI,20180514,32.79,33.08,32.6,32.88,205072
PVI,20180511,32.21,32.88,32.02,32.79,152030
PVI,20180510,32.5,34.13,32.3,32.88,479823
PVI,20180509,32.12,32.7,32.12,32.4,737000
PVI,20180508,31.73,32.78,31.73,32.12,994160
PVI,20180507,31.74,32.89,31.54,31.73,646700
PVI,20180504,31.15,31.83,31.15,31.64,656288
PVI,20180503,30.97,31.35,29.24,31.25,942820
PVI,20180502,31.45,32.31,30.68,31.16,171310
PVI,20180427,31.73,32.4,31.63,31.64,438560
PVI,20180426,34.13,34.32,32.21,32.4,579047
PVI,20180424,31.06,34.89,31.06,34.42,252995
PVI,20180423,36.62,36.81,33.55,34.51,377616
PVI,20180420,37.1,37.2,35.76,36.62,479134
PVI,20180419,36.91,37.87,36.72,37.2,360425
PVI,20180418,36.71,37.1,36.71,36.91,172840
PVI,20180417,36.81,37.1,36.62,36.81,97934
PVI,20180416,36.91,37.01,36.63,36.81,240530
PVI,20180413,37.29,37.39,36.81,37.01,223796
PVI,20180412,36.81,37.39,36.43,37.29,195450
PVI,20180411,37.58,37.58,36.62,36.91,534286
PVI,20180410,37.68,37.97,37.1,37.39,591323
PVI,20180409,37.39,37.87,37.2,37.68,309309
PVI,20180406,38.15,38.25,37.39,37.39,610027
PVI,20180405,36.91,38.54,36.33,38.25,1361917
PVI,20180404,38.44,38.44,37.1,37.1,732172
PVI,20180403,39.01,39.01,37.58,38.06,821258
PVI,20180402,38.83,39.31,38.44,38.63,830504
PVI,20180330,39.11,39.11,38.34,38.73,663871
PVI,20180329,39.31,39.4,38.83,39.11,944715
PVI,20180328,39.31,39.69,38.54,39.21,432915
PVI,20180327,40.74,41.51,37.86,39.31,2887000
PVI,20180326,39.79,41.42,39.41,40.26,1284544
PVI,20180323,38.63,39.79,37.48,39.79,1510155
PVI,20180322,39.21,39.88,39.02,39.21,749980
PVI,20180321,38.92,39.59,38.92,39.21,884034
PVI,20180320,39.21,39.69,38.63,38.92,768269
PVI,20180319,39.79,39.89,38.74,39.21,2873735
PVI,20180316,40.27,40.27,39.31,39.79,2860595
PVI,20180315,41.13,41.13,39.11,40.46,2207705
PVI,20180314,38.26,40.65,37.97,40.55,1673285
PVI,20180313,36.91,38.82,36.81,37.01,6090101
PVI,20180312,37.86,37.86,36.43,36.81,2858992
PVI,20180309,39.31,39.31,37.49,37.48,1297949
PVI,20180308,38.25,38.45,36.91,37.87,458932
PVI,20180307,39.79,40.27,37.87,37.87,2206369
PVI,20180306,41.7,41.8,39.79,39.79,904880
PVI,20180305,40.55,42.18,40.36,41.8,1205182
PVI,20180302,40.07,43.14,39.88,40.26,960468
PVI,20180301,37.29,40.55,37.29,40.07,764546
PVI,20180228,37.29,37.39,36.91,37.29,207071
PVI,20180227,37.29,37.67,37.0,37.29,226604
PVI,20180226,37.58,37.58,37.2,37.29,140110
PVI,20180223,37.39,37.68,36.81,37.39,260187
PVI,20180222,37.48,37.48,37.29,37.39,184793
PVI,20180221,36.81,39.3,36.81,37.48,224141
PVI,20180213,36.33,36.91,36.23,36.81,323728
PVI,20180212,35.37,36.43,35.37,36.33,367212
PVI,20180209,32.59,35.09,31.73,34.99,249705
PVI,20180208,35.37,35.95,34.7,34.99,54725
PVI,20180207,34.51,35.57,34.32,35.47,170761
PVI,20180206,33.55,34.51,31.06,34.32,575810
PVI,20180205,35.67,36.05,33.75,34.51,386503
PVI,20180202,36.14,36.43,35.66,36.05,349064
PVI,20180201,36.72,36.72,35.95,36.14,182388
PVI,20180131,35.28,37.1,35.28,36.43,608389
PVI,20180130,35.47,36.24,35.09,35.47,277920
PVI,20180129,35.28,36.24,35.18,35.47,391052
PVI,20180126,35.37,36.43,34.51,35.28,649249
PVI,20180125,35.09,36.91,35.09,35.18,823014
PVI,20180122,31.83,32.21,31.54,31.92,195935
PVI,20180119,31.83,32.41,31.83,31.83,77400
PVI,20180118,31.25,31.83,31.16,31.83,187848
PVI,20180117,32.31,32.6,31.35,31.35,126613
PVI,20180116,30.77,33.08,30.68,32.6,439379
PVI,20180115,31.54,31.54,30.97,31.35,74404
PVI,20180112,31.64,31.73,31.25,31.64,187748
PVI,20180111,31.83,31.83,31.26,31.54,99771
PVI,20180110,30.68,31.93,30.68,31.64,438877
PVI,20180109,30.67,30.96,30.58,30.68,243102
PVI,20180108,30.77,31.06,30.68,30.77,386560
PVI,20180105,28.76,31.16,28.76,31.06,236311
PVI,20180104,31.16,31.45,30.87,30.97,219664
PVI,20180103,31.92,32.02,31.15,31.16,156986
PVI,20180102,30.58,32.6,30.39,31.73,148913
PVI,20171229,30.87,30.97,30.68,30.68,84110
