<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PVV,20180713,,,,0.7,0
PVV,20180712,0.9,0.9,0.7,0.7,48500
PVV,20180711,0.9,0.9,0.8,0.8,2500
PVV,20180710,0.9,0.9,0.8,0.8,8300
PVV,20180709,0.9,1.0,0.8,0.8,42500
PVV,20180706,0.8,0.9,0.8,0.9,84900
PVV,20180705,1.0,1.0,0.9,0.9,141400
PVV,20180704,1.0,1.0,1.0,1.0,1200
PVV,20180703,1.0,1.0,1.0,1.0,700
PVV,20180702,1.0,1.1,1.0,1.0,2800
PVV,20180629,1.0,1.1,1.0,1.0,8500
PVV,20180628,1.1,1.1,0.9,1.1,40600
PVV,20180627,1.1,1.1,1.0,1.0,27400
PVV,20180626,1.0,1.1,0.9,1.1,10300
PVV,20180625,1.1,1.1,1.0,1.0,11900
PVV,20180622,1.1,1.1,1.0,1.1,46400
PVV,20180621,1.1,1.1,1.0,1.0,800
PVV,20180620,1.1,1.1,1.0,1.0,208100
PVV,20180619,1.1,1.1,1.0,1.1,61830
PVV,20180618,1.1,1.1,1.0,1.1,7900
PVV,20180615,1.1,1.1,1.0,1.0,80200
PVV,20180614,1.1,1.1,1.0,1.0,21400
PVV,20180613,1.1,1.1,1.0,1.0,13500
PVV,20180612,1.0,1.1,1.0,1.1,1800
PVV,20180611,1.1,1.1,1.0,1.1,128600
PVV,20180608,1.0,1.1,1.0,1.1,71700
PVV,20180607,1.1,1.1,1.0,1.0,23830
PVV,20180606,1.1,1.2,1.0,1.1,51100
PVV,20180605,1.2,1.2,1.0,1.1,14200
PVV,20180604,1.2,1.2,1.1,1.1,14600
PVV,20180601,1.2,1.2,1.1,1.2,21100
PVV,20180531,1.2,1.2,1.1,1.2,28100
PVV,20180530,1.2,1.2,1.1,1.2,500
PVV,20180529,1.1,1.2,1.1,1.2,3600
PVV,20180528,1.2,1.2,1.1,1.1,15300
PVV,20180525,1.2,1.2,1.2,1.2,3400
PVV,20180524,1.2,1.2,1.2,1.2,114000
PVV,20180523,1.2,1.2,1.1,1.2,1400
PVV,20180522,1.2,1.2,1.1,1.2,33700
PVV,20180521,1.2,1.2,1.1,1.2,1200
PVV,20180518,1.2,1.2,1.1,1.1,200
PVV,20180517,1.1,1.2,1.1,1.2,29300
PVV,20180516,1.1,1.2,1.1,1.2,400
PVV,20180515,1.2,1.2,1.1,1.2,91800
PVV,20180514,1.1,1.2,1.1,1.2,85600
PVV,20180511,1.1,1.1,1.0,1.1,31017
PVV,20180510,1.1,1.1,1.0,1.0,105500
PVV,20180509,1.1,1.1,1.0,1.1,5600
PVV,20180508,1.2,1.2,1.1,1.1,56000
PVV,20180507,1.2,1.2,1.1,1.2,13600
PVV,20180504,1.2,1.2,1.1,1.2,8900
PVV,20180503,1.2,1.2,1.1,1.2,9600
PVV,20180502,1.2,1.2,1.1,1.2,46800
PVV,20180427,1.2,1.2,1.1,1.2,4700
PVV,20180426,1.3,1.3,1.2,1.2,63300
PVV,20180424,1.3,1.3,1.2,1.3,41600
PVV,20180423,1.3,1.3,1.2,1.3,55600
PVV,20180420,1.2,1.3,1.2,1.3,3510
PVV,20180419,1.3,1.3,1.2,1.3,400
PVV,20180418,1.4,1.4,1.3,1.3,400
PVV,20180417,1.2,1.4,1.2,1.4,260500
PVV,20180416,1.2,1.3,1.2,1.3,103917
PVV,20180413,1.3,1.3,1.2,1.3,60100
PVV,20180412,1.3,1.3,1.2,1.3,54000
PVV,20180411,1.3,1.3,1.2,1.3,153500
PVV,20180410,1.3,1.4,1.2,1.3,227300
PVV,20180409,,,,1.3,0
PVV,20180406,1.3,1.3,1.3,1.3,98200
PVV,20180405,,,,1.4,0
PVV,20180404,,,,1.4,0
PVV,20180403,,,,1.4,0
PVV,20180402,,,,1.4,0
PVV,20180330,1.4,1.4,1.4,1.4,140500
PVV,20180329,1.5,1.5,1.5,1.5,100
PVV,20180328,1.5,1.5,1.4,1.5,20600
PVV,20180327,1.5,1.5,1.4,1.5,8600
PVV,20180326,1.5,1.5,1.3,1.5,74100
PVV,20180323,1.4,1.4,1.4,1.4,286200
PVV,20180322,1.4,1.5,1.3,1.3,150500
PVV,20180321,1.3,1.4,1.3,1.4,115500
PVV,20180320,1.3,1.4,1.3,1.3,252500
PVV,20180319,1.4,1.4,1.3,1.3,432200
PVV,20180316,1.2,1.4,1.2,1.4,54610
PVV,20180315,1.4,1.4,1.3,1.3,35700
PVV,20180314,1.3,1.4,1.2,1.4,25600
PVV,20180313,1.3,1.4,1.2,1.3,32700
PVV,20180312,1.3,1.4,1.2,1.3,485300
PVV,20180309,1.3,1.3,1.2,1.3,52400
PVV,20180308,1.3,1.3,1.2,1.3,10600
PVV,20180307,1.3,1.3,1.2,1.2,17800
