<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ROS,20180713,41.5,44.15,41.5,44.15,965400
ROS,20180712,41.3,41.35,39.75,41.3,625850
ROS,20180711,40.7,41.6,40.2,40.5,404850
ROS,20180710,41.4,41.75,40.95,41.65,618480
ROS,20180709,39.8,41.5,39.8,41.4,519920
ROS,20180706,40.0,41.0,38.6,41.0,477620
ROS,20180705,40.2,40.6,38.0,40.6,649630
ROS,20180704,40.0,40.5,37.9,40.2,510230
ROS,20180703,40.1,40.9,37.6,40.1,852020
ROS,20180702,41.1,42.0,40.05,40.3,338460
ROS,20180629,43.0,43.3,40.2,43.0,602730
ROS,20180628,40.35,43.9,40.1,43.1,641320
ROS,20180627,45.0,45.8,42.95,42.95,442770
ROS,20180626,47.0,47.0,44.45,46.0,519890
ROS,20180625,46.25,46.25,46.0,46.25,973550
ROS,20180622,44.0,46.8,43.25,43.25,1501710
ROS,20180621,51.0,51.0,46.5,46.5,514000
ROS,20180620,51.2,52.8,48.5,49.9,419670
ROS,20180619,54.0,54.0,51.2,51.2,636140
ROS,20180618,56.5,58.5,54.0,55.0,460500
ROS,20180615,59.9,60.7,56.8,56.8,2761410
ROS,20180614,60.0,62.0,59.8,61.0,584540
ROS,20180613,66.0,66.0,60.3,62.0,2403830
ROS,20180612,67.0,69.7,60.7,64.8,3009090
ROS,20180611,65.0,65.2,63.0,65.2,863130
ROS,20180608,61.6,62.0,60.0,61.0,429730
ROS,20180607,62.0,62.5,60.5,61.6,550440
ROS,20180606,62.7,63.5,61.0,61.9,535860
ROS,20180605,62.0,63.0,61.0,62.7,369680
ROS,20180604,61.0,62.5,60.5,62.0,420230
ROS,20180601,60.7,62.9,60.0,61.0,490840
ROS,20180531,56.7,60.7,56.6,60.7,671670
ROS,20180530,55.5,56.8,52.0,56.8,321520
ROS,20180529,54.2,57.0,53.1,53.2,634990
ROS,20180528,58.7,61.2,57.0,57.0,624110
ROS,20180525,62.0,65.1,61.0,61.2,1102930
ROS,20180524,70.0,70.4,65.1,65.1,995710
ROS,20180523,71.9,72.0,66.9,70.0,868380
ROS,20180522,75.0,75.4,69.9,71.9,810000
ROS,20180521,76.3,77.0,71.5,75.0,566860
ROS,20180518,74.7,78.0,73.8,76.3,624960
ROS,20180517,81.9,81.9,75.0,76.0,427600
ROS,20180516,82.0,82.5,80.0,80.0,385600
ROS,20180515,81.8,83.0,81.8,82.4,621380
ROS,20180514,80.8,81.9,80.8,81.5,606260
ROS,20180511,78.2,81.8,76.8,80.5,377010
ROS,20180510,84.0,86.5,79.1,81.9,879160
ROS,20180509,83.0,87.8,83.0,85.0,807810
ROS,20180508,83.6,83.8,76.0,83.8,1108800
ROS,20180507,78.4,78.4,78.3,78.4,349370
ROS,20180504,73.3,73.3,73.3,73.3,196010
ROS,20180503,68.25,69.41,68.25,68.58,666500
ROS,20180502,72.5,72.5,67.84,67.83,568690
ROS,20180427,67.92,71.67,67.25,71.67,857740
ROS,20180426,67.0,68.75,67.0,67.0,722880
ROS,20180424,66.67,70.83,65.0,66.75,640010
ROS,20180423,73.75,74.09,69.5,69.5,1017950
ROS,20180420,74.58,74.58,68.42,74.42,971280
ROS,20180419,80.0,80.84,73.0,73.0,1399230
ROS,20180418,83.75,85.0,78.17,78.17,1367980
ROS,20180417,83.33,85.75,83.33,83.75,1748370
ROS,20180416,87.5,87.5,83.0,83.5,1601280
ROS,20180413,84.16,89.16,84.08,89.17,1363620
ROS,20180412,83.33,87.41,83.08,83.33,1257760
ROS,20180411,89.83,93.33,89.33,89.33,2036090
ROS,20180410,102.33,103.66,95.25,96.0,1573360
ROS,20180409,110.0,111.25,102.33,102.33,1673050
ROS,20180406,105.33,110.0,105.25,110.0,1128430
ROS,20180405,108.33,113.33,104.67,105.0,1837360
ROS,20180404,112.5,115.0,112.09,112.5,824420
ROS,20180403,120.41,120.66,111.91,112.17,1383440
ROS,20180402,112.83,120.33,104.67,120.33,2003890
ROS,20180330,112.5,114.17,108.42,112.5,1041450
ROS,20180329,120.25,120.75,111.83,112.25,1261850
ROS,20180328,120.0,121.67,113.33,120.25,1065280
ROS,20180327,118.75,120.83,118.58,120.0,912040
ROS,20180326,114.08,118.33,105.83,118.33,1111460
ROS,20180323,121.0,121.0,112.58,112.58,1355400
ROS,20180322,123.33,129.16,120.75,121.0,1266230
ROS,20180321,115.84,129.84,113.0,129.83,1694630
ROS,20180320,121.42,121.42,121.33,121.42,526180
ROS,20180319,113.5,113.5,113.5,113.5,502840
ROS,20180316,114.83,114.83,106.08,106.08,1615100
ROS,20180315,115.0,115.25,113.75,114.0,1059830
ROS,20180314,115.75,115.83,110.83,115.0,1096980
ROS,20180313,115.5,115.83,112.92,115.5,1043120
ROS,20180312,115.58,115.83,113.33,115.5,963740
ROS,20180309,115.17,116.67,113.34,115.58,1027590
ROS,20180308,116.58,116.66,111.66,114.92,787690
ROS,20180307,112.5,119.58,112.33,115.83,823240
ROS,20180306,116.5,116.58,108.33,112.5,814300
ROS,20180305,118.25,118.33,113.0,115.83,863930
ROS,20180302,117.92,118.25,116.42,116.83,925640
ROS,20180301,118.25,118.25,114.5,116.5,1277230
ROS,20180228,120.0,121.58,114.33,114.33,1156050
ROS,20180227,121.67,122.08,114.17,120.33,895400
ROS,20180226,119.58,121.41,119.58,120.25,929370
ROS,20180223,120.83,120.83,112.5,118.58,1019990
ROS,20180222,116.67,120.75,116.67,118.25,1031220
ROS,20180221,124.58,126.58,116.66,116.67,872880
ROS,20180213,120.83,126.75,119.42,124.33,677990
ROS,20180212,119.83,125.0,119.83,125.0,1416570
ROS,20180209,127.5,127.5,119.34,119.58,1001880
ROS,20180208,135.08,135.08,126.08,127.92,885130
ROS,20180207,120.83,135.08,120.83,135.08,1066010
ROS,20180206,126.25,135.0,126.25,126.25,727110
ROS,20180205,134.17,135.83,134.17,135.75,1440440
ROS,20180202,137.17,137.17,133.42,135.0,1000300
ROS,20180201,140.0,140.0,135.58,137.17,1232480
ROS,20180131,135.91,145.33,135.91,145.33,1183140
ROS,20180130,137.5,137.5,134.25,135.83,889760
ROS,20180129,137.5,138.34,136.25,137.92,1094810
ROS,20180126,135.83,141.66,135.08,136.67,1241340
ROS,20180125,135.83,135.91,133.41,135.83,1269630
ROS,20180122,140.41,140.91,139.0,140.83,1166160
ROS,20180119,138.83,139.91,138.83,139.83,3987020
ROS,20180118,137.91,138.66,137.58,138.58,1426430
ROS,20180117,135.67,137.5,135.67,137.33,1613900
ROS,20180116,133.34,137.42,133.34,135.42,1388090
ROS,20180115,137.5,138.34,136.59,138.17,1196450
ROS,20180112,137.42,138.17,137.17,138.17,1233200
ROS,20180111,135.67,137.0,135.67,136.92,1203100
ROS,20180110,140.92,141.75,134.17,135.42,1707050
ROS,20180109,139.58,140.75,139.58,140.67,1082790
ROS,20180108,138.33,139.58,134.16,139.33,1027000
ROS,20180105,137.92,138.34,137.0,138.08,1418070
ROS,20180104,137.5,137.5,135.25,136.67,1113190
ROS,20180103,140.83,140.83,133.33,135.0,1282380
ROS,20180102,143.75,148.34,140.84,141.25,3270050
ROS,20171229,143.25,151.42,141.92,151.42,2090700
ROS,20171228,140.84,141.92,139.5,141.67,1591090
ROS,20171227,137.92,139.92,137.92,139.42,1592080
ROS,20171226,137.08,138.0,136.25,137.92,1813750
ROS,20171225,135.0,136.33,135.0,136.25,1452740
ROS,20171222,133.66,135.25,133.66,135.0,1448030
ROS,20171221,139.58,141.91,133.41,133.58,3317280
ROS,20171220,130.5,139.58,130.5,139.58,1732620
ROS,20171219,130.5,130.5,129.33,130.5,1747490
ROS,20171218,121.66,122.0,120.83,122.0,969960
ROS,20171215,122.58,123.83,114.08,114.08,3903110
ROS,20171214,122.25,127.5,121.83,122.58,1405940
ROS,20171213,121.67,121.92,121.0,121.83,1319630
ROS,20171212,120.25,122.09,120.25,121.0,1042060
ROS,20171211,119.09,123.25,119.09,120.17,1498330
ROS,20171208,126.91,128.0,126.91,127.92,983580
ROS,20171207,125.83,127.08,125.83,126.83,921060
ROS,20171206,124.17,125.75,122.08,125.75,1902960
ROS,20171205,140.0,140.75,130.25,131.25,1338940
ROS,20171204,139.0,141.66,138.91,140.0,1973500
ROS,20171201,148.25,150.5,148.08,149.08,1145730
ROS,20171130,146.83,148.41,146.83,148.08,946550
ROS,20171129,146.91,150.0,146.75,146.83,1690110
ROS,20171128,156.67,158.34,156.42,157.58,1095280
ROS,20171127,155.25,156.5,155.25,156.42,914280
ROS,20171124,154.42,155.75,154.42,155.25,1183440
ROS,20171123,154.17,155.84,153.42,154.42,773470
ROS,20171122,152.33,156.67,152.17,153.42,869560
ROS,20171121,151.17,152.42,151.17,152.25,909250
ROS,20171120,151.25,151.67,149.75,151.17,1024990
ROS,20171117,150.41,151.75,150.25,151.67,1029570
ROS,20171116,150.67,151.25,148.34,150.33,755730
ROS,20171115,148.33,149.92,148.0,149.17,672980
ROS,20171114,146.75,149.58,146.75,148.0,1306850
ROS,20171113,145.83,149.58,145.0,146.75,984380
ROS,20171110,136.67,149.17,135.42,145.5,1081700
ROS,20171109,155.75,155.83,144.92,145.17,1205870
ROS,20171108,171.25,172.59,155.5,155.75,1053550
ROS,20171107,173.34,178.25,158.34,167.17,867430
ROS,20171106,180.84,181.67,166.92,166.92,1003840
ROS,20171103,171.67,178.59,167.17,178.42,1325840
ROS,20171102,178.16,187.5,166.91,166.92,776380
ROS,20171101,166.67,178.34,166.67,178.33,1465940
ROS,20171031,171.67,183.33,162.58,166.67,1063370
ROS,20171030,163.33,174.75,156.66,174.75,675620
ROS,20171027,158.33,163.5,155.0,163.33,1188240
ROS,20171026,135.83,153.33,135.83,152.83,1493370
ROS,20171025,135.84,143.59,127.5,143.33,1543240
ROS,20171024,118.42,134.42,118.42,134.42,1587540
ROS,20171023,117.83,125.83,110.0,125.67,2598650
ROS,20171020,110.08,117.75,102.66,117.75,4290470
ROS,20171019,102.92,110.09,102.84,110.08,4807320
ROS,20171018,96.33,102.92,96.33,102.92,2163520
ROS,20171017,95.92,96.33,95.83,96.25,1646130
ROS,20171016,95.25,95.84,95.25,95.75,1548650
ROS,20171013,94.67,95.25,94.58,95.17,1830190
ROS,20171012,94.08,94.58,94.08,94.5,1749530
ROS,20171011,93.5,94.09,93.5,94.0,1526540
ROS,20171010,93.08,93.5,92.91,93.42,1448460
ROS,20171009,92.33,92.92,92.33,92.83,1544960
ROS,20171006,91.84,92.34,91.75,92.25,1580860
ROS,20171005,91.33,91.75,91.08,91.67,1337890
ROS,20171004,90.42,91.09,90.42,91.0,1469530
ROS,20171003,89.91,90.5,89.91,90.42,1779090
ROS,20171002,89.33,89.92,89.33,89.83,1610380
ROS,20170929,89.17,89.34,88.75,89.25,1551950
ROS,20170928,88.16,88.75,88.16,88.67,1851930
ROS,20170927,87.58,88.33,87.5,88.08,3415970
ROS,20170926,100.75,100.75,93.25,94.08,3463810
ROS,20170925,100.83,101.67,99.75,100.25,3225110
ROS,20170922,100.33,107.25,100.33,107.25,2790300
ROS,20170921,99.75,100.34,99.75,100.25,2604930
ROS,20170920,99.25,99.75,99.16,99.67,2992110
ROS,20170919,98.34,99.17,98.25,99.08,3415820
ROS,20170918,97.58,98.25,97.58,98.17,2283900
ROS,20170915,96.83,97.58,96.83,97.5,2891750
ROS,20170914,96.0,96.83,95.91,96.75,4099560
ROS,20170913,95.08,95.92,95.08,95.83,4035270
ROS,20170912,100.5,100.67,93.67,95.0,5409030
ROS,20170911,99.67,100.5,99.5,100.42,4027810
ROS,20170908,99.25,99.5,98.66,99.42,3018400
ROS,20170907,97.58,98.66,97.41,98.58,4118250
ROS,20170906,95.84,97.42,95.75,97.33,5061330
ROS,20170905,94.42,95.75,94.25,95.67,3534560
ROS,20170901,93.33,94.25,92.58,94.17,3651680
ROS,20170831,91.16,92.58,90.91,92.5,4976650
ROS,20170830,88.5,90.83,88.41,90.83,2679840
ROS,20170829,88.33,88.41,87.41,88.33,3166570
ROS,20170828,82.25,87.34,81.75,87.33,4773500
ROS,20170825,80.84,81.75,80.5,81.67,2793180
ROS,20170824,79.5,80.5,79.5,80.42,2364320
ROS,20170823,78.91,79.41,78.91,79.42,2332030
ROS,20170822,78.41,78.83,78.41,78.83,2494260
ROS,20170821,78.09,78.42,78.0,78.33,3450380
ROS,20170818,77.58,77.92,77.58,77.92,2382220
ROS,20170817,77.16,77.58,77.16,77.5,2196940
ROS,20170816,76.75,77.17,76.75,77.08,2369550
ROS,20170815,76.42,76.75,76.33,76.67,2022680
ROS,20170814,75.91,76.33,75.91,76.25,2151170
ROS,20170811,75.59,75.92,75.5,75.83,2856030
ROS,20170810,75.0,75.84,75.0,75.42,3491010
ROS,20170809,78.92,79.25,78.83,79.17,3626210
ROS,20170808,78.75,78.83,78.41,78.75,2269970
ROS,20170807,78.0,78.42,78.0,78.33,2270410
ROS,20170804,77.58,78.0,77.58,77.92,2658490
ROS,20170803,77.25,77.66,77.16,77.5,2437760
ROS,20170802,76.92,77.17,76.75,77.08,2645090
ROS,20170801,76.33,76.75,76.33,76.67,2116560
ROS,20170731,75.91,76.33,75.91,76.25,2310510
ROS,20170728,75.75,75.92,75.5,75.83,2505620
ROS,20170727,75.08,75.5,75.08,75.42,2863690
ROS,20170726,74.91,75.08,74.66,75.0,2601560
ROS,20170725,74.25,74.67,74.25,74.58,2402410
ROS,20170724,73.83,74.25,73.83,74.17,2840890
ROS,20170721,73.41,73.83,73.41,73.75,2390070
ROS,20170720,73.0,73.42,73.0,73.33,2310580
ROS,20170719,73.08,73.08,72.58,72.92,2294720
ROS,20170718,72.08,72.58,72.08,72.5,2310920
ROS,20170717,71.5,71.92,71.5,71.83,2851140
ROS,20170714,71.0,71.33,70.91,71.25,2134600
ROS,20170713,70.5,70.92,70.5,70.83,2002460
ROS,20170712,70.25,70.5,70.08,70.42,2216020
ROS,20170711,69.66,70.08,69.66,70.0,2124580
ROS,20170710,69.25,69.67,69.25,69.58,2924590
ROS,20170707,69.17,69.25,68.83,69.17,2644130
ROS,20170706,68.58,68.83,68.41,68.75,2002760
ROS,20170705,68.0,68.42,68.0,68.33,2134240
ROS,20170704,69.0,69.0,67.42,67.92,2557630
ROS,20170703,67.13,67.5,67.13,67.42,2202300
ROS,20170630,66.97,67.12,66.75,67.05,1759310
ROS,20170629,66.59,66.82,66.29,66.67,2069730
ROS,20170628,65.91,66.36,65.91,66.29,2259510
ROS,20170627,65.91,65.98,65.53,65.91,2268010
