<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
S55,20180713,20.5,20.9,20.5,20.9,23700
S55,20180712,20.6,20.7,20.3,20.7,38868
S55,20180711,20.7,20.7,20.2,20.6,20803
S55,20180710,20.0,21.0,20.0,21.0,14550
S55,20180709,21.0,21.0,21.0,21.0,400
S55,20180706,20.5,21.4,20.5,21.4,6700
S55,20180705,20.7,20.7,20.2,20.2,19800
S55,20180704,20.6,20.6,20.6,20.6,500
S55,20180703,20.6,20.7,20.6,20.6,22600
S55,20180702,20.6,21.0,20.6,21.0,168000
S55,20180629,21.4,21.4,21.4,21.4,800
S55,20180628,21.0,21.4,21.0,21.4,5200
S55,20180627,21.53,22.7,21.53,22.7,6100
S55,20180626,21.53,21.53,21.53,21.53,20
S55,20180625,21.53,21.53,21.53,21.53,2500
S55,20180622,20.94,21.53,20.94,21.53,10963
S55,20180621,21.04,21.04,21.04,21.04,2500
S55,20180620,,,,21.04,0
S55,20180619,21.04,21.33,21.04,21.04,15014
S55,20180618,20.26,22.12,20.16,21.33,60400
S55,20180615,20.75,20.75,20.16,20.16,31300
S55,20180614,20.55,20.55,20.55,20.55,1000
S55,20180613,20.55,20.55,20.55,20.55,2000
S55,20180612,20.55,20.94,20.25,20.55,101300
S55,20180611,19.67,19.67,19.57,19.57,5300
S55,20180608,20.45,20.45,20.45,20.45,100
S55,20180607,20.55,21.43,20.55,21.43,200
S55,20180606,19.67,19.96,19.67,19.96,25800
S55,20180605,19.57,19.67,19.57,19.67,8700
S55,20180604,19.47,21.03,19.47,21.04,27600
S55,20180601,19.47,19.77,19.28,19.37,20040
S55,20180531,19.57,19.67,19.28,19.67,20000
S55,20180530,19.38,19.38,19.18,19.18,25400
S55,20180529,18.79,19.67,18.79,19.67,10100
S55,20180528,19.08,19.47,18.89,19.47,1800
S55,20180525,19.57,19.57,19.57,19.57,5000
S55,20180524,19.57,19.57,19.57,19.57,7000
S55,20180523,19.37,19.57,19.37,19.57,36700
S55,20180522,19.57,19.57,19.57,19.57,16814
S55,20180521,19.87,19.87,19.87,19.86,600
S55,20180518,19.77,19.77,19.57,19.67,13000
S55,20180517,,,,20.55,0
S55,20180516,,,,20.55,0
S55,20180515,20.55,20.55,20.55,20.55,600
S55,20180514,,,,19.67,0
S55,20180511,19.66,19.66,19.57,19.67,4100
S55,20180510,19.77,19.97,19.77,19.86,3200
S55,20180509,19.77,19.77,19.77,19.77,1200
S55,20180508,19.77,19.77,19.77,19.77,4275
S55,20180507,19.67,19.77,19.57,19.77,10800
S55,20180504,19.47,19.77,19.47,19.67,7300
S55,20180503,19.08,19.57,19.08,19.57,1700
S55,20180502,19.67,19.67,19.67,19.67,28
S55,20180427,19.08,20.54,18.88,19.67,50617
S55,20180426,18.59,19.37,18.59,18.88,52700
S55,20180424,18.68,19.56,18.68,19.08,133720
S55,20180423,18.79,18.98,18.69,18.88,48000
S55,20180420,18.88,19.47,18.78,19.47,73100
S55,20180419,18.88,19.37,18.88,18.88,63800
S55,20180418,19.47,19.47,19.18,19.37,2360
S55,20180417,18.89,19.57,18.89,19.57,28010
S55,20180416,19.57,19.57,19.57,19.57,8600
S55,20180413,19.77,19.77,19.57,19.57,1400
S55,20180412,20.55,20.55,19.28,19.57,19800
S55,20180411,20.06,20.16,19.08,19.28,52100
S55,20180410,20.06,20.06,20.06,20.06,67
S55,20180409,20.06,20.16,20.06,20.06,37400
S55,20180406,19.96,20.16,19.96,20.06,13100
S55,20180405,20.16,20.16,19.96,19.96,21000
S55,20180404,20.25,20.25,19.96,19.96,17100
S55,20180403,20.06,20.26,20.06,20.25,8116
S55,20180402,20.16,20.55,20.16,20.55,81300
S55,20180330,21.04,21.04,20.06,20.55,56330
S55,20180329,19.96,20.55,19.96,20.16,26800
S55,20180328,20.35,20.55,19.96,19.96,4200
S55,20180327,20.16,20.55,20.16,20.55,20120
S55,20180326,20.55,20.55,19.96,20.55,18100
S55,20180323,20.36,20.65,20.36,20.55,16600
S55,20180322,20.25,21.13,20.25,21.14,21066
S55,20180321,20.45,20.45,20.45,20.45,4300
S55,20180320,20.55,20.94,19.77,20.45,17200
S55,20180319,20.55,21.13,20.55,21.14,1700
S55,20180316,20.65,21.34,20.55,21.33,12600
S55,20180315,21.53,21.53,21.14,21.14,5140
S55,20180314,21.53,21.53,21.04,21.53,8300
S55,20180313,23.47,23.47,20.74,21.53,11800
S55,20180312,21.82,21.82,21.42,21.42,53400
S55,20180309,21.98,22.22,21.5,21.9,48640
S55,20180308,21.82,22.63,21.58,21.98,122120
S55,20180307,21.82,21.82,21.58,21.58,22100
S55,20180306,21.98,22.54,21.98,21.98,18300
S55,20180305,22.39,22.39,22.23,22.22,10000
S55,20180302,22.79,22.87,22.47,22.63,16500
S55,20180301,23.03,23.03,22.39,22.47,56900
S55,20180228,22.54,23.43,22.3,22.55,21422
S55,20180227,22.79,22.79,22.31,22.3,47800
S55,20180226,22.79,23.19,22.79,22.79,33610
S55,20180223,23.6,23.6,22.87,23.03,9380
S55,20180222,21.82,23.52,21.82,23.03,17340
S55,20180221,22.46,23.59,22.46,23.6,1300
S55,20180213,21.82,22.3,21.82,22.22,7500
S55,20180212,22.14,22.46,22.14,22.3,5400
S55,20180209,21.9,22.3,21.82,22.3,11300
S55,20180208,22.63,23.03,22.06,23.03,2600
S55,20180207,22.22,22.22,21.82,21.82,11300
S55,20180206,21.01,22.63,20.28,20.77,29300
S55,20180205,23.19,23.19,21.82,21.82,11900
S55,20180202,22.39,23.6,22.31,23.19,14100
S55,20180201,22.63,23.03,22.63,22.79,9404
