<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SAF,20180713,,,,70.0,0
SAF,20180712,,,,70.0,0
SAF,20180711,,,,70.0,0
SAF,20180710,,,,70.0,0
SAF,20180709,,,,70.0,0
SAF,20180706,,,,70.0,0
SAF,20180705,,,,70.0,0
SAF,20180704,,,,70.0,0
SAF,20180703,70.0,70.0,70.0,70.0,9
SAF,20180702,,,,70.0,0
SAF,20180629,,,,70.0,0
SAF,20180628,,,,70.0,0
SAF,20180627,,,,70.0,0
SAF,20180626,,,,70.0,0
SAF,20180625,,,,70.0,0
SAF,20180622,,,,70.0,0
SAF,20180621,,,,70.0,0
SAF,20180620,,,,70.0,0
SAF,20180619,,,,70.0,0
SAF,20180618,,,,70.0,0
SAF,20180615,,,,70.0,0
SAF,20180614,,,,70.0,0
SAF,20180613,,,,70.0,0
SAF,20180612,,,,70.0,0
SAF,20180611,,,,70.0,0
SAF,20180608,,,,70.0,0
SAF,20180607,,,,70.0,0
SAF,20180606,,,,70.0,0
SAF,20180605,,,,70.0,0
SAF,20180604,,,,70.0,0
SAF,20180601,,,,70.0,0
SAF,20180531,,,,70.0,0
SAF,20180530,,,,70.0,0
SAF,20180529,,,,70.0,0
SAF,20180528,,,,70.0,0
SAF,20180525,,,,70.0,0
SAF,20180524,,,,70.0,0
SAF,20180523,,,,70.0,0
SAF,20180522,,,,70.0,0
SAF,20180521,60.0,70.0,60.0,70.0,200
SAF,20180518,,,,64.8,0
SAF,20180517,64.8,64.8,64.8,64.8,100
SAF,20180516,,,,71.9,0
SAF,20180515,,,,71.9,0
SAF,20180514,71.9,71.9,71.9,71.9,2
SAF,20180511,,,,71.9,0
SAF,20180510,,,,71.9,0
SAF,20180509,,,,71.9,0
SAF,20180508,,,,71.9,0
SAF,20180507,71.9,71.9,71.9,71.9,4
SAF,20180504,71.9,71.9,71.9,71.9,22
SAF,20180503,,,,71.9,0
SAF,20180502,,,,71.9,0
SAF,20180427,71.9,71.9,71.9,71.9,10
SAF,20180426,71.9,71.9,71.9,71.9,60
SAF,20180424,71.9,71.9,71.9,71.9,3000
SAF,20180423,,,,67.4,0
SAF,20180420,67.4,67.4,67.4,67.4,4062
SAF,20180419,62.04,62.04,62.04,62.04,110
SAF,20180418,56.87,56.87,56.87,56.87,200
SAF,20180417,,,,51.7,0
SAF,20180416,51.7,51.7,51.7,51.7,100
SAF,20180413,56.87,56.87,56.87,56.87,10
SAF,20180412,56.87,56.87,56.87,56.87,100
SAF,20180411,,,,56.87,0
SAF,20180410,,,,56.87,0
SAF,20180409,,,,56.87,0
SAF,20180406,,,,56.87,0
SAF,20180405,,,,56.87,0
SAF,20180404,,,,56.87,0
SAF,20180403,,,,56.87,0
SAF,20180402,,,,56.87,0
SAF,20180330,56.87,56.87,56.87,56.87,600
SAF,20180329,,,,51.7,0
SAF,20180328,,,,51.7,0
SAF,20180327,,,,51.7,0
SAF,20180326,,,,51.7,0
SAF,20180323,,,,51.7,0
SAF,20180322,,,,51.7,0
SAF,20180321,,,,51.7,0
SAF,20180320,,,,51.7,0
SAF,20180319,,,,51.7,0
SAF,20180316,51.7,51.7,51.7,51.7,30
SAF,20180315,51.7,51.7,51.7,51.7,100
SAF,20180314,51.7,51.7,51.7,51.7,56
SAF,20180313,51.7,51.7,51.7,51.7,20
SAF,20180312,,,,51.7,0
SAF,20180309,51.7,51.7,51.7,51.7,9
SAF,20180308,51.7,51.7,51.7,51.7,4
SAF,20180307,51.7,51.7,51.7,51.7,100
SAF,20180306,51.7,51.7,51.7,51.7,600
SAF,20180305,51.6,51.6,51.6,51.6,150
SAF,20180302,,,,47.87,0
SAF,20180301,47.87,47.87,47.87,47.87,35
SAF,20180228,,,,47.87,0
SAF,20180227,,,,47.87,0
SAF,20180226,47.87,47.87,47.87,47.87,2700
SAF,20180223,46.91,46.91,46.91,46.91,9500
SAF,20180222,,,,46.53,0
SAF,20180221,,,,46.53,0
SAF,20180213,,,,46.53,0
SAF,20180212,,,,46.53,0
SAF,20180209,,,,46.53,0
SAF,20180208,,,,46.53,0
SAF,20180207,,,,46.53,0
SAF,20180206,47.01,47.01,46.53,46.53,200
SAF,20180205,,,,51.7,0
SAF,20180202,,,,51.7,0
SAF,20180201,51.69,51.69,51.69,51.7,100
SAF,20180131,,,,51.12,0
SAF,20180130,51.12,51.12,51.12,51.12,1500
SAF,20180129,,,,51.12,0
SAF,20180126,,,,51.12,0
SAF,20180125,,,,51.12,0
SAF,20180122,51.12,51.12,51.12,51.12,1100
SAF,20180119,51.12,51.12,51.12,51.12,200
SAF,20180118,46.91,46.91,46.91,46.91,122
SAF,20180117,,,,42.7,0
SAF,20180116,42.7,42.7,42.7,42.7,200
SAF,20180115,44.52,44.52,44.52,44.52,1074
SAF,20180112,48.44,48.44,48.44,48.44,200
SAF,20180111,,,,51.41,0
SAF,20180110,,,,51.41,0
SAF,20180109,51.41,51.41,51.41,51.41,10
SAF,20180108,,,,51.41,0
SAF,20180105,,,,51.41,0
SAF,20180104,51.42,51.42,51.42,51.41,200
SAF,20180103,57.44,57.44,55.14,55.15,1900
SAF,20180102,61.28,61.28,61.28,61.27,100
SAF,20171229,65.01,65.01,65.01,65.01,100
SAF,20171228,60.32,60.32,60.32,60.32,1560
SAF,20171227,55.53,55.53,55.53,55.53,68
SAF,20171226,55.53,55.53,55.53,55.53,100
SAF,20171225,54.57,54.57,54.57,54.57,3640
SAF,20171222,,,,54.57,0
SAF,20171221,,,,54.57,0
SAF,20171220,,,,54.57,0
SAF,20171219,,,,54.57,0
SAF,20171218,,,,54.57,0
SAF,20171215,,,,54.57,0
SAF,20171214,,,,54.57,0
SAF,20171213,54.57,54.57,54.57,54.57,68
SAF,20171212,54.57,54.57,54.57,54.57,100
SAF,20171211,52.56,52.75,52.56,52.75,3200
SAF,20171208,52.18,52.18,52.18,52.18,1603
SAF,20171207,51.7,51.89,51.7,51.89,1200
SAF,20171206,44.9,51.5,44.9,51.51,1400
SAF,20171205,,,,49.78,0
SAF,20171204,,,,49.78,0
SAF,20171201,51.22,51.22,49.79,49.78,1100
SAF,20171130,48.83,48.83,48.83,48.83,60
SAF,20171129,48.82,48.82,48.82,48.83,100
SAF,20171128,,,,46.43,0
SAF,20171127,,,,46.43,0
SAF,20171124,46.43,46.43,46.43,46.43,66
SAF,20171123,46.43,46.43,46.43,46.43,31
SAF,20171122,46.44,46.44,46.44,46.43,100
SAF,20171121,48.83,48.83,48.83,48.83,100
SAF,20171120,,,,51.7,0
SAF,20171117,51.7,51.7,51.7,51.7,100
SAF,20171116,47.68,47.68,47.68,47.68,10
SAF,20171115,,,,47.68,0
SAF,20171114,,,,47.68,0
SAF,20171113,,,,47.68,0
SAF,20171110,,,,47.68,0
SAF,20171109,47.68,47.68,47.68,47.68,300
SAF,20171108,,,,50.07,0
SAF,20171107,49.97,50.07,49.97,50.07,800
SAF,20171106,45.58,45.58,45.58,45.57,100
SAF,20171103,,,,47.3,0
SAF,20171102,47.3,47.3,47.3,47.3,100
SAF,20171101,48.82,48.82,48.82,48.83,100
SAF,20171031,52.27,52.27,52.27,52.27,41
SAF,20171030,57.44,57.44,52.27,52.27,700
SAF,20171027,57.44,57.44,57.44,57.44,200
SAF,20171026,,,,57.44,0
SAF,20171025,,,,57.44,0
SAF,20171024,,,,57.44,0
SAF,20171023,,,,57.44,0
SAF,20171020,57.44,57.44,57.44,57.44,500
SAF,20171019,63.18,63.18,57.44,57.44,1700
SAF,20171018,,,,57.44,0
SAF,20171017,,,,57.44,0
SAF,20171016,59.36,59.36,57.45,57.44,2200
SAF,20171013,58.4,59.35,58.4,59.36,200
SAF,20171012,57.44,57.44,57.44,57.44,100
SAF,20171011,,,,62.23,0
SAF,20171010,,,,62.23,0
SAF,20171009,62.24,62.24,62.24,62.23,1800
SAF,20171006,64.15,64.15,64.15,64.15,2500
SAF,20171005,64.15,64.15,64.15,64.15,1300
SAF,20171004,,,,64.15,0
SAF,20171003,,,,64.15,0
SAF,20171002,,,,64.15,0
SAF,20170929,58.4,64.14,58.4,64.15,1200
SAF,20170928,64.24,64.24,64.24,64.24,166
SAF,20170927,,,,58.4,0
SAF,20170926,64.15,64.15,58.41,58.4,1100
SAF,20170925,64.05,64.14,64.05,64.15,200
SAF,20170922,62.23,62.23,62.23,62.23,100
SAF,20170921,53.61,60.31,53.61,58.4,3700
SAF,20170920,56.87,58.4,56.87,58.4,2400
SAF,20170919,,,,53.52,0
SAF,20170918,,,,53.52,0
SAF,20170915,53.52,53.52,53.52,53.52,24
SAF,20170914,,,,53.52,0
SAF,20170913,48.54,53.52,48.54,53.52,2100
SAF,20170912,53.42,53.42,53.42,53.42,400
SAF,20170911,,,,53.42,0
SAF,20170908,,,,53.42,0
SAF,20170907,,,,53.42,0
SAF,20170906,,,,53.42,0
SAF,20170905,53.42,53.42,53.42,53.42,200
SAF,20170901,,,,53.52,0
SAF,20170831,53.52,53.52,53.52,53.52,10
SAF,20170830,,,,53.52,0
SAF,20170829,,,,53.52,0
SAF,20170828,53.52,53.52,53.52,53.52,6
SAF,20170825,,,,53.52,0
SAF,20170824,,,,53.52,0
SAF,20170823,,,,53.52,0
SAF,20170822,,,,53.52,0
SAF,20170821,48.25,53.52,48.25,53.52,800
SAF,20170818,,,,53.52,0
SAF,20170817,,,,53.52,0
