<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SDC,20180713,,,,13.9,0
SDC,20180712,,,,13.9,0
SDC,20180711,,,,13.9,0
SDC,20180710,,,,13.9,0
SDC,20180709,13.9,13.9,13.9,13.9,60
SDC,20180706,,,,13.9,0
SDC,20180705,,,,13.9,0
SDC,20180704,,,,13.9,0
SDC,20180703,,,,13.9,0
SDC,20180702,,,,13.9,0
SDC,20180629,,,,13.9,0
SDC,20180628,,,,13.9,0
SDC,20180627,,,,13.9,0
SDC,20180626,,,,13.9,0
SDC,20180625,,,,13.9,0
SDC,20180622,,,,13.9,0
SDC,20180621,,,,13.9,0
SDC,20180620,,,,13.9,0
SDC,20180619,,,,13.9,0
SDC,20180618,,,,13.9,0
SDC,20180615,,,,13.9,0
SDC,20180614,,,,13.9,0
SDC,20180613,,,,13.9,0
SDC,20180612,,,,13.9,0
SDC,20180611,,,,13.9,0
SDC,20180608,,,,13.9,0
SDC,20180607,,,,13.9,0
SDC,20180606,,,,13.9,0
SDC,20180605,,,,13.9,0
SDC,20180604,,,,13.9,0
SDC,20180601,13.9,13.9,13.9,13.9,1000
SDC,20180531,,,,13.9,0
SDC,20180530,11.5,13.9,11.5,13.9,3300
SDC,20180529,,,,12.7,0
SDC,20180528,,,,12.7,0
SDC,20180525,,,,12.7,0
SDC,20180524,,,,12.7,0
SDC,20180523,,,,12.7,0
SDC,20180522,,,,12.7,0
SDC,20180521,,,,12.7,0
SDC,20180518,,,,12.7,0
SDC,20180517,,,,12.7,0
SDC,20180516,,,,12.7,0
SDC,20180515,,,,12.7,0
SDC,20180514,,,,12.7,0
SDC,20180511,12.7,12.7,12.7,12.7,100
SDC,20180510,,,,11.8,0
SDC,20180509,,,,11.8,0
SDC,20180508,,,,11.8,0
SDC,20180507,11.8,11.8,11.8,11.8,100
SDC,20180504,,,,11.1,0
SDC,20180503,,,,11.1,0
SDC,20180502,11.1,11.1,11.1,11.1,100
SDC,20180427,,,,10.3,0
SDC,20180426,,,,10.3,0
