<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SFG,20180713,11.5,12.0,11.4,11.4,5690
SFG,20180712,11.7,12.0,11.5,12.0,500
SFG,20180711,11.7,11.7,11.7,11.7,1500
SFG,20180710,11.95,11.95,11.9,11.9,650
SFG,20180709,11.95,11.95,11.95,11.95,1990
SFG,20180706,,,,12.0,0
SFG,20180705,11.95,12.0,11.95,12.0,3000
SFG,20180704,,,,11.95,0
SFG,20180703,,,,11.95,0
SFG,20180702,11.4,11.95,11.4,11.95,2390
SFG,20180629,11.9,11.95,11.5,11.95,8800
SFG,20180628,11.8,11.8,11.8,11.8,90
SFG,20180627,12.0,12.0,11.9,11.9,20
SFG,20180626,12.1,12.1,12.1,12.1,810
SFG,20180625,12.1,12.1,11.8,12.1,1900
SFG,20180622,12.1,12.1,12.1,12.1,80
SFG,20180621,12.2,12.2,12.1,12.1,20
SFG,20180620,12.3,12.4,12.2,12.2,30
SFG,20180619,11.5,11.7,11.4,11.7,4290
SFG,20180618,11.7,12.2,11.7,12.2,3030
SFG,20180615,12.1,12.1,11.9,11.9,1140
SFG,20180614,12.2,12.5,12.0,12.0,22870
SFG,20180613,12.0,12.14,11.71,12.0,10550
SFG,20180612,11.9,12.0,11.52,12.0,27370
SFG,20180611,12.19,12.19,11.62,12.0,480
SFG,20180608,12.19,12.19,11.62,12.19,140
SFG,20180607,11.91,12.19,11.81,12.19,1260
SFG,20180606,10.95,11.9,10.95,11.81,8100
SFG,20180605,11.57,11.81,11.43,11.71,350
SFG,20180604,11.62,11.62,11.14,11.57,12080
SFG,20180601,11.24,11.53,10.86,11.38,18850
SFG,20180531,11.33,11.33,10.95,11.24,17380
SFG,20180530,11.14,11.34,10.95,10.95,8370
SFG,20180529,10.47,11.33,10.47,11.24,5260
SFG,20180528,11.24,11.33,10.76,10.95,20730
SFG,20180525,11.72,11.72,10.95,10.95,35300
SFG,20180524,11.9,11.9,11.52,11.62,31200
SFG,20180523,11.61,12.14,11.61,11.9,35060
SFG,20180522,11.9,11.9,11.61,11.9,32780
SFG,20180521,12.09,12.09,11.8,11.9,22450
SFG,20180518,11.81,12.14,11.81,11.9,30950
SFG,20180517,12.0,12.0,11.81,11.81,6630
SFG,20180516,12.0,12.0,11.91,12.0,11510
SFG,20180515,12.29,12.29,11.81,12.1,13030
SFG,20180514,12.15,12.15,11.91,12.1,16070
SFG,20180511,12.1,12.1,12.1,12.1,20
SFG,20180510,12.2,12.2,11.86,12.1,67560
SFG,20180509,12.1,12.1,12.1,12.1,10
SFG,20180508,11.72,12.1,11.72,12.1,9000
SFG,20180507,12.1,12.1,12.0,12.1,50
SFG,20180504,12.19,12.24,12.09,12.1,3020
SFG,20180503,12.2,12.2,11.62,12.19,4840
SFG,20180502,12.1,12.1,11.91,12.1,1580
SFG,20180427,12.19,12.19,11.62,12.1,7520
SFG,20180426,12.28,12.28,11.81,11.81,42010
SFG,20180424,11.95,12.33,11.9,12.33,6210
SFG,20180423,12.24,12.24,12.0,12.0,9100
SFG,20180420,12.1,12.19,11.91,12.19,84170
SFG,20180419,12.09,12.14,12.0,12.05,56750
SFG,20180418,12.15,12.15,12.15,12.14,100
SFG,20180417,12.19,12.28,12.19,12.29,26550
SFG,20180416,12.19,12.19,11.95,11.95,28430
SFG,20180413,12.24,12.33,12.19,12.19,28690
SFG,20180412,12.29,12.29,12.14,12.14,68000
SFG,20180411,12.29,12.29,12.24,12.24,55130
SFG,20180410,12.29,12.39,12.29,12.29,66820
SFG,20180409,12.23,12.28,12.23,12.29,1200
SFG,20180406,12.34,12.34,12.29,12.33,7630
SFG,20180405,12.33,12.38,12.28,12.29,58570
SFG,20180404,12.34,12.34,12.29,12.33,16610
SFG,20180403,12.29,12.34,12.24,12.24,56390
SFG,20180402,12.29,12.29,12.24,12.24,13450
SFG,20180330,12.29,12.29,12.24,12.29,6480
SFG,20180329,12.29,12.33,12.29,12.29,30320
SFG,20180328,12.29,12.38,12.19,12.19,68070
SFG,20180327,12.19,12.38,12.19,12.19,17680
SFG,20180326,12.24,12.39,12.19,12.38,40070
SFG,20180323,12.19,12.28,12.19,12.29,42200
SFG,20180322,12.38,12.38,12.19,12.38,85350
SFG,20180321,12.19,12.38,12.19,12.38,101120
SFG,20180320,12.14,12.38,11.95,12.19,600
SFG,20180319,12.43,12.43,12.38,12.38,870
SFG,20180316,12.19,12.38,12.19,12.38,250
SFG,20180315,12.34,12.48,12.34,12.38,4220
SFG,20180314,12.52,12.52,12.47,12.48,2160
SFG,20180313,12.33,12.57,12.23,12.52,1820
SFG,20180312,12.38,12.67,12.38,12.52,16070
SFG,20180309,12.14,12.43,12.09,12.19,183500
SFG,20180308,12.19,12.19,12.19,12.19,23100
SFG,20180307,12.28,12.28,12.19,12.19,98000
SFG,20180306,12.1,12.29,12.1,12.14,108400
SFG,20180305,12.19,12.28,12.09,12.1,104120
SFG,20180302,12.38,12.38,12.38,12.38,5030
SFG,20180301,12.38,12.38,11.9,12.38,2930
SFG,20180228,12.38,12.38,12.33,12.38,1500
SFG,20180227,12.38,12.38,12.38,12.38,1170
SFG,20180226,12.19,12.57,12.19,12.52,46190
SFG,20180223,12.1,12.38,12.0,12.38,822340
SFG,20180222,12.24,12.24,12.05,12.05,90630
SFG,20180221,12.48,12.48,12.1,12.1,84270
SFG,20180213,12.28,12.43,12.28,12.43,71490
SFG,20180212,12.19,12.39,12.1,12.38,4030
SFG,20180209,12.48,12.48,12.29,12.29,4250
SFG,20180208,12.47,12.47,12.38,12.43,132550
