<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SFI,20180713,26.5,26.5,26.5,26.5,250
SFI,20180712,26.5,26.5,26.45,26.5,5070
SFI,20180711,26.5,27.0,25.3,26.05,1810
SFI,20180710,27.0,27.75,27.0,27.0,540
SFI,20180709,27.7,27.85,27.7,27.85,560
SFI,20180706,27.65,27.8,27.3,27.3,890
SFI,20180705,27.65,27.9,27.0,27.7,3680
SFI,20180704,27.9,27.9,27.0,27.45,2570
SFI,20180703,28.0,28.35,27.05,27.85,3080
SFI,20180702,29.0,29.0,29.0,29.0,10
SFI,20180629,27.2,28.5,27.2,28.5,1130
SFI,20180628,27.15,29.0,27.0,29.0,2250
SFI,20180627,28.5,29.0,28.45,29.0,960
SFI,20180626,27.5,28.5,27.5,28.45,1080
SFI,20180625,28.5,28.5,27.0,27.0,20010
SFI,20180622,27.0,28.5,26.65,26.65,51700
SFI,20180621,28.0,28.5,28.0,28.5,40
SFI,20180620,28.5,28.5,27.0,28.15,330
SFI,20180619,26.55,28.2,26.55,26.7,140
SFI,20180618,28.5,28.5,28.5,28.5,500
SFI,20180615,28.0,28.5,25.55,28.5,830
SFI,20180614,27.45,28.45,25.85,27.35,690
SFI,20180613,27.6,27.6,26.1,27.3,1470
SFI,20180612,27.6,27.85,26.2,27.0,10310
SFI,20180611,28.8,28.8,27.0,27.0,11130
SFI,20180608,27.0,28.85,27.0,28.0,11030
SFI,20180607,27.05,29.0,27.0,27.0,24780
SFI,20180606,28.45,28.45,28.45,28.45,10
SFI,20180605,28.3,28.5,26.5,28.45,580
SFI,20180604,27.5,28.0,27.35,28.0,500
SFI,20180601,27.01,27.35,25.63,27.35,370
SFI,20180531,27.3,27.45,26.72,27.01,360
SFI,20180530,27.89,27.99,27.01,27.01,140
SFI,20180529,26.47,27.35,26.47,27.35,5480
SFI,20180528,27.7,27.7,25.63,27.5,4230
SFI,20180525,25.58,27.2,25.58,26.91,1280
SFI,20180524,25.48,27.4,25.48,27.35,4960
SFI,20180523,27.69,27.99,26.52,27.4,750
SFI,20180522,27.35,28.23,25.53,27.35,8410
SFI,20180521,26.51,27.44,25.53,26.71,1790
SFI,20180518,26.51,26.71,26.27,26.51,310
SFI,20180517,25.14,27.21,25.14,27.2,220
SFI,20180516,26.96,27.0,25.14,27.01,3250
SFI,20180515,28.48,28.48,25.63,25.63,9950
SFI,20180514,27.5,27.99,26.71,26.71,1180
SFI,20180511,27.06,28.43,27.06,28.43,190
SFI,20180510,,,,28.97,0
SFI,20180509,28.14,28.97,28.14,28.97,350
SFI,20180508,27.5,27.99,27.5,27.99,610
SFI,20180507,27.89,28.33,27.89,28.33,2090
SFI,20180504,27.85,27.85,27.85,27.84,20
SFI,20180503,27.94,27.94,26.52,27.6,2120
SFI,20180502,29.36,29.95,26.51,27.99,2080
SFI,20180427,26.37,28.33,26.37,28.33,690
SFI,20180426,28.38,28.38,26.66,28.33,700
SFI,20180424,28.38,28.38,28.38,28.38,110
SFI,20180423,28.48,28.48,26.86,27.99,6270
SFI,20180420,26.91,27.89,26.91,27.5,530
