<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SGC,20180713,,,,90.0,0
SGC,20180712,90.0,90.0,90.0,90.0,4620
SGC,20180711,84.0,84.0,84.0,84.0,100
SGC,20180710,,,,77.0,0
SGC,20180709,77.0,77.0,77.0,77.0,400
SGC,20180706,,,,70.0,0
SGC,20180705,70.0,70.0,70.0,70.0,1200
SGC,20180704,,,,75.0,0
SGC,20180703,,,,75.0,0
SGC,20180702,,,,75.0,0
SGC,20180629,75.0,75.0,75.0,75.0,1
SGC,20180628,,,,75.0,0
SGC,20180627,,,,75.0,0
SGC,20180626,,,,75.0,0
SGC,20180625,,,,75.0,0
SGC,20180622,,,,75.0,0
SGC,20180621,,,,75.0,0
SGC,20180620,75.0,75.0,75.0,75.0,2000
SGC,20180619,70.0,70.0,70.0,70.0,600
SGC,20180618,,,,73.1,0
SGC,20180615,,,,73.1,0
SGC,20180614,,,,73.1,0
SGC,20180613,73.1,73.1,73.1,73.1,155
SGC,20180612,,,,71.0,0
SGC,20180611,,,,71.0,0
SGC,20180608,,,,71.0,0
SGC,20180607,71.0,71.0,71.0,71.0,4
SGC,20180606,77.1,77.1,71.0,71.0,1444
SGC,20180605,57.5,70.1,57.5,70.1,1806
SGC,20180604,60.1,63.8,60.1,63.8,13000
SGC,20180601,60.2,60.2,60.2,60.2,1560
SGC,20180531,54.8,54.8,54.8,54.8,600
SGC,20180530,,,,52.0,0
SGC,20180529,,,,52.0,0
SGC,20180528,,,,52.0,0
SGC,20180525,52.0,52.0,52.0,52.0,51000
SGC,20180524,55.0,61.6,55.0,56.1,18400
SGC,20180523,56.0,56.0,56.0,56.0,100
SGC,20180522,62.0,62.0,62.0,62.0,85
SGC,20180521,,,,62.0,0
SGC,20180518,62.0,62.0,62.0,62.0,100
SGC,20180517,68.7,68.7,68.7,68.7,200
SGC,20180516,76.3,76.3,76.3,76.3,100
SGC,20180515,84.73,84.73,84.73,84.73,100
SGC,20180514,,,,94.15,0
SGC,20180511,94.15,94.15,94.15,94.15,100
SGC,20180510,84.34,86.3,84.34,86.3,7200
SGC,20180509,86.3,86.3,86.3,86.3,700
SGC,20180508,,,,94.15,0
SGC,20180507,,,,94.15,0
SGC,20180504,,,,94.15,0
SGC,20180503,,,,94.15,0
SGC,20180502,94.24,94.24,94.14,94.15,400
SGC,20180427,,,,85.71,0
SGC,20180426,,,,85.71,0
SGC,20180424,,,,85.71,0
SGC,20180423,,,,85.71,0
SGC,20180420,,,,85.71,0
SGC,20180419,,,,85.71,0
SGC,20180418,85.71,85.71,85.71,85.71,160
SGC,20180417,77.96,77.96,77.96,77.96,5
SGC,20180416,77.28,77.96,77.28,77.96,212
SGC,20180413,85.81,85.81,85.81,85.81,50
SGC,20180412,86.3,86.3,85.81,85.81,200
SGC,20180411,,,,86.3,0
SGC,20180410,86.3,86.3,86.3,86.3,100
SGC,20180409,86.79,86.79,86.79,86.79,2214
SGC,20180406,,,,86.79,0
SGC,20180405,86.79,86.79,86.79,86.79,4103
SGC,20180404,,,,87.28,0
