<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SGH,20180713,,,,75.0,0
SGH,20180712,,,,75.0,0
SGH,20180711,,,,75.0,0
SGH,20180710,,,,75.0,0
SGH,20180709,,,,75.0,0
SGH,20180706,,,,75.0,0
SGH,20180705,,,,75.0,0
SGH,20180704,,,,75.0,0
SGH,20180703,75.0,75.0,75.0,75.0,10
SGH,20180702,,,,75.0,0
SGH,20180629,,,,75.0,0
SGH,20180628,,,,75.0,0
SGH,20180627,,,,75.0,0
SGH,20180626,75.0,75.0,75.0,75.0,4
SGH,20180625,,,,75.0,0
SGH,20180622,75.0,75.0,75.0,75.0,100
SGH,20180621,,,,70.0,0
SGH,20180620,,,,70.0,0
SGH,20180619,70.0,70.0,70.0,70.0,100
SGH,20180618,63.0,70.0,63.0,70.0,600
SGH,20180615,,,,64.0,0
SGH,20180614,,,,64.0,0
SGH,20180613,,,,64.0,0
SGH,20180612,,,,64.0,0
SGH,20180611,,,,64.0,0
SGH,20180608,64.0,64.0,64.0,64.0,2
SGH,20180607,,,,64.0,0
SGH,20180606,,,,64.0,0
SGH,20180605,,,,64.0,0
SGH,20180604,,,,64.0,0
SGH,20180601,64.0,64.0,64.0,64.0,100
SGH,20180531,,,,60.0,0
SGH,20180530,56.0,60.0,56.0,60.0,900
SGH,20180529,55.5,55.5,55.5,55.5,4
SGH,20180528,,,,55.5,0
SGH,20180525,55.5,55.5,55.5,55.5,100
SGH,20180524,,,,55.0,0
SGH,20180523,,,,55.0,0
SGH,20180522,55.0,55.0,55.0,55.0,4
SGH,20180521,,,,55.0,0
SGH,20180518,55.0,55.0,55.0,55.0,10
SGH,20180517,56.0,56.0,55.0,55.0,300
SGH,20180516,,,,53.5,0
SGH,20180515,53.0,53.5,53.0,53.5,600
SGH,20180514,,,,49.4,0
SGH,20180511,,,,49.4,0
SGH,20180510,,,,49.4,0
SGH,20180509,51.0,51.0,49.4,49.4,2700
SGH,20180508,50.5,52.0,48.8,48.8,500
SGH,20180507,46.0,47.3,46.0,47.3,200
SGH,20180504,43.0,43.8,43.0,43.8,200
SGH,20180503,,,,40.0,0
SGH,20180502,36.8,40.0,36.8,40.0,2600
SGH,20180427,36.6,36.6,36.6,36.6,300
SGH,20180426,,,,36.4,0
SGH,20180424,,,,36.4,0
SGH,20180423,,,,36.4,0
SGH,20180420,,,,36.4,0
SGH,20180419,36.4,36.4,36.4,36.4,300
SGH,20180418,37.4,37.4,37.4,37.4,200
SGH,20180417,37.0,37.0,37.0,37.0,200
SGH,20180416,34.6,34.6,34.5,34.5,500
