<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SGO,20180713,,,,0.8,0
SGO,20180712,,,,0.8,0
SGO,20180711,,,,0.8,0
SGO,20180710,,,,0.8,0
SGO,20180709,,,,0.8,0
SGO,20180706,0.8,0.8,0.7,0.8,73900
SGO,20180705,,,,0.8,0
SGO,20180704,,,,0.8,0
SGO,20180703,,,,0.8,0
SGO,20180702,,,,0.8,0
SGO,20180629,0.8,0.9,0.8,0.8,20800
SGO,20180628,,,,0.8,0
SGO,20180627,,,,0.8,0
SGO,20180626,,,,0.8,0
SGO,20180625,,,,0.8,0
SGO,20180622,0.9,0.9,0.8,0.8,52900
SGO,20180621,,,,0.9,0
SGO,20180620,,,,0.9,0
SGO,20180619,,,,0.9,0
SGO,20180618,,,,0.9,0
SGO,20180615,0.9,1.0,0.8,0.9,363710
SGO,20180614,,,,0.9,0
SGO,20180613,,,,0.9,0
SGO,20180612,,,,0.9,0
SGO,20180611,,,,0.9,0
SGO,20180608,0.9,0.9,0.8,0.9,243600
SGO,20180607,,,,0.9,0
SGO,20180606,,,,0.9,0
SGO,20180605,,,,0.9,0
SGO,20180604,,,,0.9,0
SGO,20180601,0.9,1.0,0.8,0.9,39600
SGO,20180531,,,,0.9,0
SGO,20180530,,,,0.9,0
SGO,20180529,,,,0.9,0
SGO,20180528,,,,0.9,0
SGO,20180525,0.8,0.9,0.8,0.9,115110
SGO,20180524,,,,0.8,0
SGO,20180523,,,,0.8,0
SGO,20180522,,,,0.8,0
SGO,20180521,,,,0.8,0
SGO,20180518,0.9,1.0,0.8,0.8,117900
SGO,20180517,,,,0.9,0
SGO,20180516,,,,0.9,0
SGO,20180515,,,,0.9,0
SGO,20180514,,,,0.9,0
SGO,20180511,1.0,1.0,0.9,0.9,68600
SGO,20180510,,,,1.0,0
SGO,20180509,,,,1.0,0
SGO,20180508,,,,1.0,0
SGO,20180507,,,,1.0,0
SGO,20180504,1.0,1.1,1.0,1.0,36300
SGO,20180503,,,,1.1,0
SGO,20180502,,,,1.1,0
SGO,20180427,1.1,1.1,1.1,1.1,39700
SGO,20180426,,,,1.2,0
SGO,20180424,,,,1.2,0
SGO,20180423,,,,1.2,0
SGO,20180420,1.3,1.3,1.2,1.2,12300
SGO,20180419,,,,1.3,0
SGO,20180418,,,,1.3,0
SGO,20180417,,,,1.3,0
SGO,20180416,,,,1.3,0
SGO,20180413,1.3,1.3,1.3,1.3,100900
SGO,20180412,,,,1.4,0
SGO,20180411,,,,1.4,0
SGO,20180410,,,,1.4,0
SGO,20180409,,,,1.4,0
SGO,20180406,1.2,1.4,1.2,1.4,135300
SGO,20180405,,,,1.3,0
SGO,20180404,,,,1.3,0
SGO,20180403,,,,1.3,0
SGO,20180402,,,,1.3,0
SGO,20180330,1.2,1.3,1.1,1.3,176390
SGO,20180329,,,,1.2,0
SGO,20180328,,,,1.2,0
SGO,20180327,,,,1.2,0
SGO,20180326,,,,1.2,0
SGO,20180323,1.1,1.2,1.1,1.2,1316400
SGO,20180322,,,,1.1,0
SGO,20180321,,,,1.1,0
SGO,20180320,,,,1.1,0
SGO,20180319,,,,1.1,0
SGO,20180316,1.0,1.1,1.0,1.1,364600
SGO,20180315,,,,1.0,0
SGO,20180314,,,,1.0,0
SGO,20180313,,,,1.0,0
SGO,20180312,,,,1.0,0
SGO,20180309,1.0,1.1,1.0,1.0,79700
SGO,20180308,,,,1.1,0
SGO,20180307,,,,1.1,0
SGO,20180306,,,,1.1,0
SGO,20180305,,,,1.1,0
SGO,20180302,1.1,1.1,1.0,1.1,44600
SGO,20180301,,,,1.1,0
SGO,20180228,,,,1.1,0
SGO,20180227,,,,1.1,0
SGO,20180226,,,,1.1,0
SGO,20180223,1.0,1.1,1.0,1.1,88940
SGO,20180222,,,,1.1,0
SGO,20180221,,,,1.1,0
SGO,20180213,,,,1.1,0
SGO,20180212,,,,1.1,0
SGO,20180209,1.1,1.1,1.0,1.1,82500
SGO,20180208,,,,1.1,0
SGO,20180207,,,,1.1,0
SGO,20180206,,,,1.1,0
SGO,20180205,,,,1.1,0
SGO,20180202,1.2,1.2,1.1,1.1,89300
SGO,20180201,,,,1.1,0
SGO,20180131,,,,1.1,0
SGO,20180130,,,,1.1,0
SGO,20180129,,,,1.1,0
SGO,20180126,1.2,1.2,1.1,1.1,78000
