<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SGT,20180713,5.26,5.63,4.95,5.63,2850
SGT,20180712,5.3,5.27,4.95,5.27,130
SGT,20180711,5.38,5.38,5.29,5.3,520
SGT,20180710,,,,5.39,0
SGT,20180709,5.41,5.41,5.39,5.39,160
SGT,20180706,5.0,5.45,5.0,5.45,1510
SGT,20180705,5.18,5.34,5.18,5.34,1680
SGT,20180704,5.19,5.56,5.19,5.56,20
SGT,20180703,6.0,6.0,5.58,5.58,510
SGT,20180702,5.7,6.0,5.69,6.0,30
SGT,20180629,5.88,5.88,5.59,5.7,40
SGT,20180628,,,,5.5,0
SGT,20180627,5.1,5.5,5.1,5.5,1010
SGT,20180626,5.4,5.4,5.4,5.4,10
SGT,20180625,5.4,5.4,5.1,5.1,20
SGT,20180622,5.1,5.1,5.05,5.05,100
SGT,20180621,4.95,5.4,4.95,5.4,1010
SGT,20180620,,,,5.16,0
SGT,20180619,5.16,5.16,5.16,5.16,510
SGT,20180618,5.3,5.31,5.3,5.3,13960
SGT,20180615,,,,5.46,0
SGT,20180614,5.46,6.19,5.46,5.46,220
SGT,20180613,5.87,5.87,5.87,5.87,10
SGT,20180612,5.5,5.5,5.46,5.49,4200
SGT,20180611,5.35,5.35,5.02,5.34,1090
SGT,20180608,5.38,5.38,5.38,5.38,300
SGT,20180607,5.3,5.3,5.13,5.13,560
SGT,20180606,,,,5.5,0
SGT,20180605,5.6,5.6,5.26,5.5,8570
SGT,20180604,5.4,5.65,5.2,5.65,620
SGT,20180601,4.97,5.45,4.97,5.45,10150
SGT,20180531,5.1,5.1,5.1,5.1,1000
SGT,20180530,5.2,5.25,5.2,5.21,5590
SGT,20180529,5.17,5.5,5.0,5.4,16710
SGT,20180528,5.17,5.17,5.17,5.17,2210
SGT,20180525,,,,5.55,0
SGT,20180524,5.66,5.66,4.96,5.55,3370
SGT,20180523,5.02,5.39,5.0,5.31,11400
SGT,20180522,5.4,5.4,5.32,5.32,14670
SGT,20180521,5.6,5.71,5.6,5.71,12250
SGT,20180518,5.7,5.89,5.59,5.89,14810
SGT,20180517,5.68,5.99,5.67,5.99,3310
SGT,20180516,5.6,6.0,5.6,5.67,10880
SGT,20180515,5.7,6.0,5.7,5.99,5900
SGT,20180514,6.02,6.02,5.65,5.9,5110
SGT,20180511,6.0,6.0,5.94,6.0,6000
SGT,20180510,5.82,6.0,5.58,6.0,16190
SGT,20180509,,,,6.0,0
SGT,20180508,6.12,6.12,6.0,6.0,130
SGT,20180507,5.78,6.15,5.78,6.15,9040
SGT,20180504,5.7,6.0,5.7,5.75,8040
SGT,20180503,6.11,6.11,6.09,6.09,13990
SGT,20180502,6.54,6.78,6.21,6.54,4200
SGT,20180427,6.29,6.38,6.29,6.38,50
SGT,20180426,6.4,6.4,6.01,6.02,10040
SGT,20180424,6.01,6.48,6.01,6.25,7510
SGT,20180423,6.7,6.32,6.24,6.25,11650
