<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SHI,20180713,6.4,6.59,6.1,6.59,457910
SHI,20180712,6.45,6.47,6.32,6.45,26300
SHI,20180711,6.49,6.5,6.38,6.49,14740
SHI,20180710,6.5,6.5,6.4,6.5,11830
SHI,20180709,6.7,6.83,6.46,6.5,52190
SHI,20180706,6.6,6.64,6.4,6.46,63730
SHI,20180705,6.75,6.75,6.45,6.7,46150
SHI,20180704,6.6,6.9,6.6,6.6,25390
SHI,20180703,6.6,6.92,6.6,6.6,58110
SHI,20180702,6.61,6.94,6.6,6.91,18010
SHI,20180629,6.95,7.0,6.8,6.99,105400
SHI,20180628,6.5,6.95,6.32,6.95,509170
SHI,20180627,6.73,6.73,6.55,6.67,220690
SHI,20180626,6.7,6.7,6.55,6.7,1680
SHI,20180625,6.51,6.71,6.51,6.7,4150
SHI,20180622,6.55,6.65,6.5,6.64,76840
SHI,20180621,6.7,6.7,6.59,6.65,44620
SHI,20180620,6.79,6.98,6.7,6.7,22230
SHI,20180619,6.66,6.94,6.66,6.79,130750
SHI,20180618,6.7,7.0,6.7,7.0,1247010
SHI,20180615,6.67,6.8,6.52,6.8,948630
SHI,20180614,6.35,6.76,6.31,6.52,837610
SHI,20180613,6.44,6.56,6.3,6.47,366590
SHI,20180612,6.4,6.4,6.26,6.32,345370
SHI,20180611,6.54,6.92,6.4,6.4,226800
SHI,20180608,6.7,6.7,6.55,6.6,274810
SHI,20180607,6.58,6.62,6.54,6.62,52140
SHI,20180606,6.65,6.7,6.51,6.62,394100
SHI,20180605,6.7,6.82,6.65,6.65,210070
SHI,20180604,6.95,6.95,6.7,6.75,131130
SHI,20180601,6.95,7.0,6.8,6.9,87680
SHI,20180531,6.94,7.08,6.81,6.98,226850
SHI,20180530,6.8,7.12,6.8,6.8,189440
SHI,20180529,6.72,6.77,6.47,6.67,383150
SHI,20180528,6.84,6.84,6.35,6.66,843450
SHI,20180525,6.75,6.81,6.67,6.67,372500
SHI,20180524,6.69,6.76,6.48,6.68,792530
SHI,20180523,6.39,6.48,6.33,6.48,763690
SHI,20180522,6.62,6.62,6.32,6.39,314920
SHI,20180521,6.58,6.73,6.58,6.63,249160
SHI,20180518,6.62,6.71,6.58,6.58,261430
SHI,20180517,6.67,6.8,6.65,6.68,246200
SHI,20180516,6.84,6.84,6.73,6.74,179460
SHI,20180515,6.65,6.83,6.5,6.8,502210
SHI,20180514,6.67,6.67,6.52,6.57,107020
SHI,20180511,6.67,6.69,6.49,6.66,275500
SHI,20180510,6.75,6.75,6.63,6.67,421470
SHI,20180509,6.67,6.76,6.66,6.69,364510
SHI,20180508,6.39,6.74,6.18,6.67,1383420
SHI,20180507,6.2,6.37,6.18,6.37,342710
SHI,20180504,6.18,6.36,6.18,6.21,183780
SHI,20180503,6.22,6.36,6.18,6.36,476400
SHI,20180502,6.48,6.48,6.28,6.37,287860
SHI,20180427,6.24,6.48,6.24,6.47,262230
SHI,20180426,6.64,6.65,6.28,6.29,685580
SHI,20180424,6.32,6.64,6.32,6.62,1240560
SHI,20180423,6.27,6.43,6.2,6.32,908520
SHI,20180420,5.93,6.22,5.93,6.2,486330
SHI,20180419,6.03,6.15,5.92,5.93,423830
