<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SIC,20180713,11.7,11.8,11.7,11.8,2400
SIC,20180712,11.6,11.6,11.6,11.6,3250
SIC,20180711,11.7,12.0,11.6,11.6,5975
SIC,20180710,11.9,11.9,11.9,11.9,50
SIC,20180709,11.9,11.9,11.9,11.9,450
SIC,20180706,,,,11.8,0
SIC,20180705,11.8,11.8,11.8,11.8,800
SIC,20180704,11.7,11.7,11.7,11.7,30900
SIC,20180703,11.9,11.9,11.7,11.7,62400
SIC,20180702,12.0,12.0,11.8,11.8,5900
SIC,20180629,12.0,12.0,12.0,12.0,1784
SIC,20180628,13.5,13.6,11.9,11.9,314300
SIC,20180627,12.8,12.8,12.5,12.5,17575
SIC,20180626,12.5,12.5,11.5,12.2,284298
SIC,20180625,12.0,12.4,12.0,12.2,317910
SIC,20180622,10.9,12.0,10.9,11.3,92733
SIC,20180621,11.7,12.0,11.6,11.6,12400
SIC,20180620,11.5,11.6,11.5,11.6,2200
SIC,20180619,11.6,11.6,11.5,11.5,13000
SIC,20180618,11.5,11.5,11.5,11.5,8400
SIC,20180615,11.3,11.8,11.3,11.8,104775
SIC,20180614,11.1,11.2,11.1,11.2,8823
SIC,20180613,11.0,11.6,11.0,11.1,14909
SIC,20180612,11.6,11.6,11.6,11.6,100
SIC,20180611,11.1,11.1,11.1,11.1,500
SIC,20180608,11.1,11.1,11.1,11.1,450
SIC,20180607,11.7,12.1,11.7,12.1,43550
SIC,20180606,10.8,11.8,10.8,11.8,63725
SIC,20180605,11.6,11.7,10.9,10.9,28816
SIC,20180604,10.7,11.6,10.7,11.6,209861
SIC,20180601,10.5,10.7,10.5,10.7,76025
SIC,20180531,10.6,10.8,10.4,10.8,7023
SIC,20180530,10.6,10.8,10.5,10.8,21507
SIC,20180529,10.6,10.6,10.3,10.4,1485
SIC,20180528,10.7,10.8,10.5,10.8,113703
SIC,20180525,11.0,11.0,10.6,10.7,3667
SIC,20180524,10.7,10.8,10.7,10.8,9475
SIC,20180523,10.8,10.8,10.8,10.8,3400
SIC,20180522,10.8,10.9,10.7,10.7,17200
SIC,20180521,10.4,11.0,10.1,10.6,14915
SIC,20180518,10.8,10.9,10.7,10.7,1560
SIC,20180517,10.8,10.8,10.8,10.8,300
SIC,20180516,10.7,10.8,10.7,10.8,9300
SIC,20180515,10.6,10.8,10.5,10.6,56400
SIC,20180514,10.5,10.8,10.5,10.6,22800
SIC,20180511,10.4,10.7,10.4,10.7,1100
SIC,20180510,10.7,11.4,10.5,10.6,166100
SIC,20180509,10.3,10.7,10.3,10.4,9006
SIC,20180508,10.7,10.7,10.5,10.5,16640
SIC,20180507,10.4,10.7,10.3,10.5,174609
SIC,20180504,10.6,10.7,10.2,10.2,25400
SIC,20180503,10.6,10.7,10.5,10.5,45200
SIC,20180502,10.5,10.7,10.3,10.4,71900
SIC,20180427,10.6,10.6,10.4,10.4,6800
SIC,20180426,10.4,10.6,10.3,10.5,83700
SIC,20180424,10.5,10.6,10.3,10.4,31100
SIC,20180423,10.4,10.6,10.3,10.4,47325
SIC,20180420,10.3,10.6,10.3,10.6,35000
SIC,20180419,10.4,10.5,10.3,10.3,56400
SIC,20180418,10.5,10.5,10.4,10.4,20600
SIC,20180417,10.0,10.4,10.0,10.4,2628
SIC,20180416,9.9,10.4,9.7,10.4,8400
SIC,20180413,10.0,10.0,9.7,10.0,12835
SIC,20180412,10.0,10.5,10.0,10.3,5300
SIC,20180411,10.4,10.4,10.4,10.4,3050
SIC,20180410,10.3,10.3,10.3,10.3,4300
SIC,20180409,10.3,10.6,10.3,10.3,11900
SIC,20180406,10.24,10.24,10.16,10.24,3978
SIC,20180405,10.01,10.31,9.94,10.31,8202
SIC,20180404,9.8,10.39,9.43,10.31,28400
SIC,20180403,9.65,10.02,9.13,10.02,1300
SIC,20180402,9.21,10.02,8.91,10.02,28200
SIC,20180330,9.8,9.8,9.13,9.28,182335
SIC,20180329,9.8,9.94,9.72,9.87,78100
SIC,20180328,9.79,10.31,9.79,9.87,31900
SIC,20180327,10.46,11.05,10.24,10.31,196107
SIC,20180326,10.31,10.46,9.35,10.31,11430
SIC,20180323,9.64,10.46,9.64,10.31,119170
SIC,20180322,9.5,9.65,9.5,9.57,7300
SIC,20180321,8.9,9.49,8.53,9.5,14037
SIC,20180320,8.31,8.9,8.31,8.9,18122
SIC,20180319,8.9,8.9,8.16,8.16,1000
SIC,20180316,8.9,8.9,8.9,8.9,32000
SIC,20180315,8.9,8.9,8.9,8.9,2400
SIC,20180314,8.9,8.9,8.9,8.9,10000
SIC,20180313,8.9,8.9,8.9,8.9,14500
SIC,20180312,,,,8.9,0
SIC,20180309,,,,8.9,0
SIC,20180308,8.9,9.05,8.9,8.9,2900
SIC,20180307,8.61,8.83,8.31,8.83,27720
SIC,20180306,8.53,8.83,8.38,8.83,14700
SIC,20180305,8.53,8.53,8.53,8.53,500
SIC,20180302,8.61,8.83,8.39,8.83,9400
SIC,20180301,8.46,8.46,8.31,8.46,6430
SIC,20180228,8.83,8.83,8.46,8.46,5700
SIC,20180227,8.91,8.91,8.61,8.9,12100
SIC,20180226,8.68,9.13,8.68,9.13,1700
SIC,20180223,9.2,9.2,8.83,8.83,7000
SIC,20180222,8.76,9.13,8.76,8.98,13500
SIC,20180221,8.83,9.05,8.83,8.83,27700
SIC,20180213,9.05,9.05,8.61,8.83,2900
SIC,20180212,8.61,8.68,8.61,8.68,2200
SIC,20180209,9.2,9.2,8.61,8.61,5000
SIC,20180208,9.27,9.27,9.2,9.2,4100
SIC,20180207,9.05,9.13,8.9,8.9,17300
SIC,20180206,8.38,8.38,8.31,8.31,20100
SIC,20180205,8.98,9.05,8.98,9.05,21400
SIC,20180202,8.98,9.05,8.98,9.05,5020
SIC,20180201,9.27,9.42,9.27,9.35,46000
SIC,20180131,9.87,9.87,8.91,9.57,102700
SIC,20180130,10.69,10.69,9.87,9.87,41601
SIC,20180129,9.13,9.87,9.13,9.87,106900
SIC,20180126,9.2,9.2,8.9,8.98,45000
SIC,20180125,9.2,9.2,8.46,9.2,31800
SIC,20180122,9.65,10.47,9.58,10.39,74300
SIC,20180119,8.61,9.65,8.61,9.65,147428
SIC,20180118,8.75,9.13,8.68,8.83,50440
SIC,20180117,7.94,8.68,7.94,8.68,76150
SIC,20180116,7.94,8.17,7.94,7.94,13100
SIC,20180115,7.86,7.94,7.72,7.87,30184
SIC,20180112,7.79,7.94,7.72,7.79,20100
SIC,20180111,7.72,7.79,7.72,7.72,26743
SIC,20180110,7.79,8.16,7.72,7.72,14700
SIC,20180109,7.79,7.79,7.72,7.79,17210
SIC,20180108,7.87,7.87,7.72,7.72,23100
SIC,20180105,7.65,7.87,7.65,7.87,17881
SIC,20180104,7.72,7.72,7.65,7.72,21019
SIC,20180103,7.72,7.79,7.72,7.72,2800
SIC,20180102,7.94,7.94,7.64,7.72,31100
SIC,20171229,7.87,7.87,7.79,7.79,32100
SIC,20171228,7.72,7.87,7.72,7.72,31800
SIC,20171227,7.72,7.79,7.57,7.57,22811
SIC,20171226,7.72,7.72,7.72,7.72,2000
SIC,20171225,7.79,7.79,7.64,7.72,48600
SIC,20171222,7.72,7.79,7.64,7.79,31100
SIC,20171221,7.72,7.79,7.65,7.79,19610
