<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SII,20180713,,,,21.9,0
SII,20180712,20.5,21.9,21.9,21.9,10
SII,20180711,,,,20.5,0
SII,20180710,,,,20.5,0
SII,20180709,,,,20.5,0
SII,20180706,20.45,20.5,20.45,20.5,40
SII,20180705,,,,20.5,0
SII,20180704,20.5,20.5,20.5,20.5,20
SII,20180703,22.0,22.0,22.0,22.0,10
SII,20180702,21.05,21.05,21.0,21.0,30
SII,20180629,19.7,22.5,19.7,19.7,30
SII,20180628,18.45,21.15,18.45,21.15,1570
SII,20180627,19.8,19.8,19.8,19.8,20
SII,20180626,19.0,21.25,19.0,21.25,20
SII,20180625,,,,19.9,0
SII,20180622,18.25,19.9,18.25,19.9,20
SII,20180621,19.6,19.6,17.1,19.6,2020
SII,20180620,,,,18.35,0
SII,20180619,18.35,18.35,18.35,18.35,20
SII,20180618,19.45,19.45,19.45,19.45,20
SII,20180615,,,,20.9,0
SII,20180614,,,,20.9,0
SII,20180613,23.45,23.5,20.9,20.9,90
SII,20180612,,,,22.4,0
SII,20180611,21.1,22.4,21.1,22.4,130
SII,20180608,,,,22.5,0
SII,20180607,22.5,22.5,22.5,22.5,1150
SII,20180606,24.05,24.05,24.05,24.05,1110
SII,20180605,24.2,25.85,24.2,25.85,20
SII,20180604,25.5,27.3,23.8,24.25,140
SII,20180601,,,,25.55,0
SII,20180531,,,,25.55,0
SII,20180530,,,,25.55,0
SII,20180529,,,,25.55,0
SII,20180528,,,,25.55,0
SII,20180525,23.9,25.55,23.9,25.55,20
SII,20180524,,,,23.95,0
SII,20180523,,,,23.95,0
SII,20180522,,,,23.95,0
SII,20180521,23.4,23.95,23.4,23.95,20
SII,20180518,22.9,23.45,22.9,23.45,20
SII,20180517,22.9,24.55,21.35,22.95,90
SII,20180516,21.8,22.95,21.8,22.95,20
SII,20180515,20.5,21.8,20.5,21.8,20
SII,20180514,17.95,20.5,17.95,20.5,1380
SII,20180511,,,,19.25,0
SII,20180510,19.25,19.25,19.25,19.25,380
SII,20180509,,,,20.65,0
SII,20180508,,,,20.65,0
SII,20180507,20.65,20.65,20.65,20.65,80
SII,20180504,22.2,22.2,22.2,22.2,100
SII,20180503,,,,23.8,0
SII,20180502,20.85,23.8,20.85,23.8,140
SII,20180427,22.4,22.4,22.4,22.4,10
SII,20180426,,,,20.95,0
SII,20180424,,,,20.95,0
SII,20180423,21.0,21.0,20.95,20.95,60
SII,20180420,,,,22.5,0
SII,20180419,22.5,22.5,22.5,22.5,10
SII,20180418,,,,21.4,0
SII,20180417,21.4,21.4,21.4,21.4,10
SII,20180416,21.15,21.15,21.15,21.15,20
SII,20180413,21.1,21.1,21.1,21.1,110
SII,20180412,18.0,19.75,18.0,19.75,40
SII,20180411,,,,18.5,0
SII,20180410,,,,18.5,0
SII,20180409,18.5,18.5,18.5,18.5,140
SII,20180406,19.55,19.55,19.55,19.55,10
SII,20180405,19.55,21.0,19.55,21.0,780
