<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SJF,20180713,17.9,18.3,17.8,18.3,359680
SJF,20180712,17.9,18.4,17.7,17.9,199480
SJF,20180711,18.8,18.9,18.1,18.6,207730
SJF,20180710,19.0,19.1,18.6,18.9,222660
SJF,20180709,18.6,19.4,18.6,19.0,309360
SJF,20180706,18.7,18.95,17.55,18.8,326760
SJF,20180705,19.0,19.0,18.6,18.7,271310
SJF,20180704,20.1,20.5,20.0,20.0,45990
SJF,20180703,22.9,22.9,21.5,21.5,98120
SJF,20180702,24.85,25.0,23.1,23.1,274450
SJF,20180629,23.75,24.8,23.0,24.8,418130
SJF,20180628,23.7,23.9,23.0,23.9,377610
SJF,20180627,23.3,24.1,22.5,23.8,488730
SJF,20180626,22.7,24.1,21.8,23.9,838260
SJF,20180625,21.5,23.0,20.8,23.0,952980
SJF,20180622,20.25,21.6,20.25,21.6,1064060
SJF,20180621,18.95,20.2,18.95,20.2,1357280
SJF,20180620,17.75,18.9,17.65,18.9,971730
SJF,20180619,17.55,17.7,17.35,17.7,419730
SJF,20180618,18.2,18.4,17.45,17.6,524410
SJF,20180615,18.1,18.6,17.9,17.95,534610
SJF,20180614,18.35,18.5,18.0,18.1,608560
SJF,20180613,18.3,18.7,18.1,18.35,510000
SJF,20180612,18.65,18.65,18.0,18.3,443350
SJF,20180611,18.5,19.0,18.4,18.7,446220
SJF,20180608,19.0,19.6,18.6,18.6,402260
SJF,20180607,19.7,19.7,19.0,19.35,412760
SJF,20180606,21.2,21.9,19.8,19.8,494220
SJF,20180605,20.7,21.2,20.65,21.2,467220
SJF,20180604,19.7,21.05,19.7,20.7,783090
SJF,20180601,18.5,19.7,17.65,19.7,883900
SJF,20180531,18.7,19.15,18.35,18.5,461740
SJF,20180530,18.15,18.7,18.0,18.6,868890
SJF,20180529,17.1,18.15,17.05,18.15,705800
SJF,20180528,16.2,17.2,16.15,17.0,407530
SJF,20180525,15.25,16.35,14.85,16.2,479750
SJF,20180524,15.45,15.55,15.15,15.3,315520
SJF,20180523,15.7,15.7,15.25,15.5,326830
SJF,20180522,16.55,16.8,15.7,15.7,173550
SJF,20180521,17.2,17.9,16.7,16.7,581390
SJF,20180518,16.2,17.2,16.2,17.2,425120
SJF,20180517,15.8,16.4,15.65,16.2,507180
SJF,20180516,15.65,15.85,15.6,15.8,494930
SJF,20180515,15.3,15.8,15.25,15.6,459550
SJF,20180514,14.5,15.5,14.5,15.25,390770
SJF,20180511,14.75,14.85,14.7,14.8,150790
SJF,20180510,14.85,14.9,14.75,14.75,152090
SJF,20180509,14.9,14.95,14.85,14.85,92330
SJF,20180508,14.8,14.95,14.8,14.9,91420
SJF,20180507,14.85,14.9,14.85,14.9,94890
SJF,20180504,14.85,14.9,14.75,14.85,92680
SJF,20180503,14.8,14.85,14.75,14.85,91310
SJF,20180502,14.9,14.9,14.8,14.85,90890
SJF,20180427,14.8,14.9,14.75,14.9,94850
SJF,20180426,14.9,14.9,14.8,14.85,92190
SJF,20180424,14.95,15.0,14.85,14.9,93030
SJF,20180423,14.85,14.9,14.75,14.9,101710
SJF,20180420,14.75,14.85,14.7,14.85,94000
SJF,20180419,14.75,14.8,14.7,14.8,96580
SJF,20180418,14.8,14.9,14.75,14.75,92480
SJF,20180417,14.85,14.85,14.7,14.85,96860
SJF,20180416,14.85,14.85,14.7,14.85,92800
SJF,20180413,15.05,15.1,14.85,14.85,92560
SJF,20180412,15.05,15.05,14.95,15.05,94170
SJF,20180411,15.1,15.2,15.0,15.05,94380
SJF,20180410,15.2,15.2,15.1,15.15,97050
SJF,20180409,15.1,15.2,15.05,15.2,99730
SJF,20180406,15.1,15.2,15.05,15.1,96160
SJF,20180405,15.15,15.15,15.0,15.1,96530
SJF,20180404,15.15,15.2,15.0,15.1,97340
SJF,20180403,15.1,15.25,15.05,15.15,101040
SJF,20180402,15.2,15.2,15.1,15.2,96420
SJF,20180330,15.15,15.2,15.05,15.15,98930
SJF,20180329,15.15,15.2,15.1,15.15,99340
SJF,20180328,15.2,15.25,15.15,15.15,102280
SJF,20180327,15.2,15.25,15.15,15.2,108330
SJF,20180326,15.15,15.25,15.1,15.2,110630
SJF,20180323,15.1,15.2,15.05,15.15,98190
SJF,20180322,15.2,15.3,15.1,15.2,117060
SJF,20180321,15.3,15.35,15.25,15.3,100670
SJF,20180320,15.25,15.35,15.2,15.3,101980
SJF,20180319,15.35,15.4,15.25,15.3,109440
SJF,20180316,15.3,15.35,15.25,15.35,103830
SJF,20180315,15.25,15.3,15.15,15.3,102790
SJF,20180314,15.2,15.3,15.2,15.25,102090
SJF,20180313,15.3,15.4,15.2,15.25,115540
SJF,20180312,15.4,15.5,15.35,15.35,125940
SJF,20180309,15.6,15.65,15.5,15.5,125690
SJF,20180308,15.5,15.65,15.5,15.6,126940
SJF,20180307,15.5,15.65,15.45,15.55,153870
SJF,20180306,15.4,15.5,15.35,15.5,125080
SJF,20180305,15.4,15.5,15.4,15.4,121570
SJF,20180302,15.45,15.45,15.3,15.45,128300
SJF,20180301,15.5,15.5,15.35,15.4,123010
SJF,20180228,15.4,15.55,15.4,15.5,121050
SJF,20180227,15.5,15.6,15.45,15.5,125250
SJF,20180226,15.5,15.65,15.5,15.5,126570
SJF,20180223,15.5,15.65,15.5,15.65,132760
SJF,20180222,15.5,15.65,15.5,15.6,133700
SJF,20180221,15.5,15.6,15.45,15.55,131350
SJF,20180213,15.4,15.55,15.35,15.5,146500
SJF,20180212,15.3,15.4,15.25,15.4,134210
SJF,20180209,15.25,15.35,15.1,15.3,147270
SJF,20180208,15.35,15.45,15.3,15.3,132910
SJF,20180207,15.3,15.4,15.25,15.4,140890
SJF,20180206,15.3,15.35,15.1,15.3,132290
SJF,20180205,15.7,15.7,15.45,15.5,142390
SJF,20180202,15.8,15.9,15.65,15.75,169420
SJF,20180201,16.15,16.2,15.9,15.9,167220
SJF,20180131,16.6,16.6,16.15,16.15,159070
SJF,20180130,16.55,16.7,16.5,16.6,177240
SJF,20180129,16.75,16.95,16.7,16.7,174650
SJF,20180126,16.9,16.95,16.7,16.85,161450
SJF,20180125,16.8,16.95,16.8,16.85,166930
SJF,20180122,16.45,16.8,16.45,16.75,178400
SJF,20180119,16.4,16.5,16.35,16.45,156010
SJF,20180118,16.5,16.5,16.3,16.45,142530
SJF,20180117,16.7,16.75,16.6,16.6,161960
SJF,20180116,16.6,16.8,16.5,16.7,170620
SJF,20180115,16.7,16.8,16.5,16.75,170500
SJF,20180112,16.8,16.9,16.65,16.75,190580
SJF,20180111,17.0,17.05,16.75,16.9,206920
SJF,20180110,16.85,17.05,16.85,16.95,225690
SJF,20180109,16.65,16.9,16.6,16.8,205740
SJF,20180108,16.5,16.65,16.4,16.65,223870
SJF,20180105,16.45,16.65,16.45,16.6,115790
SJF,20180104,16.55,16.6,16.45,16.5,132250
SJF,20180103,16.55,16.7,16.5,16.6,143960
SJF,20180102,16.35,16.5,16.35,16.5,150560
SJF,20171229,16.4,16.4,16.3,16.35,112510
SJF,20171228,16.35,16.4,16.2,16.35,107040
SJF,20171227,16.6,16.65,16.35,16.4,120350
SJF,20171226,16.7,16.8,16.6,16.6,128360
SJF,20171225,16.6,16.8,16.45,16.7,147290
SJF,20171222,16.6,16.85,16.6,16.8,173810
SJF,20171221,16.6,16.75,16.5,16.65,164800
SJF,20171220,16.4,16.65,16.35,16.6,175840
SJF,20171219,16.5,16.65,16.4,16.45,159830
SJF,20171218,16.3,16.55,16.3,16.5,170160
SJF,20171215,16.2,16.35,16.05,16.35,166010
SJF,20171214,16.1,16.2,15.85,16.2,144300
SJF,20171213,16.3,16.3,16.0,16.2,175980
SJF,20171212,16.0,16.2,15.8,16.2,214610
SJF,20171211,16.1,16.2,15.95,16.1,168110
SJF,20171208,16.15,16.35,16.1,16.2,212110
SJF,20171207,16.35,16.5,16.2,16.3,207410
SJF,20171206,16.8,16.8,16.5,16.5,214810
SJF,20171205,16.8,17.0,16.6,16.8,207460
SJF,20171204,16.5,16.75,16.45,16.65,212550
SJF,20171201,16.2,16.5,16.15,16.4,225900
SJF,20171130,15.6,16.1,15.55,16.1,238490
SJF,20171129,15.75,15.8,15.6,15.65,205660
SJF,20171128,15.8,15.9,15.7,15.75,183460
SJF,20171127,15.75,16.05,15.65,15.85,207590
SJF,20171124,15.95,16.0,15.7,15.8,223590
SJF,20171123,15.4,15.65,15.4,15.65,190290
SJF,20171122,14.9,15.3,14.9,15.3,210530
SJF,20171121,14.8,14.95,14.75,14.9,143480
SJF,20171120,14.75,14.95,14.7,14.9,136160
SJF,20171117,14.8,14.95,14.8,14.8,128960
SJF,20171116,14.75,14.9,14.75,14.8,110710
SJF,20171115,14.7,14.8,14.6,14.75,130600
SJF,20171114,14.7,14.8,14.6,14.75,121480
SJF,20171113,14.85,14.95,14.7,14.75,105630
SJF,20171110,14.9,15.0,14.85,14.95,121150
SJF,20171109,14.8,15.1,14.8,14.9,136520
SJF,20171108,14.7,14.9,14.6,14.8,127920
SJF,20171107,15.0,15.05,14.8,14.8,128000
SJF,20171106,14.8,15.15,14.7,15.0,136880
SJF,20171103,14.3,14.6,14.2,14.6,139430
SJF,20171102,14.5,14.7,14.4,14.4,170900
SJF,20171101,14.3,14.6,14.3,14.5,136640
SJF,20171031,14.4,14.6,14.25,14.4,122310
SJF,20171030,14.5,14.65,14.35,14.6,121890
SJF,20171027,14.4,14.7,14.2,14.6,171730
SJF,20171026,14.5,14.75,14.4,14.55,130260
SJF,20171025,14.2,14.75,14.2,14.5,173330
SJF,20171024,13.9,14.1,13.85,14.1,118650
SJF,20171023,13.9,14.0,13.8,13.95,91060
SJF,20171020,13.9,14.0,13.8,13.9,98620
SJF,20171019,13.8,13.95,13.7,13.9,115680
SJF,20171018,13.75,13.85,13.6,13.8,127810
SJF,20171017,13.8,13.95,13.75,13.85,146410
SJF,20171016,13.9,14.0,13.8,13.85,132530
SJF,20171013,13.8,13.9,13.7,13.9,119370
SJF,20171012,13.7,13.8,13.7,13.8,134540
SJF,20171011,13.7,13.8,13.65,13.75,119460
SJF,20171010,13.65,13.75,13.6,13.7,123780
SJF,20171009,13.6,13.7,13.6,13.65,126620
SJF,20171006,13.7,13.7,13.5,13.6,95680
SJF,20171005,13.6,13.7,13.55,13.7,102730
SJF,20171004,13.5,13.65,13.5,13.6,96730
SJF,20171003,13.65,13.7,13.55,13.6,100010
SJF,20171002,13.6,13.7,13.55,13.6,107220
SJF,20170929,13.6,13.8,13.6,13.8,94000
SJF,20170928,13.65,13.8,13.6,13.6,99110
SJF,20170927,13.55,13.75,13.5,13.7,93560
SJF,20170926,13.65,13.75,13.55,13.75,110390
SJF,20170925,13.6,13.8,13.55,13.7,102250
SJF,20170922,13.65,13.9,13.65,13.8,96430
SJF,20170921,13.75,13.9,13.65,13.8,110450
SJF,20170920,13.7,13.8,13.6,13.75,106700
SJF,20170919,13.65,13.8,13.6,13.75,107900
SJF,20170918,13.55,13.8,13.55,13.7,103170
SJF,20170915,13.6,13.8,13.5,13.7,102210
SJF,20170914,13.65,13.8,13.55,13.75,90090
SJF,20170913,13.6,13.75,13.5,13.75,89120
SJF,20170912,13.6,13.85,13.6,13.7,88190
SJF,20170911,13.5,13.7,13.5,13.65,104330
SJF,20170908,13.75,13.9,12.9,13.5,146540
SJF,20170907,13.85,13.95,13.8,13.85,91200
SJF,20170906,13.8,13.9,13.7,13.85,106020
SJF,20170905,13.8,13.85,13.75,13.8,116640
SJF,20170901,13.9,14.0,13.75,14.0,100060
SJF,20170831,13.85,13.95,13.8,13.85,112520
SJF,20170830,13.8,13.9,13.7,13.85,101110
SJF,20170829,13.75,13.9,13.75,13.8,114720
SJF,20170828,13.85,14.0,13.8,13.9,114860
SJF,20170825,13.9,14.0,13.8,13.9,101550
SJF,20170824,13.8,13.9,13.75,13.9,103320
