<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SLS,20180713,64.1,66.5,61.0,63.8,14100
SLS,20180712,68.0,68.0,66.9,66.9,1400
SLS,20180711,66.0,66.0,66.0,66.0,2000
SLS,20180710,65.1,69.4,63.6,69.4,5401
SLS,20180709,70.0,70.0,70.0,70.0,300
SLS,20180706,75.0,75.0,75.0,75.0,18
SLS,20180705,72.1,75.0,70.0,75.0,1800
SLS,20180704,77.8,77.8,72.0,76.5,3312
SLS,20180703,78.0,78.0,78.0,78.0,201
SLS,20180702,75.0,78.0,75.0,77.0,1500
SLS,20180629,79.0,79.0,78.5,78.6,2800
SLS,20180628,79.1,79.5,76.5,79.0,2500
SLS,20180627,79.0,82.0,79.0,81.0,29150
SLS,20180626,78.5,80.0,78.5,80.0,3802
SLS,20180625,78.3,79.8,78.3,79.4,16130
SLS,20180622,76.0,78.5,76.0,78.3,15460
SLS,20180621,75.0,76.4,75.0,76.3,10942
SLS,20180620,77.5,77.5,74.0,75.0,2710
SLS,20180619,76.0,79.0,72.5,79.0,15300
SLS,20180618,81.5,83.6,80.0,80.0,7100
SLS,20180615,80.5,81.5,79.5,81.5,7850
SLS,20180614,80.5,82.9,80.5,81.1,3110
SLS,20180613,80.0,83.5,80.0,82.0,18520
SLS,20180612,79.0,80.5,76.0,80.4,16950
SLS,20180611,77.0,82.0,77.0,80.0,24140
SLS,20180608,73.0,77.0,73.0,77.0,20400
SLS,20180607,70.5,73.0,70.5,73.0,14960
SLS,20180606,71.0,72.0,70.0,70.0,3610
SLS,20180605,72.0,72.1,71.8,72.0,3520
SLS,20180604,70.0,75.0,70.0,74.0,3350
SLS,20180601,67.0,69.5,67.0,69.5,5440
SLS,20180531,66.0,67.3,66.0,67.3,16470
SLS,20180530,66.6,66.6,66.6,66.6,380
SLS,20180529,63.0,66.9,61.1,66.9,4610
SLS,20180528,64.0,65.4,62.2,64.0,16650
SLS,20180525,64.0,64.9,63.0,64.9,6360
SLS,20180524,64.0,64.5,63.0,64.5,2570
SLS,20180523,63.0,64.0,62.5,63.9,4900
SLS,20180522,63.5,64.0,62.0,62.0,11452
SLS,20180521,64.0,64.0,62.0,63.0,22700
SLS,20180518,65.0,65.0,61.6,64.1,2130
SLS,20180517,65.0,65.5,64.6,65.5,4360
SLS,20180516,64.0,66.2,64.0,66.2,400
SLS,20180515,60.3,66.0,60.3,65.5,16370
SLS,20180514,,,,67.0,0
SLS,20180511,64.0,67.0,63.0,67.0,1100
SLS,20180510,66.8,66.8,64.5,65.9,3800
SLS,20180509,64.5,67.9,64.5,67.0,3000
SLS,20180508,64.5,66.0,63.8,66.0,9400
SLS,20180507,64.0,66.0,63.5,66.0,7540
SLS,20180504,66.0,66.5,65.4,66.0,4000
SLS,20180503,66.0,66.2,66.0,66.2,2000
SLS,20180502,64.3,67.0,64.0,66.9,3709
SLS,20180427,64.9,66.0,64.9,65.5,3604
SLS,20180426,65.0,65.0,62.0,64.9,810
SLS,20180424,63.0,64.9,61.5,64.9,16500
SLS,20180423,65.0,66.0,64.0,64.5,11100
SLS,20180420,65.5,67.5,65.0,66.5,9200
SLS,20180419,65.1,68.0,64.0,66.0,7304
SLS,20180418,69.8,69.8,67.9,68.5,3100
SLS,20180417,65.1,70.0,65.0,67.9,16600
SLS,20180416,72.0,72.0,69.0,69.8,14930
SLS,20180413,70.0,73.5,70.0,73.5,18970
SLS,20180412,65.0,68.9,63.6,68.9,18000
SLS,20180411,67.0,70.0,63.5,63.5,19660
SLS,20180410,70.1,70.9,69.8,70.0,10200
SLS,20180409,70.5,73.0,70.1,70.9,12100
SLS,20180406,71.0,71.5,69.8,70.3,28100
SLS,20180405,72.0,74.0,69.5,69.5,16000
SLS,20180404,79.0,79.0,71.5,71.5,27900
SLS,20180403,74.0,79.0,71.0,79.0,34200
SLS,20180402,78.0,80.0,78.0,78.0,5600
SLS,20180330,82.8,82.8,78.0,82.6,10900
SLS,20180329,82.0,83.0,78.2,82.8,8300
SLS,20180328,77.5,82.0,77.5,82.0,16608
SLS,20180327,71.0,79.0,71.0,77.5,29700
SLS,20180326,82.0,83.3,78.3,78.3,13700
SLS,20180323,87.0,87.0,86.0,87.0,3400
SLS,20180322,87.0,89.0,81.0,89.0,51962
SLS,20180321,86.1,95.0,86.1,90.0,74100
SLS,20180320,96.0,96.0,95.6,95.6,4410
SLS,20180319,108.0,109.0,106.2,106.2,12900
SLS,20180316,126.0,126.0,115.0,118.0,5900
SLS,20180315,115.83,117.08,115.0,115.0,6100
SLS,20180314,115.0,117.5,110.83,117.5,20603
SLS,20180313,115.0,127.41,108.33,120.0,5990
SLS,20180312,116.67,123.33,111.17,115.83,27446
SLS,20180309,123.75,123.75,117.5,123.5,10800
SLS,20180308,122.5,125.0,120.83,124.17,4700
SLS,20180307,123.76,126.25,121.27,125.0,6100
SLS,20180306,127.08,127.08,122.93,126.25,7900
SLS,20180305,124.59,128.66,123.01,126.25,7316
SLS,20180302,131.23,131.23,124.59,128.66,10516
SLS,20180301,132.89,132.89,129.57,131.23,19620
SLS,20180228,134.55,134.55,129.57,132.89,1500
SLS,20180227,135.39,136.22,130.49,132.06,9603
SLS,20180226,137.05,137.05,135.38,135.39,1200
SLS,20180223,139.54,139.54,136.88,136.88,10910
SLS,20180222,139.54,139.54,137.05,137.05,1300
SLS,20180221,141.21,141.21,137.05,139.54,1200
SLS,20180213,136.3,138.3,134.56,137.8,4874
SLS,20180212,133.73,135.39,133.73,135.39,800
SLS,20180209,137.04,137.04,135.38,135.39,200
SLS,20180208,137.05,137.05,132.9,132.89,19074
SLS,20180207,135.39,141.2,135.39,137.05,5010
SLS,20180206,137.88,137.88,132.89,137.05,15120
SLS,20180205,139.54,142.86,138.71,141.2,3800
SLS,20180202,140.37,141.2,137.88,141.2,9300
SLS,20180201,139.54,141.12,139.54,141.12,1900
SLS,20180131,139.54,142.86,137.05,140.37,3710
SLS,20180130,140.37,140.37,139.54,140.37,1800
SLS,20180129,142.86,142.86,135.38,140.37,16605
SLS,20180126,144.11,145.36,142.03,142.86,7900
SLS,20180125,144.35,145.35,142.86,144.11,3110
SLS,20180122,147.84,149.5,144.52,144.52,5700
SLS,20180119,147.85,152.0,146.19,147.76,16900
SLS,20180118,145.35,147.84,144.52,147.85,4925
SLS,20180117,144.44,146.18,143.69,145.35,17420
SLS,20180116,146.59,147.01,142.44,144.44,14400
SLS,20180115,148.68,148.68,146.19,147.01,4600
SLS,20180112,149.5,151.17,146.18,149.51,5900
SLS,20180111,152.91,154.49,145.35,152.91,25744
SLS,20180110,154.49,154.66,152.0,152.91,8736
SLS,20180109,156.15,157.73,156.15,156.9,14900
SLS,20180108,152.41,156.15,152.41,156.15,22231
SLS,20180105,151.17,152.83,150.75,152.83,13800
SLS,20180104,151.17,151.17,149.51,151.17,5760
SLS,20180103,147.85,151.59,147.85,151.17,23140
SLS,20180102,147.01,149.5,143.77,148.68,24110
SLS,20171229,142.86,146.18,141.2,146.18,21120
SLS,20171228,142.86,142.86,142.03,142.03,1331
SLS,20171227,142.45,143.36,141.2,142.03,5900
SLS,20171226,140.37,142.86,139.95,142.45,4920
SLS,20171225,142.03,142.53,139.54,142.03,9900
SLS,20171222,141.2,143.69,141.2,142.03,15360
SLS,20171221,144.52,144.52,140.37,141.2,13820
SLS,20171220,147.84,147.84,145.35,145.35,2830
SLS,20171219,147.01,147.01,145.35,147.01,2720
SLS,20171218,141.2,147.02,141.2,147.01,37601
SLS,20171215,137.96,139.54,136.22,139.54,35470
SLS,20171214,137.96,139.54,137.88,137.96,12840
SLS,20171213,139.54,139.54,137.96,137.96,10500
SLS,20171212,137.46,139.54,135.8,139.54,20400
SLS,20171211,138.71,138.88,137.46,137.46,14000
SLS,20171208,137.96,139.21,137.96,138.71,24600
SLS,20171207,137.88,138.71,137.13,137.96,15100
SLS,20171206,137.46,138.71,136.22,137.88,25550
SLS,20171205,136.05,136.63,136.05,136.55,15100
