<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SMA,20180713,13.5,13.5,13.5,13.5,10
SMA,20180712,13.5,13.4,13.4,13.4,20
SMA,20180711,,,,13.5,0
SMA,20180710,,,,13.5,0
SMA,20180709,13.5,13.5,13.5,13.5,10000
SMA,20180706,14.0,14.0,14.0,14.0,90
SMA,20180705,14.0,14.0,14.0,14.0,2110
SMA,20180704,13.2,13.2,13.2,13.2,10
SMA,20180703,13.7,14.1,13.5,14.1,11170
SMA,20180702,13.5,13.9,13.5,13.9,4970
SMA,20180629,12.2,13.9,12.1,13.9,13990
SMA,20180628,13.0,13.0,13.0,13.0,2290
SMA,20180627,,,,12.5,0
SMA,20180626,,,,12.5,0
SMA,20180625,12.5,12.5,12.5,12.5,310
SMA,20180622,,,,12.55,0
SMA,20180621,12.55,12.55,12.55,12.55,90
SMA,20180620,,,,13.4,0
SMA,20180619,13.0,13.4,12.5,13.4,29330
SMA,20180618,13.0,13.0,13.0,13.0,4800
SMA,20180615,14.0,14.0,13.25,13.25,4120
SMA,20180614,12.6,14.2,12.6,14.2,1120
SMA,20180613,13.3,13.5,13.3,13.45,500
SMA,20180612,13.1,14.3,13.1,14.3,2050
SMA,20180611,13.0,14.0,13.0,14.0,1020
SMA,20180608,13.1,13.1,13.1,13.1,380
SMA,20180607,14.0,14.0,13.1,13.1,4100
SMA,20180606,13.1,13.65,13.0,13.65,11500
SMA,20180605,13.05,13.05,12.8,12.8,5000
SMA,20180604,13.55,13.55,13.55,13.55,1000
SMA,20180601,12.7,12.7,12.7,12.7,1210
SMA,20180531,13.55,13.55,12.5,13.55,1110
SMA,20180530,12.85,13.5,12.6,12.7,7740
SMA,20180529,13.1,13.5,13.1,13.5,3240
SMA,20180528,13.1,14.0,12.95,14.0,7240
SMA,20180525,13.21,13.7,13.21,13.7,6920
SMA,20180524,13.02,13.7,12.43,13.7,17000
SMA,20180523,13.6,13.6,13.21,13.36,24090
SMA,20180522,13.6,13.6,13.6,13.6,100
SMA,20180521,13.85,13.85,13.61,13.6,16870
SMA,20180518,12.96,12.96,12.96,12.97,700
SMA,20180517,12.13,12.72,12.13,12.13,2200
SMA,20180516,14.19,14.48,12.82,12.82,30
SMA,20180515,13.7,13.7,13.31,13.7,16190
SMA,20180514,12.92,12.92,12.82,12.82,2000
SMA,20180511,13.26,13.26,12.72,12.72,130
SMA,20180510,14.68,14.68,13.56,13.55,1220
SMA,20180509,14.34,14.34,13.51,14.34,44620
SMA,20180508,13.16,13.4,13.16,13.41,40330
SMA,20180507,12.57,12.57,11.25,12.57,5600
SMA,20180504,11.06,11.79,11.06,11.79,1030
SMA,20180503,11.93,12.42,11.05,11.06,24590
SMA,20180502,10.96,11.64,10.96,11.64,12950
SMA,20180427,10.96,10.96,10.96,10.96,10
SMA,20180426,12.72,13.4,11.74,11.74,7200
SMA,20180424,,,,12.62,0
SMA,20180423,,,,12.62,0
SMA,20180420,,,,12.62,0
SMA,20180419,,,,12.62,0
SMA,20180418,,,,12.62,0
SMA,20180417,12.62,12.62,12.62,12.62,18000
SMA,20180416,13.01,13.06,11.84,11.84,22030
SMA,20180413,12.53,12.53,12.23,12.23,2500
SMA,20180412,11.84,13.11,11.84,12.92,35300
SMA,20180411,,,,12.72,0
SMA,20180410,12.72,12.72,12.72,12.72,7000
SMA,20180409,,,,13.21,0
SMA,20180406,13.5,13.5,13.21,13.21,7800
SMA,20180405,,,,13.7,0
SMA,20180404,13.7,13.7,13.7,13.7,10
SMA,20180403,13.21,13.21,13.21,13.21,230
SMA,20180402,13.11,13.7,13.11,13.6,1440
SMA,20180330,12.92,13.11,12.92,13.11,1000
SMA,20180329,12.24,12.33,12.24,12.33,400
SMA,20180328,11.55,11.55,11.55,11.55,200
SMA,20180327,11.15,11.15,11.15,11.16,150
SMA,20180326,11.69,12.03,10.47,10.47,12020
SMA,20180323,,,,11.25,0
SMA,20180322,,,,11.25,0
SMA,20180321,,,,11.25,0
SMA,20180320,11.26,11.26,11.26,11.25,40
SMA,20180319,,,,11.06,0
SMA,20180316,11.06,11.06,11.06,11.06,1500
SMA,20180315,,,,11.06,0
SMA,20180314,11.06,11.06,11.06,11.06,50
SMA,20180313,11.25,11.25,11.06,11.06,1810
SMA,20180312,11.25,11.74,11.25,11.74,1600
SMA,20180309,11.25,11.25,11.25,11.25,50
SMA,20180308,11.26,11.26,11.26,11.25,500
SMA,20180307,11.05,11.05,11.05,11.06,180
SMA,20180306,10.37,10.37,10.37,10.37,810
SMA,20180305,10.37,10.37,10.37,10.37,30
SMA,20180302,11.74,11.74,10.37,10.37,20
SMA,20180301,11.01,11.01,11.01,11.01,10
SMA,20180228,11.55,11.55,11.55,11.55,90
SMA,20180227,12.33,12.33,12.33,12.33,1500
SMA,20180226,11.6,11.65,11.55,11.55,910
SMA,20180223,12.43,13.11,12.38,12.38,340
SMA,20180222,12.24,13.31,11.7,13.31,1000
SMA,20180221,14.14,14.14,12.53,12.53,30
SMA,20180213,13.26,13.26,13.26,13.26,10
SMA,20180212,,,,13.11,0
SMA,20180209,12.2,13.11,12.2,13.11,90
SMA,20180208,,,,13.11,0
SMA,20180207,13.11,13.11,13.11,13.11,500
SMA,20180206,12.3,12.44,12.3,12.3,7890
SMA,20180205,14.07,14.07,12.44,13.21,3350
SMA,20180202,13.21,13.21,13.21,13.21,10
SMA,20180201,13.4,13.59,12.92,12.92,7100
SMA,20180131,13.21,13.21,12.92,12.92,4000
SMA,20180130,13.01,13.01,11.58,13.02,1520
SMA,20180129,12.44,12.92,12.44,12.44,63000
SMA,20180126,12.35,12.54,12.35,12.54,200
SMA,20180125,11.59,12.26,11.59,12.25,17200
SMA,20180122,11.49,11.49,11.49,11.49,5900
SMA,20180119,,,,11.49,0
SMA,20180118,11.1,11.58,11.1,11.49,4750
SMA,20180117,11.01,11.87,11.01,11.87,60
SMA,20180116,11.01,11.49,11.01,11.49,1310
SMA,20180115,11.29,12.58,11.0,11.01,16950
SMA,20180112,11.0,11.77,11.0,11.77,1570
SMA,20180111,12.25,12.25,11.77,11.77,13420
SMA,20180110,11.48,12.63,11.48,12.25,11010
SMA,20180109,12.01,12.01,11.48,11.96,26260
SMA,20180108,11.05,11.34,10.33,11.34,92390
SMA,20180105,11.0,11.2,10.62,10.62,3500
SMA,20180104,10.91,11.3,10.53,11.1,80930
SMA,20180103,10.34,10.82,10.34,10.77,177940
SMA,20180102,10.81,11.1,10.14,10.15,53740
SMA,20171229,10.43,10.62,10.43,10.62,17600
SMA,20171228,10.72,10.87,10.05,10.05,10100
SMA,20171227,10.43,10.53,10.43,10.53,15830
SMA,20171226,10.05,10.43,10.0,10.0,15530
SMA,20171225,10.24,10.53,10.05,10.05,14320
SMA,20171222,10.43,10.43,10.05,10.34,3110
SMA,20171221,10.34,10.34,10.05,10.05,16870
SMA,20171220,10.24,10.34,10.05,10.34,14850
SMA,20171219,,,,10.24,0
SMA,20171218,10.24,11.06,10.24,10.24,14110
SMA,20171215,10.24,10.34,10.15,10.34,6000
SMA,20171214,10.05,10.05,10.05,10.05,20
SMA,20171213,10.15,10.15,10.0,10.0,3000
SMA,20171212,10.19,10.19,10.1,10.1,30
SMA,20171211,10.15,10.53,10.05,10.43,6570
SMA,20171208,10.05,10.05,10.05,10.05,10
SMA,20171207,9.57,9.76,9.57,9.76,5000
SMA,20171206,9.57,10.05,9.54,9.54,11470
SMA,20171205,,,,10.05,0
SMA,20171204,9.57,10.05,9.57,10.05,1020
SMA,20171201,10.19,10.19,9.76,10.05,32150
SMA,20171130,9.55,9.55,9.55,9.55,600
SMA,20171129,9.81,9.81,8.9,8.93,2650
SMA,20171128,10.1,10.1,9.19,9.19,1510
SMA,20171127,10.05,10.05,9.48,9.48,1760
SMA,20171124,10.14,10.34,10.14,10.15,67490
SMA,20171123,9.95,10.24,9.27,10.24,15320
SMA,20171122,10.05,10.14,9.95,9.95,82530
SMA,20171121,9.95,10.14,9.85,9.95,115780
SMA,20171120,10.14,10.14,9.95,9.95,11010
SMA,20171117,9.96,9.96,9.96,9.95,10
SMA,20171116,10.24,10.24,10.15,10.15,9600
SMA,20171115,,,,10.53,0
SMA,20171114,10.53,10.53,10.53,10.53,20
SMA,20171113,10.24,10.43,10.24,10.34,32980
SMA,20171110,10.43,10.43,10.43,10.43,10
SMA,20171109,10.24,10.24,10.19,10.19,7280
SMA,20171108,10.53,10.53,10.05,10.53,800
SMA,20171107,10.24,10.24,10.24,10.24,16020
SMA,20171106,10.0,10.0,9.57,9.57,1520
SMA,20171103,9.26,10.52,9.26,9.39,78000
SMA,20171102,9.38,9.95,9.28,9.95,3000
SMA,20171101,10.14,10.14,9.95,9.95,7510
SMA,20171031,9.95,9.95,9.95,9.95,5030
SMA,20171030,9.48,10.25,9.48,10.24,12700
SMA,20171027,9.66,10.14,9.47,10.15,6760
SMA,20171026,,,,9.71,0
SMA,20171025,9.81,9.81,9.72,9.71,1400
SMA,20171024,10.15,10.25,9.86,9.86,14610
SMA,20171023,10.24,10.34,10.14,10.15,7190
SMA,20171020,9.86,10.24,9.86,10.24,204110
SMA,20171019,9.76,10.05,9.57,9.57,25840
SMA,20171018,10.05,10.24,10.05,10.1,38530
SMA,20171017,9.76,9.81,9.76,9.81,44500
SMA,20171016,9.67,9.67,9.19,9.19,5800
SMA,20171013,9.57,9.57,9.47,9.48,2950
SMA,20171012,9.57,9.67,9.57,9.57,8900
SMA,20171011,9.57,10.24,9.57,10.05,317240
SMA,20171010,9.38,9.86,9.38,9.57,62100
SMA,20171009,9.09,10.05,9.09,9.38,17210
SMA,20171006,9.52,9.76,9.52,9.57,16310
SMA,20171005,9.28,9.33,9.09,9.33,38820
SMA,20171004,8.72,9.38,8.72,8.73,420
SMA,20171003,9.38,9.38,8.24,9.37,720
SMA,20171002,8.79,8.79,8.79,8.8,20
SMA,20170929,7.45,8.23,7.45,8.22,5180
SMA,20170928,8.78,8.78,7.68,7.69,1100
SMA,20170927,,,,8.21,0
SMA,20170926,9.42,9.42,8.22,8.21,1910
SMA,20170925,8.8,8.8,8.8,8.81,650
SMA,20170922,8.23,8.23,8.23,8.23,30
SMA,20170921,9.38,9.38,8.24,8.23,5300
SMA,20170920,8.81,8.81,8.81,8.81,10
SMA,20170919,,,,9.19,0
SMA,20170918,9.19,9.19,9.19,9.19,390
SMA,20170915,9.18,9.18,8.9,9.19,650
SMA,20170914,9.1,9.1,8.62,8.61,18300
SMA,20170913,9.0,9.0,9.0,9.0,80
SMA,20170912,9.56,9.56,9.56,9.56,10
SMA,20170911,9.0,9.0,9.0,9.0,100
SMA,20170908,9.57,9.57,9.57,9.57,10
SMA,20170907,,,,9.0,0
SMA,20170906,9.0,9.0,9.0,9.0,450
SMA,20170905,9.19,9.19,9.19,9.19,150
SMA,20170901,,,,9.48,0
SMA,20170831,9.57,9.57,9.47,9.48,13500
SMA,20170830,9.57,9.57,8.73,9.57,530
SMA,20170829,9.57,9.57,9.37,9.38,9430
SMA,20170828,9.57,9.57,9.39,9.39,23300
SMA,20170825,9.57,9.57,9.57,9.57,4500
SMA,20170824,9.57,9.67,9.57,9.67,3000
SMA,20170823,9.57,9.57,9.38,9.57,43040
SMA,20170822,9.57,9.57,9.57,9.57,21700
SMA,20170821,9.28,9.95,9.28,9.67,51250
SMA,20170818,9.57,9.57,9.23,9.57,22080
SMA,20170817,9.62,9.72,9.48,9.71,74600
SMA,20170816,9.52,9.85,9.47,9.86,28020
SMA,20170815,8.99,9.57,8.99,9.52,101220
SMA,20170814,9.09,9.57,9.09,9.09,52370
SMA,20170811,9.0,9.29,9.0,9.09,41900
SMA,20170810,8.66,9.05,8.66,9.0,61720
SMA,20170809,8.77,9.0,8.52,8.58,8100
SMA,20170808,8.83,8.83,8.76,8.77,60
SMA,20170807,8.83,8.83,8.83,8.83,3100
SMA,20170804,8.82,9.0,8.82,8.83,6280
SMA,20170803,8.9,9.0,8.82,8.82,1140
SMA,20170802,8.83,8.99,8.83,9.0,48110
SMA,20170801,8.81,9.0,8.81,8.82,31710
SMA,20170731,8.85,9.09,8.62,8.81,77860
SMA,20170728,9.18,9.18,9.18,9.19,1000
SMA,20170727,8.82,9.29,8.82,9.28,13350
SMA,20170726,8.99,8.99,8.69,8.77,13420
SMA,20170725,9.33,9.33,8.69,8.69,93040
SMA,20170724,9.43,9.43,9.34,9.33,530
SMA,20170721,9.66,9.71,8.99,9.0,6880
SMA,20170720,9.38,9.52,9.38,9.52,167820
SMA,20170719,9.57,9.57,8.9,8.9,22200
SMA,20170718,8.71,9.66,8.71,9.28,9750
SMA,20170717,8.72,9.81,8.72,9.28,24990
SMA,20170714,9.0,9.57,8.62,9.19,81090
SMA,20170713,8.81,9.1,8.24,9.0,8600
SMA,20170712,8.61,8.78,8.42,8.79,50670
SMA,20170711,7.68,8.22,7.66,8.21,55000
SMA,20170710,7.41,7.95,7.41,7.68,8900
SMA,20170707,8.83,8.83,7.95,7.95,340
SMA,20170706,8.99,8.99,8.25,8.26,7060
SMA,20170705,8.26,8.99,8.26,8.85,6050
SMA,20170704,8.9,8.9,8.43,8.42,41740
SMA,20170703,9.57,9.57,8.95,8.99,80970
SMA,20170630,9.21,9.21,8.61,8.99,20460
SMA,20170629,8.71,8.71,7.97,8.61,37300
SMA,20170628,8.43,8.52,8.14,8.14,1190
SMA,20170627,8.43,8.43,8.14,8.14,2400
SMA,20170626,7.67,8.51,7.67,8.14,125770
SMA,20170623,8.5,8.61,7.96,7.96,1410
SMA,20170622,7.88,8.42,7.88,8.41,75040
SMA,20170621,8.04,8.41,7.87,7.87,71900
SMA,20170620,7.85,7.87,7.85,7.87,3030
SMA,20170619,8.14,8.14,7.85,7.85,4220
SMA,20170616,7.66,7.92,7.56,7.92,82660
SMA,20170615,7.22,7.75,7.22,7.4,12040
SMA,20170614,7.75,7.75,7.66,7.75,5010
SMA,20170613,7.37,7.8,7.37,7.38,2170
SMA,20170612,7.78,8.18,7.78,7.8,10980
SMA,20170609,7.65,7.78,7.65,7.78,71070
SMA,20170608,7.28,7.28,7.28,7.27,690
SMA,20170607,7.66,7.66,7.66,7.66,50
SMA,20170606,7.66,7.66,7.28,7.56,1470
SMA,20170605,7.65,7.65,7.65,7.66,10
SMA,20170602,7.3,7.3,7.3,7.3,10
SMA,20170601,7.23,7.85,7.12,7.85,100
SMA,20170531,7.65,7.65,7.08,7.66,10020
SMA,20170530,7.28,7.28,7.28,7.27,10
SMA,20170529,7.56,7.56,7.34,7.48,6000
SMA,20170526,7.89,7.89,7.89,7.89,300
SMA,20170525,7.56,7.56,7.56,7.56,460
SMA,20170524,7.9,7.9,7.9,7.9,500
SMA,20170523,,,,7.42,0
SMA,20170522,7.56,7.56,7.42,7.42,6240
SMA,20170519,7.56,7.56,7.27,7.56,25000
SMA,20170518,7.56,7.56,7.56,7.56,290
SMA,20170517,7.94,8.04,7.94,8.04,360
SMA,20170516,7.85,7.95,7.66,7.94,3380
SMA,20170515,7.85,7.85,7.85,7.85,3500
SMA,20170512,7.56,7.84,7.56,7.85,1010
SMA,20170511,7.47,7.95,7.47,7.94,1280
SMA,20170510,7.75,7.94,7.75,7.85,3000
SMA,20170509,7.56,8.2,7.56,8.18,3520
SMA,20170508,7.56,7.65,7.56,7.66,5930
SMA,20170505,7.47,7.56,7.47,7.56,1340
SMA,20170504,7.56,7.56,7.47,7.47,200
SMA,20170503,7.85,7.85,7.71,7.75,60
SMA,20170428,7.56,7.84,7.28,7.85,40
SMA,20170427,7.75,7.75,7.7,7.75,8560
SMA,20170426,7.65,7.75,7.28,7.56,1110
SMA,20170425,7.56,7.56,7.56,7.56,1000
SMA,20170424,7.55,7.55,7.23,7.55,3100
SMA,20170421,7.21,7.21,7.18,7.19,5200
SMA,20170420,7.56,7.94,7.37,7.56,11850
SMA,20170419,7.57,7.57,7.57,7.56,11010
SMA,20170418,7.57,8.04,7.5,7.66,3810
SMA,20170417,7.66,7.89,7.37,7.66,2140
SMA,20170414,7.99,7.99,7.38,7.75,25540
SMA,20170413,7.56,7.99,7.56,7.85,45580
SMA,20170412,7.28,7.47,7.28,7.47,15990
SMA,20170411,7.38,7.85,7.28,7.28,2410
SMA,20170410,7.35,7.42,7.33,7.34,9550
SMA,20170407,7.33,7.33,7.33,7.33,2060
SMA,20170405,7.37,7.37,7.32,7.33,10950
SMA,20170404,7.18,7.41,7.18,7.41,3810
SMA,20170403,7.41,7.42,7.41,7.42,22130
SMA,20170331,7.37,7.42,7.34,7.42,10100
SMA,20170330,7.4,7.42,7.37,7.42,37600
SMA,20170329,7.29,7.42,7.28,7.42,57450
SMA,20170328,7.3,7.42,7.21,7.42,4800
SMA,20170327,7.29,7.46,7.29,7.46,4810
SMA,20170324,7.47,7.47,7.33,7.33,21810
SMA,20170323,7.29,7.47,7.29,7.47,20170
SMA,20170322,7.51,7.51,7.37,7.42,11300
SMA,20170321,7.37,7.46,7.37,7.42,13720
SMA,20170320,7.37,7.37,7.23,7.23,5240
SMA,20170317,7.66,7.66,7.02,7.18,1510
SMA,20170316,7.46,7.52,7.46,7.52,64120
SMA,20170315,7.37,7.46,7.18,7.47,48490
SMA,20170314,7.37,7.47,7.37,7.37,24500
SMA,20170313,7.44,7.44,7.09,7.09,1100
SMA,20170310,7.27,7.28,7.09,7.18,13450
SMA,20170309,6.9,7.28,6.9,7.09,3040
SMA,20170308,7.18,7.46,6.9,7.28,21910
SMA,20170307,6.72,7.17,6.72,7.17,53870
SMA,20170306,6.72,6.72,6.72,6.71,20550
SMA,20170303,6.63,6.64,6.63,6.64,6900
SMA,20170302,6.67,6.67,6.63,6.64,13100
SMA,20170301,6.62,6.9,6.62,6.64,19000
SMA,20170228,6.62,6.62,6.62,6.62,1560
SMA,20170227,6.62,6.62,6.62,6.62,15300
SMA,20170224,,,,6.71,0
SMA,20170223,6.95,6.95,6.5,6.71,8710
SMA,20170222,,,,6.9,0
SMA,20170221,6.5,6.95,6.5,6.9,8870
SMA,20170220,6.5,6.72,6.49,6.71,1200
SMA,20170217,6.82,6.82,6.82,6.82,10
SMA,20170216,6.52,7.32,6.52,7.33,1230
SMA,20170215,6.85,6.85,6.85,6.85,5000
SMA,20170214,6.85,6.99,6.71,6.85,8710
SMA,20170213,6.38,6.85,6.38,6.85,15100
SMA,20170210,6.86,6.86,6.86,6.85,10
SMA,20170209,6.62,6.62,6.43,6.43,1630
SMA,20170208,6.32,7.06,6.32,6.57,37350
SMA,20170207,6.62,6.62,6.26,6.62,1090
SMA,20170206,6.42,6.62,6.42,6.62,1100
SMA,20170203,6.9,6.9,6.9,6.9,10
SMA,20170202,,,,6.52,0
SMA,20170125,6.65,6.65,6.53,6.52,460
SMA,20170124,6.52,6.61,6.52,6.62,350
SMA,20170123,6.14,6.52,5.71,6.52,30620
SMA,20170120,6.14,6.14,6.14,6.14,5480
SMA,20170119,6.62,6.62,6.15,6.57,17660
SMA,20170118,6.52,6.61,6.42,6.43,62370
SMA,20170117,6.38,6.38,6.33,6.33,21900
SMA,20170116,6.52,6.52,6.14,6.14,1250
SMA,20170113,,,,6.33,0
SMA,20170112,,,,6.33,0
SMA,20170111,6.11,6.34,6.11,6.33,34480
SMA,20170110,6.24,6.52,6.07,6.1,7480
SMA,20170109,6.43,6.43,6.43,6.43,10
SMA,20170106,6.24,6.24,6.24,6.24,10000
SMA,20170105,6.34,6.34,6.34,6.33,6010
SMA,20170104,6.32,6.42,6.32,6.43,22320
SMA,20170103,5.86,6.33,5.86,6.33,520
SMA,20161230,5.84,6.33,5.81,6.24,48410
SMA,20161229,6.0,6.24,5.82,6.24,40320
SMA,20161228,6.23,6.28,6.23,6.25,28790
SMA,20161227,6.33,6.33,6.33,6.32,120
SMA,20161226,5.97,6.24,5.97,6.24,29500
SMA,20161223,5.92,5.94,5.92,5.94,2490
SMA,20161222,6.05,6.05,5.96,5.96,4350
SMA,20161221,6.04,6.24,5.83,6.1,17620
SMA,20161220,5.67,6.1,5.67,6.04,25400
SMA,20161219,5.96,6.1,5.96,6.1,3400
SMA,20161216,5.96,6.05,5.96,5.96,23400
