<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SMT,20180713,,,,31.5,0
SMT,20180712,,,,31.5,0
SMT,20180711,,,,31.5,0
SMT,20180710,,,,31.5,0
SMT,20180709,,,,31.5,0
SMT,20180706,,,,31.5,0
SMT,20180705,,,,31.5,0
SMT,20180704,,,,31.5,0
SMT,20180703,,,,31.5,0
SMT,20180702,,,,31.5,0
SMT,20180629,31.0,31.5,28.0,31.5,1300
SMT,20180628,29.0,30.0,28.6,29.0,400
SMT,20180627,,,,28.6,0
SMT,20180626,28.6,28.6,28.6,28.6,200
SMT,20180625,26.0,27.0,25.7,27.0,3000
SMT,20180622,28.5,28.5,28.5,28.5,500
SMT,20180621,,,,27.7,0
SMT,20180620,,,,27.7,0
SMT,20180619,,,,27.7,0
SMT,20180618,27.7,27.7,27.7,27.7,100
SMT,20180615,25.7,25.7,25.7,25.7,100
SMT,20180614,28.0,28.5,28.0,28.5,200
SMT,20180613,27.7,27.7,27.7,27.7,100
SMT,20180612,23.5,26.5,23.5,26.5,1200
SMT,20180611,23.5,25.0,23.5,25.0,1100
SMT,20180608,23.5,24.0,23.5,24.0,1000
SMT,20180607,25.8,25.8,24.0,24.0,600
SMT,20180606,24.0,24.0,24.0,24.0,100
SMT,20180605,23.5,23.5,23.5,23.5,800
SMT,20180604,23.5,23.5,23.5,23.5,800
SMT,20180601,24.0,24.0,24.0,24.0,400
SMT,20180531,25.9,26.8,24.0,24.0,800
SMT,20180530,24.9,24.9,24.9,24.9,100
SMT,20180529,26.3,26.3,23.9,23.9,200
SMT,20180528,23.9,25.8,23.9,25.8,200
SMT,20180525,24.1,24.1,24.1,24.1,100
SMT,20180524,26.4,26.4,22.0,22.0,252
SMT,20180523,26.1,26.1,22.0,24.0,1600
SMT,20180522,25.0,25.0,23.8,24.0,700
SMT,20180521,24.9,24.9,23.8,23.8,500
SMT,20180518,24.0,24.5,23.8,23.8,1000
SMT,20180517,24.4,24.4,23.5,23.8,900
SMT,20180516,,,,23.8,0
SMT,20180515,24.0,24.0,23.8,23.8,300
SMT,20180514,24.9,24.9,24.9,24.9,100
SMT,20180511,24.0,24.0,23.8,23.8,379
SMT,20180510,24.0,24.0,24.0,24.0,500
SMT,20180509,25.4,25.4,25.4,25.4,100
SMT,20180508,21.0,23.9,20.8,23.9,4500
SMT,20180507,22.5,22.5,22.0,22.0,2800
SMT,20180504,24.0,24.0,23.1,23.1,400
SMT,20180503,24.0,24.0,24.0,24.0,100
SMT,20180502,29.4,29.4,25.9,25.9,200
SMT,20180427,28.5,28.5,25.5,27.9,6200
SMT,20180426,26.0,26.0,26.0,26.0,100
SMT,20180424,23.9,28.6,23.9,28.6,5211
SMT,20180423,26.0,26.0,24.0,26.0,5200
SMT,20180420,28.0,28.0,24.0,24.0,200
SMT,20180419,26.4,26.4,26.0,26.0,789
SMT,20180418,25.5,25.5,23.9,24.0,5500
SMT,20180417,28.3,28.3,23.8,23.8,300
SMT,20180416,25.8,25.8,25.8,25.8,100
SMT,20180413,28.6,28.6,28.6,28.6,100
SMT,20180412,30.0,30.0,26.0,26.0,200
SMT,20180411,28.0,28.9,28.0,28.8,1000
SMT,20180410,24.6,26.7,24.4,26.4,900
SMT,20180409,22.9,24.4,21.8,24.4,6000
SMT,20180406,,,,22.4,0
SMT,20180405,22.6,22.6,22.0,22.4,600
SMT,20180404,21.6,22.4,21.6,22.4,2100
SMT,20180403,21.8,21.8,19.4,21.7,2427
SMT,20180402,21.9,21.9,21.2,21.2,600
SMT,20180330,20.8,21.3,20.8,21.3,3900
SMT,20180329,20.8,20.8,20.8,20.8,100
SMT,20180328,20.8,20.8,20.2,20.2,1100
