<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SPI,20180713,1.0,1.0,0.9,1.0,119800
SPI,20180712,1.0,1.1,0.9,1.0,80600
SPI,20180711,1.1,1.1,1.0,1.0,557100
SPI,20180710,1.0,1.1,1.0,1.1,45900
SPI,20180709,1.1,1.1,1.0,1.1,152907
SPI,20180706,1.0,1.1,0.9,1.1,455300
SPI,20180705,1.1,1.1,1.0,1.0,634520
SPI,20180704,1.1,1.2,1.0,1.1,169700
SPI,20180703,1.2,1.2,1.1,1.1,120200
SPI,20180702,1.2,1.3,1.1,1.2,263500
SPI,20180629,1.3,1.4,1.2,1.2,367520
SPI,20180628,1.4,1.4,1.3,1.3,544220
SPI,20180627,1.4,1.4,1.3,1.4,134100
SPI,20180626,1.4,1.4,1.3,1.4,96600
SPI,20180625,1.4,1.5,1.4,1.4,303500
SPI,20180622,1.5,1.5,1.4,1.4,282300
SPI,20180621,1.5,1.5,1.4,1.5,37300
SPI,20180620,1.5,1.5,1.4,1.5,238100
SPI,20180619,1.5,1.6,1.4,1.4,418610
SPI,20180618,1.6,1.7,1.5,1.5,254110
SPI,20180615,1.7,1.7,1.5,1.6,153400
SPI,20180614,1.6,1.7,1.6,1.6,388900
SPI,20180613,1.7,1.7,1.6,1.6,653430
SPI,20180612,1.7,1.8,1.6,1.7,295200
SPI,20180611,1.8,1.8,1.7,1.7,84200
SPI,20180608,1.8,1.9,1.7,1.7,836800
SPI,20180607,1.8,1.9,1.8,1.8,494800
SPI,20180606,1.8,1.9,1.8,1.9,212000
SPI,20180605,1.9,1.9,1.8,1.9,603900
SPI,20180604,1.7,1.8,1.6,1.8,756808
SPI,20180601,1.8,1.9,1.7,1.7,1043300
SPI,20180531,1.9,1.9,1.8,1.8,888900
SPI,20180530,1.9,2.0,1.8,1.9,65600
SPI,20180529,1.9,2.0,1.8,1.9,124720
SPI,20180528,1.9,2.0,1.8,2.0,120900
SPI,20180525,1.9,2.0,1.9,1.9,171500
SPI,20180524,2.0,2.1,1.9,1.9,364400
SPI,20180523,2.0,2.0,1.9,2.0,149870
SPI,20180522,2.2,2.2,1.9,1.9,341300
SPI,20180521,2.3,2.3,2.0,2.1,381800
SPI,20180518,2.2,2.3,2.2,2.2,146208
SPI,20180517,2.1,2.4,2.0,2.3,70200
