<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SRF,20180713,15.6,15.6,14.0,15.3,2760
SRF,20180712,14.6,14.6,14.6,14.6,1000
SRF,20180711,15.5,15.5,14.5,14.65,38190
SRF,20180710,14.95,15.05,14.95,15.0,13280
SRF,20180709,15.9,16.0,15.9,16.0,20
SRF,20180706,15.7,15.7,15.7,15.7,250
SRF,20180705,15.9,15.9,14.85,15.65,720
SRF,20180704,14.95,15.95,14.85,15.95,8360
SRF,20180703,15.95,15.95,15.95,15.95,130
SRF,20180702,15.6,15.7,14.25,15.5,2240
SRF,20180629,15.1,15.1,14.7,14.7,4200
SRF,20180628,15.0,15.3,14.5,14.95,4130
SRF,20180627,15.0,15.0,15.0,15.0,4500
SRF,20180626,14.4,15.0,14.4,15.0,120
SRF,20180625,15.0,15.1,15.0,15.1,4550
SRF,20180622,15.0,15.2,14.6,15.2,5300
SRF,20180621,15.85,15.85,15.0,15.0,150
SRF,20180620,15.9,15.9,15.55,15.6,290
SRF,20180619,16.0,16.0,15.0,15.6,8150
SRF,20180618,16.5,16.5,15.2,15.2,220
SRF,20180615,15.1,16.0,15.1,16.0,2750
SRF,20180614,16.0,16.0,15.5,15.8,7040
SRF,20180613,16.0,16.0,15.4,15.4,14530
SRF,20180612,16.0,16.1,15.2,15.9,1250
SRF,20180611,16.0,16.2,16.0,16.2,310
SRF,20180608,16.2,16.2,16.2,16.2,210
SRF,20180607,16.2,16.2,15.9,16.2,5880
SRF,20180606,16.0,16.0,15.95,16.0,1980
SRF,20180605,16.0,16.0,15.6,15.6,6550
SRF,20180604,15.9,16.0,15.7,15.9,2110
SRF,20180601,15.7,16.0,15.6,15.6,840
SRF,20180531,15.7,15.7,15.7,15.7,310
SRF,20180530,15.9,15.9,15.9,15.9,410
SRF,20180529,15.0,15.7,14.95,15.0,2050
SRF,20180528,15.2,16.1,14.7,14.7,63020
SRF,20180525,16.9,16.9,15.2,15.65,20880
SRF,20180524,16.5,16.5,15.2,15.8,11930
SRF,20180523,16.0,16.0,15.2,15.8,3950
SRF,20180522,15.3,15.8,15.1,15.2,46930
SRF,20180521,16.7,16.7,15.2,15.8,11500
SRF,20180518,16.2,16.2,15.4,16.0,3590
SRF,20180517,16.2,16.2,16.2,16.2,310
SRF,20180516,15.35,16.3,15.25,16.3,58620
SRF,20180515,15.2,16.35,15.2,16.35,2680
SRF,20180514,15.3,15.75,15.0,15.75,13260
SRF,20180511,15.3,16.0,15.2,15.2,2010
SRF,20180510,15.5,16.1,15.5,16.0,11400
SRF,20180509,14.6,15.15,14.6,15.15,11800
SRF,20180508,15.2,15.2,14.2,14.2,80830
SRF,20180507,15.5,16.05,15.2,15.2,11080
SRF,20180504,16.15,16.15,15.0,15.0,22000
SRF,20180503,16.45,16.45,15.1,15.1,510
SRF,20180502,16.0,16.4,15.4,15.4,7680
SRF,20180427,15.4,15.4,15.4,15.4,14910
SRF,20180426,16.01,16.2,14.4,14.4,12130
SRF,20180424,17.34,17.34,15.11,15.16,5630
SRF,20180423,17.62,17.62,16.25,16.25,1770
SRF,20180420,17.86,17.86,17.44,17.43,50
SRF,20180419,18.19,18.19,16.3,17.53,20520
SRF,20180418,17.81,17.81,17.48,17.48,60
SRF,20180417,17.81,17.81,17.81,17.81,10
SRF,20180416,17.05,17.05,17.05,17.05,3580
SRF,20180413,16.86,17.05,16.86,17.05,1290
SRF,20180412,17.48,17.48,17.05,17.05,60
SRF,20180411,15.77,16.86,15.34,16.77,18370
SRF,20180410,16.48,16.48,16.48,16.48,30
SRF,20180409,15.54,16.67,15.54,16.67,1300
SRF,20180406,16.67,16.67,16.58,16.58,220
SRF,20180405,16.76,16.76,16.67,16.67,6250
SRF,20180404,16.58,16.67,16.58,16.67,1200
SRF,20180403,16.15,16.53,16.15,16.53,590
SRF,20180402,16.1,16.1,16.01,16.1,12130
SRF,20180330,16.48,16.48,16.1,16.1,6120
SRF,20180329,16.58,16.58,16.11,16.1,6900
SRF,20180328,17.06,17.06,16.58,16.58,1300
SRF,20180327,16.86,17.33,16.86,17.34,8520
SRF,20180326,17.05,17.05,17.05,17.05,800
SRF,20180323,17.24,17.24,17.24,17.24,1800
SRF,20180322,17.33,17.33,17.15,17.15,7250
SRF,20180321,17.05,17.24,17.05,17.24,3360
SRF,20180320,17.43,17.43,17.06,17.05,8770
SRF,20180319,17.15,17.15,17.15,17.15,200
SRF,20180316,17.81,17.81,17.72,17.72,6160
SRF,20180315,17.53,17.86,17.53,17.72,19910
SRF,20180314,,,,17.53,0
SRF,20180313,17.52,17.67,17.52,17.53,12630
SRF,20180312,17.15,17.43,17.15,17.43,7000
SRF,20180309,17.06,17.15,17.06,17.15,1050
SRF,20180308,17.53,17.53,17.53,17.53,10
SRF,20180307,17.05,17.05,16.96,16.96,810
SRF,20180306,17.24,17.24,16.96,16.96,3760
SRF,20180305,17.25,17.53,17.06,17.24,14660
SRF,20180302,17.81,17.81,17.24,17.72,370
SRF,20180301,17.43,17.43,17.25,17.43,22050
SRF,20180228,17.34,17.72,17.34,17.34,2110
SRF,20180227,17.91,17.91,17.34,17.34,13280
SRF,20180226,17.91,17.91,17.34,17.53,6390
SRF,20180223,18.0,18.0,17.33,17.34,2570
SRF,20180222,17.81,17.9,17.24,17.24,770
SRF,20180221,18.0,18.0,17.25,17.9,2310
SRF,20180213,17.9,17.9,17.14,17.53,126680
SRF,20180212,18.0,18.0,17.05,17.05,9200
SRF,20180209,17.81,17.81,17.05,17.05,147650
SRF,20180208,17.91,17.91,17.06,17.86,113270
SRF,20180207,17.53,17.91,17.53,17.53,114600
SRF,20180206,17.53,18.05,16.35,17.53,151670
SRF,20180205,18.14,18.14,17.53,17.53,101210
SRF,20180202,17.72,17.9,17.62,17.86,70470
SRF,20180201,17.91,17.91,17.81,17.81,45180
SRF,20180131,18.0,18.0,17.91,18.0,122660
SRF,20180130,18.0,18.71,18.0,18.24,29480
SRF,20180129,18.09,18.33,17.05,18.0,56020
SRF,20180126,18.19,18.19,18.0,18.0,57630
SRF,20180125,18.42,18.42,18.0,18.0,50610
SRF,20180122,18.28,18.42,18.28,18.28,18020
